Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;9.0;10.0;4;20.0;1;11.8999996185;8.625;4;17.25;
2;1;9.0;10.0;5;20.0;1;11.8999996185;8.625;5;17.25;
3;1;9.0;10.0;5;20.0;1;11.8999996185;8.625;5;17.25;
4;1;9.0;10.0;5;20.0;1;11.8999996185;8.625;5;17.25;
5;1;10.0;10.0;5;20.0;1;12.8999996185;8.625;5;17.25;
6;1;11.0;10.0;5;20.0;1;13.8999996185;8.625;5;17.25;
7;1;11.0;10.0;5;20.3999996185;1;14.8999996185;8.625;5;17.5949993134;
8;2;11.4200000763;10.1999998093;4;21.7264003754;1;15.5569992065;8.79749965668;5;17.8861961365;
9;2;11.5179204941;10.3632001877;4;22.0903717279;2;16.3317184448;8.94309806824;4;19.6667137146;
10;2;11.6271114349;10.4951858521;4;23.2838120461;2;16.8000278473;9.3333568573;4;20.4580960274;
11;2;11.9851436615;11.0209560394;4;24.3146933317;2;18.8000278473;9.6677980423;4;21.1577438116;
12;2;13.9851436615;11.4571752548;4;25.1981878281;2;20.8000278473;9.94955635071;4;21.7764767408;
13;2;15.9851436615;11.8107032776;5;25.9559320211;2;22.0457630157;10.1834592819;4;22.3269004822;
14;2;17.1443748474;12.0916318893;5;26.6120283604;2;23.1459007263;10.3752222061;4;22.822093606;
15;2;18.209400177;12.3113050461;4;27.1901185513;2;24.2563171387;10.5308046341;5;23.2127554417;
16;2;19.2810821533;12.4808797836;4;27.4906733036;2;25.3776817322;10.625;5;23.4342963696;
17;2;20.3597755432;12.5;4;27.7773330212;2;26.5106048584;10.625;5;23.6760041714;
18;2;21.4457740784;12.5;4;28.0890238285;2;27.6556301117;10.625;5;23.9385948181;
19;2;22.4267082214;12.5;5;28.4260663986;2;28.3631572723;10.625;5;24.2225482464;
20;2;22.5278205872;12.5;5;28.788336277;2;28.5335292816;10.625;5;24.5280504227;
21;2;22.6365013123;12.5;5;29.1751885414;2;28.7168312073;10.625;5;24.8549358845;
22;3;22.7525558472;12.5;4;29.585392952;2;26.75;11.625;6;25.2026343346;
23;3;22.875617981;12.5;4;30.0170898438;2;26.75;12.625;6;25.570125103;
24;3;23.0051269531;12.5;4;30.4677705765;2;26.75;13.625;6;25.955906868;
25;3;19.5;14.5;5;30.9342932701;2;26.75;13.91913414;6;26.357984066;
26;3;20.5;13.9835729599;5;31.4129357338;2;26.75;14.20058918;6;26.7738771439;
27;3;18.5;15.9835739136;5;31.8994894028;2;26.75;14.4917144775;6;27.2006587982;
28;3;17.5;17.2597961426;5;32.3893885612;2;26.75;14.7904605865;6;27.6350178719;
29;3;16.5;18.4557552338;4;32.877872467;2;26.75;15.0945129395;6;28.0733480453;
30;3;15.5;19.6511497498;4;33.360165596;3;24.75;16.4013442993;7;28.5118608475;
31;3;14.5;20.8440666199;5;34.8316650391;4;26.75;13.4013442993;6;28.9467110634;
