Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;9.0;10.0;4;20.0;1;11.8999996185;8.625;4;17.25;
2;1;9.0;10.0;5;20.0;1;11.8999996185;8.625;5;17.25;
3;1;9.0;10.0;6;20.0;1;11.8999996185;8.625;5;17.25;
4;1;9.0;10.0;5;20.0;1;11.8999996185;8.625;6;17.25;
5;1;10.0;10.0;5;20.0;2;13.5;8.625;5;18.25;
6;1;11.0;10.0;5;20.0;2;14.5;8.625;5;18.3624999523;
7;1;11.0;10.0;5;20.3999996185;2;15.5674991608;8.625;5;18.8425289392;
8;1;11.1199998856;10.1999998093;5;20.7264003754;2;16.3055171967;8.79749965668;5;19.2834601402;
9;1;11.2179203033;10.3632001877;5;20.9903717041;2;16.5700759888;8.94309806824;5;20.2715096474;
10;1;11.2971115112;10.4951858521;5;22.0419120789;2;17.1629047394;9.3333568573;5;21.1754176617;
11;1;11.6125736237;11.0209560394;5;22.9143505096;2;19.1629047394;9.6677980423;5;22.0040557384;
12;1;11.8743057251;11.4571752548;5;23.6214065552;2;21.1629047394;9.94955635071;5;22.7696070671;
13;1;12.8743057251;11.8107032776;5;24.1832637787;2;22.6416397095;10.1834592819;5;23.485840559;
14;1;13.8743057251;12.0916318893;5;24.6226100922;2;23.0915050507;10.3752222061;5;24.1666834354;
15;1;14.3867835999;12.3113050461;5;24.9617595673;2;23.5000114441;10.5308046341;5;24.7632339001;
16;1;14.488527298;12.4808797836;5;25.0;2;23.8579406738;10.625;5;25.210706234;
17;1;16.3867835999;12.5;5;25.0;2;24.1264228821;10.625;5;25.6974492073;
18;1;17.3867835999;12.5;5;25.0;2;24.4184684753;10.625;5;26.2223615646;
19;1;18.3867835999;12.5;6;25.0;2;24.733417511;10.625;5;26.7831263542;
20;1;19.3867835999;12.5;7;25.0;2;25.0698757172;10.625;5;27.3761043549;
21;2;20.5;12.5;7;26.0;2;27.4256629944;10.625;5;27.9963049889;
22;2;21.5;12.5;7;26.0399999619;2;26.4256629944;11.625;5;28.6374530792;
23;2;21.5;12.5;7;26.0811839104;2;28.4256629944;10.625;5;29.2921695709;
24;2;21.5;12.5;7;26.1235535145;2;30.4256629944;10.625;6;29.9522571564;
25;2;21.5;12.5;8;26.1671074629;2;31.4256629944;10.625;6;30.6090812683;
26;2;21.5;12.5;9;26.211841464;2;32.365447998;10.625;7;31.2540082932;
27;2;21.5;12.5;9;26.2577478886;2;32.7524032593;10.625;7;31.8788576126;
28;2;21.5;12.5;9;26.3048160076;2;33.1273155212;10.625;7;32.4763212204;
29;2;21.5;12.5;9;26.3530313969;2;33.4857940674;10.625;7;33.0402956009;
30;2;21.5;12.5;9;26.4023760557;2;33.8241767883;10.625;7;33.5661077499;
31;3;21.5;12.5;8;26.4528282881;2;34.1396636963;10.625;7;34.0506105423;
