Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;9.0;10.0;4;20.0;1;6.0;12.6999998093;4;21.0;
2;1;9.0;10.0;5;20.0;1;7.0;11.6999998093;5;21.0;
3;1;9.0;10.0;6;20.0;1;8.0;10.6999998093;4;21.0;
4;1;9.0;10.0;6;20.0;1;8.14999961853;10.5;3;21.0;
5;1;10.0;10.0;6;20.0;1;8.14999961853;10.5;3;21.0;
6;1;11.0;10.0;6;20.0;1;9.14999961853;10.5;3;21.0;
7;1;11.0;10.0;6;20.3999996185;1;9.72500038147;10.5;3;21.0;
8;1;11.1199998856;10.1999998093;6;20.7264003754;2;9.72500038147;10.6999998093;2;22.4200000763;
9;1;11.2179203033;10.3632001877;6;20.9903717041;2;10.044500351;10.7100000381;2;22.8584362268;
10;1;11.2971115112;10.4951858521;6;22.0419120789;2;10.1431493759;10.8792181015;2;23.2088999748;
11;1;11.6125736237;11.0209560394;5;22.9143505096;2;10.2220020294;11.0;2;24.9397995472;
12;1;11.8743057251;11.4571752548;5;23.6214065552;2;10.6114549637;11.7700004578;3;26.4434549809;
13;1;12.8743057251;11.8107032776;5;24.1832637787;2;12.3140878677;12.4126424789;3;27.7287436724;
14;2;14.8743057251;12.0916318893;4;25.6226100922;2;14.3140878677;12.9308347702;3;28.8229112625;
15;2;16.3867835999;12.3113050461;4;26.0117595196;2;16.3140888214;13.3366470337;3;29.7627468109;
16;2;16.803527832;12.4808797836;4;26.1019749641;2;17.5054893494;13.6469516754;3;30.5871584415;
17;2;18.717376709;12.5;4;26.1559499502;2;18.5862083435;13.879781723;3;31.2283332348;
18;2;19.7335681915;12.5;4;26.2119446993;2;19.6763763428;14.0;3;31.6729285717;
19;2;20.7503662109;12.5;5;26.269973278;2;20.7764091492;14.0;3;32.1624221802;
20;2;21.7677764893;12.5;6;26.3300433159;2;21.2365436554;14.0;3;32.6967763901;
21;2;21.8990135193;12.5;7;26.3921557665;2;21.3567733765;14.0;3;33.2746315002;
22;2;21.9176464081;12.5;7;26.4563041925;2;21.4867916107;14.0;3;33.8931016922;
23;2;21.9368915558;12.5;7;26.5224741697;2;21.6259460449;14.0;4;34.5476427078;
24;2;21.956741333;12.5;7;26.5906432867;2;21.7732181549;14.0;4;35.2320256233;
25;2;21.977191925;12.5;7;26.6607804298;2;21.9272041321;14.0;6;35.9384479523;
26;3;21.9982337952;12.5;6;26.7328453064;2;22.0861492157;14.0;6;36.6577949524;
27;3;21.5;12.5;6;26.8067884445;2;22.248003006;14.0;6;37.3800458908;
28;3;22.0420360565;12.5;6;26.8825509548;2;22.4105091095;14.0;6;38.0948009491;
29;3;22.0647659302;12.5;6;26.9600640535;2;20.4105091095;15.0;6;38.7918672562;
30;3;20.0880184174;13.5;6;27.0392494202;2;19.4105091095;15.0;6;39.4618406296;
31;3;19.1117744446;14.5;6;27.120018959;2;19.4105091095;16.0;6;40.0966157913;
32;3;18.1360054016;15.5;6;27.2022752762;2;19.0217380524;17.0;6;40.6897592545;
33;3;17.1606826782;16.5;6;27.2859115601;2;18.1551952362;18.0;7;41.2367181778;
34;3;16.1857738495;17.5;6;27.3708124161;2;17.2782611847;19.0;7;41.7348527908;
35;3;16.5;16.4483242035;7;27.4568536282;2;17.090341568;20.0;7;42.1833162308;
36;3;17.5;15.4827413559;6;27.5439035892;2;17.1912460327;21.0;7;42.5828151703;
37;3;16.2631721497;15.5;6;27.6318233013;2;17.2811336517;22.0;7;42.9353084564;
38;3;16.5;14.5;7;27.7204678059;2;17.3604450226;23.0;8;43.2436761856;
39;3;15.3161401749;14.5;7;27.8096864223;2;17.4298267365;24.0;8;43.5114040375;
40;3;14.8429059982;15.5;7;27.8993241787;2;17.4900665283;25.0;8;43.7423057556;
41;3;14.8697967529;16.5;7;27.989222765;2;17.5420188904;26.0;8;43.9402961731;
42;4;15.8967666626;17.5;6;30.079221487;2;17.586566925;27.0;10;44.0;
43;4;17.0;20.2999992371;7;30.3291586637;2;18.6000003815;25.0;10;44.0;
44;4;18.0;21.6316623688;7;30.5948945284;2;17.6000003815;26.0;11;44.0;
45;4;18.0;22.7379570007;7;30.8776926994;2;17.6000003815;27.0;11;44.0;
46;4;19.4313163757;23.7379570007;7;31.1788423061;2;18.6000003815;25.0;12;44.0;
47;4;20.0;25.7379570007;7;31.4996273518;2;19.6000003815;25.0;12;44.0;
48;4;21.0;28.7379570007;7;31.84128654;2;20.6000003815;25.0;13;44.0;
49;4;22.9686889648;31.7379570007;7;32.2049643993;2;21.6000003815;25.0;14;44.0;
50;4;24.0519180298;33.8035507202;9;32.5916519165;2;22.6000003815;25.0;14;44.0;
51;4;24.3768234253;35.0134773254;9;33.0021183491;2;23.6000003815;25.0;15;44.0;
52;4;26.2403697968;34.0470199585;10;33.4368371964;2;23.8999996185;24.0;16;44.0;
53;4;26.8460426331;34.0800094604;10;33.8959063292;2;23.8999996185;24.0;16;44.0;
54;4;25.9082870483;35.1124000549;11;34.3789691925;2;23.8999996185;24.0;17;44.0;
55;4;25.5;36.2515869141;11;34.8851411343;2;23.8999996185;24.0;17;44.0;
56;4;25.5;36.4540557861;12;35.4129500389;2;23.8999996185;24.0;17;44.0;
57;4;26.5;34.9596099854;12;35.960295558;2;23.8999996185;24.0;18;44.0;
58;4;25.9521656036;35.5460510254;13;36.5244385004;2;23.8999996185;24.0;18;44.0;
59;4;26.9634361267;34.7278404236;13;37.1020234823;2;23.8999996185;24.0;18;44.0;
60;4;27.8440513611;33.3609275818;15;37.689140439;2;23.8999996185;24.0;18;44.0;
61;4;25.9862937927;34.7278404236;15;38.2814280987;2;23.8999996185;24.0;16;44.0;
62;4;27.5;33.1638145447;17;38.8742088079;2;23.8999996185;24.0;16;44.0;
63;4;26.9034690857;34.1793518066;18;39.4626584053;2;23.8999996185;24.0;16;44.0;
64;4;26.0212402344;35.5;18;40.0419868231;2;23.8999996185;24.0;17;44.0;
65;4;25.5;38.1306266785;19;40.6076221466;2;23.8999996185;24.0;18;44.0;
66;4;25.5;38.7430496216;22;41.1553841829;3;23.8999996185;24.0;17;44.0;
67;4;28.0567836761;34.0735778809;22;41.6816293001;3;23.8999996185;24.0;18;44.0;
68;4;27.5;34.8318748474;22;42.165717721;3;23.8999996185;24.0;19;44.0;
69;4;28.5;35.2742538452;23;42.5913412571;3;23.8999996185;24.0;19;44.0;
70;4;26.5;36.2902374268;23;42.9905986786;3;23.8999996185;24.0;19;44.0;
71;4;25.5;37.3062324524;23;44.8022446632;3;23.8999996185;24.0;19;44.0;
72;4;28.4227199554;33.0;24;46.3561825752;3;23.8999996185;24.0;20;44.0;
73;4;30.294210434;33.3899993896;24;47.6829309464;3;23.8999996185;24.0;21;45.3199996948;
74;4;26.8716392517;35.6872596741;24;48.8158667088;3;22.0890007019;25.4200000763;21;46.3582401276;
75;4;26.8901157379;34.6872596741;24;49.6388738155;3;23.2291622162;24.7314720154;21;47.1666984558;
76;5;27.6992912292;35.0;23;50.2358562946;3;21.3310565948;25.9579029083;22;47.5526294708;
77;5;26.0572357178;35.9533195496;24;50.7882704735;3;22.3500003815;25.0;23;47.8066806793;
78;5;26.8435211182;36.0;23;51.297809124;3;20.75;26.0;23;48.0;
79;5;21.2123565674;40.0;24;51.7667000294;3;21.75;25.0;23;48.0;
80;6;20.2123565674;43.0282516479;23;52.1975140572;3;22.75;25.0;23;48.0;
81;6;19.2123565674;45.7783546448;23;52.5930011272;3;23.75;25.0;23;48.0;
82;6;18.2123565674;47.8628845215;22;52.8612287045;3;22.75;26.0;23;49.0;
83;6;18.0;49.9444923401;23;54.057772398;3;22.7999992371;28.0;23;49.0599999428;
84;7;21.0;49.9196434021;22;54.2867634296;3;22.7999992371;30.0;24;49.1229639053;
85;7;22.0;52.9196434021;23;54.5093617439;3;21.7999992371;32.0;25;49.1889609098;
86;7;23.0;55.9196434021;24;54.7255995274;3;20.7999992371;32.0;25;49.2580518723;
87;8;24.0;58.1180038452;23;54.9355534315;3;20.7999992371;33.0;25;49.3302885294;
88;8;25.5;58.1605758667;24;55.1393376589;3;20.7999992371;33.0;27;49.4057120085;
89;8;23.5;59.766494751;24;55.3370985985;3;21.75;34.0;27;49.484351635;
90;8;23.5;61.7894477844;25;56.5290079117;3;22.75;35.0;28;49.5662232637;
91;8;26.5;62.8129844666;25;56.6883358955;4;22.75;36.0;28;49.6513283253;
92;8;25.5;64.837097168;25;56.8350394964;4;22.75;37.0;27;49.7396525145;
93;8;25.5;67.1241912842;26;57.9831112623;4;22.75;38.0;27;49.8311642408;
94;8;24.5;69.1715240479;27;58.1724778414;4;22.75;39.0;27;49.9258141518;
95;8;24.0;74.2189941406;27;58.3642474413;4;22.75;40.0;27;50.0235335827;
96;8;24.0;78.2666015625;28;58.5583424568;4;22.75;41.0;27;50.1242339611;
97;8;26.0;75.4318695068;29;58.7546794415;4;22.75;42.0;27;50.2278065681;
98;8;24.0;78.4796142578;30;58.9531685114;4;22.75;43.0;27;50.3341217041;
99;8;24.0;81.1333084106;31;59.1537126303;4;23.75;41.0;28;50.4430289268;
100;8;26.0;77.2040252686;30;59.3562088013;4;22.75;42.0;27;50.5543570518;
