Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;9.0;10.0;4;20.0;1;6.0;12.6999998093;4;21.0;
2;1;9.0;10.0;4;20.0;1;7.0;11.6999998093;5;21.0;
3;1;9.0;10.0;4;20.0;1;8.0;10.6999998093;5;21.0;
4;1;9.0;10.0;4;20.0;1;8.14999961853;10.5;5;21.0;
5;1;10.0;10.0;4;20.0;1;8.14999961853;10.5;5;21.0;
6;1;11.0;10.0;4;20.0;1;9.14999961853;10.5;5;21.0;
7;1;11.0;10.0;4;20.3999996185;1;9.72500038147;10.5;5;21.0;
8;1;11.1199998856;10.1999998093;4;20.7264003754;1;9.72500038147;10.5;5;21.4200000763;
9;1;11.2179203033;10.3632001877;4;20.9903717041;1;9.81949996948;10.7100000381;5;21.758436203;
10;2;11.597111702;10.4951858521;3;23.0419120789;1;9.8956489563;10.8792181015;5;22.0;
11;2;11.9125738144;11.0209560394;3;23.9543504715;1;9.94999980927;11.0;5;23.5400009155;
12;2;12.1863059998;11.4571752548;3;24.7025904655;1;10.296500206;11.7700004578;6;24.8252849579;
13;2;14.9245738983;11.8107032776;3;25.3068172932;1;11.9499998093;12.4126424789;6;25.8616695404;
14;2;16.9245738983;12.0916318893;3;25.789717555;1;12.9499998093;12.9308347702;6;26.6732940674;
15;2;17.9627056122;12.3113050461;3;26.1736010313;1;13.9499998093;13.3366470337;6;27.2939033508;
16;2;18.9761257172;12.4808797836;4;26.2577478886;1;14.9499998093;13.6469516754;6;27.759563446;
17;3;19.9898986816;12.5;3;26.3048160076;1;15.9499998093;13.879781723;6;28.0;
18;3;21.0040187836;12.5;3;26.3530313969;1;16.9500007629;14.0;6;28.0;
19;3;21.9059104919;12.5;4;26.4023760557;1;17.9500007629;14.0;6;28.0;
20;3;21.9207134247;12.5;4;26.4528282881;1;18.2999992371;14.0;6;28.0;
21;3;21.9358482361;12.5;4;26.5043625832;1;18.2999992371;14.0;6;28.0;
22;3;21.9513092041;12.5;4;26.5569496155;1;18.2999992371;14.0;6;28.0;
23;3;21.9670848846;12.5;4;26.6105561256;1;18.2999992371;14.0;7;28.0;
24;3;21.9831676483;12.5;6;26.6651450396;1;18.2999992371;14.0;7;28.0;
25;3;21.5;12.9162864685;6;26.72067523;1;18.2999992371;14.0;7;28.0;
26;3;21.5;12.9301691055;7;26.7771017551;1;18.2999992371;14.0;7;28.0;
27;3;22.0331306458;12.5;7;26.8343759775;1;18.2999992371;14.0;7;28.0;
28;3;21.5;13.2337503433;7;26.8924454451;1;18.2999992371;14.0;7;28.0;
29;3;22.0677337646;12.5;7;26.9512542486;1;18.2999992371;14.0;8;28.0;
30;3;22.0853767395;12.5;7;27.0107431412;1;18.2999992371;14.0;8;28.0;
31;3;21.5;13.3042974472;7;27.0708494186;1;18.2999992371;14.0;8;28.0;
