Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;9.0;10.0;4;20.0;1;6.0;12.6999998093;4;21.0;
2;1;9.0;10.0;5;20.0;1;7.0;11.6999998093;5;21.0;
3;1;9.0;10.0;4;20.0;1;8.0;10.6999998093;5;21.0;
4;1;9.0;10.0;4;20.0;1;8.14999961853;10.5;5;21.0;
5;1;10.0;10.0;4;20.0;1;8.14999961853;10.5;5;21.0;
6;1;11.0;10.0;4;20.0;1;9.14999961853;10.5;5;21.0;
7;1;11.0;10.0;4;20.3999996185;1;9.72500038147;10.5;5;21.0;
8;1;11.1199998856;10.1999998093;4;20.7264003754;1;9.72500038147;10.5;5;21.4200000763;
9;1;11.2179203033;10.3632001877;4;20.9903717041;2;9.81949996948;10.9099998474;4;22.758436203;
10;1;11.2971115112;10.4951858521;4;22.0419120789;2;10.1206493378;10.8792181015;4;23.1000000238;
11;1;11.6125736237;11.0209560394;4;22.9143505096;2;10.1975002289;11.0;4;24.8149009943;
12;1;11.8743057251;11.4571752548;4;23.6214065552;2;10.5833530426;11.7700004578;5;26.3006643057;
13;1;13.6125736237;11.8107032776;5;24.1832637787;2;12.2819604874;12.4126424789;5;27.5660959482;
14;1;14.6125736237;12.0916318893;5;24.6226100922;2;14.2819604874;12.9308347702;5;28.6384222507;
15;1;15.6125736237;12.3113050461;5;24.9617595673;2;16.2819595337;13.3366470337;5;29.5544860363;
16;2;17.6125736237;12.4808797836;4;26.0;2;17.4586315155;13.6469516754;5;30.3533427715;
17;2;19.6125736237;12.5;3;26.0299999714;2;18.5335998535;13.879781723;5;30.9674448967;
18;2;20.9215736389;12.5;3;26.0605909824;2;19.6176757812;14.0;5;31.3838531971;
19;2;21.8181762695;12.5;4;26.091766119;2;20.7113685608;14.0;5;31.8446035385;
20;2;21.8275299072;12.5;4;26.1235172749;2;21.1650352478;14.0;5;32.350376606;
21;2;21.8370552063;12.5;4;26.1558350325;2;21.2788333893;14.0;5;32.9006829262;
22;2;21.8467502594;12.5;4;26.1887089014;2;21.4026527405;14.0;5;33.4936323166;
23;2;21.8566131592;12.5;4;26.2221269608;2;21.5360660553;14.0;6;34.1257500648;
24;2;21.8666381836;12.5;4;26.2560760975;2;21.6782932281;14.0;6;34.7918796539;
25;3;21.8768234253;12.5;3;26.2905418873;2;21.8281726837;14.0;6;35.4852027893;
26;3;21.8871631622;12.5;3;26.3255085945;2;21.9841690063;14.0;6;36.1974048615;
27;3;19.8976516724;13.5;4;26.3609591722;2;22.1444149017;14.0;6;36.9189891815;
28;3;18.9082870483;14.5;5;26.3968753815;3;23.3067722321;14.3000001907;5;38.6397333145;
29;3;17.9190635681;15.5;5;26.4332377911;3;24.4689388275;14.5;5;39.5092431307;
30;3;16.9299716949;16.5;5;26.4700255394;3;22.8895778656;15.0;5;40.3812900782;
31;3;15.9410076141;17.5;5;26.5072168112;3;22.0857887268;16.0;5;41.2497787476;
32;3;14.9521656036;18.5;5;26.5447884798;3;21.2812004089;17.0;5;42.110204339;
33;3;14.4634361267;19.5;5;26.5827163458;3;20.4747943878;18.0;5;42.9599015713;
34;3;14.4748153687;20.5;5;27.6209751368;3;19.665977478;19.0;5;43.7980883121;
35;3;15.4862928391;21.5;6;27.6795384884;3;19.5545711517;20.0;5;44.6257083416;
36;4;17.0;20.5718154907;5;27.7385753393;3;19.7407836914;21.0;6;45.4450964928;
37;4;16.3120574951;20.5;5;27.7980514765;3;19.9251461029;22.0;6;46.2595076561;
38;4;16.8394165039;21.5;6;27.8579313755;3;20.1083889008;23.0;6;47.0725688934;
39;4;17.0;20.6431732178;6;27.9181787968;3;20.2913284302;24.0;7;47.8877043724;
40;4;16.875453949;20.5;7;27.9787564278;3;20.4747333527;25.0;7;48.7075805664;
41;4;16.8936271667;21.5;6;28.0396262407;3;20.6592063904;26.0;8;49.5336294174;
42;4;17.0;20.7158508301;6;28.1007493734;3;20.8450679779;27.0;8;50.3611893654;
43;4;16.9302253723;20.5;6;28.1620864868;3;22.0312690735;25.0;9;51.0379443169;
44;4;16.9486255646;21.5;6;28.2235976458;3;21.1835384369;26.0;10;51.7390680313;
45;4;17.0;20.7894382477;6;29.2852426767;3;22.3412914276;26.0;10;52.4557781219;
46;4;17.0;21.8140964508;7;29.3869810104;3;23.5025501251;27.0;11;53.1782588959;
47;5;18.6286640167;22.4165725708;6;29.4899557829;3;24.6651077271;28.0;12;53.8961582184;
48;5;20.0226306915;23.4165725708;6;29.5941281319;3;25.8266372681;29.0;12;54.5991659164;
49;5;20.9896469116;25.4165725708;6;29.6994559765;3;26.9848136902;30.0;13;55.2776012421;
50;5;22.0597038269;27.4165725708;7;29.8058943748;3;28.1374607086;29.0;13;55.9229507446;
51;5;22.765417099;30.4165725708;7;29.913395524;3;28.5826644897;29.0;14;56.5282850266;
52;5;24.0654811859;33.0005722046;7;30.0219089985;3;28.7188644409;29.0;14;57.088514328;
53;5;24.6998977661;33.5755691528;7;30.1313811541;3;28.84491539;29.0;16;57.6004695892;
54;5;25.8278503418;33.4487533569;9;30.2417554855;4;28.960105896;29.0;15;58.0628213882;
55;5;26.3493766785;33.4642028809;9;30.3529719114;4;29.0641345978;29.0;15;58.4758720398;
56;6;26.2346458435;33.6616630554;8;30.4649680853;4;29.1570701599;29.0;16;58.8412618637;
57;6;26.2460403442;33.6912689209;9;30.5776785612;4;29.2392845154;29.0;16;59.1616458893;
58;6;26.7062187195;33.1227798462;10;30.6910347939;4;29.3113708496;29.0;16;59.4403705597;
59;6;26.7516708374;33.1075210571;10;30.8049653769;4;29.3740825653;29.0;17;59.6811828613;
60;6;26.2795581818;33.7825775146;10;30.9193962812;4;29.4282646179;29.0;17;59.8879890442;
61;6;26.4853363037;33.5;10;31.034250617;4;27.4747962952;30.0;17;60.0;
62;6;26.5090026855;33.5683670044;10;32.1494493484;4;26.5;31.0;19;60.0;
63;6;28.3448352814;33.5;9;32.3049105406;4;25.5;32.0;19;60.0;
64;6;29.3794727325;34.5;8;32.4617345333;4;24.5;33.0;19;61.0;
65;7;32.6902770996;36.5;9;33.6198371649;4;24.5;35.0;19;61.0399999619;
66;7;34.7481422424;38.5;8;33.8091294765;4;25.2000007629;37.0;21;61.0811839104;
67;7;36.3210105896;40.5;8;34.0001090765;4;25.2000007629;39.0;22;62.9451764822;
68;7;37.3941345215;41.5;7;34.192671299;5;24.3080005646;39.0;22;64.4657615423;
69;7;38.4674606323;42.5;15;34.3867057562;5;24.4014415741;40.0;22;65.6999772787;
70;8;38.5409469604;42.5;7;58.5820969343;5;23.4814510345;39.0;23;66.4609670639;
71;8;39.6145324707;43.5;8;62.053379178;5;23.5493412018;39.0;23;67.0455895662;
72;9;41.2319717407;45.0;8;64.9401218891;7;24.0065040588;39.0;13;83.5119713545;
73;9;41.7408561707;46.3899993896;8;67.2695153952;7;28.0499992371;39.0;14;84.8249479532;
74;9;42.1583099365;47.6872596741;9;69.1117485762;7;31.3154983521;40.0;14;86.0764068365;
75;9;42.5021514893;48.9097442627;10;70.4085156918;7;27.0499992371;44.0;14;87.2600520849;
76;9;42.7147789001;50.0;12;71.3055994511;7;26.0499992371;48.0;15;88.3767516613;
77;10;42.8379898071;51.0;12;71.8791590929;7;26.0499992371;51.0;16;89.4334771633;
78;10;42.9618835449;52.0;12;72.2265700102;7;25.0499992371;52.0;16;90.4416759014;
79;10;43.086265564;53.0;12;72.5775574446;7;25.0499992371;54.0;16;91.4154527187;
80;10;42.2232093811;55.0;13;72.9316318035;7;27.0499992371;54.0;16;92.369812727;
81;10;42.3379135132;57.0;14;73.2724881172;8;29.0499992371;56.0;20;93.3191385269;
82;12;42.4526519775;59.0;12;73.6113268137;8;31.0499992371;58.0;20;94.1772289276;
83;12;42.567237854;61.0;12;73.9518477917;8;32.0499992371;60.0;20;94.961097002;
84;12;42.6814804077;63.0;12;74.2934813499;8;32.7999992371;62.0;21;95.8071489334;
85;12;42.7952003479;64.8000030518;12;74.6356447935;8;32.7999992371;64.0;21;96.7102599144;
86;12;42.9082069397;67.0;13;74.9777469635;8;32.7999992371;66.0;21;97.662396431;
87;12;43.020324707;69.0;13;75.3191921711;8;32.7999992371;68.0;21;99.6526288986;
88;12;43.1313819885;71.0;13;76.6593840122;8;31.7999992371;72.0;22;100.707453012;
89;12;44.2412109375;74.0;14;77.0177314281;8;31.7999992371;76.0;22;101.772619486;
90;12;45.3496551514;77.0;15;77.3692705631;8;30.7999992371;80.0;22;102.831702948;
91;13;45.4542808533;80.0;15;77.682716012;8;30.75;84.0;24;103.868400455;
92;13;45.5395927429;83.0;15;77.994009614;8;30.75;88.0;24;104.867676616;
93;13;45.623714447;86.0;14;78.3026063442;8;31.75;88.0;24;105.81677103;
94;14;45.70652771;88.5509490967;16;88.6079829931;8;30.75;91.0;25;106.705913067;
95;14;44.7879219055;92.3614120483;17;89.4096410275;8;31.75;92.0;26;107.528672457;
96;14;45.8677978516;95.3719482422;17;90.1796104908;8;33.75;90.4000015259;26;108.281931281;
97;14;46.9460754395;98.38256073;18;90.91437006;8;33.75;91.4000015259;26;108.965542674;
98;15;48.0226669312;101.193244934;15;107.611452937;9;34.75;92.4000015259;25;109.581783772;
99;14;50.0975112915;104.20401001;14;109.06941545;10;35.7999992371;90.4000015259;24;110.134716034;
100;14;52.1705551147;108.760757446;16;110.393356562;10;34.7999992371;91.4000015259;25;110.629551411;
