Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;9.0;10.0;4;20.0;1;6.0;12.6999998093;4;21.0;
2;1;9.0;10.0;5;20.0;2;7.0;11.8999996185;3;22.0;
3;1;9.0;10.0;5;20.0;2;8.14999961853;10.6999998093;3;22.0900000334;
4;1;9.0;10.0;5;20.0;2;8.31349945068;10.5;3;22.1871190071;
5;1;10.0;10.0;5;20.0;2;8.32806777954;10.5;3;22.2917383909;
6;1;11.0;10.0;5;20.0;2;9.44064044952;10.5;3;22.4042263031;
7;1;11.0;10.0;5;20.3999996185;2;10.0409517288;10.5;3;22.5249304771;
8;1;11.1199998856;10.1999998093;5;20.7264003754;2;10.0681095123;10.5;3;23.0894187689;
9;1;11.2179203033;10.3632001877;5;20.9903717041;2;10.1951189041;10.7100000381;3;23.5836213827;
10;1;11.2971115112;10.4951858521;5;22.0419120789;2;10.3063154221;10.8792181015;3;23.9926425219;
11;1;11.6125736237;11.0209560394;5;22.9143505096;2;10.3983440399;11.0;3;25.8316864967;
12;2;12.1743059158;11.4571752548;4;24.6214065552;2;10.8121290207;11.7700004578;3;27.4540388584;
13;2;14.9125738144;11.8107032776;5;25.2232637405;2;12.541469574;12.4126424789;3;28.8682081699;
14;2;16.9125728607;12.0916318893;5;25.7037940025;2;14.541469574;12.9308347702;3;30.1005516052;
15;2;17.9369277954;12.3113050461;5;26.0853130817;2;16.541469574;13.3366470337;4;31.1863336563;
16;2;18.949640274;12.4808797836;5;26.1671074629;3;17.8257961273;13.6469516754;3;32.1621966362;
17;2;19.9627056122;12.5;5;26.211841464;3;18.9405918121;13.879781723;3;32.9572491646;
18;2;20.9761257172;12.5;5;26.2577478886;3;20.0653820038;14.0;3;33.5542383194;
19;2;21.877325058;12.5;5;26.3048160076;3;21.1997051239;14.0;3;34.1899633408;
20;2;21.8914451599;12.5;5;26.3530313969;3;21.692741394;14.0;3;34.8591008186;
21;2;21.9059104919;12.5;6;26.4023760557;3;21.843296051;14.0;3;35.5546751022;
22;2;21.9207134247;12.5;6;26.4528282881;3;21.9998016357;14.0;3;36.2682390213;
23;2;21.9358482361;12.5;6;26.5043625832;3;22.1603527069;14.0;3;36.9902019501;
24;3;21.9513092041;12.5;5;26.5569496155;3;22.3227958679;14.0;3;37.7102985382;
25;3;21.9670848846;12.5;4;26.6105561256;3;22.4848175049;14.0;3;38.4181499481;
26;3;21.9831676483;12.5;6;26.6651450396;3;22.6440830231;14.0;4;39.1038570404;
27;3;21.5;13.1660575867;6;26.72067523;3;22.7983665466;14.0;5;39.758556366;
28;3;21.5;13.1882705688;6;26.7771017551;3;22.9456748962;14.0;6;40.374874115;
29;3;22.0331306458;12.5;6;26.8343759775;3;23.0843467712;14.0;6;40.947227478;
30;3;21.5;13.2337503433;6;26.8924454451;3;23.2131252289;14.0;6;41.4719495773;
31;3;22.0677337646;12.5;6;26.9512542486;3;23.3311882019;14.0;6;41.9472465515;
32;3;22.0853767395;12.5;6;28.0107431412;3;23.438129425;14.0;6;42.3730211258;
33;3;22.5;13.7042970657;7;28.1108493805;3;23.5339279175;14.0;6;42.7505970001;
34;3;22.1212539673;13.5;7;28.2126915455;3;23.6188831329;14.0;6;43.0823974609;
35;4;22.5;13.7850761414;5;48.3162033558;3;23.6935386658;14.0;6;43.3716182709;
36;4;21.5;14.8264808655;5;49.6213134527;3;23.7586135864;14.0;6;43.6219272614;
37;4;21.5;15.8685245514;5;50.745542407;3;23.8149337769;14.0;6;43.8372087479;
38;4;21.5;16.9111785889;5;51.6939694881;3;23.8633708954;14.0;7;44.0;
39;4;21.5;17.9544048309;5;52.481764555;3;23.8999996185;14.0;7;44.0;
40;4;21.5;18.99817276;5;53.1297562122;3;23.8999996185;14.0;7;44.0;
41;4;22.0;20.0424442291;6;53.6606491804;3;23.8999996185;14.0;8;44.0;
42;4;23.0;21.0871829987;7;54.0808647871;3;23.8999996185;16.0;8;44.0;
43;4;25.0;22.0871829987;7;54.1947350502;3;23.8999996185;18.0;8;44.0;
44;4;27.8071117401;25.0871810913;8;54.3094596863;3;23.8999996185;20.0;9;44.0;
45;4;29.0;28.0871810913;7;54.4249286652;3;23.8999996185;22.0;9;44.0;
46;4;31.4831676483;31.0871810913;6;54.5410293341;3;23.8999996185;24.0;10;44.0;
47;4;33.8627662659;33.0609512329;6;54.657646656;3;23.8999996185;24.0;10;44.0;
48;4;35.8810920715;33.1882705688;7;54.7746636868;3;23.8999996185;24.0;10;44.0;
