Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
1;1;9.0;10.0;4;20.0;1;11.3999996185;16.0;4;32.0;
2;1;9.0;10.0;5;20.0;2;11.5999994278;16.0;5;33.0;
3;1;9.0;10.0;5;20.0;2;11.5999994278;16.0;5;33.0;
4;1;9.0;10.0;5;20.0;2;11.5999994278;16.0;5;33.0;
5;1;10.0;10.0;5;20.0;2;12.6999998093;16.0;5;33.0;
6;1;11.0;10.0;5;20.0;2;13.6999998093;16.0;5;33.0;
7;2;11.3000001907;10.0;3;21.3999996185;2;14.6999998093;16.0;5;33.6399993896;
8;2;11.4200000763;10.1999998093;3;21.8264003992;2;15.0920000076;16.3199996948;5;34.0;
9;2;11.5479202271;10.3632001877;2;22.1992716789;2;15.1999998093;16.5;5;35.6700015068;
10;2;11.659781456;10.4951858521;2;23.4054436684;2;17.0979995728;17.3250007629;5;36.8493397236;
11;2;12.0216331482;11.0209560394;2;24.4501843452;2;19.0979995728;17.9053878784;5;37.6520262957;
12;2;14.0216331482;11.4571752548;2;25.3486692905;2;21.0979995728;18.2973766327;5;38.0761213303;
13;2;16.0216331482;11.8107032776;3;26.1225088835;2;22.1148357391;18.5;6;38.095102787;
14;2;17.1943473816;12.0916318893;2;26.7957427502;2;23.1205310822;18.5;6;38.1142112017;
15;2;18.2645130157;12.3113050461;2;27.3919057846;2;24.1262626648;18.5;6;38.1334401369;
16;2;19.3416175842;12.4808797836;2;27.7113106251;2;25.1320323944;18.5;7;38.152782917;
17;2;20.4259662628;12.5;2;28.0173821449;3;25.4458351135;18.5;6;38.1722328663;
18;2;21.5177879333;12.5;2;28.3487696648;3;25.451669693;18.5;6;38.1917829514;
19;2;22.5046310425;12.5;3;28.7054548264;3;25.45753479;18.5;6;38.2114261389;
20;2;22.6116371155;12.5;3;29.0869145393;3;25.4634284973;18.5;7;38.2311551571;
21;2;22.7260742188;12.5;3;29.4920539856;3;25.4693470001;18.5;7;38.2509624958;
22;2;22.8476161957;12.5;3;29.9191560745;3;25.4752883911;18.5;7;38.270840764;
23;2;22.9757461548;12.5;3;30.3658571243;3;25.4812526703;18.5;7;38.2907823324;
24;2;23.1097564697;12.5;4;30.8291530609;3;25.4872360229;18.5;7;38.3107793331;
25;4;23.2487449646;12.5;3;31.3054442406;3;25.4932346344;18.5;7;38.3308240175;
26;4;23.3916339874;12.5;4;31.790620327;3;25.4992485046;18.5;7;39.3509085178;
27;4;21.5;13.5;4;32.2801818848;3;26.5052719116;18.5;7;39.4262247086;
28;4;21.5;14.5;5;32.7693967819;3;27.5113067627;18.5;7;39.504029274;
29;4;20.5;13.5;5;33.2534770966;3;27.8512096405;18.5;7;39.5843590498;
