Turn;Planet_count_KI_1_SP_FULVER;Research_KI_1_SP_FULVER;Industry_KI_1_SP_FULVER;Ships_KI_1_SP_FULVER;Population_KI_1_SP_FULVER;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;6.0;12.0;4;20.0;1;6.0;12.6999998093;4;21.0;
2;1;7.0;11.0;5;20.0;1;7.0;11.6999998093;4;21.0;
3;1;8.0;10.0;3;20.0;1;8.0;10.6999998093;4;21.0;
4;1;8.0;10.0;3;20.0;1;8.14999961853;10.5;4;21.0;
5;1;8.0;10.0;3;20.0;1;8.14999961853;10.5;4;21.0;
6;1;9.0;10.0;3;20.0;2;9.14999961853;10.6999998093;3;22.0;
7;1;9.5;10.0;3;20.0;2;9.95000076294;10.5;3;22.0900000334;
8;1;9.5;10.0;3;20.3999996185;2;9.9702501297;10.5;3;22.618019104;
9;1;9.59000015259;10.1999998093;3;20.7264003754;2;10.0890541077;10.7100000381;3;23.0738848448;
10;1;9.66343975067;10.3632001877;3;20.9903717041;2;10.1916246414;10.8792181015;3;23.442843914;
11;1;9.72283363342;10.4951858521;3;22.0419120789;2;10.2746400833;11.0;3;25.2073103189;
12;1;9.95943069458;11.0209560394;4;22.9143505096;2;10.6716451645;11.7700004578;3;26.7482377291;
13;1;11.7228336334;11.4571752548;4;23.6214065552;2;12.3826637268;12.4126424789;3;28.074546814;
14;1;12.7228336334;11.8107032776;4;24.1832637787;2;14.3826637268;12.9308347702;3;29.2133922577;
15;1;13.7228336334;12.0916318893;4;24.6226100922;2;16.3826637268;13.3366470337;4;30.2012972832;
16;1;14.7228336334;12.3113050461;4;24.9617595673;3;17.6041641235;13.6469516754;4;31.0766849518;
17;1;15.7228336334;12.4808797836;4;25.0;3;18.696352005;13.879781723;4;31.7709991932;
18;1;16.7228336334;12.5;4;25.0;3;19.7984752655;14.0;4;32.2698645592;
19;1;17.625;12.5;5;25.0;3;20.9107208252;14.0;4;32.8134241104;
20;1;17.625;12.5;6;25.0;3;21.383020401;14.0;4;33.400015831;
21;1;17.625;12.5;6;25.0;3;21.5150032043;14.0;4;34.0264167786;
22;1;17.625;12.5;6;25.0;3;21.6559429169;14.0;4;34.6877307892;
23;1;17.625;12.5;6;25.0;3;21.8047389984;14.0;3;35.3773875237;
24;1;17.625;12.5;6;25.0;3;21.9599113464;14.0;3;36.0872850418;
25;1;17.625;12.5;6;25.0;3;22.119638443;14.0;3;36.8080816269;
26;1;17.625;12.5;7;25.0;3;22.2818183899;14.0;3;37.5296325684;
27;1;17.625;12.5;7;25.0;3;22.4441661835;14.0;4;38.2415313721;
28;1;17.625;12.5;7;25.0;3;22.6043434143;14.0;4;38.9337024689;
29;1;17.625;12.5;7;25.0;3;22.7600822449;14.0;4;39.5969734192;
30;1;17.625;12.5;7;25.0;3;20.9093170166;15.0;4;40.2235612869;
31;1;17.625;12.5;7;25.0;3;20.0503005981;16.0;4;40.8074121475;
32;1;17.625;12.5;7;25.0;3;19.1816673279;17.0;4;41.344373703;
33;1;17.625;12.5;7;25.0;3;18.302482605;18.0;4;41.8321943283;
34;1;17.625;12.5;7;25.0;3;17.4122428894;19.0;4;42.2703714371;
35;1;17.625;12.5;8;25.0;3;17.2108345032;20.0;4;42.6598997116;
36;1;17.625;12.5;8;25.0;4;18.2984771729;21.5;3;44.0029563904;
37;1;17.625;12.5;8;25.0;4;19.3756656647;22.0;2;44.462572217;
38;1;17.625;12.5;8;25.0;4;19.7040786743;23.0;3;44.9060665369;
39;1;17.625;12.5;8;25.0;4;19.8038654327;24.0;4;45.3401823044;
40;2;17.625;12.5;7;25.0;4;19.9015407562;25.0;4;45.7718635798;
41;2;18.625;13.0;6;26.0;4;19.9986686707;26.0;5;46.0669906139;
42;2;17.625;13.5;5;26.0900000334;4;20.0650730133;27.0;5;46.375654459;
43;2;17.0882492065;14.5;5;26.1871190071;4;21.1345214844;25.0;6;46.7230784893;
44;2;16.1295261383;15.5;6;26.2917383909;4;20.2126922607;26.0;6;47.1118502617;
45;2;15.1739883423;16.5;7;26.4042263031;5;21.6000003815;27.0;5;48.544028759;
46;2;14.5967960358;17.5;7;26.5249304771;5;23.6000003815;29.0;6;49.180912137;
47;2;14.6480960846;18.5;8;26.6541694403;5;25.5047054291;31.0;6;49.8865338564;
48;2;14.7030220032;19.5;8;26.7922235727;5;26.622127533;33.0;7;50.6628189087;
49;2;14.7616949081;20.5;8;26.9393253326;5;27.7494564056;35.0;6;51.5103574991;
50;2;14.824213028;21.5;8;27.0956480503;5;28.8861427307;34.0;7;52.4281799793;
51;2;14.8906497955;22.5;8;27.261295557;6;30.3312683105;35.0;6;54.4135987759;
52;2;15.9610500336;21.5;9;27.4362905025;6;29.8999996185;37.0;7;55.6221464872;
53;2;17.0354232788;21.5;9;27.6205644608;6;30.8999996185;37.0;8;56.911372304;
54;3;18.1137390137;21.5;8;37.8139474392;6;31.8025493622;38.0;8;58.2764115334;
55;3;20.1959266663;22.5;8;38.4161589146;6;31.9651069641;39.0;10;59.7112423182;
56;3;22.281867981;24.5;8;39.0012028217;7;32.1266365051;39.0;9;61.2089464664;
57;3;24.3713912964;25.5;10;39.5672996044;7;32.2848129272;39.0;10;62.7619507313;
58;3;23.4642791748;27.5;10;40.1132266521;7;32.437461853;39.0;10;64.3622148037;
59;3;23.560256958;29.5;11;40.6382529736;7;32.5826644897;39.0;9;66.0013246536;
60;3;23.6590023041;30.5;11;41.1420550346;7;30.5826644897;40.0;9;67.6704874039;
61;3;23.76014328;31.5;12;41.6246304512;7;31.5826644897;39.0;9;69.360449791;
62;3;23.8632602692;32.5;11;42.0862107277;7;32.5826644897;39.0;9;71.0613894463;
63;3;24.9678993225;33.5;12;42.5271801949;7;33.0641326904;39.0;9;73.7628259659;
64;3;27.0735683441;31.5;12;42.948012352;7;34.1570701599;40.0;10;75.4936056137;
65;4;26.5122203827;32.5;10;58.3492183685;8;35.2392845154;41.0;9;77.2031850815;
66;4;27.7167892456;34.5;11;59.3772368431;8;35.3113708496;42.0;9;80.863532424;
67;4;29.8415756226;33.5;11;60.2926769257;8;33.6313095093;44.4199981689;9;84.1923955679;
68;4;29.9461555481;35.5;12;61.1229658127;8;32.2868232727;44.7314720154;10;87.2185682058;
69;4;31.0491638184;37.5;13;61.8694982529;9;30.3887176514;45.957901001;11;89.7279548645;
70;4;32.1501235962;39.5;14;62.536242485;9;31.407661438;45.0;11;91.9924460649;
71;4;33.248588562;40.5;15;63.1288862228;9;32.407661438;46.0;11;94.0677250624;
