Turn;Planet_count_KI_1_SP_FULVER;Research_KI_1_SP_FULVER;Industry_KI_1_SP_FULVER;Ships_KI_1_SP_FULVER;Population_KI_1_SP_FULVER;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;2;6.0;12.1999998093;3;21.0;1;6.0;12.6999998093;4;21.0;
2;2;7.15000009537;11.0;3;21.0599999428;1;7.0;11.6999998093;5;21.0;
3;2;8.15900039673;10.0;3;21.1229639053;1;8.0;10.6999998093;5;21.0;
4;2;8.16844463348;10.0;3;21.1889609098;1;8.14999961853;10.5;5;21.0;
5;2;8.17834377289;10.0;3;21.2580518723;1;8.14999961853;10.5;5;21.0;
6;2;9.2830619812;10.0;3;21.3302885294;1;9.14999961853;10.5;5;21.0;
7;2;9.7993144989;10.0;2;21.4057120085;1;9.72500038147;10.5;5;21.0;
8;2;9.81628513336;10.0;2;21.8984082937;1;9.72500038147;10.5;5;21.4200000763;
9;2;9.92714214325;10.1999998093;2;22.3222295046;1;9.81949996948;10.7100000381;5;21.758436203;
10;2;10.0225009918;10.3632001877;2;22.688400507;1;9.8956489563;10.8792181015;5;22.0;
11;2;10.1048898697;10.4951858521;2;23.8809107542;2;9.94999980927;11.1999998093;4;24.5400009155;
12;2;10.3732051849;11.0209560394;2;24.9034298658;2;10.5215005875;11.7700004578;5;25.9852849245;
13;2;12.1703767776;11.4571752548;3;25.7698295116;2;12.2109994888;12.4126424789;5;27.2054134607;
14;2;14.1703767776;11.8107032776;4;26.500371933;2;14.2109994888;12.9308347702;5;28.2274179459;
15;2;16.170375824;12.0916318893;5;27.1177392006;2;16.2110004425;13.3366470337;5;29.0880752802;
16;2;17.284236908;12.3113050461;5;27.6441450119;2;17.3536891937;13.6469516754;5;29.82655406;
17;2;18.3263702393;12.4808797836;5;27.878672123;2;18.4150733948;13.879781723;5;30.375654459;
18;2;19.3705348969;12.5;5;28.0836718082;2;19.4845237732;14.0;5;30.7230784893;
19;2;20.3188266754;12.5;5;28.2969486713;2;20.5626926422;14.0;5;31.1118502617;
20;2;20.3668136597;12.5;5;28.5179448128;2;21.0001659393;14.0;5;31.544028759;
21;2;20.4165382385;12.5;5;28.7459800243;2;21.0974063873;14.0;5;32.0209121704;
22;2;20.4678459167;12.5;5;28.9802544117;2;21.2047042847;14.0;5;32.5427899361;
23;2;20.5205574036;12.5;5;29.2198557854;2;21.3221263885;14.0;6;33.1086950302;
24;2;20.5744667053;12.5;6;29.4637694359;2;21.4494552612;14.0;6;33.7161855698;
25;2;20.6293487549;12.5;6;29.7108941078;2;21.5861415863;14.0;6;34.3611893654;
26;2;20.6849517822;12.5;6;29.9600582123;2;21.7312660217;14.0;6;35.0379443169;
27;2;19.625;13.5;6;30.2100424767;2;21.8835372925;14.0;7;35.7390680313;
28;2;20.625;12.5;6;30.4596014023;2;22.0412902832;14.0;7;36.4557781219;
29;3;19.625;13.5;5;30.7074890137;3;23.2025489807;14.5;6;38.1782588959;
30;3;19.625;14.5;5;30.952483654;3;22.36510849;15.0;6;39.056158185;
31;3;19.625;15.4762420654;5;31.1934113503;3;21.7876358032;16.0;6;39.9429098368;
32;3;19.625;15.5967054367;5;31.429169178;3;20.9871520996;17.0;6;40.8317251205;
33;3;19.625;15.7145843506;6;31.6587438583;3;20.1871376038;18.0;6;41.717122674;
34;3;19.625;15.829372406;6;31.8812294006;3;19.3863525391;19.0;7;42.5952756405;
35;3;19.625;15.9406147003;6;32.0958390236;3;19.2839355469;20.0;7;43.464168787;
36;3;20.625;13.9406147003;6;32.3019137383;3;19.4794387817;21.0;7;44.3235480785;
37;3;19.625;14.9406147003;6;32.4989256859;3;19.0601062775;23.0;7;45.1746716499;
38;3;19.625;15.9406147003;7;32.6864795685;3;19.1641349792;24.5559253693;7;46.0199007988;
39;3;19.625;16.3432388306;7;32.8643078804;3;20.0544776917;24.0;8;46.8621740341;
40;3;19.625;16.4321537018;7;33.0322656631;4;20.2439880371;25.0;7;47.7044358253;
41;3;18.625;15.4321537018;7;34.1903190613;4;19.4113693237;27.0;7;48.5490655899;
42;3;19.625;15.9321537018;8;34.4685381651;4;20.4740829468;27.0;8;49.3973684311;
43;4;19.625;14.4321537018;7;57.7525104284;4;19.760225296;26.0;8;50.2491784096;
44;4;22.5323429108;13.5;8;59.4239015579;4;19.9053516388;26.0;9;51.0379443169;
45;4;24.8848781586;14.5;8;60.8508236408;4;20.4740829468;26.0;9;51.7390680313;
46;4;26.9525051117;18.5;7;62.0534616709;4;22.6000003815;27.0;9;52.4557781219;
47;4;28.0226020813;22.5;6;63.0647618771;4;24.5025501251;28.0;8;53.1782588959;
48;4;29.0955657959;26.5;7;63.8875389099;4;25.6651096344;29.0;10;53.8961582184;
49;4;30.1639595032;29.5;6;64.5406992435;4;26.8266353607;30.0;10;54.5991659164;
50;4;31.2241725922;32.5;6;64.8440244198;4;27.9848117828;29.0;11;55.2776012421;
51;4;32.2899055481;32.5;8;65.1613030434;4;26.1374607086;30.0;11;55.9229507446;
52;5;33.3612937927;32.5;7;65.5039470196;4;27.2826633453;29.0;11;56.5282850266;
53;5;34.4383888245;32.5;6;65.871723175;4;26.2826633453;30.0;12;57.088514328;
54;5;34.9211387634;32.5;7;66.263862133;5;27.5826625824;29.0;11;57.6004695892;
55;5;35.0093688965;32.5;7;66.6789975166;5;28.5826625824;29.0;12;58.0628213882;
56;5;35.1027755737;32.5;8;67.1151270866;5;29.0641345978;29.0;12;58.4758720398;
57;5;35.2009048462;32.5;8;67.5695996284;5;29.1570701599;29.0;13;58.8412618637;
58;5;35.3031616211;32.5;8;69.0391392708;5;27.239282608;30.0;12;59.1616458893;
59;5;36.4088058472;33.5;9;69.5349065065;6;26.3113689423;31.0;11;59.4403705597;
60;5;37.5169792175;34.5;9;71.4376740456;6;25.3740825653;32.0;10;59.6811828613;
61;5;38.046710968;35.5;10;73.0012139082;6;24.4282665253;33.0;11;60.8879890442;
62;5;36.1569595337;37.5;10;74.2780753374;6;24.4747982025;35.0;12;61.0399999619;
63;6;35.2666549683;39.5;7;90.3256614208;6;25.2000007629;37.0;12;61.0811839104;
64;6;37.3747215271;38.5;8;91.7749530077;6;25.2000007629;39.0;13;61.1235535145;
65;6;39.480140686;39.5;8;96.2105237246;6;25.2000007629;41.0;14;61.1671074629;
66;6;40.8876724243;41.0;8;99.8375991583;6;25.2000007629;43.0;13;61.211841464;
67;6;42.2392539978;42.3899993896;13;102.777681231;6;25.2000007629;44.6059188843;13;61.2577478886;
68;6;43.379108429;43.6872596741;13;105.108488917;6;25.4829940796;45.0;15;61.7848155499;
69;6;43.7799301147;44.9097442627;14;106.554014087;6;25.3080005646;46.6524085999;16;63.5944234133;
70;6;43.9689292908;46.0;14;107.677303553;6;24.4014415741;45.6895637512;16;65.0657794476;
71;6;44.1062660217;47.0;15;108.664121985;6;26.4814510345;43.7283248901;17;66.256721735;
72;6;44.2313194275;48.0;16;109.433652401;6;25.8952560425;43.0;18;66.9806857109;
73;7;44.3233528137;49.0;15;110.068586111;5;25.5493412018;42.8106880188;19;67.5152639151;
74;7;44.406162262;50.0;16;110.445388794;5;26.3337726593;41.0;20;67.7989914417;
75;8;44.4800338745;51.0;16;110.785294652;5;25.9493408203;41.8994979858;19;67.8925571442;
76;8;44.5454101562;52.0;16;111.09080863;5;26.0499992371;42.9462776184;19;67.9892184734;
77;8;44.6028671265;53.0;16;111.364763618;5;23.0499992371;44.9946098328;20;68.0888938904;
78;8;42.6530532837;55.0;15;111.610144973;5;22.5200004578;46.0;20;68.1914815903;
79;8;41.696647644;57.0;15;112.788480878;5;22.5430831909;48.0;20;68.2968595028;
80;8;41.7249984741;60.0;16;112.866447091;5;21.0499992371;49.0;21;68.4048841;
81;8;41.7249984741;63.0;16;113.945375204;5;21.0499992371;51.0;21;68.5153913498;
82;8;41.7249984741;67.0;17;114.065207601;5;21.0499992371;53.0;21;68.6281967163;
83;8;39.9025192261;71.0;19;114.187067509;5;22.0;55.0;21;68.7430963516;
84;9;38.0187072754;78.0;19;114.310893178;5;23.0;57.0;22;68.8598673344;
85;9;37.4310913086;84.7900238037;19;114.436617017;5;24.0;59.0;22;68.978269577;
86;9;37.4436607361;90.8087615967;20;114.564166069;5;24.75;60.4891357422;25;69.0980474949;
87;9;38.4564170837;93.4336395264;22;114.693462014;5;24.75;61.5490226746;25;69.2189319134;
88;9;37.4693450928;97.4757843018;23;114.824421525;5;24.75;62.6094665527;25;69.3406419754;
89;10;37.4824409485;102.495178223;22;114.956955791;5;24.75;64.6703186035;26;69.4628880024;
90;10;39.4956970215;101.514778137;23;116.090971708;5;25.75;63.7314453125;26;69.5853741169;
91;11;38.509098053;107.534576416;23;116.293870687;5;24.75;65.7926864624;26;69.707801342;
92;11;39.5226364136;113.554550171;25;116.501885533;5;24.75;67.8538970947;26;69.8298695087;
93;12;41.6501922607;113.574707031;24;116.715028167;5;26.75;63.914932251;27;69.9512813091;
94;12;39.6715049744;118.744628906;26;116.933296084;5;24.75;65.9756393433;27;70.0717449188;
95;12;39.6933288574;123.791915894;28;117.156671405;5;24.75;68.0358734131;27;70.1909761429;
96;13;42.7156677246;119.83984375;27;117.38511765;5;26.75;64.095489502;28;70.3087015152;
97;13;39.7385101318;124.206642151;27;118.618578911;5;24.75;66.1543502808;29;70.4246616364;
98;13;40.7618598938;129.338592529;29;118.91697681;5;24.75;68.2123260498;29;70.538611412;
99;13;42.785697937;134.79637146;29;120.223173141;5;26.75;64.2693023682;29;70.6503243446;
100;13;44.9223175049;138.988098145;30;120.617108822;5;24.75;66.3251647949;29;70.7595920563;
