Turn;Planet_count_KI_1_SP_GEORGE;Research_KI_1_SP_GEORGE;Industry_KI_1_SP_GEORGE;Ships_KI_1_SP_GEORGE;Population_KI_1_SP_GEORGE;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;6.0;14.0;4;20.0;1;13.0;10.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;13.0;10.0;5;20.0;
3;1;8.0;12.0;6;20.0;1;13.0;10.0;5;20.0;
4;2;9.0;11.3000001907;5;21.0;1;14.0;10.0;5;20.0;
5;2;10.0;10.0;5;21.0599999428;1;15.0;10.0;5;20.0;
6;2;12.0;10.0;5;21.1229639053;1;16.0;10.0;5;20.3999996185;
7;2;12.7526664734;10.0;5;21.1889609098;2;17.6000003815;10.1999998093;4;21.7264003754;
8;2;12.7675161362;10.0;5;21.6699410677;2;18.0358409882;10.3632001877;4;22.9494274855;
9;2;12.8757371902;10.1999998093;5;22.0818096399;2;18.7696552277;10.9097137451;4;24.0070346594;
10;2;12.9684066772;10.3632001877;5;23.2920063734;2;20.7696552277;11.3658018112;4;24.9122858047;
11;2;13.2407016754;10.9097137451;5;24.3297555447;2;22.7696552277;11.7372808456;4;25.6857330799;
12;2;13.4741945267;11.3658018112;5;25.2069878578;2;24.0626564026;12.0336990356;5;26.3512378931;
13;2;16.2689552307;12.2570085526;5;25.9430538416;2;25.182882309;12.2662630081;5;26.9327886105;
14;2;18.2689552307;12.0336990356;5;26.5605664253;2;26.3158073425;12.446267128;5;27.2842636108;
15;2;19.3656806946;12.2662630081;5;27.0822491646;2;27.4622135162;12.5;5;27.5518820286;
16;2;19.9093704224;13.103181839;5;27.3607378006;2;28.6227855682;12.5;5;27.8440244198;
17;2;21.440536499;12.5;5;27.5410807133;2;29.7980709076;12.5;5;28.1613030434;
18;2;21.9093704224;13.2623243332;6;27.7306177616;2;30.8967819214;12.5;5;28.5039470196;
19;2;23.2393894196;12.5;6;27.9291167259;2;31.1023674011;12.5;6;28.871723175;
20;2;23.2840499878;12.5;6;28.136231184;2;31.3230342865;12.5;6;29.263862133;
21;2;23.3306522369;12.5;6;28.3514947891;2;31.5583171844;12.5;6;29.6789975166;
22;2;23.3790855408;12.5;6;28.5743191242;2;31.8073997498;12.5;6;30.1151270866;
23;2;23.4292221069;12.5;6;28.8039934635;3;32.0690765381;12.5;5;30.5695996284;
24;3;23.4808979034;12.5;5;29.039689064;3;32.341758728;12.5;5;31.0391392708;
25;3;23.5339298248;12.5;7;29.2804670334;3;32.6234817505;12.5;5;31.5199065208;
26;4;21.588104248;13.5;6;29.5252895355;3;32.911945343;12.5;5;32.007601738;
27;4;20.6431903839;14.5;6;29.7730360031;3;33.2045593262;12.5;5;32.4976010323;
28;4;19.6989326477;15.5;6;30.022521019;3;33.4985618591;12.5;5;32.9851250648;
29;4;18.7550678253;16.5;6;30.2725157738;3;33.7910766602;12.5;5;33.465420723;
30;4;18.1863155365;17.5;6;30.5217733383;3;34.0792541504;12.5;6;33.9339466095;
31;4;18.2423992157;18.5;7;31.769051075;3;34.3603668213;14.5;6;34.3865451813;
32;4;19.2980365753;19.5;7;32.1031368971;3;34.6319274902;16.5;7;34.8195896149;
33;4;20.3529548645;20.5;8;32.4399914742;3;34.8917541504;18.5;7;35.2300891876;
34;4;20.673997879;21.5;8;32.7789138556;3;35.138053894;20.5;7;35.6157541275;
35;4;20.7502555847;22.5;8;33.1192846298;3;35.3694534302;22.5;7;35.9750175476;
36;4;20.826839447;23.5;8;33.4605746269;3;35.5850105286;22.5;8;36.307009697;
37;5;20.903629303;24.5;7;38.8023465872;3;35.7842063904;22.5;8;37.6115064621;
38;5;20.3721885681;26.5;7;40.2942539454;3;36.9669036865;23.5;9;37.8888463974;
39;5;22.0;30.2000007629;7;40.822810173;3;38.1333084106;24.5;9;38.1398382187;
40;5;24.0;32.5855293274;7;41.3486430645;3;38.8839035034;25.5;10;38.3656587601;
41;5;23.0;35.7237815857;7;41.8712949753;3;39.0193939209;26.5;10;38.5677556992;
42;5;23.0;38.8693962097;8;42.3903843164;3;39.1406555176;27.5;11;38.747756958;
43;5;26.2625999451;39.8693962097;8;42.9055899382;4;39.2486572266;27.5;10;38.9073896408;
44;5;27.3430957794;42.8693962097;8;43.4166245461;4;39.3444366455;27.5;10;39.0;
45;5;29.0742511749;43.8693962097;12;43.9232187271;4;39.4000015259;27.5;10;39.0;
