Turn;Planet_count_KI_1_SP_GEORGE;Research_KI_1_SP_GEORGE;Industry_KI_1_SP_GEORGE;Ships_KI_1_SP_GEORGE;Population_KI_1_SP_GEORGE;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;6.0;14.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;7.0;11.0;5;20.0;
3;1;8.0;12.0;6;20.0;1;8.0;10.0;5;20.0;
4;1;8.0;11.0;6;20.0;1;8.0;10.0;5;20.0;
5;1;8.0;10.0;6;20.0;1;8.0;10.0;5;20.0;
6;1;9.0;10.0;6;20.0;1;9.0;10.0;5;20.0;
7;1;9.5;10.0;6;20.0;1;9.5;10.0;5;20.0;
8;1;9.5;10.0;6;20.3999996185;1;9.5;10.0;5;20.3999996185;
9;2;9.59000015259;10.5;5;21.7264003754;1;9.59000015259;10.1999998093;5;20.7264003754;
10;2;9.88844013214;10.3632001877;5;21.9903717041;1;9.66343975067;10.3632001877;5;20.9903717041;
11;2;9.94783401489;10.4951858521;5;23.0819120407;1;9.72283363342;10.4951858521;5;22.0419120789;
12;2;10.1934309006;11.0209560394;5;23.99553442;1;9.95943069458;11.0209560394;6;22.9143505096;
13;2;11.9660997391;11.4571752548;5;24.7449600697;1;11.7228336334;11.4571752548;6;23.6214065552;
14;2;13.9660997391;11.8107032776;5;25.3503712416;1;12.7228336334;11.8107032776;5;24.1832637787;
15;2;15.9660997391;12.0916318893;5;25.8344515562;1;13.7228336334;12.0916318893;5;24.6226100922;
16;2;16.9954986572;12.3113050461;5;26.2195074558;1;14.7228336334;12.3113050461;4;24.9617595673;
17;2;18.0058269501;12.4808797836;5;26.3048160076;1;15.7228336334;12.4808797836;4;25.0;
18;2;19.0164165497;12.5;6;26.3530313969;1;16.7228336334;12.5;4;25.0;
19;2;19.9294319153;12.5;6;26.4023760557;1;17.625;12.5;5;25.0;
