Turn;Planet_count_KI_1_SP_GEORGE;Research_KI_1_SP_GEORGE;Industry_KI_1_SP_GEORGE;Ships_KI_1_SP_GEORGE;Population_KI_1_SP_GEORGE;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;6.0;14.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;12.0;5;20.0;1;8.0;12.0;6;20.0;
4;2;8.0;11.3000001907;4;21.0;1;8.0;11.0;6;20.0;
5;2;8.14999961853;10.0;3;21.0599999428;1;8.0;10.0;6;20.0;
6;2;9.23849964142;10.0;3;21.1229639053;1;9.0;10.0;6;20.0;
7;2;9.75266647339;10.0;3;21.1889609098;1;9.5;10.0;6;20.0;
8;2;9.76751613617;10.0;3;21.6699410677;1;9.5;10.0;6;20.3999996185;
9;2;9.87573719025;10.1999998093;3;22.0818096399;1;9.59000015259;10.1999998093;6;20.7264003754;
10;2;9.96840667725;10.3632001877;3;22.4358423948;1;9.66343975067;10.3632001877;6;20.9903717041;
11;2;10.0480642319;10.4951858521;3;23.611035943;2;9.72283363342;10.7951860428;5;23.0419120789;
12;2;10.3124837875;11.0209560394;3;24.615765214;2;10.184431076;11.0209560394;5;23.9543504715;
13;2;12.1056518555;11.4571752548;3;25.4640146494;2;11.9568338394;11.4571752548;5;24.7025904655;
14;2;14.1056518555;11.8107032776;3;26.1761806011;2;13.9568338394;11.8107032776;5;25.3068172932;
15;2;16.1056518555;12.0916318893;3;26.7751014233;2;15.9568338394;12.0916318893;5;25.789717555;
16;2;17.2071437836;12.3113050461;3;27.2831678391;2;16.9854335785;12.3113050461;4;26.1736010313;
17;2;18.2451515198;12.4808797836;3;27.4996597767;2;17.9954986572;12.4808797836;4;26.2577478886;
18;2;19.2852573395;12.5;3;27.687142849;2;19.0058269501;12.5;4;26.3048160076;
19;2;20.2296066284;12.5;3;27.883649826;2;19.9185829163;12.5;4;26.3530313969;
20;2;20.2738208771;12.5;3;28.0888605118;2;19.9294319153;12.5;4;26.4023760557;
21;2;20.3199939728;12.5;3;28.3023359776;2;19.9405345917;12.5;4;26.4528282881;
22;2;20.368024826;12.5;3;28.5235154629;2;19.9518871307;12.5;4;26.5043625832;
23;2;19.625;13.5;3;28.7517154217;2;19.9634819031;12.5;4;26.5569496155;
24;2;20.4691352844;12.5;4;28.986133337;2;19.9753131866;12.5;10;26.6105561256;
25;2;20.5218811035;12.5;4;29.22585392;3;19.9873752594;12.5;5;37.2797299623;
26;3;20.5758171082;12.5;3;29.4698610306;3;20.9996566772;13.5;3;37.8538262844;
27;3;20.6307182312;12.5;3;29.7170505524;3;22.0121517181;14.5;3;38.3964207172;
28;3;19.625;13.5;3;29.9662499428;3;22.024848938;15.5;3;38.9046036005;
29;3;18.625;13.5;3;30.2162384987;3;22.0377349854;16.5;3;39.3766545057;
30;3;17.7986526489;14.5;3;30.4657707214;3;22.0508003235;17.5;4;39.811960578;
31;3;16.8547973633;15.5;3;30.7136011124;5;21.625;19.5;3;40.2108812332;
