Turn;Planet_count_KI_1_SP_GEORGE;Research_KI_1_SP_GEORGE;Industry_KI_1_SP_GEORGE;Ships_KI_1_SP_GEORGE;Population_KI_1_SP_GEORGE;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;6.0;14.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;12.0;6;20.0;1;8.0;12.0;6;20.0;
4;1;8.0;11.0;6;20.0;2;9.0;11.3000001907;5;21.0;
5;1;8.0;10.0;6;20.0;2;10.0;10.0;5;21.0900000334;
6;1;9.0;10.0;6;20.0;2;12.0;10.0;4;21.1871190071;
7;1;9.5;10.0;6;20.0;2;12.7671012878;10.0;4;21.2917383909;
8;1;9.5;10.0;6;20.3999996185;2;12.790640831;10.0;4;21.817143321;
9;2;9.59000015259;10.5;5;21.7264003754;2;12.9088573456;10.1999998093;4;22.2793469429;
10;2;9.88844013214;10.3632001877;5;21.9903717041;2;13.0128526688;10.3632001877;4;23.5656701326;
11;2;9.94783401489;10.4951858521;5;23.0719120502;2;13.3022756577;10.9097137451;4;24.691826582;
12;2;10.1911802292;11.0209560394;5;23.9749414921;2;13.5556602478;11.3658018112;4;25.6707911491;
13;2;11.9614667892;11.4571752548;5;24.7131726742;2;16.3504219055;11.7372808456;4;26.5228655338;
14;2;13.9614667892;11.8107032776;5;25.3067810535;2;17.9093704224;12.7703390121;4;27.2714657784;
15;2;15.9614667892;12.0916318893;5;25.7784451246;2;19.5256328583;12.2662630081;4;27.9399077892;
16;2;16.9828968048;12.3113050461;5;26.1504684687;2;19.9093704224;13.3604793549;4;28.3811409473;
17;2;17.7228336334;12.8374919891;5;26.2221269608;2;20.9093704224;13.514342308;4;28.7401795387;
18;2;18.9978122711;12.5;5;26.2560760975;2;21.9093704224;13.6220541;4;29.1239151955;
19;2;19.625;12.8768224716;5;26.2905418873;2;22.625;14.1495656967;4;29.5311965942;
20;2;19.625;13.0162162781;6;26.3255085945;2;23.625;12.5;6;29.960246563;
21;2;19.9232387543;12.5;7;26.3609591722;2;22.625;13.5;6;30.4086403847;
22;2;19.625;13.0443840027;7;26.3968753815;2;23.625;12.5;6;30.873316288;
23;2;19.625;13.0587501526;7;26.4332377911;2;23.9464950562;12.5;6;31.3506221771;
24;2;19.947479248;12.5;7;26.4700255394;2;24.0538902283;12.5;7;31.8364052773;
25;2;19.625;13.0880098343;9;26.5072168112;2;24.1631908417;12.5;8;32.3261375427;
26;2;17.9641227722;13.5;9;26.5447884798;2;20.625;14.5;8;32.815073967;
27;2;16.9725780487;14.5;9;26.5827163458;2;19.625;16.5;8;33.2984304428;
28;2;15.9811115265;15.5;9;26.6209751368;2;18.625;18.5;8;33.7715711594;
29;2;14.9897193909;16.5;9;26.6595385075;2;17.625;20.5;9;34.2301864624;
30;2;14.3733959198;17.5;11;26.6983793974;2;17.0;22.5;10;34.6704492569;
31;2;14.3821353912;18.5;11;26.7374696732;2;17.0;24.5;10;35.0891361237;
32;2;14.3909301758;19.5;11;26.7767804861;2;17.0;26.5;11;35.4837083817;
