Turn;Planet_count_KI_1_SP_GEORGE;Research_KI_1_SP_GEORGE;Industry_KI_1_SP_GEORGE;Ships_KI_1_SP_GEORGE;Population_KI_1_SP_GEORGE;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;6.0;14.0;4;20.0;1;6.0;12.6999998093;4;21.0;
2;1;7.0;13.0;6;20.0;1;7.0;11.6999998093;5;21.0;
3;1;8.0;12.0;6;20.0;1;8.0;10.6999998093;5;21.0;
4;1;8.0;11.0;6;20.0;1;8.14999961853;10.5;5;21.0;
5;1;8.0;10.0;6;20.0;1;8.14999961853;10.5;5;21.0;
6;1;9.0;10.0;6;20.0;1;9.14999961853;10.5;5;21.0;
7;1;9.5;10.0;5;20.0;1;9.72500038147;10.5;5;21.0;
8;1;9.5;10.0;5;20.3999996185;1;9.72500038147;10.5;5;21.4200000763;
9;1;9.59000015259;10.1999998093;5;20.7264003754;1;9.81949996948;10.7100000381;5;21.758436203;
10;1;9.66343975067;10.3632001877;4;20.9903717041;1;9.8956489563;10.8792181015;5;22.0;
11;1;9.72283363342;10.4951858521;4;22.0419120789;1;9.94999980927;11.0;5;23.5400009155;
12;1;9.95943069458;11.0209560394;4;22.9143505096;1;10.296500206;11.7700004578;6;24.8252849579;
13;2;11.7228336334;11.7571754456;3;24.6214065552;1;11.9499998093;12.4126424789;6;25.8616695404;
14;2;13.7228336334;11.8107032776;3;25.2232637405;2;13.9499998093;13.1308345795;5;27.6732940674;
15;2;15.7228336334;12.0916318893;3;25.7037940025;2;15.9499998093;13.3366470337;5;28.4539033175;
16;2;16.9661006927;12.3113050461;3;26.0853130817;2;17.2110004425;13.6469516754;5;29.1033073664;
17;2;17.9756336212;12.4808797836;3;26.1671074629;2;18.2523422241;13.879781723;5;29.5541238785;
18;2;18.9854335785;12.5;4;26.211841464;2;19.2996788025;14.0;4;29.7941719294;
19;2;19.625;12.8635520935;4;26.2577478886;2;20.3536891937;14.0;4;30.0669906139;
20;2;19.9079933167;12.5;5;26.3048160076;2;20.7650718689;14.0;4;30.375654459;
21;2;19.9185829163;12.5;5;26.3530313969;2;20.8345222473;14.0;4;30.7230784893;
22;2;19.9294319153;12.5;6;26.4023760557;2;20.2999992371;14.8169231415;4;31.1118502617;
23;3;19.625;13.0609502792;5;26.4528282881;2;20.2999992371;14.9335546494;4;31.544028759;
24;3;19.9518871307;12.5;5;26.5043625832;2;20.2999992371;14.0;4;32.0209121704;
25;3;19.9634819031;12.5;5;26.5569496155;2;20.2999992371;14.0;6;32.5427899361;
26;3;19.625;13.1227798462;5;26.6105561256;2;20.2999992371;14.0;6;33.1086950302;
27;3;19.9873752594;12.5;6;26.6651450396;2;20.2999992371;14.0;6;33.7161855698;
28;3;19.9996566772;12.5;6;26.72067523;2;20.2999992371;14.0;6;34.3611893654;
29;3;20.0121517181;12.5;6;26.7771017551;2;20.2999992371;14.0;6;35.0379443169;
30;3;18.024848938;13.5;6;26.8343759775;2;18.2999992371;15.0;6;35.7390680313;
31;3;17.0377349854;14.5;6;26.8924454451;2;17.2999992371;16.0;6;36.4557781219;
32;3;16.0508003235;15.5;6;26.9512542486;2;16.2999992371;17.0;6;37.1782588959;
33;3;15.064031601;16.5;5;28.0107431412;2;15.2999992371;18.0;6;37.8961582184;
34;3;15.4524173737;18.2000007629;5;28.0908493996;2;14.2999992371;19.0;6;38.5991659164;
35;3;16.0;19.5;5;28.171703577;2;14.0;20.0;6;39.2776012421;
36;3;16.4795894623;20.22813797;5;28.2532316446;2;14.0;21.0;7;39.9229507446;
37;3;16.2386322021;21.5;5;28.3353561163;2;14.0;22.0;7;40.5282850266;
38;3;16.5071964264;22.2568054199;5;28.4179975986;2;14.0;23.0;7;41.088514328;
39;3;16.5211219788;23.2713279724;6;28.5010746717;2;14.0;24.0;9;41.6004695892;
40;3;16.2526321411;24.5;6;28.5845036507;2;14.0;25.0;7;42.0628213882;
41;3;16.5491390228;25.3007221222;6;28.6682002544;2;14.0;26.0;8;42.4758720398;
42;3;16.2621517181;26.5;6;28.7520787716;2;14.0;27.0;8;42.8412618637;
43;3;16.577255249;27.3305492401;7;28.8360530138;2;15.0;25.0;8;43.1616458893;
44;3;16.5913085938;28.3456115723;8;28.9200364351;2;14.0;26.0;10;43.4403705597;
45;4;16.6053333282;29.3607654572;7;29.0039432049;2;14.0;27.0;11;43.6811828613;
46;4;16.6193141937;30.3760032654;9;29.08768785;2;15.0;25.0;11;43.8879890442;
47;4;17.0;29.3913211823;9;29.1711857319;2;14.0;26.0;12;44.0;
48;4;16.9385166168;28.5;10;29.2543538809;2;14.0;27.0;13;44.0;
49;4;16.6608181;30.4221668243;11;29.337110877;2;15.0;25.0;13;44.0;
50;4;17.301399231;30.4221687317;11;29.4193776846;2;14.0;26.0;13;44.0;
51;4;18.3064041138;31.4221687317;10;30.501077652;2;15.0;25.0;13;44.0;
52;4;21.0127429962;33.4221687317;11;30.6121367216;2;16.0;25.0;13;44.0;
53;5;23.0309810638;35.4221687317;10;45.7230750322;2;17.0;25.0;15;44.0;
54;5;24.7275619507;38.4221687317;10;46.5838177204;2;18.0;25.0;15;44.0;
55;5;25.625;40.5159301758;10;47.3636671305;2;19.0;25.0;16;44.0;
56;5;27.378068924;40.5316619873;11;48.0617198944;2;20.0;24.0;16;44.0;
57;5;28.6505794525;40.5474090576;12;48.680431962;2;20.2999992371;24.0;17;44.0;
58;7;28.9667282104;41.3320960999;10;49.2247512341;2;20.2999992371;24.0;17;44.0;
59;7;29.625;40.5;10;49.701245904;2;20.2999992371;24.0;18;44.0;
60;7;30.9768486023;40.8728637695;10;50.1173142195;2;20.2999992371;24.0;18;44.0;
61;7;32.0261459351;39.8969917297;11;50.4805523157;3;21.2999992371;25.0;18;45.0;
62;7;31.9500179291;38.9936141968;12;50.7045818567;3;22.2999992371;26.0;18;45.1599999666;
63;7;31.3250007629;41.9462814331;12;50.8106228113;3;22.2999992371;27.0;18;45.3437439203;
64;7;32.543094635;38.9714279175;13;50.9158645868;3;22.2999992371;28.0;19;45.5541238785;
65;7;32.0244979858;38.9936141968;13;51.0202616453;3;22.2999992371;29.0;19;45.7941719294;
66;7;31.7070121765;40.9936141968;13;51.1237715483;3;22.2999992371;29.0;20;46.0669906139;
67;7;31.7119865417;41.2826843262;15;51.226354003;3;22.2999992371;29.0;20;46.375654459;
68;7;31.3250007629;42.3390808105;15;51.3279716969;3;22.2999992371;29.0;20;46.7230784893;
69;8;32.5769233704;39.4924354553;12;66.4066466093;3;22.2999992371;29.0;22;47.1118502617;
70;8;33.6267776489;39.5;14;67.2168939114;3;22.2999992371;29.0;22;47.544028759;
71;8;34.5983963013;40.5;15;67.9466645718;3;22.2999992371;29.0;22;48.0209121704;
72;8;35.636505127;41.5;12;70.6304600239;3;22.2999992371;29.0;19;48.5427899361;
73;7;35.7210006714;45.2281188965;10;72.8914746046;4;22.2999992371;29.0;16;49.1086950302;
74;7;36.2384719849;45.2679748535;11;74.7732880116;4;22.2999992371;29.0;16;49.7161855698;
75;7;36.9812011719;46.9956665039;11;76.3270173073;4;22.2999992371;29.0;17;50.3611893654;
76;8;37.5075912476;46.0366287231;10;77.4418189526;4;22.2999992371;29.0;17;51.0379443169;
77;8;37.1623382568;48.078086853;10;78.0444375277;4;22.2999992371;29.0;18;51.7390680313;
78;8;36.3106765747;49.4885482788;10;78.569709301;4;22.2999992371;29.0;19;52.4557781219;
79;8;32.5052185059;52.5451660156;11;80.028619051;4;22.2999992371;29.0;19;53.6582584381;
80;8;32.5868759155;56.6020011902;11;80.3906821012;4;22.2999992371;29.0;20;55.8150196075;
81;8;32.5999984741;60.6479568481;11;80.734390974;4;22.4890003204;29.4200000763;19;57.6926994324;
82;8;32.0499992371;60.8687400818;13;81.1017465591;4;22.6291618347;29.7314720154;20;59.3279275894;
83;9;32.0499992371;62.9797744751;12;81.4956065416;4;22.7310562134;29.9579029083;21;60.5130004883;
84;9;33.0499992371;64.0233764648;13;81.9189243317;4;22.75;30.0;21;61.5060148239;
85;9;32.5999984741;62.3323936462;11;82.3746516705;4;22.75;30.0;22;62.2480335236;
86;9;31.5999984741;62.3323936462;11;82.8656077385;4;22.75;30.0;23;62.9250955582;
87;9;31.2999992371;62.3323936462;10;83.3943147659;4;22.75;30.0;24;63.5332784653;
88;9;30.2999992371;65.3323974609;11;83.9627962112;4;22.75;30.0;25;64.0717735291;
89;9;30.2999992371;68.3323974609;9;84.5723462105;4;22.75;30.0;25;64.5423908234;
90;9;30.2999992371;70.7409057617;9;85.2232792377;4;20.75;31.0;25;64.9489383698;
91;9;30.2999992371;72.7899169922;9;85.9146826267;4;19.75;32.0;26;65.2965717316;
92;8;30.2999992371;74.8366470337;10;86.6441931725;5;18.75;33.0;24;65.5912055969;
93;8;30.2999992371;76.8811416626;11;87.3561429977;5;17.75;34.0;24;65.8390293121;
94;9;30.2999992371;78.887260437;10;88.0908784866;5;16.75;35.0;25;66.0;
95;9;30.2999992371;80.887260437;11;88.8497843742;5;16.0;36.0;26;66.0;
96;9;30.2999992371;82.887260437;11;89.6240885258;5;16.0;37.0;26;66.0;
97;9;30.2999992371;84.887260437;12;90.4039652348;5;16.0;38.0;26;66.0;
98;9;30.2999992371;86.887260437;12;91.1790223122;5;16.0;39.0;27;66.0;
99;9;30.2999992371;88.887260437;13;91.9388785362;5;16.0;40.0;27;66.0;
100;9;30.2999992371;90.8872528076;12;93.6737515926;5;16.0;41.0;26;66.0;
