Turn;Planet_count_KI_1_SP_GEORGE;Research_KI_1_SP_GEORGE;Industry_KI_1_SP_GEORGE;Ships_KI_1_SP_GEORGE;Population_KI_1_SP_GEORGE;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;6.0;14.0;4;20.0;2;6.0;12.8999996185;3;22.0;
2;1;7.0;13.0;6;20.0;2;7.15000009537;11.6999998093;3;22.0900000334;
3;1;8.0;12.0;6;20.0;2;8.16349983215;10.6999998093;3;22.1871190071;
4;1;8.0;11.0;6;20.0;2;8.32806777954;10.5;3;22.2917383909;
5;1;8.0;10.0;6;20.0;2;8.34376049042;10.5;3;22.4042263031;
6;1;9.0;10.0;6;20.0;2;9.46595096588;10.5;3;22.5249304771;
7;1;9.5;10.0;6;20.0;2;10.0681095123;10.5;3;22.6541694403;
8;1;9.5;10.0;6;20.3999996185;2;10.0971889496;10.5;3;23.2287653685;
9;2;9.59000015259;10.5;5;21.7264003754;2;10.2264719009;10.7100000381;3;23.7334493399;
10;2;9.88844013214;10.3632001877;5;22.1203716993;2;10.3400268555;10.8792181015;2;24.1532578468;
11;2;9.97708320618;10.4951858521;5;23.3625431061;2;10.4344825745;11.0;2;26.0129473209;
12;2;10.2565727234;11.0209560394;5;24.4552544355;2;10.8529129028;11.7700004578;2;27.6574776173;
13;2;12.0695371628;11.4571752548;5;25.4159293175;2;12.5872430801;12.4126424789;2;29.0951218605;
14;2;14.0695371628;11.8107032776;5;26.2685976028;2;14.5872430801;12.9308347702;2;30.3518810272;
15;2;16.0695381165;12.0916318893;5;27.0398178101;2;16.5872421265;13.3366470337;2;31.4625301361;
16;2;17.2667045593;12.3113050461;5;27.7556357384;3;17.8879413605;13.6469516754;2;32.4630823135;
17;2;18.3514556885;12.4808797836;5;28.218716383;3;19.0082912445;13.879781723;2;33.2818861008;
18;2;19.4470443726;12.5;6;28.6944839954;3;20.138425827;14.0;2;33.9008235931;
19;2;20.4562587738;12.5;6;29.2229990959;3;21.2776870728;14.0;2;34.5557665825;
20;2;20.5751743317;12.5;6;29.8048019409;3;21.7750473022;14.0;2;35.2404661179;
21;2;20.7060813904;12.5;6;30.4388051033;3;21.9291038513;14.0;2;35.9471020699;
22;2;20.8487319946;12.5;6;31.121984005;3;22.0880966187;14.0;2;36.6665449142;
