Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;6.0;14.0;4;20.0;1;13.0;10.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;13.0;10.0;5;20.0;
3;1;8.0;12.0;5;20.0;1;13.0;10.0;5;20.0;
4;1;9.0;11.0;5;20.0;1;14.0;10.0;5;20.0;
5;1;10.0;10.0;5;20.0;1;15.0;10.0;5;20.0;
6;1;11.0;10.0;5;20.0;2;16.6000003815;10.0;4;21.3999996185;
7;2;12.0;10.3000001907;4;21.0;2;17.6000003815;10.1999998093;4;21.7264003754;
8;2;13.4499998093;10.0;4;21.3999996185;2;18.0358409882;10.3632001877;4;22.8494274616;
9;2;14.4499998093;10.1999998093;4;21.7264003754;2;18.7096557617;10.9097137451;4;23.7921946049;
10;2;14.7768793106;10.3632001877;4;22.8594274521;2;20.7096557617;11.3658018112;4;24.5663278103;
11;2;15.2867431641;10.9097137451;4;23.8127875328;2;22.7096557617;11.7372808456;4;25.1909153461;
12;2;15.7157554626;11.3658018112;4;24.5981152058;2;23.7657661438;12.0336990356;5;25.6883610487;
13;2;18.3052749634;11.7372808456;4;25.2345055342;2;24.78515625;12.2662630081;5;26.0812431574;
14;2;20.3052749634;12.0336990356;4;25.7443674803;2;25.8048820496;12.446267128;5;26.2221269608;
15;2;21.3640708923;12.2662630081;4;26.1502821445;2;26.8249320984;12.5;5;26.2560760975;
16;2;22.3847293854;12.446267128;4;26.3048160076;2;27.8453006744;12.5;5;26.2905418873;
17;2;23.4059104919;12.5;3;26.3530313969;2;28.8659801483;12.5;5;26.3255085945;
18;2;24.4276065826;12.5;4;26.4023760557;2;29.7953052521;12.5;5;26.3609591722;
19;2;25.4498119354;12.5;4;26.4528282881;2;29.816576004;12.5;6;26.3968753815;
20;2;25.9037723541;12.5;4;26.5043625832;2;29.8381252289;12.5;6;26.4332377911;
21;2;25.9269638062;12.5;4;26.5569496155;2;29.8599433899;12.5;6;26.4700255394;
22;2;25.9506263733;12.5;5;26.6105561256;2;29.8820152283;12.5;6;26.5072168112;
23;2;25.9747505188;12.5;6;26.6651450396;2;29.9043292999;12.5;6;26.5447884798;
24;2;25.9993152618;12.5;7;26.72067523;2;29.9268722534;12.5;6;26.5827163458;
25;2;24.0243034363;13.5;7;26.7771017551;2;29.9496307373;12.5;6;26.6209751368;
26;2;24.25;13.5;7;26.8343759775;2;29.9725856781;12.5;6;26.6595385075;
27;2;23.0754699707;13.5;7;26.8924454451;2;29.9957237244;12.5;6;26.6983793974;
28;2;23.25;13.5;7;26.9512542486;2;30.01902771;12.5;6;26.7374696732;
29;2;24.25;13.8658781052;7;27.0107431412;2;30.0424823761;12.5;6;26.7767804861;
30;2;23.1548347473;13.5;7;27.0708494186;2;29.0;13.3883905411;7;26.8162822723;
31;2;23.25;13.5;7;27.1315076351;2;29.0;13.4081411362;7;26.8559447527;
32;2;24.25;13.9920558929;7;27.1926498413;2;30.0;15.4081411362;7;26.8957372904;
33;2;25.25;14.0348548889;5;27.2542052269;2;30.1374416351;17.4081420898;8;26.9356285334;
34;2;23.25;13.5;5;27.3161010742;2;30.1613769531;19.4081420898;8;26.9755871296;
35;2;22.25;14.5;5;27.3782629967;2;30.1853523254;21.4081420898;8;27.015581131;
36;2;21.25;15.5;7;27.4406147003;2;30.2093486786;22.5;9;27.0555787086;
37;2;22.25;14.5;7;27.5030794144;2;30.2333469391;22.5;9;27.0955479145;
38;2;23.25;14.252155304;7;27.5655794144;2;30.2573280334;22.5;10;27.135456562;
39;2;24.25;16.252155304;8;27.628036499;2;30.2812728882;22.5;10;27.17527318;
40;2;26.25;18.252155304;8;27.690372467;2;30.3051643372;22.5;12;27.2149660587;
41;2;25.25;20.252155304;8;27.7525100708;2;30.3289794922;22.5;12;27.2545039654;
42;2;26.25;21.5;8;27.8143725395;2;30.3527030945;22.5;12;27.293856144;
43;2;25.25;23.5;8;27.8758842945;2;30.3763141632;22.5;14;27.3329925537;
44;2;26.25;22.5;8;27.936971426;2;30.3997955322;22.5;14;27.3718836308;
45;2;25.25;23.5;9;27.9975619316;2;30.4231300354;22.5;15;27.4105007648;
46;2;25.25;24.5;9;28.0575861931;2;29.0;23.5;15;27.4488155842;
