Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
1;1;6.0;14.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;7.0;11.0;5;20.0;
3;1;8.0;12.0;6;20.0;1;8.0;10.0;6;20.0;
4;1;9.0;11.0;6;20.0;1;9.0;10.0;6;20.0;
5;1;10.0;10.0;6;20.0;1;9.0;10.0;6;20.0;
6;1;11.0;10.0;6;20.0;1;10.0;10.0;6;20.0;
7;1;12.0;10.0;6;20.0;1;11.0;10.0;6;20.0;
8;1;13.0;10.0;6;20.3999996185;1;11.0;10.0;6;20.3999996185;
9;1;14.0;10.1999998093;6;20.7264003754;1;11.1199998856;10.1999998093;6;20.7264003754;
10;1;14.3268795013;10.3632001877;6;21.8194274902;1;11.2179203033;10.3632001877;6;20.9903717041;
11;1;14.8187427521;10.9097137451;6;22.7316036224;1;11.2971115112;10.4951858521;6;22.0419120789;
12;1;15.2292222977;11.3658018112;6;23.4745616913;2;11.6125736237;11.2209558487;5;23.9143505096;
13;1;16.8187427521;11.7372808456;6;24.0673980713;2;13.6125736237;11.4571752548;5;24.6514065266;
14;2;18.8187427521;12.3336992264;5;25.5325260162;2;15.6125736237;11.8107032776;5;25.2438547611;
15;2;20.8187427521;12.2662630081;5;25.9425342083;2;16.5731563568;12.0916318893;5;25.7143762112;
16;2;22.2912425995;12.446267128;5;26.1019749641;2;16.7143135071;12.3113050461;5;26.0852768421;
17;2;23.3146324158;12.5;5;26.1559499502;2;16.8255825043;12.4808797836;5;26.1558350325;
18;2;24.3389205933;12.5;6;26.2119446993;2;16.8467502594;12.5;5;26.1887089014;
