Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;6.0;14.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;7.0;11.0;5;20.0;
3;1;8.0;12.0;6;20.0;1;8.0;10.0;5;20.0;
4;1;9.0;11.0;6;20.0;1;8.0;10.0;5;20.0;
5;1;10.0;10.0;6;20.0;1;8.0;10.0;4;20.0;
6;1;11.0;10.0;6;20.0;1;9.0;10.0;4;20.0;
7;1;12.0;10.0;6;20.0;2;9.5;10.1999998093;3;21.0;
8;1;13.0;10.0;6;20.3999996185;2;9.72500038147;10.0;3;21.469999671;
9;2;14.0;10.5;5;21.7264003754;2;9.83075046539;10.1999998093;3;21.8705514669;
10;2;14.7768793106;10.3632001877;5;22.8394274712;2;9.92087364197;10.3632001877;3;22.2129640579;
11;2;15.2777423859;10.9097137451;5;23.7717995644;2;9.99791717529;10.4951858521;3;23.3718163967;
12;2;15.6973104477;11.3658018112;5;24.5351434946;2;10.2586593628;11.0209560394;4;24.3595588207;
13;2;18.2868309021;11.7372808456;5;25.1485489607;2;12.0480051041;11.4571752548;4;25.1902494431;
14;2;20.2868309021;12.0336990356;5;25.6344225407;2;14.0480051041;11.8107032776;4;25.884378314;
15;2;21.3145961761;12.2662630081;5;26.0153459311;2;16.0480060577;12.0916318893;4;26.4648982286;
16;2;22.3240089417;12.446267128;5;26.1438889503;2;17.137348175;12.3113050461;4;26.9543362856;
17;2;23.3334922791;12.5;5;26.1651208401;2;18.171163559;12.4808797836;4;27.1521308422;
18;2;24.3430480957;12.5;6;26.1864993572;2;19.2070636749;12.5;4;27.3210272789;
