Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;6.0;14.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;12.0;6;20.0;1;8.0;12.0;6;20.0;
4;1;9.0;11.0;6;20.0;1;8.0;11.0;6;20.0;
5;1;10.0;10.0;6;20.0;1;8.0;10.0;5;20.0;
6;1;11.0;10.0;6;20.0;1;9.0;10.0;5;20.0;
7;1;12.0;10.0;5;20.0;1;9.5;10.0;4;20.0;
8;1;13.0;10.0;5;20.3999996185;1;9.5;10.0;4;20.3999996185;
9;1;14.0;10.1999998093;5;20.7264003754;1;9.59000015259;10.1999998093;3;20.7264003754;
10;2;14.3268795013;10.6632003784;4;22.8194274902;1;9.66343975067;10.3632001877;3;20.9903717041;
11;2;15.2687425613;10.9097137451;4;23.7716035843;1;9.72283363342;10.4951858521;3;22.0419120789;
12;2;15.6972227097;11.3658018112;4;24.5557456017;2;9.95943069458;11.3209562302;2;23.9143505096;
13;2;18.2867431641;11.7372808456;4;25.1909515858;2;11.9478340149;11.4571752548;2;24.6714065075;
14;2;20.2867431641;12.0336990356;4;25.6996334791;2;13.9478340149;11.8107032776;2;25.2852387428;
15;2;21.3439407349;12.2662630081;4;26.10437572;2;15.9478340149;12.0916318893;2;25.7785600424;
16;2;22.3640708923;12.446267128;4;26.2577478886;2;16.9829216003;12.3113050461;2;26.1737042665;
17;2;23.3847293854;12.5;4;26.3048160076;2;17.9955215454;12.4808797836;2;26.269973278;
18;2;24.4059104919;12.5;5;26.3530313969;2;19.0085773468;12.5;3;26.3300433159;
19;2;25.4276065826;12.5;5;26.4023760557;2;19.9242591858;12.5;3;26.3921557665;
20;2;25.8810691833;12.5;5;26.4528282881;2;19.9382343292;12.5;5;26.4563041925;
21;3;25.9037723541;12.5;4;26.5043625832;2;19.9526691437;12.5;5;26.5224741697;
22;3;25.9269638062;12.5;4;26.5569496155;2;19.9675559998;12.5;5;26.5906432867;
23;3;25.9506263733;12.5;4;26.6105561256;3;19.9828948975;12.5;4;26.6607804298;
24;3;25.9747505188;12.5;5;26.6651450396;3;19.9986763;12.5;5;26.7328453064;
25;3;25.9993152618;12.5;5;26.72067523;3;20.0148906708;12.5;5;26.8067884445;
26;3;26.0243034363;12.5;5;26.7771017551;3;20.0315284729;12.5;5;26.8825509548;
27;3;25.25;13.5;5;26.8343759775;3;20.0485744476;12.5;5;26.9600640535;
28;3;26.0754699707;12.5;5;26.8924454451;3;20.0660133362;12.5;5;27.0392494202;
29;3;25.25;13.5;5;26.9512542486;3;18.0838317871;13.5;5;27.120018959;
30;3;24.1280651093;13.5;5;28.0107431412;3;17.1020050049;14.5;4;27.2022752762;
31;3;24.1548347473;14.5;5;28.1108493805;3;16.1205120087;15.5;4;27.2859115601;
