Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;6.0;14.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;12.0;6;20.0;1;8.0;12.0;6;20.0;
4;1;9.0;11.0;6;20.0;1;8.0;11.0;6;20.0;
5;1;10.0;10.0;6;20.0;1;8.0;10.0;6;20.0;
6;1;11.0;10.0;6;20.0;1;9.0;10.0;6;20.0;
7;1;12.0;10.0;6;20.0;1;9.5;10.0;6;20.0;
8;1;13.0;10.0;6;20.3999996185;2;9.5;10.3000001907;5;21.3999996185;
9;1;14.0;10.1999998093;6;20.7264003754;2;9.81500053406;10.1999998093;5;21.8264003992;
10;1;14.3268795013;10.3632001877;6;21.8194274902;2;9.91094017029;10.3632001877;5;22.1992716789;
11;2;14.8187427521;11.2097139359;5;23.7316036224;2;9.99483585358;10.4951858521;5;23.4054436684;
12;2;15.6792221069;11.3658018112;5;24.5145616531;2;10.2662248611;11.0209560394;4;24.4501843452;
13;2;18.268743515;11.7372808456;5;25.1485819817;2;12.0683965683;11.4571752548;4;25.3486692905;
14;2;20.268743515;12.0336990356;5;25.6560795307;2;14.0683965683;11.8107032776;4;26.1225088835;
15;2;21.3243408203;12.2662630081;5;26.0596417189;2;15.7228336334;12.6734056473;4;26.7957427502;
16;2;22.3439407349;12.446267128;5;26.211841464;2;16.7228336334;12.9632444382;4;27.3919057846;
17;2;23.3640708923;12.5;5;26.2577478886;2;18.2696170807;12.4808797836;4;27.7113106251;
18;2;24.3847293854;12.5;6;26.3048160076;2;19.3328781128;12.5;5;28.0173821449;
19;2;25.4059104919;12.5;6;26.3530313969;2;20.3039112091;12.5;5;28.3487696648;
20;2;25.8588638306;12.5;6;26.4023760557;2;20.3784732819;12.5;5;28.7054548264;
21;2;25.8810691833;12.5;6;26.4528282881;3;20.4587268829;12.5;4;29.0869145393;
22;2;25.9037723541;12.5;6;26.5043625832;3;20.5445556641;12.5;3;29.4920539856;
23;3;25.9269638062;12.5;5;26.5569496155;3;20.6357116699;12.5;4;29.9191560745;
24;3;25.25;12.5;6;26.6105561256;4;20.7318096161;12.5;3;30.3658571243;
25;3;25.9747505188;12.5;6;26.6651450396;4;20.8323173523;12.5;3;30.8291530609;
26;3;25.9993152618;12.5;6;26.72067523;4;20.9365596771;12.5;3;31.3054442406;
27;3;26.0243034363;12.5;6;26.7771017551;4;21.0437240601;12.5;3;31.790620327;
28;3;25.25;13.5;6;26.8343759775;4;21.1528892517;12.5;3;32.2801818848;
29;3;26.0754699707;12.5;6;26.8924454451;4;17.625;14.5;4;33.7693967819;
30;3;24.101600647;13.5;6;27.9512542486;4;17.625;16.5;4;34.2934770584;
31;3;24.1280651093;14.5;6;28.0807431936;4;17.625;18.5;4;34.8089489937;
32;3;24.1548347473;15.5;6;29.5253227949;4;16.8682670593;20.5;4;35.3114664555;
