Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;6.0;14.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;9.0;10.0;5;20.0;
3;1;8.0;12.0;6;20.0;1;9.0;10.0;5;20.0;
4;1;9.0;11.0;6;20.0;1;9.0;10.0;5;20.0;
5;1;10.0;10.0;6;20.0;1;10.0;10.0;4;20.0;
6;1;11.0;10.0;6;20.0;1;11.0;10.0;4;20.0;
7;2;13.0;10.3000001907;5;21.0;1;11.0;10.0;4;20.3999996185;
8;2;15.0;10.0;5;21.3999996185;1;11.1199998856;10.1999998093;4;20.7264003754;
9;2;17.0;10.1999998093;4;21.7264003754;1;11.2179203033;10.3632001877;4;20.9903717041;
10;2;17.7768802643;10.3632001877;4;22.8594274521;1;11.2971115112;10.4951858521;4;22.0419120789;
11;2;18.2867431641;10.9097137451;4;23.8127875328;1;11.6125736237;11.0209560394;4;22.9143505096;
12;2;18.7157554626;11.3658018112;4;24.5981152058;1;11.8743057251;11.4571752548;4;23.6214065552;
13;2;21.3052749634;11.7372808456;4;25.2345055342;1;13.6125736237;11.8107032776;4;24.1832637787;
14;2;23.3052749634;12.0336990356;4;25.7443674803;1;14.6125736237;12.0916318893;4;24.6226100922;
15;2;24.3640708923;12.2662630081;4;26.1502821445;1;15.6125736237;12.3113050461;4;24.9617595673;
16;2;25.3847293854;12.446267128;4;26.3048160076;1;16.6125736237;12.4808797836;4;25.0;
17;2;26.4059104919;12.5;4;26.3530313969;1;17.6125736237;12.5;4;25.0;
18;2;27.4276065826;12.5;5;26.4023760557;1;18.6125736237;12.5;4;25.0;
19;2;28.4498119354;12.5;5;26.4528282881;1;19.5;12.5;3;25.0;
20;2;28.9037723541;12.5;6;26.5043625832;1;19.5;12.5;3;25.0;
21;2;28.9269638062;12.5;6;26.5569496155;1;19.5;12.5;5;25.0;
22;3;28.9506263733;12.5;5;26.6105561256;1;19.5;12.5;5;25.0;
23;3;28.9747505188;12.5;5;26.6651450396;1;19.5;12.5;6;25.0;
24;3;28.9993152618;12.5;5;26.72067523;1;19.5;12.5;6;25.0;
25;3;29.0243034363;12.5;5;26.7771017551;1;19.5;12.5;6;25.0;
26;3;29.0496959686;12.5;5;26.8343759775;1;19.5;12.5;6;25.0;
27;3;28.25;13.5;6;26.8924454451;1;19.5;12.5;6;25.0;
28;3;29.101600647;12.5;6;26.9512542486;1;19.5;12.5;6;25.0;
29;3;28.25;13.5;6;27.0107431412;1;19.5;12.5;6;25.0;
30;3;27.1548347473;13.5;6;27.0708494186;1;19.5;12.5;6;25.0;
31;3;26.1818809509;14.5;6;27.1315076351;1;19.5;12.5;6;25.0;
32;3;25.2091789246;15.5;6;27.1926498413;1;19.5;12.5;6;25.0;
33;3;24.2366924286;16.5;6;27.2542052269;1;19.5;12.5;6;25.0;
