Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;6.0;14.0;4;20.0;2;9.19999980927;10.0;3;21.0;
2;1;7.0;13.0;4;20.0;2;9.19999980927;10.0;3;21.0599999428;
3;1;8.0;12.0;4;20.0;2;9.21199989319;10.0;3;21.1229639053;
4;1;9.0;11.0;4;20.0;2;9.22459316254;10.0;2;21.1889609098;
5;1;10.0;10.0;4;20.0;2;10.3566884995;10.0;1;21.2580518723;
6;1;11.0;10.0;4;20.0;2;11.377415657;10.0;1;21.3302885294;
7;1;12.0;10.0;4;20.0;2;11.3990869522;10.0;1;21.8190145493;
8;1;13.0;10.0;4;20.3999996185;2;11.5457038879;10.1999998093;1;22.2388005257;
9;1;14.0;10.1999998093;4;20.7264003754;2;11.6716403961;10.3632001877;1;22.6008902788;
10;2;14.3268795013;10.6632003784;3;22.8194274902;2;11.7802667618;10.4951858521;1;23.7875448465;
11;2;15.2687425613;10.9097137451;3;23.7716035843;2;12.1362638474;11.0209560394;1;24.8040741682;
12;2;15.6972227097;11.3658018112;3;24.5557456017;2;14.1362628937;11.4571752548;1;25.6643919945;
13;2;18.2867431641;11.7372808456;3;25.1909515858;2;16.1362628937;11.8107032776;1;26.3888099194;
14;2;20.2867431641;12.0336990356;3;25.6996334791;2;17.2742366791;12.0916318893;1;27.0000665188;
15;2;21.3439407349;12.2662630081;4;26.10437572;2;18.3258094788;12.3113050461;2;27.5204386711;
16;3;22.3640708923;12.446267128;4;26.2577478886;2;19.3801765442;12.4808797836;2;27.7490785122;
17;3;22.8187427521;12.5;4;26.3048160076;2;20.437297821;12.5;4;27.9484119415;
18;3;24.4059104919;12.5;4;26.3530313969;2;21.4970970154;12.5;4;28.156321764;
19;3;25.4276065826;12.5;5;26.4023760557;2;22.4468955994;12.5;4;28.3723301888;
20;3;25.8810691833;12.5;5;26.4528282881;2;22.5116996765;12.5;4;28.5958371162;
21;3;25.9037723541;12.5;5;26.5043625832;2;22.5787506104;12.5;4;28.8261203766;
22;3;25.9269638062;12.5;5;26.5569496155;2;22.6478366852;12.5;4;29.0623402596;
23;3;25.9506263733;12.5;5;26.6105561256;2;22.7187023163;12.5;4;29.303548336;
24;3;25.9747505188;12.5;5;26.6651450396;2;22.7910652161;12.5;4;29.5486979485;
25;3;23.9993152618;13.5;5;26.72067523;2;22.8646087646;12.5;4;29.796661377;
26;3;23.0243034363;14.5;6;26.7771017551;2;22.938999176;12.5;4;30.0462479591;
27;3;23.25;13.5;6;26.8343759775;2;23.013874054;12.5;4;30.2962265015;
28;3;22.0754699707;13.5;6;26.8924454451;2;23.0888671875;12.5;4;30.5453491211;
29;3;22.25;13.5;6;26.9512542486;2;23.1636047363;12.5;4;30.7923750877;
30;3;23.25;13.8658781052;6;27.0107431412;2;21.5;13.5;4;31.0360965729;
31;3;22.1548347473;13.5;6;27.0708494186;2;22.5;12.5;4;31.2753615379;
32;3;22.25;13.5;6;27.1315076351;2;21.5;13.5;5;31.5090961456;
33;3;23.25;13.9920558929;6;27.1926498413;2;21.5;14.5;5;31.736322403;
34;3;22.2366924286;13.5;7;27.2542052269;2;22.5;12.5;6;31.9561743736;
35;3;21.2643928528;14.5;7;27.3161010742;2;21.5;13.5;6;32.1679081917;
36;4;21.25;13.5;6;27.3782629967;2;22.5;12.5;5;32.3709101677;
37;4;22.25;14.1647844315;6;27.4406147003;2;23.5;12.5;5;32.5646982193;
38;4;21.25;13.5;7;27.5030794144;2;21.5;13.5;5;32.7489213943;
39;4;21.25;13.5;7;27.5655794144;3;23.5;12.5;4;33.9233555794;
40;4;23.25;15.5;8;27.628036499;3;23.5;14.0;4;34.2178953886;
41;4;24.4326171875;17.5;8;27.690372467;3;22.8390007019;13.5;5;34.5179752111;
42;4;25.4606666565;19.5;8;27.7525100708;3;24.8826293945;16.5;5;34.8251276016;
43;4;26.4886302948;21.5;9;27.8143725395;3;26.4475383759;19.5;5;35.1409933567;
44;4;25.25;23.5;9;27.8758842945;3;26.5422973633;22.5;5;35.4672790766;
45;5;26.25;22.5;10;27.936971426;3;26.6401824951;25.5;6;35.8057010174;
46;5;25.25;23.5;10;27.9975619316;3;26.7417106628;27.5;6;36.1579246521;
47;5;25.25;24.5;10;28.0575861931;3;26.8473777771;27.5;8;36.5254909992;
48;5;25.25;24.6403102875;12;28.1169772148;3;26.9576473236;27.5;8;36.8440244198;
49;5;26.25;22.6403102875;13;28.1756706238;4;27.0532073975;27.5;7;37.1613030434;
50;6;26.6790523529;22.5;11;43.2336053848;4;25.1483917236;28.5;7;37.5039470196;
51;6;27.705121994;23.5;12;44.0407235622;4;23.5;30.5;8;37.871723175;
52;6;28.7308254242;24.5;13;44.7663455009;4;23.5;32.4358596802;8;38.263862133;
53;6;28.7561378479;25.5;12;44.9095873833;4;23.5;33.6319313049;8;38.6789975166;
54;6;28.5560340881;26.25;12;45.8404259682;4;24.5;32.1319313049;8;39.1151270866;
55;6;27.1903762817;28.4337501526;13;46.4613304138;4;23.5;33.1319313049;9;40.5695996284;
56;6;27.25;30.5;13;46.3813929558;5;25.5;33.0;8;41.0691392422;
57;6;28.25;29.5;14;46.7486591339;5;27.3117408752;34.0;9;41.5804975033;
58;6;27.25;31.5;14;47.0630397797;5;25.8181762695;36.0;10;42.099367857;
59;6;28.25;31.5;15;47.2381491661;5;25.8275299072;38.0;10;42.6211183071;
60;6;27.25;33.5;16;47.2952005863;5;25.8370552063;40.0;10;43.1409600973;
61;6;27.25;35.5;16;47.3513772488;5;25.5;41.5704803467;10;43.6541296244;
62;6;28.25;34.5;17;47.4066288471;5;26.5;39.5869140625;11;44.1560735703;
63;6;27.25;36.5;16;49.0990414619;5;25.8666381836;39.9925613403;11;44.6426212788;
64;6;27.7000007629;39.0;17;50.4770853519;5;26.8768234253;37.9925613403;12;46.1101315022;
65;6;29.0510005951;38.3899993896;16;51.5856533051;5;28.8871631622;38.0;12;46.6255978346;
66;6;30.0167446136;39.6872596741;17;52.4717392921;5;30.8976516724;39.0;12;48.5401220322;
67;6;30.2717666626;40.9097442627;17;53.0164895058;5;32.4583702087;38.5;13;50.2004511356;
68;6;30.4074192047;42.0;18;53.1363220215;6;29.7073192596;41.8899993896;12;51.6368532181;
69;6;28.5999984741;44.0;19;53.25477314;6;29.4584636688;42.1872596741;13;52.8824830055;
70;6;29.5999984741;43.7000007629;20;53.3715763092;6;32.050037384;40.4097442627;14;53.8211152554;
71;6;30.5672073364;43.7000007629;19;52.9864797592;6;28.3999996185;43.4278831482;15;54.5367121696;
72;6;30.3939170837;43.4500007629;21;54.5117487907;6;30.8902072906;40.2331848145;16;55.2070947886;
73;6;31.6302871704;44.65625;22;54.7696647644;7;32.4000015259;41.1792907715;15;55.742479682;
74;6;32.7193489075;45.7000007629;23;54.9404959679;7;31.3999996185;42.3152770996;15;57.250502944;
75;6;33.2732200623;46.7000007629;24;55.1116341352;7;33.9405250549;40.0;16;57.7937295437;
76;6;33.3502349854;47.7000007629;26;55.2829852104;7;35.9578094482;41.0;16;58.3497091532;
77;6;33.4273414612;48.7000007629;25;55.4544674158;7;36.9753303528;42.0;16;58.8938822746;
78;6;33.5045089722;48.7000007629;26;55.6260112524;7;35.9930648804;44.0;17;59.3752566576;
79;6;33.581703186;48.7000007629;25;55.7975564003;7;33.0109939575;48.0;17;60.762472868;
80;6;31.6588973999;49.7000007629;25;55.9690510035;7;31.3999996185;51.7423973083;17;61.1621390581;
81;6;30.7360706329;50.7000007629;27;56.1404483318;7;30.3999996185;54.8622779846;17;61.6418985128;
82;6;29.8131999969;51.7000007629;28;56.3117064238;7;27.3999996185;58.9590034485;19;62.1406351328;
83;6;28.8902664185;52.7000007629;24;56.482784152;7;25.3999996185;63.0603713989;19;62.6577006578;
84;7;27.967250824;53.7000007629;22;56.6536393166;7;24.3999996185;67.1664505005;19;63.1922651529;
85;7;27.0441360474;54.7000007629;23;56.8242266178;7;24.0;70.9304046631;22;63.7433190346;
86;7;26.1209011078;55.7000007629;24;56.9944951534;8;26.0;68.0831604004;20;74.3096760511;
87;7;25.1975212097;56.7000007629;24;57.1643862724;8;27.7590255737;69.9771881104;22;75.3899806738;
88;7;24.273973465;57.7000007629;25;57.3338322639;8;29.0;74.1112518311;22;76.343936801;
89;9;23.3502216339;58.7000007629;18;74.6930289268;8;28.796497345;75.1958007812;23;77.2689095736;
90;9;25.3993606567;57.7000007629;18;76.1412329674;8;28.0;79.183380127;23;78.1612342596;
91;9;27.4494590759;57.7000007629;18;77.4467899799;8;27.833782196;79.4432373047;24;79.0182540417;
92;9;28.5005607605;57.7000007629;20;78.5950467587;9;27.8522987366;80.7017593384;23;79.8382576704;
93;9;29.552570343;57.7000007629;20;79.5840940475;9;27.8707008362;81.9579925537;24;80.6203784943;
94;9;30.6053848267;57.7000007629;21;81.422185421;9;29.0;83.2110214233;25;81.3644686937;
95;9;32.6588935852;58.7000007629;21;83.1842997074;9;30.0;83.971786499;26;82.0709636211;
96;9;35.7129821777;60.7000007629;22;83.8917546272;10;29.9249992371;85.7041549683;24;102.74075222;
97;9;37.7675209045;62.7000007629;24;84.5066398382;10;31.9427280426;86.9427871704;23;105.175049067;
98;10;38.82239151;64.6999969482;23;84.9524704218;10;34.0;87.1753005981;25;107.344898939;
99;11;39.8774528503;67.6999969482;21;108.585898042;9;31.0;87.0303726196;26;84.4474027157;
100;11;41.9325790405;70.6999969482;22;110.171696186;9;32.0;88.2775878906;25;84.856887579;
101;11;41.6202011108;74.6999969482;23;111.512709737;9;30.0;91.0492630005;27;85.2541892529;
102;11;41.3424758911;78.6999969482;23;112.631103158;9;28.0;94.3216171265;27;85.6389496326;
