Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;6.0;14.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;9.0;10.0;5;20.0;
3;1;8.0;12.0;4;20.0;1;9.0;10.0;5;20.0;
4;1;9.0;11.0;4;20.0;1;9.0;10.0;5;20.0;
5;1;10.0;10.0;4;20.0;1;10.0;10.0;5;20.0;
6;1;11.0;10.0;4;20.0;1;11.0;10.0;5;20.0;
7;2;12.0;10.3000001907;3;21.0;1;11.0;10.0;5;20.3999996185;
8;2;13.4499998093;10.0;3;21.3999996185;2;12.1199998856;10.1999998093;4;21.7264003754;
9;2;14.4499998093;10.1999998093;3;21.7264003754;2;13.2179203033;10.3632001877;4;21.9903717041;
10;2;14.7768793106;10.3632001877;3;22.8594274521;2;14.2971115112;10.4951858521;4;23.0819120407;
11;2;15.2867431641;10.9097137451;3;23.8127875328;2;14.9245738983;11.0209560394;4;23.99553442;
12;2;15.7157554626;11.3658018112;3;24.5981152058;2;16.9245738983;11.4571752548;4;24.7449600697;
13;2;18.3052749634;11.7372808456;3;25.2345055342;2;18.9245738983;11.8107032776;5;25.3503712416;
14;2;20.3052749634;12.0336990356;3;25.7443674803;2;19.9627056122;12.0916318893;5;25.8344515562;
15;2;21.3640708923;12.2662630081;3;26.1502821445;2;20.9761257172;12.3113050461;5;26.2195074558;
16;2;22.3847293854;12.446267128;3;26.3048160076;2;21.9898986816;12.4808797836;5;26.3048160076;
17;2;23.4059104919;12.5;3;26.3530313969;2;23.0040187836;12.5;5;26.3530313969;
18;2;24.4276065826;12.5;4;26.4023760557;2;24.0184822083;12.5;4;26.4023760557;
19;2;25.4498119354;12.5;4;26.4528282881;2;24.5;12.920712471;5;26.4528282881;
20;2;25.9037723541;12.5;4;26.5043625832;2;24.5;12.9358482361;5;26.5043625832;
21;2;25.9269638062;12.5;4;26.5569496155;2;24.5;12.9513092041;5;26.5569496155;
22;2;25.9506263733;12.5;4;26.6105561256;2;24.9670848846;12.5;5;26.6105561256;
23;2;25.9747505188;12.5;5;26.6651450396;2;24.5;12.9831666946;5;26.6651450396;
24;3;25.9993152618;12.5;4;26.72067523;2;24.5;12.99954319;6;26.72067523;
25;3;24.0243034363;13.5;5;26.7771017551;3;24.5;13.3603372574;5;26.7771017551;
26;3;23.0496959686;14.5;5;26.8343759775;3;25.0331306458;12.5;4;26.8343759775;
27;3;22.0754699707;15.5;5;26.8924454451;3;25.0503120422;12.5;4;26.8924454451;
28;3;21.101600647;16.5;5;26.9512542486;3;25.0677337646;12.5;4;26.9512542486;
29;3;20.1280651093;17.5;5;27.0107431412;3;24.5;13.4756269455;4;27.0107431412;
30;3;19.1548347473;18.5;5;27.0708494186;3;23.1032218933;13.5;4;27.0708494186;
31;3;18.1818828583;19.5;5;27.1315076351;3;22.1212539673;14.5;4;27.1315076351;
