Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;6.0;14.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;9.0;10.0;5;20.0;
3;1;8.0;12.0;6;20.0;1;9.0;10.0;5;20.0;
4;1;9.0;11.0;6;20.0;1;9.0;10.0;5;20.0;
5;1;10.0;10.0;6;20.0;1;10.0;10.0;5;20.0;
6;1;11.0;10.0;6;20.0;1;11.0;10.0;5;20.0;
7;1;12.0;10.0;6;20.0;1;11.0;10.0;5;20.3999996185;
8;1;13.0;10.0;6;20.3999996185;1;11.1199998856;10.1999998093;5;20.7264003754;
9;1;14.0;10.1999998093;6;20.7264003754;2;11.5179204941;10.3632001877;4;21.9903717041;
10;1;14.3268795013;10.3632001877;6;21.8194274902;2;11.597111702;10.4951858521;4;23.1319121122;
11;1;14.8187427521;10.9097137451;6;22.7316036224;2;11.939573288;11.0209560394;4;24.1014695168;
12;1;15.2292222977;11.3658018112;6;23.4745616913;2;13.939573288;11.4571752548;4;24.9131449461;
13;1;16.8187427521;11.7372808456;6;24.0673980713;2;15.939573288;11.8107032776;5;25.5874900818;
14;1;17.8187427521;12.0336990356;6;24.5325260162;2;17.0338420868;12.0916318893;5;26.1475405693;
15;1;18.8187427521;12.2662630081;6;24.892534256;2;18.0700531006;12.3113050461;5;26.6159290075;
16;1;19.8187427521;12.446267128;6;25.0;2;19.1088237762;12.4808797836;5;26.7922235727;
17;1;20.8187427521;12.5;6;25.0;2;20.1502399445;12.5;5;26.9393253326;
18;1;21.8187427521;12.5;7;25.0;2;21.1943702698;12.5;5;27.0956480503;
19;1;22.8187427521;12.5;7;25.0;2;22.1286945343;12.5;5;27.261295557;
20;1;23.25;12.5;7;25.0;2;22.1783885956;12.5;5;27.4362905025;
21;1;23.25;12.5;7;25.0;2;22.2308864594;12.5;7;27.6205644608;
22;1;23.25;12.5;7;25.0;2;22.2861690521;12.5;7;27.8139474392;
23;1;23.25;12.5;7;25.0;3;22.3441848755;12.5;6;28.016159296;
24;1;23.25;12.5;8;25.0;3;22.4048480988;12.5;7;28.2268030643;
25;1;23.25;12.5;8;25.0;3;22.4680404663;12.5;7;28.445360899;
26;1;23.25;12.5;8;25.0;3;22.5336074829;12.5;7;28.6711919308;
27;1;23.25;12.5;8;25.0;3;21.5;13.5;7;28.9035346508;
28;1;23.25;12.5;8;25.0;3;22.5;12.5;7;29.141512394;
29;1;23.25;12.5;8;25.0;3;21.5;13.5;7;29.3841423988;
30;1;23.25;12.5;8;25.0;3;20.5;13.5;7;30.6303496361;
31;1;23.25;12.5;8;25.0;3;21.5;14.0;7;30.8989830017;
32;1;23.25;12.5;8;25.0;3;21.5;13.5;7;31.1690325737;
33;1;23.25;12.5;8;25.0;3;21.3507099152;14.5;7;31.4392524958;
34;1;23.25;12.5;8;25.0;3;20.4317760468;15.5;7;31.7083877325;
