Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;6.0;14.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;9.0;10.0;5;20.0;
3;1;8.0;12.0;6;20.0;1;9.0;10.0;5;20.0;
4;1;9.0;11.0;6;20.0;1;9.0;10.0;5;20.0;
5;1;10.0;10.0;5;20.0;1;10.0;10.0;5;20.0;
6;1;11.0;10.0;5;20.0;1;11.0;10.0;5;20.0;
7;1;12.0;10.0;4;20.0;2;12.0;10.0;4;21.3999996185;
8;1;13.0;10.0;4;20.3999996185;2;13.1199998856;10.1999998093;4;21.7264003754;
9;2;15.0;10.5;3;21.7264003754;2;14.2179203033;10.3632001877;4;21.9903717041;
10;2;16.3268795013;10.3632001877;3;22.8394274712;2;14.597111702;10.4951858521;4;23.0719120502;
11;2;17.8187427521;10.9097137451;3;23.7717995644;2;14.9215736389;11.0209560394;4;23.9749414921;
12;2;18.6973114014;11.3658018112;3;24.5351434946;2;16.9215736389;11.4571752548;4;24.7131726742;
13;2;21.2868309021;11.7372808456;3;25.1485489607;2;18.9215736389;11.8107032776;5;25.3067810535;
14;2;23.2868309021;12.0336990356;3;25.6344225407;2;19.94962883;12.0916318893;5;25.7784451246;
15;2;24.3145961761;12.2662630081;3;26.0153459311;2;20.9593238831;12.3113050461;5;26.1504684687;
16;2;25.3240089417;12.446267128;3;26.1438889503;2;21.9691867828;12.4808797836;5;26.2221269608;
17;2;26.3334922791;12.5;3;26.1651208401;2;22.9792118073;12.5;5;26.2560760975;
18;2;27.3430480957;12.5;4;26.1864993572;2;23.989397049;12.5;5;26.2905418873;
19;2;28.3526668549;12.5;4;26.2080165148;2;24.8871631622;12.5;6;26.3255085945;
20;2;28.7936077118;12.5;4;26.2296639681;2;24.8976516724;12.5;6;26.3609591722;
21;2;28.8033485413;12.5;4;26.2514331341;2;24.9082870483;12.5;6;26.3968753815;
22;2;28.8131446838;12.5;4;26.2733153105;2;24.9190635681;12.5;6;26.4332377911;
23;3;28.8229923248;12.5;4;26.2953014374;2;24.5;12.9299716949;6;26.4700255394;
24;4;26.8328857422;13.5;3;26.3173824549;2;24.5;12.9410076141;6;26.5072168112;
25;4;25.25;15.422167778;3;26.3395489454;2;22.9521656036;13.5;6;26.5447884798;
26;4;24.25;16.4376850128;3;26.3617914915;2;21.9634361267;14.5;6;26.5827163458;
27;4;23.25;17.4532546997;3;26.3841004372;2;20.9748153687;15.5;6;26.6209751368;
28;4;22.25;18.468870163;3;26.4064661264;2;19.9862937927;16.5;6;26.6595385075;
29;4;21.25;19.4845256805;3;26.428878665;2;18.9978618622;17.5;6;26.6983793974;
30;4;20.25;20.5002155304;3;26.4513280392;2;17.5;19.3491897583;6;26.7374696732;
31;4;19.25;21.5159301758;3;26.4738043547;2;17.0;20.3687343597;6;26.7767804861;
