Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;6.0;14.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;9.0;10.0;5;20.0;
3;1;8.0;12.0;6;20.0;1;9.0;10.0;5;20.0;
4;1;9.0;11.0;6;20.0;1;9.0;10.0;5;20.0;
5;1;10.0;10.0;6;20.0;1;10.0;10.0;5;20.0;
6;1;11.0;10.0;5;20.0;1;11.0;10.0;5;20.0;
7;1;12.0;10.0;4;20.0;1;11.0;10.0;4;20.3999996185;
8;1;13.0;10.0;4;20.3999996185;1;11.1199998856;10.1999998093;4;20.7264003754;
9;1;14.0;10.1999998093;4;20.7264003754;2;11.5179204941;10.3632001877;3;21.9903717041;
10;1;14.3268795013;10.3632001877;4;21.8194274902;2;11.597111702;10.4951858521;3;23.1719120741;
11;1;14.8187427521;10.9097137451;4;22.7316036224;2;11.9515733719;11.0209560394;3;24.1897815466;
12;1;15.2292222977;11.3658018112;4;23.4745616913;2;13.9515733719;11.4571752548;3;25.0591306686;
13;1;16.8187427521;11.7372808456;4;24.0673980713;2;15.9515733719;11.8107032776;4;25.8015987873;
14;1;17.8187427521;12.0336990356;4;24.5325260162;2;17.0980739594;12.0916318893;4;26.441321969;
15;1;18.8187427521;12.2662630081;4;24.892534256;2;18.1581878662;12.3113050461;4;27.0020139217;
16;2;20.8187427521;12.7462673187;3;26.0;2;19.2246494293;12.4808797836;4;27.2842636108;
17;2;22.8187427521;12.5;3;26.0499999523;2;20.2978534698;12.5;4;27.5518820286;
18;2;23.8187427521;12.5;4;26.1019749641;2;21.3781375885;12.5;4;27.8440244198;
19;2;24.8187427521;12.5;4;27.4059499502;2;22.3532066345;12.5;5;28.1613030434;
20;2;25.8125;13.125;4;28.4463196993;2;22.4483909607;12.5;5;28.5039470196;
21;2;26.2554702759;13.6171875;4;28.2809100151;2;22.5511837006;12.5;5;28.871723175;
22;2;26.1549224854;13.5054683685;4;28.1398863792;2;22.6615161896;12.5;5;29.263862133;
23;2;26.0644283295;13.4049215317;5;28.0210143328;2;22.7791595459;12.5;5;29.6789975166;
24;2;25.9829864502;13.3144292831;6;27.9222770929;2;22.9036998749;12.5;5;30.1151270866;
25;2;23.9829864502;14.3144292831;6;27.8418501616;2;23.034538269;12.5;5;30.5695996284;
26;2;22.9829864502;15.3144292831;6;27.7780822515;2;21.5;13.5;6;31.0391392708;
27;2;21.9829864502;16.3144302368;7;27.7294754982;2;20.5;13.5;7;31.5199065208;
28;2;20.9829864502;17.3144302368;8;27.6946716309;3;20.5;13.5;6;32.007601738;
29;2;19.9829864502;18.3144302368;8;27.6724328995;3;19.5;13.5;6;32.4976010323;
30;2;18.9829864502;19.3144302368;7;28.8175733089;3;19.5;14.5;7;32.9851250648;
31;2;17.9829864502;20.3144302368;8;28.7015839815;3;18.8955383301;15.5;7;33.465420723;
