Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;6.0;14.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;7.0;13.0;5;20.0;
3;1;8.0;12.0;6;20.0;1;8.0;12.0;5;20.0;
4;1;9.0;11.0;6;20.0;1;8.0;11.0;4;20.0;
5;1;10.0;10.0;6;20.0;1;8.0;10.0;4;20.0;
6;1;11.0;10.0;6;20.0;1;9.0;10.0;3;20.0;
7;1;12.0;10.0;6;20.0;1;9.5;10.0;3;20.0;
8;1;13.0;10.0;6;20.3999996185;1;9.5;10.0;3;20.3999996185;
9;1;14.0;10.1999998093;6;20.7264003754;1;9.59000015259;10.1999998093;3;20.7264003754;
10;1;14.3268795013;10.3632001877;6;21.8194274902;1;9.66343975067;10.3632001877;3;20.9903717041;
11;1;14.8187427521;10.9097137451;6;22.7316036224;1;9.72283363342;10.4951858521;3;22.0419120789;
12;1;15.2292222977;11.3658018112;6;23.4745616913;2;9.95943069458;11.3209562302;2;23.9143505096;
13;1;16.8187427521;11.7372808456;6;24.0673980713;2;11.9478340149;11.4571752548;2;24.7514065504;
14;2;18.8187427521;12.3336992264;5;25.5325260162;2;13.9478340149;11.8107032776;2;25.4586948156;
15;2;20.8187427521;12.2662630081;5;26.0225342512;2;15.9478340149;12.0916318893;2;26.0603342056;
16;2;22.3272438049;12.446267128;5;26.2754310369;2;17.0463218689;12.3113050461;2;26.5800945759;
17;2;23.3926868439;12.5;5;26.4377241135;2;17.7228336334;12.9663801193;2;26.8187118769;
18;2;24.465719223;12.5;5;26.6183350086;2;19.1320438385;12.5;3;27.0402543545;
19;2;25.5469932556;12.5;5;26.8187118769;2;20.0840568542;12.5;3;27.2842636108;
20;2;26.0684204102;12.5;7;27.0402543545;2;20.1389598846;12.5;4;27.5518820286;
21;2;26.1681137085;12.5;7;27.2842636108;2;20.1991729736;12.5;4;27.8440244198;
22;2;26.2779178619;12.5;7;27.5518820286;2;19.625;13.5;4;28.1613030434;
23;2;26.3983459473;12.5;7;27.8440244198;2;20.3362922668;12.5;4;28.5039470196;
24;2;26.5298118591;12.5;7;28.1613030434;2;19.625;13.5;4;28.871723175;
25;2;24.672586441;13.5;9;28.5039470196;2;19.625;14.0486888885;4;29.263862133;
26;2;23.8267765045;14.5;9;28.871723175;2;19.625;14.2055444717;4;29.6789975166;
27;3;22.992275238;15.5;8;29.263862133;2;20.625;12.5;4;30.1151270866;
28;3;22.1687374115;16.5;9;29.6789975166;2;20.7759037018;12.5;4;30.5695996284;
29;3;21.3555488586;17.5;9;30.1151270866;2;18.8781604767;13.5;4;31.0391392708;
30;3;20.5518074036;18.5;10;30.5695996284;2;17.9838066101;14.5;4;31.5199065208;
31;3;19.7563209534;19.5;10;31.0391392708;2;17.0919799805;15.5;4;32.007601738;
32;3;18.9676132202;20.5;10;31.5199065208;2;16.2017097473;16.5;5;32.4976010323;
33;3;18.1839580536;21.5;10;32.007601738;2;14.0;18.5;5;32.9851250648;
34;4;17.403421402;22.5;7;41.7479577065;2;14.0;20.5;5;33.465420723;
35;4;16.153421402;24.5;8;42.6748404503;2;14.0;22.5;5;33.9339466095;
36;4;16.153421402;26.5;8;44.5727901459;2;14.0;24.5;5;34.3865451813;
37;4;18.0;29.2000007629;8;45.5647581816;2;14.0;26.5;6;34.8195896149;
38;4;20.0;31.2910003662;8;46.5302308798;2;14.0;28.5;6;35.2300891876;
39;4;21.0;33.3928031921;9;47.4659347534;3;15.0;31.2000007629;7;36.6157541275;
40;4;22.0;35.5064086914;9;48.3699200153;3;16.0;31.9310283661;7;37.1450175047;
41;4;24.7282505035;36.5064086914;9;49.2415224314;3;16.0;33.182510376;7;37.6739206314;
42;4;25.3131752014;38.5064086914;10;50.0812499523;3;16.0;34.4149055481;7;38.2057769299;
43;5;27.3478050232;40.5064086914;7;65.8906097412;3;16.0;35.6280555725;8;38.7446686029;
44;5;29.534702301;40.5064086914;7;67.4218952656;3;16.0;36.8221931458;8;39.2952675819;
45;5;33.6288299561;40.5;8;68.8473155499;3;16.0;37.9978866577;8;39.8626067638;
46;5;34.7127838135;40.5;7;70.1691632271;3;17.0;36.155960083;10;40.4518067837;
47;5;33.7873306274;42.5;9;71.3858754635;3;16.0;37.2974281311;11;41.0677597523;
48;5;34.8499984741;41.5;9;72.3908052444;3;16.0;38.4234313965;12;41.7147686481;
49;5;35.8499984741;40.5;10;73.3307089806;3;17.0;36.5351715088;12;42.3477458954;
50;6;36.8499984741;40.5;9;74.2134051323;3;16.0;37.5999984741;14;42.9413113594;
51;7;39.8499984741;40.5;8;74.9978899956;3;18.0;34.5999984741;15;43.586581707;
52;7;41.4018096924;41.5;9;75.5695996284;3;20.0;33.5999984741;15;44.2800674438;
53;8;42.6063194275;42.5;8;76.0391392708;3;21.9249992371;32.5999984741;16;45.0160870552;
54;8;41.6063194275;44.5;8;76.5199065208;3;22.9249992371;32.5;17;45.7867279053;
55;8;43.6063194275;44.5;8;77.007601738;3;23.9249992371;32.5;15;46.5820074081;
56;8;45.4563217163;45.5;8;77.4976010323;3;23.5499992371;31.5;16;47.3902606964;
57;8;44.3239212036;47.5;8;78.9851250648;3;23.625;30.5;16;48.1987380981;
58;8;44.3239212036;49.5;7;79.7454209328;3;21.625;30.5;16;48.9943685532;
59;8;45.4409217834;52.5;7;82.5941748619;3;21.625;30.5;16;49.7645931244;
60;7;35.5500030518;52.0;8;72.3566957712;4;22.625;27.5;14;63.9888877869;
61;7;38.9010009766;52.3899993896;9;74.3241804838;4;22.625;29.5;14;64.6274442673;
62;7;39.1685333252;55.6872596741;10;76.0096051693;4;22.625;29.5;14;65.2180700302;
63;7;35.3687667847;56.4394302368;8;77.2911382914;4;23.625;30.5;14;65.755941391;
64;7;34.5999984741;57.7000007629;8;78.0837453604;4;23.625;31.5;15;66.2387609482;
65;7;34.5999984741;58.7000007629;9;79.8109833002;4;23.625;32.5;15;66.6664800644;
66;7;35.5999984741;59.7000007629;9;80.4631448984;4;23.625;32.5;15;67.0408792496;
67;7;36.5999984741;60.7000007629;11;81.0386747122;4;23.625;32.5;16;67.3651046753;
68;8;36.5999984741;61.7000007629;10;81.5842038393;4;23.625;32.5;16;67.6432085037;
69;8;36.5999984741;62.7000007629;11;82.1017298698;4;23.625;32.5;16;67.8797426224;
70;8;36.5999984741;63.7000007629;12;82.5939230919;4;23.625;32.5;17;68.0794277191;
71;8;36.5999984741;63.7000007629;13;83.0638898611;4;23.625;32.5;18;68.1539955139;
72;9;35.5999984741;65.4521789551;13;83.5149635077;5;23.625;33.5;17;68.1385955811;
73;9;35.5999984741;63.7000007629;13;83.950519681;5;24.625;35.5;16;69.1247358322;
74;9;34.5999984741;64.6999969482;15;84.2917845249;5;25.625;37.5;17;69.1522626877;
75;9;34.5999984741;65.6999969482;17;84.5674614906;5;25.625;39.5;17;69.1822199821;
76;9;34.9871520996;66.6999969482;17;84.8565009832;5;25.625;41.5;17;69.2144863605;
77;9;34.5999984741;67.6999969482;18;85.1587646008;5;25.625;43.5;20;71.6004271507;
78;9;34.5999984741;68.6999969482;18;85.47394979;5;25.8500003815;45.0;20;73.6073461771;
79;9;34.5999984741;69.6999969482;20;85.8015742302;5;27.0255012512;43.3899993896;20;75.2789512873;
80;9;34.3499984741;70.6999969482;21;86.1409643888;5;28.1592674255;43.6872596741;21;76.6635118723;
81;9;33.3499984741;71.6999969482;23;86.4912481308;5;29.1592674255;42.6872596741;22;77.5827313662;
82;9;32.3499984741;73.6999969482;24;86.8513541222;5;28.1592674255;43.0;23;78.1602084637;
83;10;31.3499984741;73.6999969482;23;87.220017314;5;26.1592674255;45.0;23;78.6065796614;
84;10;30.75;74.6999969482;23;87.5957905054;5;24.1592674255;45.0;23;78.7404748201;
85;10;32.257194519;73.6999969482;25;87.9770671129;5;23.1592674255;44.0;20;78.8320155144;
86;10;33.2711219788;73.6999969482;25;88.3621065617;5;23.1592674255;44.0;20;78.9266937971;
87;10;34.2851104736;75.6999969482;25;88.7490698099;5;24.0;44.0;20;79.0244407654;
88;10;35.2991371155;76.6999969482;25;89.1360586882;5;23.0;46.0;16;79.1251680851;
89;10;35.75;78.6999969482;27;89.521158576;5;23.0;46.0;16;79.2287664413;
90;10;36.75;80.4959030151;21;89.9024825096;5;24.0;47.0;14;79.3351061344;
91;10;37.75;81.5396194458;22;90.2782146931;5;23.0;49.0;15;79.4440362453;
92;10;38.75;82.5832595825;23;90.6466525793;5;23.0;51.0;14;79.5553855896;
93;10;39.75;83.6267547607;24;91.0062406063;5;20.0;51.0;14;79.6689627171;
94;10;40.75;84.6700592041;25;91.3556005955;5;20.0;53.0;14;79.7845563889;
95;10;41.75;86.7131195068;25;91.6935516596;5;20.0;55.0;15;79.9019377232;
96;10;42.75;89.7558746338;23;92.0191249847;5;20.0;57.0;15;80.0208609104;
97;10;43.3499984741;90.7982940674;24;92.3315668106;5;20.0;60.0;15;80.1410651207;
98;10;43.3499984741;93.8403091431;22;92.6303386688;5;21.0;60.0;15;80.2622768879;
99;10;43.3499984741;94.8818817139;22;92.9151060581;5;20.0;60.0;17;80.3842117786;
100;10;43.3499984741;96.9229660034;25;93.1857230663;5;20.0;62.0;17;80.5065777302;
