Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;6.0;14.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;12.0;6;20.0;1;8.0;12.0;6;20.0;
4;1;9.0;11.0;6;20.0;1;8.0;11.0;6;20.0;
5;1;10.0;10.0;6;20.0;1;8.0;10.0;6;20.0;
6;1;11.0;10.0;6;20.0;1;9.0;10.0;5;20.0;
7;1;12.0;10.0;6;20.0;1;9.5;10.0;5;20.0;
8;1;13.0;10.0;5;20.3999996185;1;9.5;10.0;5;20.3999996185;
9;1;14.0;10.1999998093;5;20.7264003754;1;9.59000015259;10.1999998093;5;20.7264003754;
10;2;14.3268795013;10.6632003784;4;22.8194274902;1;9.66343975067;10.3632001877;5;20.9903717041;
11;2;15.2687425613;10.9097137451;4;23.7616035938;1;9.72283363342;10.4951858521;5;22.0419120789;
12;2;15.6927223206;11.3658018112;4;24.5351526737;2;9.95943069458;11.3209562302;3;23.9143505096;
13;2;18.2822418213;11.7372808456;4;25.1591641903;2;11.9478340149;11.4571752548;3;24.661406517;
14;2;20.2822418213;12.0336990356;3;25.6560432911;2;13.9478340149;11.8107032776;3;25.2644476891;
15;2;21.3243255615;12.2662630081;3;26.0483692884;2;15.7228336334;12.4159870148;3;25.7461636066;
16;2;22.3388690948;12.446267128;3;26.1887089014;2;16.9756336212;12.3113050461;3;26.1288670301;
17;2;23.3536624908;12.5;3;26.2221269608;2;17.9854335785;12.4808797836;3;26.211841464;
18;2;24.3687000275;12.5;3;26.2560760975;2;18.9954986572;12.5;4;26.2577478886;
19;2;25.3839759827;12.5;3;26.2905418873;2;19.9079933167;12.5;4;26.3048160076;
20;2;25.8307437897;12.5;5;26.3255085945;2;19.9185829163;12.5;5;26.3530313969;
21;2;25.8464794159;12.5;5;26.3609591722;2;19.9294319153;12.5;5;26.4023760557;
22;2;25.8624305725;12.5;4;26.3968753815;2;19.9405345917;12.5;4;26.4528282881;
23;2;25.8785934448;12.5;4;26.4332377911;2;19.9518871307;12.5;4;26.5043625832;
24;3;25.8949565887;12.5;3;26.4700255394;2;19.9634819031;12.5;6;26.5569496155;
25;3;25.25;13.5;4;26.5072168112;2;19.9753131866;12.5;6;26.6105561256;
26;3;25.25;13.5550518036;4;26.5447884798;2;19.9873752594;12.5;7;26.6651450396;
27;3;25.25;13.5813522339;4;26.5827163458;2;19.9996566772;12.5;6;26.72067523;
28;3;25.25;13.6079015732;4;26.6209751368;2;19.625;12.5;5;26.7771017551;
29;3;25.25;13.6346826553;4;26.6595385075;2;17.625;13.5;6;26.8343759775;
30;3;23.9967918396;13.5;4;26.6983793974;2;16.625;14.5;6;26.8924454451;
31;3;23.0142707825;14.5;4;26.7374696732;2;15.625;15.5;7;26.9512542486;
32;4;22.0318603516;15.5;2;29.161801219;2;14.625;16.5;6;27.0107431412;
