Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;6.0;14.0;4;20.0;1;11.8999996185;8.625;4;17.25;
2;1;7.0;13.0;5;20.0;1;11.8999996185;8.625;5;17.25;
3;1;8.0;12.0;5;20.0;1;11.8999996185;8.625;5;17.25;
4;1;9.0;11.0;5;20.0;1;11.8999996185;8.625;5;17.25;
5;1;10.0;10.0;5;20.0;1;12.8999996185;8.625;4;17.25;
6;1;11.0;10.0;5;20.0;1;13.8999996185;8.625;4;17.25;
7;1;12.0;10.0;5;20.0;1;14.8999996185;8.625;4;17.5949993134;
8;1;13.0;10.0;5;20.3999996185;1;15.5569992065;8.79749965668;4;17.8861961365;
9;2;15.0;10.5;4;21.7264003754;2;16.3317184448;8.94309806824;3;19.6667137146;
10;2;16.3268795013;10.3632001877;4;22.8594274521;2;16.8000278473;9.3333568573;3;20.5355961323;
11;2;17.8187427521;10.9097137451;4;23.8127875328;2;18.8000278473;9.6677980423;3;21.336712718;
12;2;18.7157554626;11.3658018112;4;24.5981152058;2;20.8000278473;9.94955635071;3;22.0857475996;
13;2;21.3052749634;11.7372808456;4;25.2345055342;2;22.2313251495;10.1834592819;3;22.8006837368;
14;2;23.3052749634;12.0336990356;3;25.7443674803;2;23.4301719666;10.3752222061;3;23.5003640652;
15;2;24.3640708923;12.2662630081;3;26.1502821445;2;24.6632804871;10.5308046341;4;24.1414179802;
16;2;25.3847293854;12.446267128;3;26.3048160076;2;25.934879303;10.625;4;24.6650128365;
17;2;26.4059104919;12.5;3;26.3530313969;2;27.2490348816;10.625;4;25.2655425072;
18;2;27.4276065826;12.5;4;26.4023760557;2;28.6093521118;10.625;4;25.9475607872;
19;2;28.4498119354;12.5;4;26.4528282881;2;29.5685367584;10.625;4;26.7133779526;
20;2;28.9037723541;12.5;4;26.5043625832;2;30.0280265808;10.625;4;27.5622024536;
21;2;28.9269638062;12.5;4;26.5569496155;2;30.5373210907;10.625;5;28.4893260002;
22;2;28.9506263733;12.5;4;26.6105561256;2;31.0935955048;10.625;5;29.4855060577;
23;2;28.9747505188;12.5;5;26.6651450396;2;31.6913032532;10.625;5;30.5367269516;
24;3;28.9993152618;12.5;4;26.72067523;2;32.3220367432;10.625;5;31.6245069504;
25;3;29.0243034363;12.5;5;26.7771017551;2;32.9747047424;10.625;5;32.726849556;
26;3;29.0496959686;12.5;5;26.8343759775;2;33.6361083984;10.625;5;33.8198070526;
27;3;28.25;13.5;4;26.8924454451;2;34.291885376;10.625;5;34.8794660568;
28;4;29.101600647;12.5;3;26.9512542486;2;34.9276809692;10.625;5;35.8840303421;
29;4;28.25;13.5;4;27.0107431412;2;35.530418396;10.625;5;36.8156280518;
30;4;27.1548347473;13.5;5;27.0708494186;2;33.530418396;11.625;5;37.6615219116;
31;4;26.1818809509;14.5;4;27.1315076351;2;32.530418396;12.625;5;38.414560318;
32;4;25.2091789246;15.5;4;27.1926498413;2;31.530418396;13.625;5;39.0728969574;
33;4;24.2366924286;16.5;4;27.2542052269;2;32.530418396;15.625;6;39.6391487122;
34;4;23.2643928528;17.5;5;27.3161010742;2;33.530418396;17.625;6;40.1192626953;
35;4;22.2922458649;18.5;5;27.3782629967;2;34.530418396;18.625;6;40.5213165283;
36;4;22.25;18.5;6;27.4406147003;2;35.530418396;19.625;7;40.8544559479;
