Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;6.0;14.0;4;20.0;1;11.8999996185;8.625;4;17.25;
2;1;7.0;13.0;6;20.0;1;11.8999996185;8.625;5;17.25;
3;1;8.0;12.0;6;20.0;1;11.8999996185;8.625;5;17.25;
4;2;9.0;11.3000001907;5;21.0;2;12.2999992371;8.625;4;18.25;
5;2;10.3000001907;10.0;5;21.0900000334;2;13.5;8.625;4;18.3250000477;
6;2;11.4905004501;10.0;5;21.1871190071;2;14.5450000763;8.625;4;18.4048187733;
7;2;12.5342035294;10.0;5;21.2917383909;2;15.5928907394;8.625;4;18.8461898565;
8;2;13.5812826157;10.0;5;21.817143321;2;16.3077144623;8.79749965668;4;19.2405949831;
9;2;14.637714386;10.1999998093;5;22.2793469429;2;16.5443572998;8.94309806824;4;20.1585245132;
10;2;15.0257053375;10.3632001877;5;23.5656701326;2;17.0951137543;9.3333568573;4;20.9767100811;
11;2;15.604552269;10.9097137451;5;24.691826582;2;19.0951137543;9.6677980423;4;21.7020223141;
12;2;16.111322403;11.3658018112;5;25.6707911491;2;21.0951137543;9.94955635071;4;22.3446578979;
13;2;18.700843811;11.7372808456;5;26.5228655338;2;22.3866710663;10.1834592819;4;22.9165091515;
14;2;20.700843811;12.0336990356;5;27.2714657784;2;23.499666214;10.3752222061;4;23.4298532009;
15;2;22.0512657166;12.2662630081;5;27.9399077892;2;24.620973587;10.5308046341;5;23.8345062733;
16;2;23.1900615692;12.446267128;5;28.3811409473;2;25.7507305145;10.625;5;24.0649278164;
17;2;24.3402557373;12.5;5;28.7401795387;2;26.8889846802;10.625;5;24.3094062805;
18;2;25.5018234253;12.5;5;29.1239151955;2;28.0356712341;10.625;5;24.5676383972;
19;2;26.6745052338;12.5;5;29.5311965942;2;28.7405834198;10.625;5;24.8390996456;
20;2;27.2890396118;12.5;5;29.960246563;2;28.903459549;10.625;5;25.1230297089;
21;3;27.4821109772;12.5;4;30.4086403847;2;29.0738182068;10.625;5;25.4184246063;
22;3;27.6838874817;12.5;4;30.873316288;2;29.2510547638;10.625;6;25.7240357399;
23;3;27.8929920197;12.5;5;31.3506221771;2;29.4344215393;10.625;6;26.0383796692;
24;4;28.1077804565;12.5;3;31.8364052773;2;29.6230278015;10.625;6;26.3597574234;
25;4;26.3263816833;13.5;3;32.3261375427;2;29.8158531189;10.625;6;26.6862831116;
26;4;25.3263816833;13.5;3;32.815073967;3;30.0117702484;10.625;5;27.0159239769;
27;4;24.3263816833;13.5;3;33.2984304428;3;30.2095546722;10.625;5;27.3465466499;
28;4;24.3263816833;14.5;3;33.7715711594;3;30.4079284668;10.625;5;27.6759705544;
29;4;24.1972064972;15.5;3;35.2301864624;3;30.6055831909;10.625;5;28.0020260811;
30;4;24.1972064972;14.5;2;35.7004492283;3;28.6055831909;11.625;5;28.3226103783;
31;4;25.1972064972;14.5;2;36.1497271061;3;27.6055831909;12.625;5;28.6357421875;
32;4;25.25;16.2424125671;2;36.5754745007;4;26.75;13.625;4;28.9396104813;
33;4;26.7412948608;16.5;2;36.9758636951;4;26.75;14.4698047638;3;29.2326145172;
34;4;27.7555828094;17.5;2;37.3497761488;4;27.75;16.4698047638;3;29.5133934021;
35;4;27.7701263428;18.5;2;37.6967588663;4;28.75;17.625;2;29.7808465958;
36;4;27.25;20.3320960999;2;38.016951561;4;29.75;18.625;2;30.0341405869;
37;4;28.7999572754;20.3320960999;2;38.3109972477;4;30.75;19.625;2;31.2727050781;
38;4;29.25;22.3320960999;2;38.5799410343;4;32.75;21.625;3;31.5462243557;
39;4;30.25;24.3320960999;3;38.8251299858;5;34.2977371216;22.625;2;32.8415131569;
40;4;31.8464794159;26.3320960999;4;39.0481225252;5;35.0437240601;24.0499992371;1;33.963768363;
41;4;32.25;28.3320960999;4;39.2506008148;5;35.6846885681;25.3980751038;1;34.9283868074;
42;4;33.6627693176;27.5;5;39.4332377911;5;36.2298660278;26.6777667999;1;35.7541165352;
43;4;33.7449569702;27.5;6;39.4700255394;5;36.6904830933;26.8989982605;1;36.4604277611;
44;4;33.0999984741;28.5;6;39.5072168112;5;37.0782318115;27.0717735291;1;37.9051123857;
45;4;33.0999984741;28.5550518036;7;39.5447884798;5;38.3077735901;28.125;1;38.2712177038;
46;4;33.0999984741;28.5813522339;7;39.5827163458;5;39.458946228;29.125;2;39.6179441214;
47;5;34.0999984741;29.6079025269;3;40.6209751368;5;41.2572822571;31.125;1;39.996363163;
48;5;35.0999984741;30.6346817017;4;41.6895384789;5;42.413433075;33.125;1;40.3597193956;
49;5;36.8467941284;31.5;4;41.7789703608;5;41.8310089111;35.125;5;40.709428668;
50;5;37.8642730713;33.5;6;41.8694317341;5;41.9303970337;36.125;5;41.0469633341;
