Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;6.0;14.0;4;20.0;1;11.8999996185;8.625;4;17.25;
2;1;7.0;13.0;6;20.0;1;11.8999996185;8.625;5;17.25;
3;1;8.0;12.0;6;20.0;1;11.8999996185;8.625;5;17.25;
4;1;9.0;11.0;6;20.0;1;11.8999996185;8.625;4;17.25;
5;1;10.0;10.0;6;20.0;1;12.8999996185;8.625;4;17.25;
6;1;11.0;10.0;6;20.0;1;13.8999996185;8.625;4;17.25;
7;1;12.0;10.0;6;20.0;1;14.8999996185;8.625;4;17.5949993134;
8;2;13.0;10.3000001907;5;21.3999996185;2;16.156999588;8.79749965668;3;18.8861961365;
9;2;14.4499998093;10.1999998093;5;21.7964004278;2;16.3317184448;8.94309806824;3;19.7167136669;
10;2;14.8083791733;10.3632001877;5;22.9849785566;2;16.8300266266;9.3333568573;3;20.4375710487;
11;2;15.3432407379;10.9097137451;5;24.0001246929;2;18.8300266266;9.6677980423;3;21.0550626516;
12;2;15.8000564575;11.3658018112;5;24.8538434505;2;20.8300285339;9.94955635071;3;21.5788632631;
13;2;18.3895778656;11.7372808456;5;25.5655838251;2;21.9271945953;10.1834592819;3;22.0204176903;
14;2;20.3895778656;12.0336990356;5;26.1580847502;2;22.9620113373;10.3752222061;3;22.3916525841;
15;2;21.5502433777;12.2662630081;5;26.6542243958;2;23.9980545044;10.5308046341;4;22.6421557665;
16;2;22.6115036011;12.446267128;5;26.9068236351;2;25.035320282;10.625;4;22.7063041925;
17;2;23.6768131256;12.5;5;27.0611462593;2;26.0738105774;10.625;4;22.7724741697;
18;2;24.746257782;12.5;6;27.2247776985;2;27.1135120392;10.625;4;22.8406432867;
19;2;25.8198928833;12.5;6;27.3977591991;2;27.7043857574;10.625;4;22.9107804298;
20;2;26.3289909363;12.5;6;27.5800426006;2;27.7464675903;10.625;4;22.9828453064;
21;2;26.4110183716;12.5;6;27.7714805603;2;27.7897071838;10.625;5;23.0567884445;
22;2;26.4971656799;12.5;6;27.9718174934;2;27.834072113;10.625;5;23.1325509548;
23;2;26.5873184204;12.5;6;28.1806821823;2;27.879529953;10.625;5;23.2100640535;
24;2;26.681306839;12.5;6;28.3975830078;2;27.9260387421;10.625;5;23.2892494202;
25;3;24.7789115906;13.5;5;28.6219055653;2;27.9735488892;10.625;5;23.370018959;
26;3;23.879858017;14.5;5;28.8529140949;2;28.0220108032;10.625;5;23.4522752762;
27;3;22.9838104248;15.5;5;29.089756012;2;28.0713653564;10.625;5;23.5359115601;
28;3;22.0903892517;16.5;5;29.3314704895;2;28.121547699;10.625;5;23.6208124161;
29;3;21.1991615295;17.5;5;29.5770010948;2;28.1724872589;10.625;5;23.7068536282;
30;3;20.3096504211;18.5;6;29.8252120018;2;28.224111557;10.625;5;23.7939035892;
31;3;19.4213447571;19.5;6;30.0749063492;2;28.276342392;10.625;5;23.8818233013;
32;3;18.4213447571;18.5;6;30.3248500824;2;28.3290939331;10.625;5;23.9704678059;
33;3;19.25;18.5;6;30.5737948418;2;28.3822803497;10.625;6;24.0596864223;
34;3;18.25;17.5;6;30.8205022812;2;28.4358119965;12.625;7;24.1493241787;
35;3;18.25;18.5;5;31.0637698174;3;28.4895935059;14.625;6;24.239222765;
36;3;17.9786968231;19.5;5;31.3024535179;3;28.5435333252;16.625;7;24.329221487;
37;3;17.0861034393;20.5;5;31.5354895592;3;28.5975322723;18.625;7;24.4191586971;
38;3;16.9409713745;21.5;5;31.7619123459;3;28.6514949799;20.625;8;24.508872509;
39;3;17.0428600311;22.5;6;31.9808688164;3;28.705324173;20.625;7;24.598202467;
40;3;17.1413917542;23.5;8;32.1916303635;3;28.7589225769;20.625;7;24.6869900227;
41;3;16.1413917542;22.5;7;32.3935980797;4;28.8121948242;20.625;6;44.7750804424;
42;3;18.1413917542;22.5;7;32.5863051414;4;29.8650474548;21.625;6;46.0623240471;
43;3;20.1413917542;22.5;10;32.7694153786;4;30.9173927307;22.625;7;48.1661736965;
44;3;19.1413917542;22.5;10;32.9427189827;4;32.9691467285;24.625;7;49.0916523933;
45;3;21.1413917542;22.5;10;33.1061229706;4;35.0202178955;26.625;8;49.8538858891;
46;3;20.1413917542;23.5;13;33.259642601;4;36.0705299377;28.625;8;50.4736709595;
47;3;22.1413917542;22.5;13;33.4033899307;5;37.1200141907;29.625;7;50.9736938477;
48;3;22.0;23.5;13;33.5375595093;5;38.1686019897;30.625;7;51.360370636;
49;3;23.0;24.5;14;33.6624164581;5;38.8412208557;31.3250007629;7;51.4380412102;
50;3;25.0;22.5;15;33.7782831192;5;38.8878250122;31.3250007629;7;51.5139269829;
51;3;25.0;23.5;15;33.8855285645;5;38.9333572388;31.3250007629;9;51.5879516602;
