Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;6.0;14.0;4;20.0;1;11.8999996185;8.625;4;17.25;
2;1;7.0;13.0;6;20.0;1;11.8999996185;8.625;5;17.25;
3;1;8.0;12.0;6;20.0;1;11.8999996185;8.625;5;17.25;
4;1;9.0;11.0;6;20.0;1;11.8999996185;8.625;5;17.25;
5;1;10.0;10.0;6;20.0;1;12.8999996185;8.625;5;17.25;
6;1;11.0;10.0;6;20.0;2;14.8999996185;8.625;4;18.25;
7;1;12.0;10.0;6;20.0;2;16.8999996185;8.625;4;18.5949993134;
8;2;13.0;10.3000001907;5;21.3999996185;2;18.5569992065;8.79749965668;4;18.8861961365;
9;2;14.0;10.1999998093;5;21.9364004135;2;19.3317184448;8.94309806824;4;19.7067136765;
10;2;14.3268795013;10.3632001877;5;23.3414865732;2;19.8240280151;9.3333568573;4;20.416779995;
11;2;14.8187427521;10.9097137451;5;24.6414520741;2;21.8240280151;9.6677980423;4;21.0226662159;
12;2;15.2292222977;11.3658018112;5;25.8635940552;2;23.8240280151;9.94955635071;4;21.5340260267;
13;2;17.8187427521;11.7372808456;5;27.0443944931;2;24.9002914429;10.1834592819;4;21.9622858763;
14;2;19.8187427521;12.0336990356;5;28.2246863842;2;25.9271316528;10.3752222061;4;22.3193571568;
15;2;21.8187427521;12.2662630081;5;29.4452576637;2;26.9546756744;10.5308046341;5;22.5548160076;
16;2;23.8187427521;12.446267128;5;30.5746860504;2;27.9829177856;10.625;5;22.6030313969;
17;2;25.3273506165;12.5;5;31.769080162;2;29.0118465424;10.625;5;22.6523760557;
18;2;26.8648300171;12.5;6;33.1385269165;2;30.0414543152;10.625;5;22.7028282881;
19;2;28.4810791016;12.5;6;34.6735725403;2;30.6216964722;10.625;5;22.7543625832;
20;2;29.6031074524;12.5;6;36.3496570587;2;30.6526184082;10.625;5;22.8069496155;
21;2;30.3573455811;12.5;6;38.1259174347;2;30.6841697693;10.625;5;22.8605561256;
22;3;31.1566619873;12.5;6;39.9470176697;2;30.7163333893;10.625;6;22.9151450396;
23;3;31.9761581421;12.5;6;41.7485790253;2;30.7490882874;10.625;6;22.97067523;
24;3;32.7868614197;12.5;6;43.4655456543;2;30.7824058533;10.625;6;23.0271017551;
25;3;31.5594959259;13.5;6;45.0414791107;2;30.8162612915;10.625;6;23.0843759775;
26;3;31.2686653137;14.5;6;46.4360694885;2;30.8506259918;10.625;6;23.1424454451;
27;3;30.896232605;15.5;6;47.6287574768;2;30.8854675293;10.625;6;23.2012542486;
28;3;29.896232605;14.5;5;48.6179161072;2;30.920753479;10.625;6;23.2607431412;
29;3;28.896232605;14.5;5;49.4166946411;2;30.956445694;10.625;6;23.3208494186;
30;3;28.896232605;15.5;5;50.0474529266;2;30.9925098419;10.625;6;23.3815076351;
31;3;28.896232605;16.5;6;50.5365161896;2;31.0289039612;10.625;7;23.4426498413;
32;3;28.7414321899;17.5;6;50.910238266;3;31.0655899048;10.625;6;23.5042052269;
33;3;27.9096069336;18.5;6;51.0;3;31.1025238037;12.625;6;23.5661010742;
34;3;26.9500007629;19.5;6;51.0;3;31.1396598816;14.625;6;23.6282629967;
35;3;25.9500007629;20.5;6;51.0;3;31.1769580841;16.625;7;23.6906147003;
36;3;25.7000007629;22.5;6;51.0;3;31.2143688202;18.625;7;23.7530794144;
37;3;25.7000007629;24.5;7;52.0;3;31.2518482208;20.625;7;23.8155794144;
38;3;27.7000007629;24.5;8;52.0299999714;3;31.2893486023;20.625;8;23.878036499;
39;3;29.7000007629;25.5;9;52.0605909824;3;31.3268222809;20.625;8;23.940372467;
40;3;31.1772651672;26.5;9;52.091766119;4;31.3642234802;20.625;7;24.0025100708;
41;3;32.1912956238;26.5;10;52.1235172749;4;31.401506424;20.625;7;24.0643725395;
42;3;32.7000007629;27.5;11;52.1558350325;4;31.4386234283;20.625;8;24.1258842945;
43;4;34.220123291;27.5;10;67.1887089014;4;31.4755306244;20.625;8;24.186971426;
44;4;35.7000007629;28.5;10;67.9721269608;4;31.5121822357;20.625;8;24.2475619316;
45;4;38.2499580383;29.5;10;68.6754505634;4;31.548538208;20.625;8;24.3075861931;
46;4;39.7000007629;31.3792533875;11;69.2978317738;4;31.5845527649;20.625;8;24.3669772148;
47;4;41.7000007629;32.4033813477;11;69.8417782784;4;31.6201858521;20.625;8;24.4256706238;
48;4;44.2964782715;32.5;12;70.3122855425;4;31.6554031372;20.625;8;25.4836053848;
49;4;44.9500007629;33.452671051;13;70.715965271;4;32.6901626587;21.625;8;25.5907235146;
50;4;44.5785942078;33.5;13;71.0602557659;4;33.7244338989;22.625;8;25.6989459991;
51;4;44.5949554443;34.5;15;71.3527884483;4;33.7581825256;23.625;8;26.7302234173;
