Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;6.0;14.0;4;20.0;1;11.8999996185;8.625;4;17.25;
2;1;7.0;13.0;6;20.0;1;11.8999996185;8.625;5;17.25;
3;1;8.0;12.0;6;20.0;1;11.8999996185;8.625;5;17.25;
4;1;9.0;11.0;6;20.0;1;11.8999996185;8.625;5;17.25;
5;1;10.0;10.0;6;20.0;1;12.8999996185;8.625;4;17.25;
6;1;11.0;10.0;6;20.0;1;13.8999996185;8.625;4;17.25;
7;1;12.0;10.0;6;20.0;1;14.8999996185;8.625;4;17.5949993134;
8;1;13.0;10.0;6;20.3999996185;2;16.5569992065;8.79749965668;3;18.8861961365;
9;2;15.0;10.5;5;21.7264003754;2;17.7317180634;8.94309806824;3;19.7067136765;
10;2;16.3268795013;10.3632001877;5;22.8694274426;2;19.2000274658;9.3333568573;3;20.416779995;
11;2;17.8187427521;10.9097137451;5;24.7063565254;2;21.2000274658;9.6677980423;3;21.0226662159;
12;2;18.6219711304;11.8021907806;5;26.2699769735;2;23.2000274658;9.94955635071;3;21.5340260267;
13;2;20.8187427521;12.5570135117;5;27.5530358553;2;24.9002914429;10.1834592819;3;21.9622858763;
14;2;22.8187427521;13.170545578;5;28.5748610497;2;25.1773719788;10.3752222061;2;22.3193571568;
15;2;23.8187427521;13.6524438858;5;29.3708281517;2;24.6369667053;10.7823543549;2;22.5548160076;
16;2;24.8187427521;14.0203924179;5;29.9823199511;2;25.5328903198;10.625;2;22.6030313969;
17;2;25.8187427521;14.2950820923;5;30.4495426416;2;25.5618190765;10.625;2;22.6523760557;
18;2;26.8187427521;14.4966192245;6;30.5224741697;2;25.5914268494;10.625;2;22.7028282881;
19;2;27.8187427521;14.5;6;30.5906432867;2;25.6216964722;10.625;2;22.7543625832;
20;2;28.8187427521;14.5;6;30.6607804298;2;25.6526184082;10.625;2;22.8069496155;
21;2;29.8187427521;14.5;6;30.7328453064;2;27.6841697693;10.625;3;22.8605561256;
22;2;30.0499992371;14.5;5;30.8067884445;2;28.7163333893;10.625;3;22.9151450396;
23;3;30.0499992371;14.5;5;30.8825509548;2;29.7490882874;10.625;3;22.97067523;
24;3;30.0499992371;14.5;6;30.9600640535;2;30.7824058533;10.625;3;23.0271017551;
25;3;28.0499992371;15.5;6;31.0392494202;2;30.8162612915;10.625;3;23.0843759775;
26;4;27.0499992371;16.5;5;31.120018959;2;30.8506259918;10.625;3;23.1424454451;
27;4;26.0499992371;17.5;5;31.2022752762;2;30.8854675293;10.625;3;23.2012542486;
28;4;25.0499992371;18.5;5;31.2859115601;3;30.920753479;10.625;2;23.2607431412;
29;4;24.0499992371;19.5;5;31.3708124161;3;29.75;11.625;2;23.3208494186;
30;4;23.0499992371;20.5;5;32.4568536282;3;29.75;11.6604251862;2;23.3815076351;
31;4;23.0499992371;22.2000007629;6;32.5739035606;3;29.75;11.6907539368;3;23.4426498413;
32;4;23.0499992371;23.2210006714;5;32.6924142838;4;29.75;11.7213249207;2;23.5042052269;
33;4;22.0499992371;24.2424144745;5;32.8122339249;4;29.75;10.625;2;23.5661010742;
34;4;21.0499992371;25.2642364502;5;32.9332036972;4;30.75;12.625;2;23.6282629967;
35;4;20.0499992371;26.2864627838;5;34.0551592112;4;31.1769580841;14.625;2;23.6906147003;
36;4;20.0499992371;28.0090847015;5;34.2479317188;4;31.2143688202;16.625;2;23.7530794144;
37;4;22.5849189758;29.0090847015;3;34.4454995394;4;31.2518482208;18.625;2;24.8155794144;
38;4;24.114824295;31.0090847015;7;34.6478271484;4;32.2893486023;21.625;2;24.9280364513;
39;4;24.0499992371;33.0090866089;7;34.8548668623;4;33.3268203735;22.625;3;25.9711890221;
40;4;25.6374530792;35.0090827942;9;35.0665576458;4;33.9215278625;24.0499992371;3;26.8661655188;
41;4;27.2732601166;35.5;10;35.2828233242;4;34.4261283875;25.3980751038;3;27.6297510862;
42;4;27.7181930542;35.452671051;10;35.5035713911;5;34.8506851196;26.6777667999;2;28.2814493179;
43;4;28.6785926819;35.5;11;35.7286908627;5;35.2068862915;26.8989982605;2;28.8408818245;
44;4;29.6949558258;35.6781921387;11;35.958050251;5;35.5065002441;27.0717735291;2;29.1654459238;
45;5;28.5167617798;35.5;11;36.191496253;5;33.5703735352;28.125;2;30.3873218298;
46;5;28.9052619934;34.5;12;36.42885077;5;32.5499992371;30.9655094147;2;30.6424742937;
47;5;29.9574279785;35.5;12;36.6699098349;5;34.5499992371;31.0450000763;2;30.900978446;
48;5;31.723947525;34.5;12;36.9144417048;5;32.5499992371;33.1248703003;3;31.1622908115;
49;5;32.7975463867;34.5;12;37.1621854305;6;33.5499992371;33.2048721313;3;32.4258515835;
