Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;6.0;14.0;4;20.0;1;11.8999996185;8.625;4;17.25;
2;1;7.0;13.0;6;20.0;1;11.8999996185;8.625;4;17.25;
3;1;8.0;12.0;6;20.0;1;11.8999996185;8.625;4;17.25;
4;1;9.0;11.0;6;20.0;1;11.8999996185;8.625;4;17.25;
5;1;10.0;10.0;6;20.0;1;12.8999996185;8.625;4;17.25;
6;1;11.0;10.0;6;20.0;1;13.8999996185;8.625;4;17.25;
7;1;12.0;10.0;6;20.0;1;14.8999996185;8.625;5;17.5949993134;
8;1;13.0;10.0;6;20.3999996185;2;15.5569992065;8.79749965668;4;17.8861961365;
9;2;14.0;10.5;5;21.7264003754;2;15.7317180634;8.94309806824;5;18.6667137146;
10;2;14.7768793106;10.3632001877;5;22.8594274521;3;16.8000278473;9.3333568573;4;20.3355960846;
11;2;15.2867431641;10.9097137451;5;23.8127875328;3;18.8000278473;9.6677980423;4;21.0516127348;
12;2;15.7157554626;11.3658018112;5;24.5981152058;3;20.8000278473;9.94955635071;4;21.6934173107;
13;2;18.3052749634;11.7372808456;5;25.2345055342;3;21.9959259033;10.1834592819;4;22.2749031782;
14;2;20.3052749634;12.0336990356;5;25.7443674803;3;22.3649425507;10.3752222061;4;22.8105528355;
15;2;21.3640708923;12.2662630081;5;26.1502821445;3;22.6863327026;10.5308046341;4;23.2525589466;
16;2;22.3847293854;12.446267128;5;26.3048160076;3;22.9515342712;10.625;4;23.5378723145;
17;2;23.4059104919;12.5;5;26.3530313969;3;23.1227226257;10.625;4;23.8573079109;
18;2;24.4276065826;12.5;6;26.4023760557;3;23.3143844604;10.625;4;24.2130148411;
19;2;25.4498119354;12.5;6;26.4528282881;3;23.5278091431;10.625;4;24.6067101955;
20;2;25.9037723541;12.5;6;26.5043625832;3;23.7640266418;10.625;4;25.0395004749;
21;2;25.9269638062;12.5;6;26.5569496155;3;26.0237007141;10.625;4;25.5116910934;
22;2;25.9506263733;12.5;7;26.6105561256;3;27.3070144653;10.625;4;26.0225958824;
23;2;25.9747505188;12.5;6;26.6651450396;3;28.6135578156;10.625;4;26.5703659058;
24;2;25.9993152618;12.5;6;26.72067523;3;29.9422187805;10.625;4;27.1518626213;
25;2;24.0243034363;13.5;6;26.7771017551;3;30.2911186218;10.625;4;27.7625956535;
26;2;23.0496959686;14.5;6;26.8343759775;3;30.6575584412;10.625;4;28.3967533112;
27;2;22.0754699707;15.5;6;26.8924454451;3;31.0380516052;10.625;4;29.0473399162;
28;2;21.101600647;16.5;6;26.9512542486;3;31.4284038544;10.625;4;29.7064228058;
29;2;20.1280651093;17.5;6;27.0107431412;3;31.8238525391;10.625;4;30.365480423;
30;2;19.1548347473;18.5;5;27.0708494186;3;32.2192878723;10.625;4;31.0158262253;
31;2;18.1818828583;19.5;5;27.1315076351;3;32.6094970703;10.625;4;31.6490592957;
32;2;17.2091789246;20.5;5;27.1926498413;3;32.9894332886;10.625;4;32.2575025558;
33;2;16.2366924286;21.5;5;27.2542052269;3;33.3544998169;10.625;5;32.8345708847;
34;2;15.2643928528;22.5;5;27.3161010742;3;33.7007446289;12.625;6;33.375041008;
35;2;15.0422458649;23.5;7;27.3782629967;4;34.0250244141;14.625;5;33.8751935959;
36;2;15.0702180862;24.5;7;27.4406147003;4;34.3251152039;16.625;6;34.3328323364;
37;2;15.0982761383;25.5;8;27.5030794144;4;34.5997009277;18.625;6;34.7471876144;
38;2;15.1263856888;26.5;9;27.5655794144;4;34.8483123779;20.625;7;35.1187400818;
39;2;15.154510498;27.5;9;27.628036499;5;35.0712432861;20.625;6;50.4489908218;
40;2;15.1826162338;28.5;10;27.690372467;5;36.2693939209;21.625;6;51.4902133942;
41;2;15.2106676102;29.5;11;27.7525100708;5;37.4441299438;22.625;7;52.4145851135;
42;2;16.2386302948;27.5;12;27.8143725395;5;38.5971260071;23.625;7;53.2243852615;
43;2;16.0;27.5;13;27.8758842945;5;39.730255127;24.625;7;53.9253787994;
44;3;19.0;28.5;12;28.936971426;5;40.8454666138;25.625;7;54.4513263702;
45;3;20.0;29.5;14;29.027561903;5;41.9000015259;25.625;7;54.8190898895;
46;3;21.0;30.5;14;29.1181771755;5;42.0217971802;25.625;10;55.1270179749;
47;4;22.0;31.5;11;44.2087433338;6;42.0910797119;25.625;9;55.3827629089;
48;4;25.0;32.5;13;46.3926970959;6;40.1486206055;26.625;9;55.5;
49;4;27.4711303711;32.5;13;48.2334233522;6;39.1749992371;27.625;9;55.5;
50;4;28.0;33.5;13;49.7640935183;6;38.1749992371;28.625;10;55.5;
51;5;30.0;34.9937896729;13;51.0279603004;6;37.1749992371;29.625;10;57.4387493134;
52;5;33.0;34.2754020691;14;52.0700409412;6;36.781375885;31.0234375;10;59.0682106018;
53;5;35.7541351318;34.4822807312;14;52.6676046848;6;36.2790145874;32.3489723206;10;60.4192428589;
54;5;36.947883606;34.5;14;53.1704659462;6;35.6806793213;33.6102333069;10;61.5270404816;
55;5;37.1391525269;34.5;14;53.6211863756;6;35.0004653931;34.8168411255;11;64.4125671387;
56;5;37.2684783936;34.5;15;53.9329147339;6;37.0989532471;37.7062835693;11;64.7105000615;
57;5;37.3662185669;34.5;15;54.1264035702;6;38.0989532471;38.7062835693;10;64.931876123;
58;5;37.4369239807;34.5;16;55.3183865547;6;38.0989532471;40.7279891968;13;64.9857109189;
59;5;38.5067596436;35.5;16;55.5783808231;7;36.0989532471;44.7279891968;12;65.0001268983;
60;5;39.5755233765;36.5;17;55.8400802612;7;37.0989532471;46.0;13;65.0231560469;
61;5;39.6430130005;37.5;17;56.1031979322;7;36.5146751404;46.0;13;65.054292798;
62;6;39.7090492249;38.5;10;71.3674714565;7;36.4881057739;47.0;16;65.0930743217;
63;7;40.7734680176;40.5;9;74.5475918055;7;36.4641876221;48.0;16;65.1390736699;
64;7;40.4237213135;43.0800018311;10;77.2405167818;7;36.4426651001;49.0;16;65.1918936968;
65;8;41.9161643982;43.5082702637;10;79.5075950623;7;36.4232940674;50.0;17;65.2511613369;
66;8;43.2811508179;44.8158721924;10;81.3500653505;8;36.4058609009;51.0;21;65.316522181;
67;8;41.5187301636;47.0;10;82.6444169283;8;36.0989532471;52.0;22;65.3876363039;
68;8;42.5734710693;46.0;12;83.5976489782;8;36.0989532471;53.0;22;65.4641735256;
