Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;6.0;14.0;4;20.0;1;11.8999996185;8.625;4;17.25;
2;1;7.0;13.0;6;20.0;1;11.8999996185;8.625;5;17.25;
3;1;8.0;12.0;6;20.0;1;11.8999996185;8.625;5;17.25;
4;1;9.0;11.0;6;20.0;2;12.2999992371;8.625;4;18.25;
5;1;10.0;10.0;6;20.0;2;13.5;8.625;4;18.3624999523;
6;1;11.0;10.0;6;20.0;2;14.5674991608;8.625;4;18.4864046574;
7;1;12.0;10.0;6;20.0;2;15.6418428421;8.625;4;18.9799406528;
8;2;13.0;10.3000001907;5;21.3999996185;2;16.3879642487;8.79749965668;4;19.4354615211;
9;2;14.4499998093;10.1999998093;5;21.8264003992;2;16.661277771;8.94309806824;4;20.4437325001;
10;2;14.8218793869;10.3632001877;5;23.0613274574;2;17.2662391663;9.3333568573;4;21.369802475;
11;2;15.3775978088;10.9097137451;5;24.1319464445;2;19.2662391663;9.6677980423;4;22.2224977016;
12;2;15.8593769073;11.3658018112;5;25.0513429642;2;21.2662391663;9.94955635071;4;23.013872385;
13;2;18.4488964081;11.7372808456;5;25.8400663137;2;22.7882003784;10.1834592819;4;23.7574646473;
14;2;20.4488964081;12.0336990356;5;26.5219442844;2;22.2000274658;10.9766263962;4;24.4668486118;
15;2;21.7139816284;12.2662630081;5;27.12089324;2;23.2000274658;11.2118520737;5;25.092634201;
16;2;22.8215045929;12.446267128;5;27.4906733036;2;25.2000274658;10.625;5;25.5694036484;
17;2;23.9395446777;12.5;5;27.7773330212;2;27.2000274658;10.625;5;26.0847344398;
18;2;25.0685424805;12.5;5;28.0890238285;2;29.1008682251;10.625;5;26.6366324425;
19;2;26.2088031769;12.5;5;28.4260663986;2;29.9819793701;10.625;5;27.2218022346;
20;2;26.7917289734;12.5;6;28.788336277;2;30.3330802917;10.625;5;27.8355960846;
21;2;26.9547519684;12.5;7;29.1751885414;2;30.7013587952;10.625;5;28.4720544815;
22;2;27.1288337708;12.5;7;29.585392952;2;31.0832328796;10.625;5;29.1240577698;
23;2;27.3134269714;12.5;7;30.0170898438;2;31.4744338989;10.625;5;29.7835845947;
24;2;27.5076904297;12.5;7;30.4677705765;2;31.8701515198;10.625;6;30.442070961;
25;2;27.7104969025;12.5;8;30.9342932701;2;32.2652435303;10.625;6;31.0908403397;
26;2;25.9204330444;13.5;9;31.4129357338;2;30.2652435303;11.625;7;31.7215557098;
27;2;25.1358222961;14.5;9;31.8994894028;2;29.2652435303;12.625;7;32.3266487122;
28;3;24.3547706604;15.5;8;32.3893885612;2;28.2652435303;13.625;7;32.8996829987;
29;3;23.3547706604;14.5;8;32.877872467;2;27.2652435303;14.625;7;33.4356050491;
30;3;22.3547706604;14.5;8;33.360165596;2;24.75;16.625;7;33.9308757782;
31;3;22.3547706604;15.5;9;33.8316650391;2;25.75;16.625;8;34.3834724426;
32;4;22.2242488861;16.5;6;52.2881155014;2;26.75;17.1917362213;9;34.7927808762;
33;4;20.2242488861;18.5;6;53.6257600784;2;26.75;17.3963909149;9;35.1594133377;
34;4;19.2242488861;20.5;6;54.816362381;2;26.75;19.3963909149;10;35.4849748611;
35;4;18.25;22.5;7;55.8618860245;3;26.75;21.3963909149;9;35.7718133926;
36;4;18.25;24.5;7;56.7700500488;3;26.75;23.3963909149;9;36.0227775574;
37;4;19.0;26.5;8;58.5522499084;3;26.75;25.3963909149;9;36.2410039902;
38;4;21.0;29.2000007629;9;59.2417273521;3;26.75;27.3963909149;9;36.4297399521;
39;4;23.0;31.2140007019;9;59.8323731422;3;26.75;28.2148704529;10;36.5;
40;4;25.46808815;32.2140007019;11;60.1471792459;3;26.75;28.25;10;36.5;
41;3;18.0;32.2140007019;12;38.3990134001;4;26.75;28.25;8;58.5;
42;3;17.4865188599;32.2140007019;12;38.6269619465;4;27.75;29.25;8;58.5;
43;3;17.4958534241;32.2140007019;12;38.832613349;4;28.75;30.25;8;58.5;
44;3;18.0;33.2140007019;13;39.0176720619;5;30.75;32.25;7;59.5;
45;3;17.514749527;31.5;13;39.1651208401;5;33.75;32.25;8;59.5399999619;
46;3;18.5243034363;31.5;15;39.1864993572;5;35.75;33.25;8;60.5811839104;
47;3;19.5339241028;31.5;15;39.2080165148;5;38.75;34.25;8;60.7285535336;
48;3;20.5436077118;32.5;14;39.2296639681;5;41.75;35.25;10;60.8869721889;
49;3;21.5533485413;33.5;15;39.2514331341;5;43.75;35.25;10;61.057109952;
50;3;22.4131450653;34.5;15;39.2733153105;5;45.75;35.25;10;61.2396247387;
51;3;22.4229927063;35.5;16;39.2953014374;5;47.75;35.625;11;61.4351490736;
52;4;22.4328861237;36.5;10;49.3173824549;5;49.75;35.625;11;61.6442729235;
