Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;6.0;14.0;4;20.0;1;11.8999996185;8.625;4;17.25;
2;1;7.0;13.0;6;20.0;1;11.8999996185;8.625;4;17.25;
3;1;8.0;12.0;6;20.0;1;11.8999996185;8.625;4;17.25;
4;1;9.0;11.0;6;20.0;1;11.8999996185;8.625;4;17.25;
5;2;10.0;10.3000001907;5;21.0;1;12.8999996185;8.625;4;17.25;
6;2;11.4499998093;10.0;5;21.0599999428;1;13.8999996185;8.625;3;17.25;
7;2;12.4770002365;10.0;5;21.1229639053;1;14.8999996185;8.625;3;17.5949993134;
8;2;13.5053339005;10.0;5;21.6001901627;1;15.5569992065;8.79749965668;2;17.8861961365;
9;2;14.5400857925;10.1999998093;5;22.0082015991;2;16.3317184448;8.94309806824;1;19.6667137146;
10;2;14.9036903381;10.3632001877;5;23.2129787207;2;16.8000278473;9.3333568573;1;20.365596056;
11;2;15.4458408356;10.9097137451;5;24.245090127;2;18.8000278473;9.6677980423;1;20.9597036839;
12;2;15.9102916718;11.3658018112;5;25.1164904833;2;20.8000278473;9.94955635071;1;21.4586846828;
13;2;18.4998111725;11.7372808456;5;25.8465604782;2;21.8550872803;10.1834592819;1;21.8739616871;
14;2;20.4998111725;12.0336990356;5;26.4579504728;2;22.8741378784;10.3752222061;1;22.2174443007;
15;2;21.6851844788;12.2662630081;5;26.9734284878;2;23.8935279846;10.5308046341;2;22.4387089014;
16;2;22.7551460266;12.446267128;5;27.245682478;2;24.9132537842;10.625;2;22.4721269608;
17;2;23.8292999268;12.5;5;27.4198198318;2;25.933303833;10.625;2;22.5060760975;
18;2;24.907661438;12.5;5;27.6032464504;2;26.9536724091;10.625;2;22.5405418873;
19;2;25.9902038574;12.5;5;27.7958021164;2;27.5243244171;10.625;2;22.5755085945;
20;2;26.5081100464;12.5;6;27.9972171783;2;27.5453052521;10.625;2;22.6109591722;
21;2;26.5987472534;12.5;6;28.207105875;2;27.566576004;10.625;3;22.6468753815;
22;2;26.6931972504;12.5;6;28.4249610901;2;27.5881252289;10.625;3;22.6832377911;
23;2;26.7912330627;12.5;6;28.6501536369;2;27.6099433899;10.625;3;22.7200255394;
24;2;26.8925685883;12.5;5;28.8819327354;2;27.6320152283;10.625;3;22.7572168112;
25;2;26.9968700409;12.5;6;29.1194319725;2;27.6543292999;10.625;3;22.7947884798;
26;2;27.1037445068;12.5;7;29.3616781235;2;27.6768722534;10.625;3;22.8327163458;
27;3;27.2127552032;12.5;6;29.60760355;2;27.6996307373;10.625;3;22.8709751368;
28;3;27.3234214783;12.5;6;29.8560638428;2;27.7225856781;10.625;3;22.9095385075;
29;3;27.4352283478;12.5;5;30.1058568954;2;27.7457237244;10.625;3;22.9483793974;
30;3;25.4352283478;13.5;6;30.3557448387;2;27.76902771;10.625;3;22.9874696732;
31;3;25.25;14.5;6;30.6044793129;2;27.7924823761;10.625;3;23.0267804861;
32;3;25.25;15.5;6;30.8508253098;2;27.8160686493;10.625;3;23.0662822723;
33;3;24.25;14.5;5;31.0935864449;2;27.8397693634;10.625;3;23.1059447527;
34;3;24.25;14.5;5;31.3316273689;2;27.8635673523;10.625;4;23.1457372904;
35;3;23.25;13.5;5;31.5638952255;2;27.8874416351;12.625;4;23.1856285334;
36;3;24.25;14.5;5;32.7894377708;3;27.9113769531;14.625;5;23.2255871296;
37;3;24.25;13.5;5;33.047416687;3;27.9353523254;16.625;5;23.265581131;
38;3;27.25;16.5;5;33.2983036041;3;27.9593486786;18.625;5;23.3055787086;
39;3;29.25;19.5;5;33.5415170193;3;27.9833469391;20.625;5;23.3455479145;
40;3;30.5880832672;22.5;5;33.7766054869;3;28.0073280334;20.625;5;23.385456562;
41;3;31.1994724274;25.5;5;34.0032447577;3;28.0312728882;20.625;5;23.42527318;
42;3;31.3014583588;27.5;12;34.221231699;3;28.0551643372;20.625;5;23.4649660587;
43;4;31.3995552063;27.5;5;42.4304778576;3;28.0789794922;20.625;5;23.5045039654;
44;4;32.4937133789;28.5;5;42.87099576;3;28.1027030945;20.625;6;23.543856144;
45;4;32.9750823975;30.4471225739;6;43.2903136015;3;28.1263141632;20.625;6;23.5829925537;
46;4;34.0392303467;31.4816627502;6;43.6882103682;3;29.1497955322;21.625;5;24.6218836308;
47;4;35.7528572083;31.5;6;44.0647263527;3;30.1731300354;22.625;5;24.7105007172;
48;4;35.819694519;33.5;9;44.4201374054;3;30.8263015747;23.625;6;24.8007905483;
49;4;35.9277610779;33.5898666382;9;44.7549176216;4;30.8804740906;24.625;5;24.8927510977;
50;4;36.7527923584;32.5;10;45.069709897;4;30.2420806885;25.625;5;24.9863761663;
51;4;34.0766906738;34.5;9;45.2787282467;4;30.9918251038;25.625;6;25.0816545486;
52;4;35.8959197998;32.5;9;45.472976923;4;31.048992157;25.625;6;25.1785697937;
53;4;36.1629638672;33.5;9;45.6566978693;4;31.1071434021;25.625;6;25.277099967;
54;4;36.2466964722;33.7840652466;9;45.8304423094;4;31.1662597656;25.625;6;25.3772169352;
55;4;36.2813987732;33.8247108459;9;45.9891030788;4;31.2263298035;25.625;6;26.4788857698;
56;4;36.2999992371;33.8923721313;9;47.2687752247;4;32.2873306274;26.625;7;27.5404349566;
57;4;34.75;35.4621429443;9;48.3184363842;4;33.8882598877;28.0234375;7;28.4679634571;
58;4;37.0871124268;33.3899993896;6;49.1728277206;4;34.4069976807;29.3489723206;8;29.2789094448;
59;4;35.4020652771;34.6872596741;6;49.868190527;6;34.853969574;30.6102333069;6;29.9926455021;
60;4;36.6509094238;33.9097442627;6;50.2899866104;6;35.2407569885;31.8168411255;6;30.6282149553;
61;5;37.7818641663;34.0;6;50.5225567818;6;35.578754425;32.6434402466;6;30.9963706732;
62;5;37.6499977112;35.0;8;50.7429599762;6;35.7543945312;32.7028579712;6;31.3330643177;
63;5;37.0999984741;35.0;8;50.8597288132;6;35.9092292786;32.7421760559;6;31.6814450026;
64;5;36.3868751526;36.0;8;50.9781293869;6;36.0691375732;32.7831115723;6;32.0411343575;
65;6;35.4401550293;37.0;7;67.0979058743;6;36.2338867188;32.8256645203;7;33.4116257429;
66;6;37.4940567017;36.0;8;68.0187883377;6;35.3601760864;36.7831115723;7;33.8222788572;
67;6;39.5484542847;36.0;8;69.8460981846;6;36.46459198;39.7831115723;7;34.2978435755;
