Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;6.0;14.0;4;20.0;1;11.8999996185;8.625;4;17.25;
2;1;7.0;13.0;6;20.0;1;11.8999996185;8.625;5;17.25;
3;1;8.0;12.0;6;20.0;1;11.8999996185;8.625;5;17.25;
4;2;9.0;11.3000001907;5;21.0;1;11.8999996185;8.625;5;17.25;
5;2;10.3000001907;10.0;4;21.0599999428;1;12.8999996185;8.625;4;17.25;
6;2;11.4770002365;10.0;3;21.1229639053;2;14.5;8.625;3;18.25;
7;2;12.5053339005;10.0;3;21.1889609098;2;15.5;8.625;3;18.5949993134;
8;2;13.5350322723;10.0;3;21.6699410677;2;16.156999588;8.79749965668;3;18.8861961365;
9;2;14.5714740753;10.1999998093;3;22.0818096399;2;16.3317184448;8.94309806824;3;19.696713686;
10;2;14.9368133545;10.3632001877;3;23.2920063734;2;16.8180274963;9.3333568573;3;20.396187067;
11;2;15.4814033508;10.9097137451;3;24.3297555447;2;18.8180274963;9.6677980423;3;20.9908788204;
12;2;15.9483909607;11.3658018112;3;25.2069878578;2;20.8180274963;9.94955635071;3;21.4904358387;
13;2;18.5379104614;11.7372808456;3;25.9430538416;2;21.8741378784;10.1834592819;2;21.9062794447;
14;2;20.5379104614;12.0336990356;3;26.5605664253;2;22.8935279846;10.3752222061;2;22.2503181696;
15;2;21.7313613892;12.2662630081;3;27.0822491646;2;23.9132537842;10.5308046341;3;22.4721269608;
16;2;22.8041152954;12.446267128;3;27.3607378006;2;24.933303833;10.625;3;22.5060760975;
17;2;23.8810749054;12.5;3;27.5410807133;2;25.9536724091;10.625;3;22.5405418873;
18;2;24.962228775;12.5;4;27.7306177616;2;26.9743518829;10.625;3;22.5755085945;
19;2;26.0475196838;12.5;4;27.9291167259;2;27.5453052521;10.625;3;22.6109591722;
20;2;26.5681018829;12.5;4;28.136231184;2;27.566576004;10.625;3;22.6468753815;
21;2;26.6613044739;12.5;4;28.3514947891;2;27.5881252289;10.625;4;22.6832377911;
22;3;26.7581729889;12.5;3;28.5743191242;2;27.6099433899;10.625;4;22.7200255394;
23;3;26.8584442139;12.5;3;28.8039934635;2;27.6320152283;10.625;4;22.7572168112;
24;3;26.9617977142;12.5;3;29.039689064;2;27.6543292999;10.625;4;22.7947884798;
25;3;25.0678596497;13.5;4;29.2804670334;2;27.6768722534;10.625;4;22.8327163458;
26;3;24.1762104034;14.5;4;29.5252895355;2;27.6996307373;10.625;4;22.8709751368;
27;3;23.2863807678;15.5;4;29.7730360031;2;27.7225856781;10.625;4;22.9095385075;
28;3;22.3978652954;16.5;4;30.022521019;3;27.7457237244;10.625;3;22.9483793974;
29;3;21.5101356506;17.5;4;30.2725157738;3;27.76902771;10.625;3;22.9874696732;
30;3;20.5101356506;16.5;4;30.5217733383;3;27.7924823761;10.625;3;23.0267804861;
31;3;21.25;16.5;4;31.769051075;3;27.8160686493;10.625;3;23.0662822723;
32;3;21.25;15.5;4;32.0531368256;3;27.8397693634;10.625;3;23.1059447527;
33;3;22.25;15.2279996872;4;32.3340563774;3;27.8635673523;10.625;3;23.1457372904;
34;3;21.7365322113;14.5;4;32.6107289791;3;27.8874416351;10.625;4;23.1856285334;
35;3;21.25;14.2864875793;4;32.8821657896;3;27.9113769531;12.625;4;23.2255871296;
36;3;20.7751979828;13.5;4;33.1474856138;3;27.9353523254;14.625;4;23.265581131;
37;3;20.7953281403;14.5;4;33.4059250355;3;27.9593486786;16.625;5;23.3055787086;
38;3;20.8159866333;15.5;4;33.6568462849;3;27.9833469391;18.625;5;23.3455479145;
39;3;22.1455821991;18.5;4;33.8997414112;3;28.0073280334;20.625;5;23.385456562;
40;3;22.6460189819;21.5;4;34.1342285872;3;28.0312728882;20.625;5;23.42527318;
41;3;23.7293338776;23.5;7;34.360050559;3;28.0551643372;20.625;6;23.4649660587;
42;3;25.4620227814;25.5;7;34.577064991;3;28.0789794922;20.625;6;24.5045039654;
43;3;25.8827171326;27.5;7;34.7852373123;3;29.1027030945;21.625;7;24.5738561153;
44;3;27.6533546448;27.5;8;34.9846253395;3;30.1263141632;22.625;7;24.6435835361;
45;3;28.7430820465;27.5;9;35.1753712893;3;30.7861499786;23.625;8;24.7136497498;
46;3;29.0796012878;28.5;9;35.3576848507;3;30.8281898499;24.625;8;24.7840180397;
47;3;30.9109573364;27.5;9;35.5318329334;3;30.8704109192;25.625;8;24.8546506166;
48;3;31.1896286011;28.5;11;35.698127389;3;30.9127902985;25.625;9;24.9255100489;
49;3;32.0641555786;27.5;11;35.85691154;4;30.9553070068;25.625;9;24.9965584278;
50;4;31.2840099335;28.5;9;35.9512542486;5;30.9979362488;25.625;6;40.0677573681;
