Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;6.0;14.0;4;20.0;1;6.0;12.6999998093;4;21.0;
2;1;7.0;13.0;4;20.0;1;7.0;11.6999998093;5;21.0;
3;1;8.0;12.0;4;20.0;1;8.0;10.6999998093;5;21.0;
4;2;9.0;11.5;3;21.0;1;8.14999961853;10.5;5;21.0;
5;2;10.0;10.0;3;21.0;1;8.14999961853;10.5;5;21.0;
6;2;11.0;10.0;3;22.0;1;9.14999961853;10.5;5;21.0;
7;2;12.0;10.5;3;22.8600001335;1;9.72500038147;10.5;5;21.0;
8;2;13.0;10.9200000763;3;23.7887406349;1;9.72500038147;10.5;5;21.4200000763;
9;2;14.0;11.3742723465;3;24.559186697;2;9.81949996948;10.9099998474;3;22.758436203;
10;2;15.0;11.7441015244;3;26.1200608015;2;10.1206493378;10.8792181015;3;23.1000000238;
11;2;16.0;12.5088539124;3;27.3984591961;2;10.1975002289;11.0;3;24.8149009943;
12;2;17.0;13.1320819855;3;28.4121506214;2;10.5833530426;11.7700004578;4;26.3006643057;
13;2;19.0;13.622674942;2;29.1957234144;2;12.2819604874;12.4126424789;4;27.5660959482;
14;2;21.0;13.9979324341;3;29.7903963327;2;14.2819604874;12.9308347702;4;28.6384222507;
15;3;22.0;14.2784700394;3;30.2366145849;2;16.2819595337;13.3366470337;4;29.5544860363;
16;3;23.0;14.4845170975;4;30.302216053;2;17.4586315155;13.6469516754;4;30.3533427715;
17;3;24.0;14.5;4;30.3373470306;2;18.5335998535;13.879781723;4;30.9674448967;
18;3;25.0;14.5;4;30.3729559183;2;19.6176757812;14.0;4;31.3838531971;
19;3;26.0;14.5;4;30.4090241194;2;20.7113685608;14.0;4;31.8446035385;
20;3;27.0;14.5;4;30.4455316067;2;21.1650352478;14.0;4;32.350376606;
21;3;27.0499992371;14.5;5;30.4824572802;2;20.2999992371;15.0;4;32.9006829262;
22;3;27.0499992371;14.5;6;30.5197787285;2;20.2999992371;15.470205307;4;33.4936323166;
23;3;27.0499992371;14.5;6;30.5574725866;2;21.2999992371;14.0;5;34.1257500648;
24;3;27.0499992371;14.5;6;30.5955142975;2;21.6782932281;14.0;4;34.7918796539;
25;3;27.0499992371;14.5;6;30.633878231;2;21.8281726837;14.0;5;35.4852027893;
26;4;27.0499992371;14.5;5;30.6725378036;2;21.9841690063;14.0;5;36.1974048615;
27;4;27.0499992371;14.5;5;30.7114654779;2;22.1444149017;14.0;5;36.9189891815;
28;4;27.0499992371;14.5;5;30.7506330013;2;22.3067722321;14.0;5;37.6397333145;
29;4;27.0499992371;14.5;5;30.7900111675;2;22.4689388275;14.0;5;38.3492431641;
30;4;27.0499992371;14.5;5;30.8295701742;2;20.628578186;15.0;5;39.0375461578;
31;4;27.0499992371;14.5;5;30.8692797422;2;19.7834472656;16.0;5;39.6956548691;
32;4;27.0499992371;14.5;6;30.9091088772;3;19.9315223694;17.5;4;41.3160324097;
33;4;27.0499992371;14.5;6;30.949026227;3;20.071105957;18.5;5;42.052910924;
34;4;27.0499992371;14.5;6;30.9890002012;3;19.2009048462;19.5799999237;6;42.7661777735;
35;4;27.0499992371;14.5;7;31.0289990902;3;19.3223896027;20.0;6;43.4567537308;
36;4;25.0499992371;15.5;7;31.0689907074;3;19.1280918121;21.7770614624;7;44.1274181604;
37;4;26.0499992371;17.5;7;31.108943224;3;19.2249794006;22.8970851898;7;44.782469511;
38;4;27.0499992371;19.5;7;31.1488244534;3;19.3109817505;24.0334949493;7;45.427311182;
39;4;27.0499992371;21.5;9;31.1886029243;3;19.9211463928;24.0;7;46.0679929256;
40;4;27.0499992371;23.5;9;32.2282471657;3;19.4526062012;26.0;6;46.7107357979;
41;4;28.0499992371;25.5;9;32.3177261353;3;19.5097503662;27.5559253693;6;47.3614726067;
42;4;29.0499992371;26.5;10;32.4089844227;3;20.3563308716;27.0;6;48.0209121704;
43;4;29.5458869934;27.5;11;32.502016902;3;20.6000003815;26.0;6;48.5427899361;
44;4;29.0499992371;28.5;11;32.5968140364;3;19.6000003815;28.0;9;49.1086950302;
45;4;29.595375061;29.5;12;32.6933612823;3;21.6000003815;28.0;9;49.7161855698;
46;5;29.6214866638;29.5;11;32.7916388512;3;22.8861427307;29.0;10;50.3611893654;
47;5;29.6485176086;29.5;11;32.8916205168;3;24.0312690735;30.0;11;51.0379443169;
48;5;29.0499992371;30.4745101929;13;32.9932743311;3;23.6000003815;31.0;12;51.7390680313;
49;5;29.7053356171;29.5;13;33.0965608358;3;25.6000003815;30.0;12;52.4557781219;
50;5;29.7351131439;29.5;10;33.2014342546;3;27.5025501251;29.0;13;53.1782588959;
51;5;29.765789032;29.5;11;33.3078408241;3;27.9651069641;29.0;14;53.8961582184;
52;5;29.7973499298;29.5;12;33.4157187939;3;28.1266365051;29.0;15;54.5991659164;
53;5;29.8297805786;29.5;12;34.5249986649;4;29.2848129272;30.0;14;56.2776012421;
54;5;30.8630542755;30.5;13;34.6756029129;5;30.4374599457;31.0;12;67.0829507113;
55;5;31.8971481323;31.5;13;34.8286291361;5;29.5826644897;34.0;12;68.2720285654;
56;5;31.9320278168;32.5;13;34.9839844704;5;29.5826644897;36.0;12;68.9170379639;
57;5;31.9676609039;33.5;14;35.1415644884;5;29.5826644897;38.0;13;70.0518242121;
58;5;32.0040054321;34.5;14;35.3012541533;5;30.5826644897;40.0;14;71.1432445049;
59;5;32.0410232544;35.1059188843;15;36.6691861153;5;31.0641345978;42.0;15;72.1938822269;
60;5;32.6105728149;35.720993042;16;37.7388738394;5;30.5597763062;43.0;17;73.2081353664;
61;6;33.0447463989;36.1859169006;15;38.5722895861;5;30.4324226379;44.0;18;74.1916432381;
62;6;33.371421814;36.5317687988;16;39.1515266895;5;30.5868148804;45.0;18;75.1506648064;
63;7;33.5880050659;36.7557601929;13;44.3495901823;5;30.7239627838;46.0;19;76.0914573669;
64;7;33.4000015259;38.7972373962;14;44.752731204;5;30.8450737;47.0;19;77.0196890831;
65;7;34.4000015259;40.8403320312;14;45.1582882404;5;30.9514713287;48.0;20;77.875246048;
66;7;34.4000015259;41.9784698486;14;45.5652102232;5;31.0299663544;49.0;21;78.6402053833;
67;7;34.4000015259;43.1086883545;16;45.9724584818;5;31.077205658;50.0;22;79.3611893654;
