Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;6.0;14.0;4;20.0;1;6.0;12.6999998093;4;21.0;
2;1;7.0;13.0;6;20.0;2;7.0;11.8999996185;3;22.0;
3;1;8.0;12.0;6;20.0;2;8.14999961853;10.6999998093;3;22.0900000334;
4;1;9.0;11.0;6;20.0;2;8.31349945068;10.5;3;22.1871190071;
5;1;10.0;10.0;6;20.0;2;8.32806777954;10.5;2;22.2917383909;
6;2;11.0;10.3000001907;5;21.0;2;9.44064044952;10.5;2;22.4042263031;
7;2;12.4499998093;10.0;5;21.0599999428;2;10.0409517288;10.5;2;22.5249304771;
8;2;13.4770002365;10.0;4;21.5335636139;2;10.0681095123;10.5;2;23.0894187689;
9;2;14.5101041794;10.1999998093;3;21.9377998114;2;10.1951189041;10.7100000381;2;23.5836213827;
10;2;14.8720092773;10.3632001877;3;23.1372920275;2;10.3063154221;10.8792181015;2;23.9926425219;
11;2;15.411781311;10.9097137451;3;24.1638869047;2;10.3983440399;11.0;2;25.8316864967;
12;2;15.873749733;11.3658018112;2;25.029558897;2;10.8121290207;11.7700004578;2;27.4540388584;
13;2;18.4632701874;11.7372808456;1;25.7537147999;2;12.541469574;12.4126424789;2;28.8682081699;
14;2;20.4632701874;12.0336990356;1;26.3590377569;2;14.541469574;12.9308347702;2;30.1005516052;
15;2;21.6406726837;12.2662630081;1;26.8683357239;2;16.541469574;13.3366470337;3;31.1863336563;
16;0;0;0;0;0;3;17.8257961273;13.6469516754;2;32.1621966362;
