Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;6.0;14.0;4;20.0;1;6.0;12.6999998093;4;21.0;
2;1;7.0;13.0;6;20.0;2;7.0;11.8999996185;4;22.0;
3;1;8.0;12.0;6;20.0;2;8.14999961853;10.6999998093;4;22.0900000334;
4;1;9.0;11.0;6;20.0;2;8.31349945068;10.5;4;22.1871190071;
5;1;10.0;10.0;6;20.0;2;8.32806777954;10.5;4;22.2917383909;
6;1;11.0;10.0;6;20.0;2;9.44064044952;10.5;4;22.4042263031;
7;1;12.0;10.0;4;20.0;2;10.0409517288;10.5;4;22.5249304771;
8;1;13.0;10.0;4;20.3999996185;2;10.0681095123;10.5;4;23.0894187689;
9;1;14.0;10.1999998093;4;20.7264003754;2;10.1951189041;10.7100000381;4;23.5836213827;
10;1;14.3268795013;10.3632001877;4;21.8194274902;2;10.3063154221;10.8792181015;4;23.9926425219;
11;2;14.8187427521;11.2097139359;3;23.7316036224;2;10.3983440399;11.0;4;25.8316864967;
12;2;15.6792221069;11.3658018112;3;24.5045616627;2;10.8121290207;11.7700004578;4;27.4540388584;
13;2;18.268743515;11.7372808456;3;25.1279890537;2;12.541469574;12.4126424789;4;28.8682081699;
14;2;20.268743515;12.0336990356;3;25.6242921352;2;14.541469574;12.9308347702;4;30.1005516052;
15;2;21.3100376129;12.2662630081;3;26.0160515308;2;16.541469574;13.3366470337;4;31.1863336563;
16;2;22.3243255615;12.446267128;3;26.1558350325;2;17.8257961273;13.6469516754;4;32.1621966362;
17;2;23.3388690948;12.5;3;26.1887089014;2;18.9405918121;13.879781723;4;32.9572491646;
18;2;24.3536624908;12.5;4;26.2221269608;2;20.0653820038;14.0;4;33.5542383194;
19;2;25.3687000275;12.5;4;26.2560760975;2;21.1997051239;14.0;4;34.1899633408;
20;2;25.8152351379;12.5;4;26.2905418873;2;21.692741394;14.0;4;34.8591008186;
21;2;25.8307437897;12.5;4;26.3255085945;2;21.843296051;14.0;4;35.5546751022;
22;2;25.8464794159;12.5;4;26.3609591722;2;21.9998016357;14.0;4;36.2682390213;
23;2;25.8624305725;12.5;4;26.3968753815;2;22.1603527069;14.0;5;36.9902019501;
24;3;25.8785934448;12.5;3;26.4332377911;2;22.3227958679;14.0;5;37.7102985382;
25;3;23.8949565887;13.5;4;26.4700255394;2;22.4848175049;14.0;6;38.4181499481;
26;3;24.25;13.5;4;26.5072168112;2;22.6440830231;14.0;6;39.1038570404;
27;3;25.25;13.5550518036;4;26.5447884798;2;22.7983665466;14.0;6;39.758556366;
28;3;23.9451541901;13.5;4;26.5827163458;2;22.9456748962;14.0;6;40.374874115;
29;3;22.962223053;14.5;4;26.6209751368;2;23.0843467712;14.0;6;40.947227478;
30;3;21.9794387817;15.5;4;26.6595385075;2;21.2131252289;15.0;6;41.4719495773;
31;3;20.9967918396;16.5;4;26.6983793974;2;20.3311882019;16.0;6;41.9472465515;
32;3;20.0142707825;17.5;5;27.7374696732;2;19.438129425;17.0;7;42.3730211258;
33;4;20.0318603516;18.5;4;27.796780467;2;18.5339279175;18.0;7;42.7505970001;
34;4;20.0495510101;19.5;4;27.8564782143;2;17.6188831329;19.0;7;43.0823974609;
35;4;19.5354156494;20.5;6;27.916526556;2;17.3935394287;20.0;7;43.3716182709;
