Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
1;1;6.0;14.0;4;20.0;1;11.3999996185;16.0;4;32.0;
2;1;7.0;13.0;6;20.0;1;11.3999996185;16.0;6;32.0;
3;1;8.0;12.0;6;20.0;1;11.3999996185;16.0;6;31.5391998291;
4;1;9.0;11.0;6;20.0;1;11.3078403473;15.7695999146;6;31.1244792938;
5;1;10.0;10.0;6;20.0;1;12.3078403473;15.5622396469;6;30.7512321472;
6;1;11.0;10.0;6;20.0;1;13.3078403473;15.3756160736;6;30.415309906;
7;1;12.0;10.0;6;20.0;1;14.1245927811;15.207654953;6;30.1985778809;
8;1;13.0;10.0;5;20.3999996185;1;14.0595731735;15.0992889404;6;30.0035209656;
9;1;14.0;10.1999998093;5;20.7264003754;1;14.0010566711;15.0017604828;6;30.8041591644;
10;1;14.3268795013;10.3632001877;5;21.8194274902;1;16.0595741272;15.4020795822;6;31.3795318604;
11;2;14.8187427521;11.2097139359;4;23.7316036224;1;17.0595741272;15.6897659302;6;31.672000885;
12;2;15.6792221069;11.3658018112;4;24.5145616531;1;18.0595741272;15.8360004425;6;31.672000885;
13;2;18.268743515;11.7372808456;4;25.1485819817;1;19.0595741272;15.8360004425;7;31.672000885;
14;2;20.268743515;12.0336990356;4;25.6560795307;1;20.0595741272;15.8360004425;7;31.672000885;
15;2;21.3243408203;12.2662630081;4;26.0596417189;1;21.0595741272;15.8360004425;7;31.672000885;
16;2;22.3439407349;12.446267128;4;26.211841464;1;21.5016002655;15.8360004425;7;31.672000885;
17;2;23.3640708923;12.5;4;26.2577478886;1;21.5016002655;15.8360004425;7;31.672000885;
18;2;24.3847293854;12.5;5;26.3048160076;1;21.5016002655;15.8360004425;8;31.672000885;
19;2;25.4059104919;12.5;5;26.3530313969;1;21.5016002655;15.8360004425;8;31.672000885;
20;2;25.8588638306;12.5;4;26.4023760557;1;21.5016002655;15.8360004425;8;31.672000885;
21;2;25.8810691833;12.5;4;26.4528282881;1;21.5016002655;15.8360004425;9;31.672000885;
22;2;25.9037723541;12.5;4;26.5043625832;1;21.5016002655;15.8360004425;9;31.672000885;
23;2;25.9269638062;12.5;5;26.5569496155;1;21.5016002655;15.8360004425;10;31.672000885;
24;3;25.9506263733;12.5;4;26.6105561256;1;21.5016002655;15.8360004425;10;31.672000885;
25;3;25.9747505188;12.5;4;26.6651450396;1;21.5016002655;15.8360004425;10;31.672000885;
26;3;25.9993152618;12.5;4;26.72067523;1;21.5016002655;15.8360004425;11;31.672000885;
27;3;26.0243034363;12.5;4;26.7771017551;1;21.5016002655;15.8360004425;11;31.672000885;
28;3;25.25;13.5;4;26.8343759775;1;21.5016002655;15.8360004425;11;31.672000885;
29;3;26.0754699707;12.5;4;26.8924454451;1;21.5016002655;15.8360004425;12;31.672000885;
30;3;25.25;13.5;4;26.9512542486;1;21.5016002655;15.8360004425;12;31.672000885;
31;3;25.25;13.8658781052;4;27.0107431412;1;21.5016002655;15.8360004425;12;31.672000885;
32;3;24.1548347473;13.5;4;27.0708494186;1;21.5016002655;15.8360004425;12;31.672000885;
33;3;24.25;13.5;4;27.1315076351;1;21.5016002655;15.8360004425;12;31.672000885;
34;3;25.25;13.9920558929;5;27.1926498413;1;21.5016002655;15.8360004425;12;31.672000885;
35;3;25.25;14.0348548889;5;27.2542052269;1;21.5016002655;15.8360004425;12;31.672000885;
36;3;24.25;13.5;5;27.3161010742;1;21.5016002655;15.8360004425;13;31.672000885;
37;3;24.25;13.5;5;27.3782629967;1;21.5016002655;15.8360004425;13;31.672000885;
38;3;25.25;14.1647844315;5;27.4406147003;1;21.5016002655;15.8360004425;13;31.672000885;
39;4;25.25;16.1647834778;4;27.5030794144;1;21.5016002655;15.8360004425;14;31.672000885;
40;4;25.25;18.1647834778;5;27.5655794144;1;21.5016002655;16.8360004425;14;31.672000885;
41;4;25.25;20.1647834778;4;27.628036499;1;21.5016002655;17.8360004425;14;31.672000885;
42;4;26.25;21.5;5;27.690372467;1;21.5016002655;18.8360004425;14;31.672000885;
43;4;25.25;23.5;5;27.7525100708;1;21.5016002655;19.8360004425;15;31.672000885;
44;4;26.25;22.5;5;27.8143725395;2;22.5016002655;21.8360004425;15;32.672000885;
45;4;25.25;23.5;6;27.8758842945;2;23.5016002655;22.8360004425;15;32.7456009388;
46;4;26.25;22.5;5;27.936971426;2;23.8236808777;23.8360004425;16;32.8238277435;
47;4;25.25;23.5;5;27.9975619316;2;23.8471488953;24.8360004425;17;32.9068534374;
48;4;25.25;24.5;6;28.0575861931;2;23.8720550537;25.8360004425;16;32.9948384762;
49;4;25.25;24.6403102875;6;28.1169772148;2;23.8984508514;25.8360004425;17;33.0879286528;
50;4;26.25;22.6403102875;6;28.1756706238;2;23.9263782501;25.8360004425;17;33.1862517595;
51;4;26.6790523529;22.5;6;28.2336053848;2;23.9558753967;25.8360004425;17;33.2899135351;
52;4;26.705121994;22.5;6;29.2907235622;2;23.9869747162;25.8360004425;17;33.398994565;
53;4;27.7308254242;23.5;7;29.3669710159;2;24.0196990967;25.8360004425;17;33.5135461092;
54;4;28.7561378479;24.5;7;29.4424934387;2;24.054063797;25.8360004425;17;33.6335864067;
55;4;28.7810344696;25.5;7;29.5172377825;2;24.0900764465;25.8360004425;17;33.7590968609;
56;4;27.25;27.5;8;29.591154933;2;24.1277294159;25.8360004425;18;33.8900184631;
57;4;27.25;29.5;8;29.6641995907;2;24.1670055389;25.8360004425;19;34.0262486935;
58;4;27.25;30.5445594788;8;29.7363299131;2;24.2078742981;25.8360004425;19;34.1676390171;
59;4;27.25;30.5908679962;9;29.8075079918;2;24.2502918243;25.8360004425;20;34.3139922619;
60;5;27.25;30.6364784241;9;29.877699852;2;24.2941970825;25.8360004425;20;34.4650616646;
61;5;27.25;30.6813659668;9;31.0211265087;2;24.3395195007;25.8360004425;21;34.6205496788;
62;5;27.7000007629;31.2774887085;11;31.944024682;2;24.3861656189;25.8360004425;21;34.7801089287;
63;5;29.0510005951;29.6782474518;11;32.6806093454;2;24.4340324402;25.8360004425;21;34.943343401;
64;5;30.1529254913;29.3020915985;11;33.2665231228;2;24.4830036163;25.8360004425;21;35.1098108292;
65;5;30.406791687;29.5354595184;11;33.5865820646;2;24.5329437256;25.8360004425;21;35.2790262699;
66;5;28.5999984741;30.6366577148;11;33.7244539261;2;24.5837078094;25.8360004425;22;36.7132639885;
67;5;29.5999984741;29.6476516724;11;33.8604017496;2;25.0139789581;26.4010295868;22;37.830892086;
68;5;30.5999984741;29.6586914062;11;33.9941891432;2;25.3492679596;26.8008766174;22;38.7117042542;
69;5;30.6945877075;29.6697750092;19;34.1255997419;2;25.6135120392;27.0761165619;22;39.1405453682;
70;6;29.0501155853;30.0;13;51.2544364929;2;25.7421627045;27.1200008392;23;39.4904174805;
71;6;30.7916488647;30.0;14;53.7405244112;2;25.8471240997;27.1200008392;23;39.8468990326;
72;6;33.8383255005;32.7032318115;14;55.1728131771;2;25.9540691376;27.1200008392;23;40.207596302;
73;6;32.8383255005;35.7144393921;14;56.4514439106;2;26.0622787476;27.1200008392;23;40.5699729919;
74;6;32.5999984741;38.7256622314;14;57.572893858;2;26.1709899902;27.1200008392;24;40.9314160347;
75;7;32.5999984741;41.7369003296;13;58.5443798304;2;26.27942276;27.1200008392;24;41.2893118858;
