Turn;Planet_count_KI_1_SP_HUMAN;Research_KI_1_SP_HUMAN;Industry_KI_1_SP_HUMAN;Ships_KI_1_SP_HUMAN;Population_KI_1_SP_HUMAN;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;9.0;10.0;4;20.0;1;13.0;10.0;4;20.0;
2;1;9.0;10.0;5;20.0;1;13.0;10.0;5;20.0;
3;1;9.0;10.0;5;20.0;1;13.0;10.0;5;20.0;
4;1;9.0;10.0;5;20.0;1;14.0;10.0;5;20.0;
5;1;10.0;10.0;5;20.0;1;15.0;10.0;5;20.0;
6;1;11.0;10.0;5;20.0;1;16.0;10.0;5;20.3999996185;
7;1;11.0;10.0;5;20.3999996185;1;17.0;10.1999998093;5;20.7264003754;
8;2;11.4200000763;10.1999998093;4;21.7264003754;2;18.0358409882;10.3632001877;4;22.8194274902;
9;2;11.5179204941;10.3632001877;4;21.9903717041;2;18.6916561127;10.9097137451;4;23.7716035843;
10;2;11.597111702;10.4951858521;4;23.0719120502;2;20.6916561127;11.3658018112;4;24.5557456017;
11;2;11.9215736389;11.0209560394;4;23.9749414921;2;22.6916561127;11.7372808456;4;25.1909515858;
12;2;13.9215736389;11.4571752548;4;24.7131726742;2;23.7657871246;12.0336990356;4;25.6996334791;
13;2;15.9215736389;11.8107032776;5;25.3067810535;2;24.7919197083;12.2662630081;4;26.10437572;
14;2;16.94962883;12.0916318893;5;25.7784451246;2;25.8187599182;12.446267128;4;26.2577478886;
15;2;17.9593238831;12.3113050461;5;26.1504684687;2;26.8463039398;12.5;4;26.3048160076;
16;2;18.9691867828;12.4808797836;5;26.2221269608;2;27.874546051;12.5;4;26.3530313969;
17;2;19.9792118073;12.5;5;26.2560760975;2;28.9034748077;12.5;4;26.4023760557;
18;2;20.989397049;12.5;5;26.2905418873;2;29.841424942;12.5;3;26.4528282881;
19;2;21.8871631622;12.5;5;26.3255085945;2;29.8716964722;12.5;4;26.5043625832;
20;2;21.8976516724;12.5;5;26.3609591722;2;29.9026184082;12.5;5;26.5569496155;
21;2;21.9082870483;12.5;5;26.3968753815;2;29.9341697693;12.5;5;26.6105561256;
22;2;21.9190635681;12.5;5;26.4332377911;2;29.9663333893;12.5;5;26.6651450396;
23;2;21.9299716949;12.5;5;26.4700255394;2;29.99908638;12.5;2;26.72067523;
24;2;21.9410076141;12.5;5;26.5072168112;2;30.0324058533;12.5;2;26.7771017551;
25;2;21.9521656036;12.5;5;26.5447884798;2;30.0662612915;12.5;2;26.8343759775;
26;2;21.9634361267;12.5;6;26.5827163458;2;30.1006259918;12.5;2;26.8924454451;
27;2;21.5;13.2913579941;7;26.6209751368;2;30.1354675293;12.5;2;26.9512542486;
28;3;21.9862918854;12.5;6;26.6595385075;2;30.170753479;12.5;2;27.0107431412;
29;3;21.9978618622;12.5;6;26.6983793974;2;30.206445694;12.5;2;27.0708494186;
30;3;22.009513855;12.5;5;26.7374696732;2;29.0;13.5;3;27.1315076351;
31;3;22.0212402344;12.5;6;26.7767804861;2;29.0;13.5657539368;2;27.1926498413;
32;3;21.5;13.3883905411;6;26.8162822723;2;29.0;13.5963249207;2;27.2542052269;
33;3;21.5;13.4081411362;6;26.8559447527;2;30.0;15.5963249207;2;27.3161010742;
34;3;22.0567836761;12.5;6;26.8957372904;2;30.3896598816;17.5963249207;3;27.3782629967;
35;3;22.0687217712;12.5;6;26.9356285334;2;30.4269580841;19.5963249207;3;27.4406147003;
36;3;21.5;13.4678144455;6;26.9755871296;2;30.4643688202;21.5;3;27.5030794144;
37;3;22.0926761627;12.5;6;27.015581131;2;30.5018482208;22.5;4;27.5655794144;
38;3;21.5;13.5;6;27.0555787086;2;30.5393486023;22.5;4;27.628036499;
