Turn;Planet_count_KI_1_SP_HUMAN;Research_KI_1_SP_HUMAN;Industry_KI_1_SP_HUMAN;Ships_KI_1_SP_HUMAN;Population_KI_1_SP_HUMAN;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;9.0;10.0;4;20.0;1;13.0;10.0;4;20.0;
2;1;9.0;10.0;5;20.0;1;13.0;10.0;5;20.0;
3;1;9.0;10.0;5;20.0;1;13.0;10.0;6;20.0;
4;1;9.0;10.0;5;20.0;1;14.0;10.0;6;20.0;
5;1;10.0;10.0;5;20.0;1;15.0;10.0;6;20.0;
6;1;11.0;10.0;5;20.0;1;16.0;10.0;6;20.3999996185;
7;1;11.0;10.0;5;20.3999996185;1;17.0;10.1999998093;6;20.7264003754;
8;2;11.4200000763;10.1999998093;4;21.7264003754;1;17.4358406067;10.3632001877;6;21.8194274902;
9;2;11.5179204941;10.3632001877;4;21.9903717041;2;18.6916561127;10.9097137451;5;23.7316036224;
10;2;11.597111702;10.4951858521;4;23.0819120407;2;20.6916561127;11.3658018112;5;24.5445617437;
11;2;11.9245738983;11.0209560394;4;23.99553442;2;22.6916561127;11.7372808456;5;25.2115491629;
12;2;13.9245738983;11.4571752548;4;24.7449600697;2;23.7781467438;12.0336990356;5;25.7551183701;
13;2;15.9245738983;11.8107032776;5;25.3503712416;2;24.4530715942;12.2662630081;5;26.197986722;
14;2;16.9627056122;12.0916318893;5;25.8344515562;2;24.7187919617;12.446267128;5;26.3928465843;
15;2;17.9761257172;12.3113050461;5;26.2195074558;2;24.8357086182;12.5;5;26.4848741293;
16;2;18.9898986816;12.4808797836;5;26.3048160076;2;26.8264446259;12.5;5;26.5816155672;
17;2;20.0040187836;12.5;5;26.3530313969;2;27.8844890594;12.5;4;26.6831297874;
18;2;21.0184822083;12.5;5;26.4023760557;2;28.9453983307;12.5;5;26.7894508839;
19;2;21.5;12.920712471;6;26.4528282881;2;30.0091896057;12.5;5;26.9005856514;
20;2;21.5;12.9358482361;6;26.5043625832;2;30.1403503418;12.5;5;27.0165102482;
21;2;21.5;12.9513092041;6;26.5569496155;2;30.2099056244;12.5;5;27.1371679306;
22;2;21.9670848846;12.5;5;26.6105561256;2;30.2823009491;12.5;4;27.2624664307;
23;2;21.9831676483;12.5;5;26.6651450396;3;30.3574790955;12.5;3;27.3922762871;
24;2;21.5;12.99954319;6;26.72067523;3;30.4353656769;12.5;3;27.5264284611;
25;3;19.5;14.0162029266;5;26.7771017551;3;30.5158576965;12.5;3;27.6647143364;
26;3;18.5;15.0331306458;5;26.8343759775;3;30.5988292694;12.5;3;27.8068845272;
27;3;18.0503120422;15.5;5;26.8924454451;3;30.6841316223;12.5;3;27.9526493549;
28;3;17.0677337646;16.5;5;26.9512542486;3;30.7715892792;12.5;3;28.1016800404;
29;3;16.0853767395;17.5;5;27.0107431412;3;30.8610076904;12.5;4;28.2536101341;
30;3;15.103222847;18.5;5;27.0708494186;3;30.9521656036;12.5;4;28.408039093;
31;3;14.621254921;19.5;5;27.1315076351;3;31.0448226929;12.5;4;28.5645349026;
32;3;14.6394519806;20.5;6;27.1926498413;3;31.1387214661;12.5;4;28.722638607;
33;3;14.6577949524;21.5;6;27.2542052269;3;31.2335834503;14.5;4;28.8818693161;
34;3;14.6762619019;22.5;6;27.3161010742;3;31.329120636;16.5;4;29.0417299271;
35;3;14.6948299408;23.5;6;27.3782629967;3;31.425037384;18.5;5;29.2017126083;
36;3;14.7134790421;24.5;6;27.4406147003;3;31.5210266113;20.5;5;29.3613057137;
37;3;15.7321844101;22.5;6;28.5030794144;3;31.6167831421;22.5;5;29.5200004578;
38;3;15.7509241104;24.0;6;28.6055793762;3;31.7119998932;22.5;5;29.6772966385;
