Turn;Planet_count_KI_1_SP_HUMAN;Research_KI_1_SP_HUMAN;Industry_KI_1_SP_HUMAN;Ships_KI_1_SP_HUMAN;Population_KI_1_SP_HUMAN;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;9.0;10.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;9.0;10.0;5;20.0;1;7.0;11.0;5;20.0;
3;1;9.0;10.0;5;20.0;1;8.0;10.0;5;20.0;
4;1;9.0;10.0;5;20.0;1;8.0;10.0;5;20.0;
5;1;10.0;10.0;5;20.0;1;8.0;10.0;5;20.0;
6;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
7;1;11.0;10.0;5;20.3999996185;1;9.5;10.0;5;20.0;
8;2;11.4200000763;10.1999998093;4;21.7264003754;2;9.5;10.1999998093;4;21.3999996185;
9;2;11.5179204941;10.3632001877;4;21.9903717041;2;9.81500053406;10.1999998093;4;21.8264003992;
10;2;11.597111702;10.4951858521;4;23.0719120502;2;9.91094017029;10.3632001877;4;22.1992716789;
11;2;11.9215736389;11.0209560394;4;23.9749414921;2;9.99483585358;10.4951858521;3;23.4054436684;
12;2;13.9215736389;11.4571752548;3;24.7131726742;2;10.2662248611;11.0209560394;4;24.4501843452;
13;2;15.9215736389;11.8107032776;4;25.3067810535;2;12.0683965683;11.4571752548;4;25.3486692905;
14;2;16.94962883;12.0916318893;4;25.7784451246;2;14.0683965683;11.8107032776;4;26.1225088835;
15;2;17.9593238831;12.3113050461;4;26.1504684687;2;16.0683956146;12.0916318893;3;26.7957427502;
16;2;18.9691867828;12.4808797836;4;26.2221269608;2;17.2117881775;12.3113050461;3;27.3919057846;
17;2;19.9792118073;12.5;4;26.2560760975;2;18.2696170807;12.4808797836;3;27.7113106251;
18;2;20.989397049;12.5;4;26.2905418873;2;19.3328781128;12.5;3;28.0173821449;
19;2;21.8871631622;12.5;5;26.3255085945;2;20.3039112091;12.5;4;28.3487696648;
20;2;21.8976516724;12.5;6;26.3609591722;2;20.3784732819;12.5;4;28.7054548264;
21;2;21.9082870483;12.5;6;26.3968753815;2;20.4587268829;12.5;4;29.0869145393;
22;3;21.9190635681;12.5;5;26.4332377911;2;20.5445556641;12.5;4;29.4920539856;
23;3;21.5;12.5;5;26.4700255394;2;20.6357116699;12.5;4;29.9191560745;
24;3;21.9410076141;12.5;5;26.5072168112;2;20.7318096161;12.5;5;30.3658571243;
25;3;21.9521656036;12.5;5;26.5447884798;3;20.8323173523;12.5;5;30.8291530609;
26;3;21.5;12.9634361267;6;26.5827163458;3;20.9365596771;12.5;6;31.3054442406;
27;3;19.9748153687;13.5;6;26.6209751368;3;21.0437240601;12.5;6;31.790620327;
28;3;18.9862918854;14.5;5;26.6595385075;3;21.1528892517;12.5;5;32.2801818848;
29;3;17.9978618622;15.5;4;26.6983793974;3;21.2630405426;12.5;4;32.7693967819;
30;3;17.009513855;16.5;4;26.7374696732;3;19.3731136322;13.5;4;33.2534770966;
31;3;16.0212402344;17.5;4;26.7767804861;3;18.625;13.5;4;33.7277650833;
32;3;15.0330343246;18.5;4;27.8162822723;3;19.625;14.5;4;34.187912941;
33;3;15.5448846817;19.5;4;27.8959447145;3;19.625;15.5;4;34.6300430298;
34;3;16.5567836761;20.5;4;27.9769212008;3;19.625;16.5;4;35.0508718491;
35;3;16.8930778503;21.5;4;28.0591820478;3;19.625;17.5;4;35.4477939606;
