Turn;Planet_count_KI_1_SP_HUMAN;Research_KI_1_SP_HUMAN;Industry_KI_1_SP_HUMAN;Ships_KI_1_SP_HUMAN;Population_KI_1_SP_HUMAN;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;2;9.19999980927;10.0;3;21.0;1;6.0;12.0;4;20.0;
2;2;9.19999980927;10.0;3;21.0299999714;1;7.0;11.0;5;20.0;
3;2;9.20600032806;10.0;2;21.0605909824;1;8.0;10.0;5;20.0;
4;2;9.2121181488;10.0;2;21.091766119;1;8.0;10.0;5;20.0;
5;2;10.3275299072;10.0;2;21.1235172749;2;8.0;10.1999998093;4;21.0;
6;2;11.3370552063;10.0;2;21.1558350325;2;9.22500038147;10.0;4;21.1200000048;
7;2;11.3467502594;10.0;2;21.6002668142;2;9.75199985504;10.0;4;21.2530560493;
8;2;11.4800796509;10.1999998093;2;21.9722745419;2;9.78193759918;10.0;4;21.8127820492;
9;2;11.5916824341;10.3632001877;2;22.2830175161;2;9.90787601471;10.1999998093;4;22.3170127869;
10;2;11.6849050522;10.4951858521;2;23.3954073191;2;10.0213279724;10.3632001877;4;22.7783694267;
11;2;12.0186223984;11.0209560394;2;24.3307359219;2;10.1251335144;10.4951858521;4;24.1197800636;
12;2;14.0186223984;11.4571752548;2;25.1027135849;2;10.4269514084;11.0209560394;5;25.3230593204;
13;2;16.0186214447;11.8107032776;2;25.7315064669;2;12.264793396;11.4571752548;5;26.4056642056;
14;2;17.0770454407;12.0916318893;2;26.2397767305;2;14.264793396;11.8107032776;5;27.3911669254;
15;2;18.0977230072;12.3113050461;3;26.6498038769;2;16.264793396;12.0916318893;5;28.3050293922;
16;2;19.1189861298;12.4808797836;3;26.7608320713;2;17.5513782501;12.3113050461;5;29.1714119911;
17;2;20.1408233643;12.5;4;26.8354767561;2;18.6700057983;12.4808797836;5;29.790178299;
18;2;21.1632156372;12.5;4;26.9119156599;2;19.8006229401;12.5;5;30.4229521751;
19;2;22.0735740662;12.5;4;26.9900764227;2;20.8451652527;12.5;6;31.1049995422;
20;2;22.0970230103;12.5;4;27.0698769093;2;20.9986248016;12.5;6;31.8311891556;
21;2;22.1209640503;12.5;3;27.1512255669;2;21.1620178223;12.5;6;32.5941519737;
22;2;22.1453666687;12.5;4;27.2340214252;2;21.3336849213;12.5;6;33.38438797;
23;2;22.1702060699;12.5;4;27.3181540966;2;21.5114879608;12.5;7;34.1905984879;
24;2;22.1954460144;12.5;5;27.4035048485;2;21.6928844452;12.5;7;35.0002355576;
25;2;22.2210521698;12.5;5;27.4899468422;2;21.8750534058;12.5;7;35.8002309799;
26;2;20.2469844818;13.5;5;27.5773453712;3;22.0550518036;12.5;6;36.5778226852;
27;2;19.2732028961;14.5;5;27.6655590534;3;22.2300109863;12.5;6;37.3213710785;
28;2;18.2996673584;15.5;5;27.754440546;3;22.3973083496;12.5;6;38.0210561752;
29;2;17.3263320923;16.5;5;27.8438374996;3;22.5547370911;12.5;5;38.6693668365;
30;2;16.3531513214;17.5;5;27.93359375;3;20.5547370911;13.5;5;39.2613372803;
31;2;15.3800783157;18.5;6;28.0235495567;3;21.5547370911;12.5;5;39.7945203781;
32;2;14.9070644379;19.5;4;28.1135439873;3;19.625;13.5;5;40.2687559128;
