Turn;Planet_count_KI_1_SP_HUMAN;Research_KI_1_SP_HUMAN;Industry_KI_1_SP_HUMAN;Ships_KI_1_SP_HUMAN;Population_KI_1_SP_HUMAN;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;9.0;10.0;4;20.0;1;6.0;12.6999998093;4;21.0;
2;1;9.0;10.0;5;20.0;1;7.0;11.6999998093;5;21.0;
3;1;9.0;10.0;4;20.0;1;8.0;10.6999998093;5;21.0;
4;1;9.0;10.0;4;20.0;1;8.14999961853;10.5;5;21.0;
5;1;10.0;10.0;4;20.0;1;8.14999961853;10.5;5;21.0;
6;1;11.0;10.0;4;20.0;1;9.14999961853;10.5;5;21.0;
7;1;11.0;10.0;4;20.3999996185;1;9.72500038147;10.5;5;21.0;
8;1;11.1199998856;10.1999998093;4;20.7264003754;1;9.72500038147;10.5;5;21.4200000763;
9;2;11.5179204941;10.3632001877;3;21.9903717041;2;9.81949996948;10.9099998474;4;22.758436203;
10;2;11.597111702;10.4951858521;3;23.0719120502;2;10.1206493378;10.8792181015;4;23.1000000238;
11;2;11.9215736389;11.0209560394;3;23.9749414921;2;10.1975002289;11.0;4;24.8149009943;
12;2;13.9215736389;11.4571752548;3;24.7131726742;2;10.5833530426;11.7700004578;5;26.3006643057;
13;2;15.9215736389;11.8107032776;4;25.3067810535;2;12.2819604874;12.4126424789;5;27.5660959482;
14;2;16.94962883;12.0916318893;4;25.7784451246;2;14.2819604874;12.9308347702;5;28.6384222507;
15;2;17.9593238831;12.3113050461;4;26.1504684687;2;16.2819595337;13.3366470337;5;29.5544860363;
16;2;18.9691867828;12.4808797836;4;26.2221269608;2;17.4586315155;13.6469516754;5;30.3533427715;
17;2;19.9792118073;12.5;4;26.2560760975;2;18.5335998535;13.879781723;5;30.9674448967;
18;2;20.989397049;12.5;4;26.2905418873;2;19.6176757812;14.0;5;31.3838531971;
19;2;21.8871631622;12.5;5;26.3255085945;2;20.7113685608;14.0;5;31.8446035385;
20;2;21.8976516724;12.5;5;26.3609591722;2;21.1650352478;14.0;4;32.350376606;
21;3;21.9082870483;12.5;4;26.3968753815;2;21.2788333893;14.0;4;32.9006829262;
22;3;21.5;12.5;4;26.4332377911;2;21.4026527405;14.0;4;33.4936323166;
23;3;21.9299716949;12.5;4;26.4700255394;2;21.5360660553;14.0;5;34.1257500648;
24;3;21.9410076141;12.5;5;26.5072168112;2;21.6782932281;14.0;5;34.7918796539;
25;4;21.9521656036;12.5;4;26.5447884798;2;21.8281726837;14.0;5;35.4852027893;
26;4;21.9634361267;12.5;4;26.5827163458;2;21.9841690063;14.0;5;36.1974048615;
27;4;21.5;13.2913579941;4;26.6209751368;2;22.1444149017;14.0;5;36.9189891815;
28;4;21.9862918854;12.5;4;26.6595385075;2;22.3067722321;14.0;5;37.6397333145;
29;4;21.9978618622;12.5;4;26.6983793974;2;22.4689388275;14.0;4;38.3492431641;
30;4;22.009513855;12.5;4;27.7374696732;2;20.628578186;15.0;5;39.0375461578;
31;4;23.0212402344;13.0;4;27.816780448;2;19.7834472656;16.0;3;39.6956548691;
32;4;23.5;13.3883905411;4;27.8974661827;2;18.9315223694;17.0;3;40.3160324097;
33;4;24.044883728;13.0405921936;4;27.9794982672;2;18.071105957;18.0;3;40.8929109573;
34;4;22.3938503265;13.5;4;28.0628447533;2;17.2009048462;19.0;4;41.4224338531;
35;4;23.0687217712;13.0835533142;4;28.1474699974;2;17.0200481415;20.0;5;41.9026298523;
36;4;23.8635520935;13.4678144455;4;28.2333350182;2;17.1280918121;21.0;5;42.3332462311;
37;4;24.0926761627;13.1288738251;4;28.3203971386;2;17.2249794006;22.0;6;42.7154788971;
38;4;24.104675293;13.1524076462;4;28.4086101055;2;17.3109817505;23.0;6;43.051656723;
39;4;23.9059104919;13.5;4;28.4979239702;2;17.3866233826;24.0;7;43.3449144363;
40;4;24.1286640167;13.2011880875;4;28.5882848501;2;17.4526062012;25.0;7;43.5988855362;
41;4;24.5764846802;16.2011871338;5;28.6796357632;3;17.5097503662;26.0;7;48.8174438477;
42;4;24.6038913727;19.2011871338;5;28.7719156742;3;18.5589256287;27.0;7;49.1500000954;
43;4;24.6315746307;22.2011871338;5;28.865060091;3;20.6000003815;25.0;7;49.2967748642;
44;4;23.9831676483;25.2011871338;5;28.9590011835;3;20.6000003815;26.0;8;49.4399585724;
45;4;25.1881561279;29.2011871338;4;30.0536677837;3;21.6000003815;27.0;9;49.5792236328;
46;4;26.1998977661;29.5;4;30.1889853477;3;23.1106510162;27.0;8;49.7142839432;
47;4;27.0566959381;30.5;4;30.3260606527;3;24.1714286804;28.0;9;49.8448963165;
48;4;26.2231502533;32.4171867371;5;30.4648145437;3;25.2302036285;29.0;9;49.9708600044;
49;4;27.1394443512;32.5;5;30.605162859;3;26.2868881226;30.0;9;50.0920171738;
50;4;26.8314170837;33.0835533142;5;30.7470160723;3;27.3414077759;31.0;9;50.2082519531;
51;4;26.6208820343;33.5;6;30.8902785778;3;28.3937149048;30.0;10;50.3194880486;
52;5;26.4985771179;33.5;5;31.0348501205;3;28.7437705994;29.0;10;50.4256877899;
53;5;26.2795581818;33.1524085999;5;31.1806254387;3;28.7915592194;29.0;10;50.5268483162;
54;5;27.3541870117;32.5;6;31.3274940252;3;28.8370819092;29.0;11;50.6229987144;
55;5;26.7219867706;33.5;6;31.4753409624;3;28.8803482056;29.0;10;50.7141976357;
56;5;27.0067539215;33.2264137268;6;31.6240470409;3;28.9213886261;29.0;8;50.8005290031;
57;6;26.6647872925;33.5;6;31.77348876;3;28.9602375031;29.0;8;50.8820991516;
58;6;25.5;32.5;6;32.9235394001;3;28.9969444275;29.0;9;50.9590339661;
59;6;28.5770606995;33.5;6;33.1240688562;3;29.0315647125;29.0;9;51.0;
60;6;29.622220993;34.5;7;33.3269188404;3;29.0499992371;29.0;9;51.0;
61;6;29.6674823761;35.5;7;33.531978488;3;29.0499992371;29.0;11;51.0;
62;6;29.712808609;36.5;8;33.7391302586;3;29.0499992371;29.0;11;51.0;
63;6;29.7581558228;37.5;9;33.9482492208;3;29.0499992371;29.0;12;51.0;
64;6;29.8034820557;38.3889808655;9;34.157181859;3;29.0499992371;29.0;11;51.0;
65;6;29.8481407166;38.4310302734;9;36.5097135305;3;29.0499992371;29.0;11;51.0;
66;6;31.2312755585;39.0;10;37.7091200352;3;29.0499992371;29.0;11;51.0;
67;7;32.5495109558;40.3899993896;9;38.7642472982;3;29.0499992371;29.0;13;51.0;
68;7;33.072883606;41.6872596741;9;39.6831667423;3;29.0499992371;29.0;14;52.3199996948;
69;7;33.3153686523;42.9097442627;10;40.350830555;3;29.3470001221;29.4200000763;14;53.3582401276;
70;7;31.3879051208;46.0;10;40.8509720564;3;29.5806026459;29.7314720154;15;54.1666984558;
71;7;32.1799850464;46.5434188843;10;41.3638396263;3;29.762506485;29.9579029083;16;54.5526294708;
72;7;30.3999996185;48.6678314209;11;41.8890966177;4;29.8493404388;30.0;13;54.8066806793;
73;7;32.2442703247;46.6026115417;12;42.4263312817;4;29.9065036774;30.0;14;55.0;
74;8;33.4699287415;44.9452667236;10;43.9750490189;4;29.9499988556;30.0;14;55.0;
75;8;33.6957321167;46.0;10;44.5646660328;4;29.9499988556;30.0;14;55.0;
76;8;35.6983337402;47.0;11;45.1650950909;4;27.9499988556;31.0;16;55.0;
77;8;34.487651825;49.1892089844;11;45.775550127;4;26.9499988556;32.0;16;55.0;
78;8;35.5389480591;49.2798461914;12;46.3951363564;4;25.9499988556;33.0;17;55.0;
79;8;35.9561843872;50.3750686646;11;47.0228499174;4;24.9499988556;32.0;16;55.0;
80;8;33.7995986938;53.0526809692;11;48.6575723886;4;24.9499988556;32.0;16;55.0;
81;8;35.4000015259;53.1730957031;11;49.3280727863;4;24.9499988556;33.0;17;55.0;
82;8;36.5695114136;54.2978286743;11;50.0036025047;4;25.8999996185;34.0;18;55.0;
83;8;38.0775871277;54.426574707;11;50.6827101707;4;25.8999996185;35.0;18;55.0;
84;8;38.3636741638;55.5589675903;12;51.3402938843;5;25.8999996185;36.0;15;71.0;
85;8;36.8789291382;57.6945762634;12;51.9825482368;5;26.8999996185;38.0;16;71.7999992371;
86;8;37.9139328003;57.4108352661;12;52.6247223616;5;27.8999996185;40.0;16;72.5055999756;
87;8;37.2100982666;58.5678138733;12;53.2650671005;5;28.8999996185;42.0;16;73.1173152924;
88;8;38.2363929749;57.7266921997;12;53.9018070698;6;29.8999996185;44.0;16;73.6395797729;
89;9;34.4000015259;62.4415969849;8;72.5331658125;6;30.8999996185;46.0;16;74.0795516968;
90;9;35.4000015259;65.6116867065;9;74.4173928499;6;31.8999996185;47.0;17;74.4459648132;
91;9;37.4000015259;67.6105499268;9;76.1383132935;7;32.9000015259;48.0;16;74.7481613159;
92;10;38.4000015259;68.9161682129;9;78.6870943308;7;34.8244476318;46.0;15;74.9953765869;
93;10;41.1527633667;67.026184082;13;80.1865240335;7;33.8244476318;46.0;15;75.0;
94;10;41.7411460876;71.193649292;13;86.254883647;8;33.8244476318;46.0;9;85.0;
95;10;41.0547561646;75.7151260376;13;91.5021394491;8;34.8244476318;47.0;10;85.5;
96;10;41.7493095398;76.9275665283;14;95.9329792261;9;32.8244476318;50.0;10;85.9724998474;
97;10;42.128868103;81.1156616211;16;99.6411842108;9;30.8999996185;53.0;11;87.4144172668;
98;10;41.4978904724;82.8341140747;16;102.759268999;9;31.8999996185;57.0;10;87.8536903858;
99;10;43.7085876465;83.9474487305;19;105.259360194;9;33.9000015259;61.0;10;88.2598383427;
100;11;45.3205299377;85.4302215576;18;112.273878574;9;34.6448287964;64.0;10;88.6326844692;
101;12;45.7611846924;86.6142501831;18;114.010187149;9;33.7217063904;65.0;10;88.9728271961;
102;12;46.4410820007;85.1925048828;19;115.68788898;9;33.7910919189;67.0;11;89.2814940214;
103;12;46.7611846924;89.3076477051;20;117.433847904;10;34.8532714844;69.0;10;89.5603872538;
104;12;49.1932449341;90.4806518555;21;119.139786363;10;33.9086303711;69.0;10;89.81153965;
105;13;48.7324943542;93.6377563477;20;120.801441073;10;33.9576187134;70.0;10;91.0371792316;
106;13;49.916721344;90.9663543701;22;125.10182929;10;36.0007476807;73.0;11;91.2996222973;
107;13;51.4549598694;94.4124450684;23;130.424020529;11;39.0385437012;74.0;10;92.4484724998;
108;13;53.1336364746;98.1361083984;23;134.962523937;11;39.0499992371;78.0;10;92.7299200296;
109;14;54.7636299133;101.812919617;22;139.488951087;11;39.3154983521;82.0;11;94.0452032089;
110;14;55.8226737976;105.484794617;23;143.975350261;12;39.3628158569;85.0;10;94.5986261368;
111;14;55.9225387573;108.647270203;23;149.400411844;12;40.4179000854;89.0;10;95.2323707342;
112;14;58.1391487122;112.296722412;24;153.83969295;13;41.4817810059;93.0;9;95.9572200775;
113;14;59.7683486938;114.930267334;24;158.20220089;13;40.5555343628;95.0;10;96.7844877243;
114;14;60.3817672729;117.545860291;27;162.485357165;14;40.6402282715;98.0;9;97.7256373167;
115;14;61.9841804504;117.866195679;28;166.689998388;14;42.7368850708;98.0;9;98.7917244434;
116;14;57.373249054;123.195022583;29;170.818164825;14;41.0499992371;101.0;10;101.129438877;
117;14;57.7857131958;126.531051636;30;174.87053144;14;42.0499992371;104.354881287;10;102.706502438;
118;14;59.0323944092;123.87286377;31;178.843680978;14;43.0499992371;107.50479126;10;104.45380497;
119;14;60.4422302246;126.218902588;32;182.590453148;14;42.0500030518;109.668060303;10;106.372248769;
120;14;62.5678138733;128.925033569;33;186.030629396;14;42.0499992371;108.845169067;11;109.456732392;
121;14;64.0149612427;129.916992188;34;189.300090551;14;42.0499992371;113.036399841;11;111.72505188;
122;14;63.0701751709;131.265625;35;192.411747694;14;43.2999992371;116.241889954;11;114.127828956;
123;14;63.1198921204;131.54725647;36;195.31795311;14;43.3000030518;115.461532593;14;117.637349248;
124;14;64.1644897461;132.903396606;38;198.010665655;15;45.3000030518;114.461532593;15;120.279064536;
125;14;64.1999969482;132.239227295;38;200.38761735;15;48.3000030518;115.461532593;16;123.956405878;
126;14;65.1999969482;133.567642212;39;202.46201539;15;49.3000030518;115.103164673;18;126.687587023;
127;14;66.1999969482;133.567642212;40;204.295422792;15;50.3000030518;115.538513184;20;129.374584913;
128;14;71.1999969482;132.409759521;40;205.783208609;15;50.3000030518;116.538513184;21;131.980392218;
129;14;76.1999969482;131.567840576;40;207.110865831;15;49.3000030518;115.538513184;23;134.474470973;
130;14;81.1999969482;131.682479858;41;208.292795658;15;49.3000030518;116.076980591;24;136.834382176;
131;14;86.8000030518;132.849060059;43;209.346255302;15;50.3000030518;117.076980591;26;139.046296716;
132;14;91.9816055298;134.01890564;44;210.28889513;15;52.3000030518;114.076980591;25;141.104479074;
133;14;95.2372207642;135.191253662;45;210.987333775;15;52.9540863037;114.076980591;26;143.010012627;
134;14;98.478553772;136.36529541;46;211.550320625;15;53.0549240112;115.076980591;26;144.76914084;
135;15;101.705581665;137.54019165;46;212.093707085;15;55.1417236328;109.99256134;28;146.391543865;
136;15;103.918403625;138.715072632;46;212.616576672;15;55.5517501831;110.039886475;28;147.88881135;
137;15;106.117271423;139.889068604;48;213.118181229;15;56.6892318726;110.088745117;29;149.273223042;
