Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;6.0;14.1000003815;4;23.0;1;13.0;10.0;4;20.0;
2;1;7.0;13.1000003815;6;23.0;1;13.0;10.0;5;20.0;
3;1;8.0;12.1000003815;6;23.0;1;13.0;10.0;5;20.0;
4;1;9.0;11.5;6;23.0;1;14.0;10.0;4;20.0;
5;1;9.60000038147;11.5;6;23.0;2;15.6000003815;10.0;3;21.0;
6;1;10.6000003815;11.5;6;23.0;2;16.6000003815;10.0;3;21.5299996138;
7;1;11.6000003815;11.5;6;23.0;2;17.6779994965;10.1999998093;3;22.0018314123;
8;1;11.8999996185;11.5;6;23.4599990845;2;18.2010993958;10.3632001877;3;23.3081688881;
9;1;12.0380001068;11.7299995422;6;23.8212833405;2;18.9849014282;10.9097137451;3;24.466154933;
10;2;12.1463851929;12.1106414795;5;25.0;2;20.9849014282;11.3658018112;3;25.4912455082;
11;2;12.5000009537;12.0;5;26.2300007343;2;22.9849014282;11.7372808456;3;26.4064147472;
12;2;14.4553852081;12.6000003815;5;27.2181913853;2;24.4950656891;12.0336990356;4;27.2378556728;
13;2;16.4553852081;13.0788002014;5;27.9928700924;2;25.7148532867;12.2662630081;4;28.0116350651;
14;2;18.4553852081;13.4505519867;5;28.589247942;2;26.9631156921;12.446267128;4;28.5832509995;
15;2;19.4834403992;13.7328653336;5;29.0429638624;2;28.2416057587;12.5;4;29.0998392105;
16;2;20.4931354523;13.943564415;5;29.1887089014;2;29.5515594482;12.5;4;29.6697235107;
17;2;21.5029983521;14.0;6;29.2221269608;2;30.8934898376;12.5;4;30.2922105789;
18;2;22.5130233765;14.0;6;29.2560760975;2;32.175327301;12.5;4;30.9647336006;
19;2;22.7768230438;14.0;6;29.2905418873;2;32.5788421631;12.5;4;31.6826052666;
20;2;22.7871627808;14.0;6;29.3255085945;2;33.009563446;12.5;4;32.4389019012;
21;2;22.7976531982;14.0;6;29.3609591722;2;33.4633407593;12.5;6;33.2245311737;
22;2;22.8082866669;14.0;6;29.3968753815;2;33.9347190857;12.5;6;34.0285177231;
23;2;22.8190612793;14.0;6;29.4332377911;2;34.4171104431;12.5;6;34.8385095596;
24;2;22.3999996185;14.4299716949;6;29.4700255394;2;34.9031066895;12.5;6;35.6414785385;
25;2;22.3999996185;14.4410076141;6;29.5072168112;2;35.3848876953;12.5;6;36.424533844;
26;2;20.8521652222;15.0;6;29.5447884798;2;35.8547210693;12.5;6;37.1757497787;
27;2;19.8634357452;16.0;6;29.5827163458;2;36.3054504395;12.5;7;37.8848962784;
28;2;18.8748149872;17.0;6;29.6209751368;2;36.7309379578;12.5;8;38.5439720154;
29;2;17.8862915039;18.0;7;29.6595385075;2;37.1263809204;12.5;8;39.1474952698;
30;2;16.8978614807;19.0;8;29.6983793974;2;37.488494873;14.5;8;39.692527771;
31;2;15.9095134735;20.0;8;29.7374696732;2;37.8155174255;16.5;8;40.1784791946;
32;2;14.9212408066;21.0;8;29.7767804861;2;38.1070861816;18.5;9;40.6067428589;
33;2;14.5330343246;22.0;9;29.8162822723;2;38.3640441895;20.5;10;40.9802522659;
34;3;15.5448846817;23.5;9;30.8559447527;2;38.5881500244;22.5;10;41.3030128479;
35;3;16.5567836761;24.0;9;30.9357372522;2;38.7818069458;22.5;11;41.5796737671;
36;3;16.8807220459;25.0;10;31.0168124437;2;38.9478034973;22.5;12;41.815158844;
37;3;16.9050445557;26.0;11;31.0991406441;2;39.0890960693;22.5;12;42.0;
38;3;16.9297428131;27.0;11;31.1826885939;2;39.2000007629;22.5;13;42.0;
39;3;17.604675293;25.5835533142;12;31.2674201727;2;39.2000007629;22.5;13;42.0;
40;3;16.9802246094;26.0;13;31.3532958031;3;39.2000007629;22.5;12;63.75;
41;3;16.0;28.6288738251;14;31.4402725697;4;38.2000007629;24.5;10;69.8374996185;
42;3;17.0;26.7201366425;15;31.5283045769;4;39.2000007629;27.5;10;70.8810162544;
43;3;16.0;27.7641525269;15;31.6173421144;4;40.2000007629;30.5;11;71.7442274094;
44;3;16.0;28.8086700439;16;31.7073322535;4;41.2000007629;33.5;11;72.4503250122;
45;3;17.0;26.8536663055;17;31.7982187271;4;41.423992157;36.5;13;73.024679184;
46;3;19.139465332;27.8536663055;17;31.8899421692;4;41.4553260803;38.5;13;75.4897546768;
47;3;20.1669826508;28.8536663055;18;31.9824397564;4;42.0857124329;40.0;14;77.4843387604;
48;3;21.194732666;29.8536663055;18;32.0756458044;5;42.5831031799;41.3899993896;13;89.0783581734;
49;3;21.7231502533;30.7264137268;21;32.1694908142;5;43.9681549072;43.6872596741;14;90.5969152451;
50;3;22.7346439362;30.7264137268;21;32.2639029026;5;46.0623931885;45.5024490356;14;91.7143001556;
51;3;24.27917099;29.0;21;32.3588074446;5;46.2968597412;46.7667732239;14;92.5539031029;
52;3;24.7573299408;29.9171886444;23;32.4541267157;5;46.3218841553;47.9099998474;18;93.2493782043;
53;3;24.9677333832;30.0;23;32.5497807264;5;46.3457794189;49.0;18;93.7260956764;
54;3;25.7649345398;29.0;24;32.6456873417;5;46.3685379028;49.0;18;94.1639170647;
55;3;25.1904830933;30.0;25;32.7417621613;6;46.3901748657;49.0;17;94.5635075569;
56;3;25.8225288391;29.0;25;32.8379192352;6;46.4106903076;49.0;19;94.9261879921;
57;3;25.2119235992;30.0;26;32.9340713024;6;46.4301147461;50.0;19;95.253777504;
58;3;25.0577945709;30.0;26;33.0301296711;7;46.4484710693;51.0;13;110.548446655;
59;3;24.3999996185;31.3879623413;27;33.1260049343;7;47.4657821655;53.0;13;111.831102371;
60;3;25.0948295593;30.4049530029;27;33.2216074467;8;48.4749984741;55.0;13;112.954054832;
61;3;25.1134796143;30.421672821;27;33.3168468475;8;47.4749984741;53.0;13;114.854377747;
62;3;25.9950523376;29.0;28;33.4116337299;8;48.4749984741;54.0;14;115.694553018;
63;3;25.2725658417;29.0;28;33.5058789253;8;49.4749984741;55.0;15;116.436681271;
64;4;24.3999996185;30.0;18;58.5994944572;9;49.4749984741;58.0;14;117.088081121;
65;4;25.3999996185;32.4857292175;20;60.440372467;9;49.4749984741;59.0;15;117.658944011;
66;4;27.2999992371;31.0;20;61.9068851471;9;49.4749984741;61.0;15;118.16086936;
