Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;6.0;14.1000003815;4;23.0;1;13.0;10.0;4;20.0;
2;1;7.0;13.1000003815;6;23.0;1;13.0;10.0;5;20.0;
3;1;8.0;12.1000003815;6;23.0;1;13.0;10.0;5;20.0;
4;1;9.0;11.5;6;23.0;1;14.0;10.0;5;20.0;
5;1;9.60000038147;11.5;6;23.0;2;15.6000003815;10.0;4;21.0;
6;1;10.6000003815;11.5;6;23.0;2;16.6000003815;10.0;4;21.4999996424;
7;1;11.6000003815;11.5;6;23.0;2;17.6599998474;10.1999998093;4;21.9353003502;
8;1;11.8999996185;11.5;6;23.4599990845;2;18.1611804962;10.3632001877;4;23.1829590797;
9;1;12.0380001068;11.7299995422;6;23.8212833405;2;18.9097747803;10.9097137451;4;24.267437458;
10;2;12.1463851929;12.1106414795;5;25.0;2;20.9097747803;11.3658018112;4;25.2018244267;
11;2;12.5000009537;12.0;5;26.305000782;2;22.9097747803;11.7372808456;4;26.0066431761;
12;2;14.4778852463;12.6000003815;5;27.3774651289;2;24.2552032471;12.0336990356;5;26.7056586742;
13;2;16.4778862;13.0788002014;5;28.2463724613;2;25.3955345154;12.2662630081;5;27.3226804733;
14;2;18.4778862;13.4505519867;5;28.9476075172;2;26.5497436523;12.446267128;5;27.7113106251;
15;2;19.5909481049;13.7328653336;5;29.5174618959;2;27.7184410095;12.5;5;28.0173821449;
16;2;20.6354846954;13.943564415;5;29.7912415266;2;28.9020843506;12.5;5;28.3487696648;
17;2;21.683757782;14.0;5;29.9651488066;2;30.1009178162;12.5;5;28.7054548264;
18;2;22.7359294891;14.0;5;30.1525228024;2;31.2232723236;12.5;5;29.0869145393;
19;2;22.3999996185;14.6457567215;7;30.3537294865;2;31.4521484375;12.5;6;29.4920539856;
20;2;23.1061191559;14.0;7;30.5690078735;2;31.6952323914;12.5;6;29.9191560745;
21;2;23.1707019806;14.0;7;30.7984457016;3;31.9514942169;12.5;5;30.3658571243;
22;2;23.2395324707;14.0;7;31.0419540405;3;32.2195129395;12.5;5;30.8291530609;
23;2;23.3125858307;14.0;9;31.299243927;3;32.4974899292;12.5;5;31.3054442406;
24;2;23.3897724152;14.0;9;31.5698068142;3;32.7832679749;12.5;5;31.790620327;
25;2;22.3999996185;15.0;9;31.852899313;3;33.0743713379;12.5;5;32.2801818848;
26;3;21.3999996185;15.0;8;32.1475343704;3;33.3681106567;12.5;5;32.7693967819;
27;3;20.6442604065;16.0;9;32.4524803162;3;33.6616363525;12.5;5;33.2534770966;
28;3;19.7357444763;17.0;9;32.7662696838;3;33.9520874023;12.5;5;33.7277650833;
29;4;18.8298797607;18.0;6;50.3372173309;3;34.2366600037;12.5;5;34.187912941;
30;4;19.3999996185;18.0;6;51.5259485245;3;34.5127487183;12.5;6;34.6300430298;
31;4;22.3999996185;17.0;6;52.6048460007;3;34.7780265808;14.5;6;35.0508718491;
32;4;24.122882843;17.0;6;53.5745296478;3;35.0305252075;16.5;6;35.4477939606;
33;4;25.2220687866;18.0;7;55.4401965141;3;35.2686767578;18.5;6;35.8189210892;
34;4;27.320941925;19.5;7;56.2399642467;3;35.4913520813;20.5;6;36.1630792618;
35;4;28.4188499451;20.0;8;56.9539954662;3;35.697845459;22.5;6;37.4797668457;
36;4;26.4188499451;22.5302963257;8;57.5921671391;3;36.8878593445;23.5;6;37.8090839386;
37;4;26.7275295258;24.0;8;58.0423295498;3;38.0614509583;24.5;6;38.1128258705;
38;4;27.7370548248;23.0;9;58.3684538603;3;38.8676948547;25.5;6;38.3920214176;
39;4;26.7467498779;25.0;9;58.6829954386;3;39.0352096558;26.5;6;38.6480082273;
40;4;27.3999996185;29.0;10;58.9848241806;3;39.1888046265;27.5;6;38.8823393583;
41;4;28.7666378021;33.0;11;59.2730734348;3;39.3294029236;27.5;7;39.0966999531;
42;4;29.4069213867;37.0;11;59.5471413136;3;39.4580192566;27.5;7;39.2928340435;
43;4;29.4891414642;41.0;13;59.8066782951;3;39.5756988525;27.5;8;39.3530313969;
44;4;29.5670032501;44.0;14;60.0515681505;4;39.6118164062;27.5;7;39.4023760557;
45;4;29.6404705048;45.0;15;60.2819032669;5;40.6414260864;28.5;6;40.4528282881;
46;4;29.7095718384;46.0;15;60.4979560375;5;41.6716957092;29.5;7;40.6343625784;
47;4;29.3444156647;47.7166213989;16;60.7001490593;5;42.3806190491;30.5;7;42.2750681639;
48;4;29.3940372467;48.7350120544;16;60.8890260458;5;42.5862197876;32.0;8;43.6812893152;
49;6;30.891708374;46.0;9;100.065219998;5;43.3154525757;33.3899993896;8;44.8915601969;
50;6;31.9029788971;47.0;11;102.179430366;5;44.9119873047;33.6872596741;9;45.9465103149;
51;6;33.9143600464;48.0;11;103.947950006;5;45.567905426;33.9097442627;10;46.7363208532;
52;6;35.8862915039;49.0;13;105.317932367;5;46.0417900085;34.0;10;47.3501141071;
53;6;37.8978614807;50.0;13;106.430379748;5;46.410068512;34.0;10;48.9734153748;
54;6;39.9095153809;51.0;14;107.325924873;5;47.7840461731;35.0;9;49.5599811077;
55;7;41.2962417603;51.0;14;107.845870376;5;49.09998703;36.0;10;50.1439175606;
56;7;42.3080329895;51.0;14;108.193300247;5;49.4125747681;37.0;11;50.7710872889;
57;7;43.3198852539;51.0;17;108.488707662;5;49.7492752075;38.0;11;51.4408891201;
58;7;44.3317832947;51.0;18;108.64573729;5;50.1096992493;39.0;13;52.1516391039;
59;7;45.3437194824;51.0;19;108.685628533;5;50.4928131104;39.665145874;14;52.9004451036;
60;7;45.7556877136;51.0;20;108.72558713;5;50.8968429565;39.7028579712;14;53.6831393242;
61;7;45.7676773071;51.0;21;109.765581131;6;51.3192749023;39.7421760559;14;54.4942857027;
62;7;46.7796707153;53.0;22;109.895578742;6;51.7568359375;39.7831115723;15;55.3272852898;
63;7;49.9972305298;56.0;22;110.032666922;6;52.2055740356;39.8256645203;16;56.174579978;
64;7;51.4532661438;59.0;24;114.089873791;6;52.6609573364;39.8698272705;16;57.0279506445;
65;7;51.9990463257;62.7000007629;24;117.33727932;6;53.1180725098;39.9155807495;16;57.8788890839;
66;7;52.8060722351;66.2292022705;25;119.908140659;6;53.5718460083;39.9629058838;16;58.7190105915;
