Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;6.0;14.1000003815;4;23.0;1;13.0;10.0;4;20.0;
2;1;7.0;13.1000003815;6;23.0;1;13.0;10.0;5;20.0;
3;1;8.0;12.1000003815;6;23.0;1;13.0;10.0;6;20.0;
4;1;9.0;11.5;6;23.0;1;14.0;10.0;6;20.0;
5;1;9.60000038147;11.5;6;23.0;1;15.0;10.0;6;20.0;
6;1;10.6000003815;11.5;6;23.0;2;16.6000003815;10.0;5;21.3999996185;
7;2;11.6000003815;11.6999998093;5;24.0;2;17.6000003815;10.1999998093;5;21.7264003754;
8;2;12.1999998093;11.5;5;24.4599990845;2;18.0358409882;10.3632001877;5;22.8494274616;
9;2;12.3380002975;11.7299995422;5;24.8212833405;2;18.7096557617;10.9097137451;5;23.7921946049;
10;2;12.4463853836;11.9106416702;5;25.0;2;20.7096557617;11.3658018112;5;24.5663278103;
11;2;12.5000009537;12.0;5;26.2300007343;2;22.7096557617;11.7372808456;5;25.1909153461;
12;2;14.4553852081;12.6000003815;5;27.2181913853;2;23.7657661438;12.0336990356;5;25.6883610487;
13;2;16.4553852081;13.0788002014;5;27.9928700924;2;24.4130172729;12.2662630081;5;26.0812431574;
14;2;18.4553852081;13.4505519867;5;28.589247942;2;24.6487464905;12.446267128;5;26.2221269608;
15;2;19.4834403992;13.7328653336;5;29.0429638624;2;24.7332763672;12.5;5;26.2560760975;
16;2;20.4931354523;13.943564415;5;29.1887089014;2;26.6891651154;12.5;5;26.2905418873;
17;2;21.5029983521;14.0;6;29.2221269608;2;27.7098445892;12.5;5;26.3255085945;
18;2;22.5130233765;14.0;6;29.2560760975;2;27.9355201721;12.897652626;6;26.3609591722;
19;2;22.7768230438;14.0;6;29.2905418873;2;28.9355201721;12.908288002;6;26.3968753815;
20;2;22.7871627808;14.0;7;29.3255085945;2;29.0;12.9190626144;6;26.4332377911;
21;2;22.7976531982;14.0;7;29.3609591722;2;29.0;13.2166185379;5;26.4700255394;
22;2;22.8082866669;14.0;8;29.3968753815;2;29.0;13.2350130081;5;26.5072168112;
23;2;22.8190612793;14.0;8;29.4332377911;2;29.0;13.2536087036;5;26.5447884798;
24;2;22.3999996185;14.4299716949;8;29.4700255394;2;29.0;13.2723941803;5;26.5827163458;
25;2;22.3999996185;14.4410076141;8;29.5072168112;3;29.0;13.2913579941;4;26.6209751368;
26;2;22.3999996185;14.45216465;8;29.5447884798;3;29.0;13.3104877472;5;26.6595385075;
27;2;20.8634357452;15.0;8;29.5827163458;3;29.0;13.3297691345;5;26.6983793974;
28;2;19.8748149872;16.0;8;29.6209751368;3;29.0;13.3491897583;5;26.7374696732;
29;2;18.8862915039;17.0;8;29.6595385075;3;29.0;13.3687343597;5;26.7767804861;
30;2;17.8978614807;18.0;8;29.6983793974;3;29.0;13.3883905411;5;26.8162822723;
31;2;16.9095134735;19.0;8;29.7374696732;3;29.0;13.4081411362;5;26.8559447527;
32;2;15.9212408066;20.0;8;29.7767804861;3;29.0;13.4279727936;5;26.8957372904;
33;2;14.9330339432;21.0;8;29.8162822723;3;30.0;15.4279727936;5;26.9356285334;
34;2;14.5448846817;22.0;8;29.8559447527;3;30.1613769531;17.4279727936;6;26.9755871296;
35;2;14.5567836761;23.0;10;29.8957372904;3;30.1853523254;19.4279727936;6;27.015581131;
36;2;14.5687217712;24.0;10;29.9356285334;3;30.2093486786;21.4279727936;6;27.0555787086;
37;2;14.5806884766;25.0;10;29.9755871296;3;30.2333469391;22.5;6;27.0955479145;
38;2;14.5926761627;26.0;12;30.015581131;3;30.2573280334;22.5;6;27.135456562;
39;2;14.6046743393;27.0;13;30.0555787086;3;30.2812728882;22.5;7;27.17527318;
40;2;15.6166734695;25.0;13;30.0955479145;3;30.3051643372;22.5;7;27.2149660587;
41;2;14.6286640167;26.0;14;30.135456562;3;30.3289794922;22.5;7;27.2545039654;
42;2;14.6406364441;27.0;15;30.17527318;4;30.3527030945;22.5;7;27.293856144;
43;2;15.6525821686;25.0;15;30.2149660587;4;30.3763141632;22.5;7;27.3329925537;
44;4;15.6644897461;26.5;10;60.0045039654;4;30.3997955322;22.5;7;27.3718836308;
45;4;17.0;28.5;11;62.2538568974;4;29.0;23.5;7;27.4105007648;
46;4;19.359249115;26.1469287872;11;64.0614134073;4;29.0;23.7052497864;7;27.4488155842;
47;4;22.1293907166;28.1469287872;12;65.4921542406;4;29.0;23.724407196;7;27.4868011475;
48;4;24.224029541;30.1469268799;12;66.6371998787;4;29.0;23.7434005737;8;27.5244314671;
49;4;26.3331947327;32.1469268799;12;67.58842659;4;29.0;23.7622146606;8;27.5616812706;
50;4;27.7346458435;34.0;14;68.0935275555;4;29.0;23.7808418274;8;27.5985264778;
51;4;30.6030578613;35.0;14;68.6423196793;4;29.0;23.7992630005;9;27.6349442005;
52;4;31.7573299408;35.0;14;69.2649796009;4;29.0;23.8174724579;9;27.6709127426;
53;4;33.0;36.976650238;16;69.9658484459;4;29.0;23.8354568481;9;28.7331206799;
54;5;36.1795578003;34.0;16;70.747164011;4;29.5999984741;24.3665599823;8;30.5750780106;
55;5;35.7991485596;35.0;16;71.608259201;4;31.0680007935;25.7875385284;8;31.2712240219;
56;5;36.2012710571;35.0;17;72.5448000431;4;32.4247131348;27.11561203;10;31.8186028004;
57;5;37.6369247437;36.0;18;73.5481984615;4;32.6916885376;28.3687095642;11;32.1022410393;
58;5;36.8249969482;38.0;18;74.6053664684;4;32.7999992371;29.4893436432;11;32.2060035467;
59;5;37.8249969482;36.3879623413;19;75.6989676952;4;32.7999992371;30.5194473267;11;32.3103333712;
60;5;38.8249969482;35.4049530029;19;76.8082578182;4;30.7999992371;32.155166626;13;32.415157795;
61;5;37.8249969482;36.421672821;20;77.9104976654;5;31.7999992371;30.578704834;9;47.5204041004;
62;5;38.3731460571;36.0;18;78.9827730656;6;33.7999992371;31.607793808;10;48.1759979725;
63;6;36.822265625;38.0;16;95.0539450645;5;32.7999992371;30.6364841461;10;32.7318686247;
64;6;37.1190948486;40.4701499939;15;96.251355648;5;30.7999992371;31.6647453308;11;32.8379403353;
65;6;35.1190948486;43.4857292175;15;97.8397483826;5;31.7999992371;31.6647453308;11;32.9441404343;
66;6;36.0190925598;43.0;16;103.638716936;5;29.7999992371;33.6647453308;12;33.0503957272;
