Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
1;1;6.0;14.1000003815;4;23.0;1;6.0;12.0;4;20.0;
2;1;7.0;13.1000003815;4;23.0;1;7.0;11.0;5;20.0;
3;1;8.0;12.1000003815;4;23.0;1;8.0;10.0;5;20.0;
4;1;9.0;11.5;4;23.0;1;9.0;10.0;5;20.0;
5;1;9.60000038147;11.5;4;23.0;1;9.0;10.0;5;20.0;
6;1;10.6000003815;11.5;4;23.0;1;10.0;10.0;5;20.0;
7;1;11.6000003815;11.5;4;23.0;1;11.0;10.0;5;20.0;
8;1;11.8999996185;11.5;4;23.4599990845;1;11.0;10.0;5;20.3999996185;
9;1;12.0380001068;11.7299995422;4;23.8212833405;1;11.1199998856;10.1999998093;5;20.7264003754;
10;2;12.1463851929;12.1106414795;3;25.0;1;11.2179203033;10.3632001877;5;20.9903717041;
11;2;12.5000009537;12.0;3;26.2400007248;2;11.2971115112;10.6951856613;4;23.0419120789;
12;2;14.4583854675;12.6000003815;3;27.2387843132;2;11.9125738144;11.0209560394;4;24.004350543;
13;2;16.4583854675;13.0788002014;3;28.0246574879;2;13.9125738144;11.4571752548;5;24.8085255623;
14;2;18.4583854675;13.4505519867;4;28.63283813;2;15.9125738144;11.8107032776;5;25.4750021696;
15;3;19.4965171814;13.7328653336;4;29.098970294;2;17.0000953674;12.0916318893;5;26.0268363953;
16;3;20.1463851929;13.943564415;5;29.2577478886;2;18.0338420868;12.3113050461;5;26.4866900444;
17;3;21.5237102509;14.0;5;29.3048160076;2;19.0700531006;12.4808797836;5;26.6541694403;
18;3;22.5378303528;14.0;5;29.3530313969;2;20.1088237762;12.5;5;26.7922235727;
19;3;22.8059082031;14.0;5;29.4023760557;2;21.1502399445;12.5;5;26.9393253326;
20;3;22.3999996185;14.420712471;5;29.4528282881;2;22.0817985535;12.5;6;27.0956480503;
21;3;22.3999996185;14.4358482361;5;29.5043625832;2;22.1286945343;12.5;5;27.261295557;
22;3;22.3999996185;14.4513092041;5;29.5569496155;2;21.5;13.1783885956;5;27.4362905025;
23;3;22.8670845032;14.0;5;29.6105561256;2;22.2308864594;12.5;5;27.6205644608;
24;3;22.8831672668;14.0;5;29.6651450396;2;21.5;13.2861690521;6;27.8139474392;
25;3;22.3999996185;14.49954319;5;29.72067523;3;21.5;13.3441839218;5;28.016159296;
26;3;20.9162025452;15.0;5;29.7771017551;3;22.4048480988;12.5;6;28.2268030643;
27;3;19.9331302643;16.0;5;29.8343759775;4;22.4680404663;12.5;5;28.445360899;
28;3;18.9503116608;17.0;6;29.8924454451;4;22.5336074829;12.5;5;28.6711919308;
29;3;17.9677333832;18.0;7;29.9512542486;4;21.5;13.5;5;28.9035346508;
30;3;16.985376358;19.0;7;30.0107431412;4;20.5;13.5;5;29.141512394;
31;3;16.0032234192;20.0;7;30.0708494186;4;19.7424545288;14.5;5;29.3841423988;
32;3;15.0212545395;21.0;8;30.1315076351;4;18.8152427673;15.5;5;29.6303496361;
33;3;14.6394519806;22.0;9;30.1926498413;4;17.8891048431;16.5;5;29.8789830208;
34;3;14.6577949524;23.0;9;30.2542052269;4;16.9636955261;17.5;5;30.1288366318;
35;3;14.6762619019;24.0;10;30.3161010742;4;16.0386505127;18.5;5;30.3786706924;
36;3;14.6948299408;25.0;11;30.3782629967;4;15.6136016846;19.5;5;30.6272368431;
37;3;14.7134790421;26.0;11;30.4406147003;4;15.6881713867;20.5;5;30.8733024597;
38;3;14.7321844101;27.0;11;30.5030794144;4;15.7619905472;21.5;6;31.1156759262;
39;3;15.0;26.0;13;30.5655794144;4;15.8347034454;22.5;7;31.353228569;
