Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
1;1;6.0;14.1000003815;4;23.0;1;6.0;12.0;4;20.0;
2;1;7.0;13.1000003815;6;23.0;1;7.0;11.0;5;20.0;
3;1;8.0;12.1000003815;6;23.0;1;8.0;10.0;6;20.0;
4;1;9.0;11.5;6;23.0;1;9.0;10.0;6;20.0;
5;1;9.60000038147;11.5;6;23.0;1;9.0;10.0;6;20.0;
6;1;10.6000003815;11.5;5;23.0;1;10.0;10.0;6;20.0;
7;1;11.6000003815;11.5;5;23.0;1;11.0;10.0;6;20.0;
8;1;11.8999996185;11.5;5;23.4599990845;1;11.0;10.0;6;20.3999996185;
9;1;12.0380001068;11.7299995422;5;23.8212833405;2;11.1199998856;10.3999996185;5;21.7264003754;
10;1;12.1463851929;11.9106416702;5;24.0;2;11.5179204941;10.3632001877;5;22.070371747;
11;2;12.2000007629;12.1999998093;4;26.2000007629;2;11.6211118698;10.4951858521;5;23.2290481329;
12;2;14.4463853836;12.6000003815;4;27.2151004076;2;11.9687147141;11.0209560394;5;24.2179785967;
13;2;16.4463844299;13.0788002014;4;28.018802166;2;13.9687147141;11.4571752548;5;25.0514392853;
14;2;18.4463844299;13.4505519867;4;28.6463810205;2;15.9687147141;11.8107032776;5;25.7501502037;
15;2;19.500579834;13.7328653336;4;29.1335337162;2;16.7250442505;12.0916318893;5;26.3373026848;
16;2;20.5203056335;13.943564415;4;29.3150019646;2;16.9011917114;12.3113050461;5;26.8356666565;
17;2;21.5408859253;14.0;4;29.3864723444;2;17.050699234;12.4808797836;5;27.0449216366;
18;2;22.5623264313;14.0;4;29.4608361721;2;17.1134757996;12.5;5;27.2280459404;
19;2;22.3999996185;14.4382505417;6;29.53810215;2;17.1684131622;12.5;5;27.4234890938;
20;2;22.3999996185;14.4614305496;7;29.6182664633;2;17.2270469666;12.5;5;27.6313397884;
21;2;22.3999996185;14.4854803085;6;29.7013115883;2;17.2894020081;12.5;5;27.851547718;
22;2;22.9103927612;14.0;7;29.7872054577;2;17.3554649353;12.5;9;28.0839047432;
23;2;22.9361610413;14.0;7;29.8759007454;3;16.582654953;12.5;5;43.3280296326;
24;2;22.962770462;14.0;7;29.9673340321;3;20.3985671997;13.5;6;44.3333551884;
25;2;22.9902000427;14.0;7;30.0614249706;3;22.4675064087;14.5;6;45.2684943676;
26;3;21.0184268951;15.0;6;30.1580765247;3;22.5;16.5;6;46.1316556931;
27;3;19.3999996185;16.0;6;30.2571737766;4;22.75;17.6548233032;6;46.9242119789;
28;3;19.0771522522;17.0;6;30.3585846424;4;22.75;17.5;6;47.6498427391;
29;3;18.1075744629;18.0;6;30.4621598721;4;23.75;18.5;6;48.3136825562;
30;3;17.1386470795;19.0;6;30.5677332878;4;24.0985393524;19.5;6;48.9215564728;
31;3;16.1703186035;20.0;6;30.6751227379;4;22.75;21.5;6;49.4793791771;
32;3;15.2025365829;21.0;6;30.7841308117;4;23.75;21.5;6;49.899023056;
33;3;14.8352394104;22.0;7;30.8945457935;4;24.3427352905;22.5;6;50.1999306679;
34;3;14.8683643341;23.0;7;31.0061435699;4;22.75;24.5;7;50.497531414;
35;3;14.901843071;24.0;7;31.1186892986;4;24.75;21.5;8;51.7900805473;
36;3;14.9356069565;25.0;7;31.2319386005;4;25.583322525;22.9599990845;8;52.095937252;
37;3;14.969581604;26.0;7;31.3456401825;4;26.6605033875;23.9692001343;9;52.3937973976;
38;3;15.003692627;27.0;7;31.4595377445;4;27.7354717255;21.9784889221;9;52.6823250055;
39;3;15.0;26.0;7;32.5733726025;4;27.0942287445;22.5;9;52.9603761435;
40;3;15.0;28.2866859436;7;32.7468852997;5;26.8773918152;23.9973297119;7;70.22701478;
41;3;16.0;29.3734436035;7;32.9227828979;5;26.8773918152;23.0068721771;7;71.5015176535;
42;3;17.0;27.461391449;7;33.1008814573;5;30.1805515289;26.0068721771;8;72.6407694817;
43;3;16.0;28.5504417419;9;33.2809958458;5;32.1862411499;29.0068721771;8;73.6419904232;
44;3;16.0;29.6404972076;9;33.4629403353;5;33.4371147156;32.0068740845;8;74.5096004009;
45;3;17.0;27.731470108;9;33.6465295553;6;31.4953861237;35.9727249146;7;75.2531815767;
46;3;19.0;28.731470108;10;33.8315792084;6;27.175031662;39.4117736816;7;75.8853904009;
47;3;20.3041687012;29.731470108;11;34.0179048777;6;25.75;42.9331932068;8;76.4201676846;
48;3;21.8053703308;30.6651439667;11;34.2053239346;6;25.75;45.9074821472;8;76.8714016676;
49;3;22.8615970612;30.6651439667;12;34.3936542273;6;25.75;48.888961792;8;77.0576696396;
50;3;23.9180965424;30.0;13;34.5827139616;6;25.75;51.3865242004;8;77.2005726099;
51;3;24.9748153687;29.0;14;34.7723212242;7;26.0;53.4522628784;7;77.3331154585;
52;3;26.0316963196;29.0;14;34.9622933865;7;27.0;55.5132293701;7;78.3617914915;
53;3;25.8816280365;30.0;14;35.1524465084;7;29.0;58.5264205933;7;78.4741004705;
54;3;25.9084625244;30.0621166229;13;35.3425941467;7;31.0;61.5366859436;8;78.5935851336;
55;3;25.0683422089;30.0;14;35.5325469971;7;32.9000015259;61.5469703674;8;78.7206170559;
56;3;25.1002349854;31.0;14;35.722111702;7;31.8999996185;64.5572814941;8;78.8555543423;
57;3;25.3999996185;30.0;11;35.9110908508;7;31.8999996185;67.5676116943;11;79.9987348318;
58;4;26.007019043;30.277179718;10;36.0992820263;7;34.9000015259;65.2794189453;11;80.1904668808;
59;4;24.3999996185;30.0;11;36.286478281;7;33.9000015259;68.3492126465;11;80.3922048807;
60;5;26.3999996185;31.0;11;37.4724674225;7;33.9000015259;71.4230728149;11;80.6041727066;
61;5;26.3999996185;32.0;11;37.809533;8;35.9000015259;68.501083374;10;80.8265323639;
62;5;26.7457504272;35.0;11;38.1664533615;8;33.9000015259;69.9000015259;15;81.0593731403;
63;5;27.7979488373;34.5699806213;12;38.5356234312;8;33.9000015259;74.2355880737;15;81.3027001619;
64;5;27.3783493042;35.0;11;38.882037878;8;35.9000015259;70.3895568848;15;84.0359412432;
65;5;26.9246826172;36.0;11;40.2580165863;8;34.9111289978;71.3412704468;16;86.3240624666;
66;5;28.0007667542;37.875;11;40.6958296299;8;35.2094078064;73.4206771851;17;88.2318946123;
67;5;29.0863609314;38.875;13;41.168192625;8;35.6244697571;73.5054626465;18;90.8261698484;
68;6;30.1821918488;39.875;12;41.6769483089;8;36.7721557617;74.1322784424;18;91.8737670183;
69;6;29.2889041901;41.875;12;42.2235097885;8;37.7719726562;75.7044143677;20;92.438908577;
70;6;28.3999996185;42.875;13;42.8086844683;9;34.7999992371;80.8164138794;20;92.925691843;
71;6;29.3999996185;42.4529190063;13;45.081831336;9;36.7999992371;80.7921218872;21;93.3952840567;
72;6;32.1297683716;41.1751327515;13;47.0739424229;10;33.7999992371;84.980140686;21;93.8778799772;
73;6;30.6389636993;43.7271347046;14;48.8407567739;11;33.7999992371;83.3298721313;20;94.3719177246;
74;6;29.369758606;47.137588501;14;51.4223706722;12;32.7999992371;83.4662094116;18;109.875669479;
75;6;32.5353660583;45.8543128967;14;52.7644041777;12;33.7999992371;86.6042709351;18;111.43726933;
76;7;33.4000015259;47.2001724243;13;53.9672759771;12;36.7999992371;89.7432556152;19;112.909730911;
77;7;33.4000015259;49.3265762329;13;55.2086094618;12;36.7999992371;95.8823471069;20;114.280485988;
78;7;35.4000015259;46.3671722412;14;56.4739910364;13;37.7999992371;101.23525238;20;115.543841958;
79;8;34.4000015259;50.4093856812;13;58.7475078106;13;39.7999992371;103.29800415;21;116.700073123;
80;8;32.4000015259;53.5927810669;14;60.1627761126;13;38.7999992371;108.369087219;23;117.753996611;
81;9;31.7450008392;57.8308677673;13;61.574863553;13;38.7999992371;113.447052002;24;118.713418245;
82;9;30.9962329865;54.9250144958;13;62.9721568823;13;39.7999992371;115.530273438;24;119.571923494;
83;9;31.6000003815;56.0;16;64.3457694054;13;38.7999992371;120.617027283;24;120.35107255;
84;9;32.5999984741;58.8670272827;16;65.6479631662;13;38.7999992371;125.705657959;26;120.9658885;
85;9;34.1944313049;60.0;17;66.9160735607;13;39.7999992371;126.724533081;26;121.432367802;
86;9;34.2777633667;62.0;18;68.1507639885;14;38.7999992371;127.476997375;25;150.638379574;
87;10;33.5999984741;65.0;15;70.3551111221;14;40.7999992371;126.538246155;26;154.604997873;
88;10;34.5999984741;65.4573745728;14;71.6138452291;14;48.3874778748;129.979431152;27;157.854579926;
89;10;36.5888442993;65.0;16;72.9494823217;14;52.5276527405;132.531494141;28;160.349291563;
90;10;36.7144699097;66.0;17;74.2866618633;14;56.6667060852;130.384628296;30;162.183081865;
91;11;35.5999984741;68.0;16;75.6312961578;14;56.8246078491;131.997207642;31;163.508404732;
92;11;35.5999984741;71.0;16;76.9778549671;14;58.8132629395;132.127853394;32;164.370995522;
93;11;35.5999984741;70.0;16;79.1715534925;14;58.8968734741;132.252105713;32;164.739827871;
94;11;36.5999984741;74.0;17;80.3872476816;14;57.931224823;135.37008667;33;165.095674992;
95;11;37.5999984741;78.0;17;81.5736154914;14;58.9643821716;135.481948853;33;165.438420296;
96;11;37.5999984741;82.0;17;82.7996339798;14;58.9963378906;135.587768555;34;165.668677568;
97;11;37.5999984741;86.0;18;85.0586647391;14;58.0181465149;138.641967773;35;165.895483017;
98;11;39.5999984741;88.0;19;86.3712760806;14;59.0396156311;138.69480896;35;166.118388176;
99;11;39.5999984741;93.0;19;87.6981209517;14;58.0607032776;146.887252808;38;166.336975098;
100;11;39.5999984741;98.0;20;89.0291313529;15;58.0813751221;149.957138062;38;166.550858974;
