Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_EGASSEM;Research_KI_6_SP_EGASSEM;Industry_KI_6_SP_EGASSEM;Ships_KI_6_SP_EGASSEM;Population_KI_6_SP_EGASSEM;
1;1;6.0;14.1000003815;4;23.0;1;6.0;13.3000001907;4;17.0;
2;1;7.0;13.1000003815;6;23.0;1;7.0;12.3000001907;4;17.0;
3;1;8.0;12.1000003815;6;23.0;1;7.55000019073;11.3000001907;4;17.0;
4;1;9.0;11.5;6;23.0;1;7.55000019073;10.3000001907;4;17.0;
5;2;9.60000038147;11.6999998093;5;24.0;1;7.55000019073;9.30000019073;4;17.0;
6;2;10.9000005722;11.5;5;24.1124999523;1;8.55000019073;8.5;4;17.0;
7;2;11.9337501526;11.5;5;24.2364046574;1;8.82499980927;8.5;4;17.0;
8;2;12.2709207535;11.5;5;24.844940424;1;8.82499980927;8.5;4;17.0;
9;2;12.4534826279;11.7299995422;5;25.3705487251;1;8.82499980927;8.5;4;17.3400001526;
10;2;12.6111650467;11.9106416702;5;25.7305408716;1;8.9015007019;8.67000007629;4;17.6278438568;
11;2;12.719162941;12.0;5;27.1818068027;1;8.96626472473;8.81392192841;4;17.869726181;
12;2;14.7409267426;12.6000003815;5;28.4221744537;1;9.02068901062;8.93486309052;4;18.786491394;
13;2;16.7409267426;13.0788002014;5;29.482388258;1;9.22696018219;9.39324569702;4;19.5780620575;
14;2;18.7409267426;13.4505519867;4;30.3998434544;1;11.0206890106;9.78903102875;4;20.2480106354;
15;2;20.0266189575;13.7328653336;4;31.2119448185;1;12.0206890106;10.1240053177;4;20.8052330017;
16;2;21.1438293457;13.943564415;4;31.7545545101;1;13.0206890106;10.4026165009;4;21.2618598938;
17;2;22.2727508545;14.0;5;32.2237029076;1;14.0206890106;10.6309299469;4;21.6314201355;
18;2;23.4134960175;14.0;6;32.7316579819;1;15.0206890106;10.8157100677;4;21.9274635315;
19;2;23.8194961548;14.0;7;33.2766666412;1;16.0206890106;10.9637317657;5;22.0;
20;2;23.9829998016;14.0;7;33.8556928635;1;16.9500007629;11.0;6;22.0;
21;2;22.3999996185;15.0;7;34.4643516541;2;16.9500007629;11.0;5;22.0;
22;3;22.3999996185;15.9393053055;5;35.0969305038;2;16.9500007629;11.0;5;22.0;
