Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_EGASSEM;Research_KI_6_SP_EGASSEM;Industry_KI_6_SP_EGASSEM;Ships_KI_6_SP_EGASSEM;Population_KI_6_SP_EGASSEM;
1;1;6.0;14.1000003815;4;23.0;1;6.0;13.3000001907;4;17.0;
2;1;7.0;13.1000003815;4;23.0;1;7.0;12.3000001907;5;17.0;
3;1;8.0;12.1000003815;4;23.0;1;7.55000019073;11.3000001907;5;17.0;
4;1;9.0;11.5;4;23.0;1;7.55000019073;10.3000001907;5;17.0;
5;1;9.60000038147;11.5;4;23.0;1;7.55000019073;9.30000019073;5;17.0;
6;1;10.6000003815;11.5;4;23.0;1;8.55000019073;8.5;5;17.0;
7;1;11.6000003815;11.5;4;23.0;1;8.82499980927;8.5;5;17.0;
8;1;11.8999996185;11.5;4;23.4599990845;1;8.82499980927;8.5;5;17.0;
9;1;12.0380001068;11.7299995422;4;23.8212833405;1;8.82499980927;8.5;5;17.3400001526;
10;1;12.1463851929;11.9106416702;4;24.0;1;8.9015007019;8.67000007629;5;17.6278438568;
11;1;12.2000007629;12.0;4;25.2000007629;1;8.96626472473;8.81392192841;5;17.869726181;
12;1;14.1463851929;12.6000003815;4;26.1576004028;1;9.02068901062;8.93486309052;5;18.786491394;
13;1;15.1463851929;13.0788002014;4;26.9011039734;1;9.22696018219;9.39324569702;6;19.5780620575;
14;1;16.1463851929;13.4505519867;5;27.4657306671;1;11.0206890106;9.78903102875;6;20.2480106354;
15;2;17.1463851929;13.7328653336;5;27.88712883;1;12.0206890106;10.1240053177;6;20.8052330017;
16;2;18.1463851929;13.943564415;5;28.0;1;13.0206890106;10.4026165009;6;21.2618598938;
17;2;19.1463851929;14.0;5;28.0;1;14.0206890106;10.6309299469;6;21.6314201355;
18;2;20.1463851929;14.0;6;28.0;1;15.0206890106;10.8157100677;6;21.9274635315;
19;2;20.3999996185;14.0;7;28.0;1;16.0206890106;10.9637317657;6;22.0;
20;2;20.3999996185;14.0;7;28.0;1;16.9500007629;11.0;7;22.0;
21;2;20.3999996185;14.0;7;28.0;1;16.9500007629;11.0;7;22.0;
22;2;20.3999996185;14.0;8;28.0;1;16.9500007629;11.0;7;22.0;
23;2;20.3999996185;14.0;8;28.0;1;16.9500007629;11.0;7;22.0;
24;3;21.3999996185;14.3000001907;4;29.0;1;16.9500007629;11.0;7;22.0;
25;3;22.3999996185;14.3000001907;4;29.1525000334;1;16.9500007629;11.0;6;22.0;
26;3;22.7457504272;14.0;4;29.3264987469;1;16.9500007629;11.0;6;22.0;
27;3;20.3999996185;15.3979492188;4;29.524458766;1;16.9500007629;11.0;6;22.0;
28;3;19.8573379517;16.0;4;29.7489435673;1;16.9500007629;11.0;7;22.0;
29;3;18.9246826172;17.0;5;30.0025589466;1;16.9500007629;11.0;7;22.0;
30;3;18.0007667542;18.0;5;30.2878723145;1;16.9500007629;11.0;7;22.0;
31;3;17.0863609314;19.0;5;30.6073079109;1;16.9500007629;11.0;7;22.0;
32;3;16.1821918488;20.0;5;30.9630148411;1;16.9500007629;11.0;7;22.0;
33;3;15.2889041901;21.0;5;31.3567101955;1;14.9500007629;12.0;7;22.0;
34;3;15.0070133209;22.0;5;31.7895004749;1;13.9500007629;13.0;7;22.0;
35;3;15.1368503571;23.0;5;32.2616910934;1;12.9500007629;14.0;7;22.0;
36;3;15.2785072327;24.0;5;32.7725958824;1;12.0;15.0;7;22.0;
37;3;15.4317789078;25.0;5;33.3203659058;1;12.0;16.0;7;22.0;
38;3;15.5961093903;26.0;5;33.9018626213;1;12.0;17.0;7;22.0;
39;3;15.7705593109;27.0;5;34.5125956535;1;12.0;18.0;7;22.0;
40;3;16.9537792206;25.0;6;35.1467533112;1;12.0;19.0;7;22.0;
41;3;16.0;25.0;6;35.7973399162;1;12.0;20.0;8;22.0;
42;3;15.0;25.0;7;36.4564228058;1;12.0;21.0;7;22.0;
43;3;16.0;26.0;9;37.115480423;1;12.0;22.0;8;22.0;
44;3;15.0;25.0;9;37.7658262253;1;12.0;23.0;10;22.0;
45;3;16.0;25.0;10;38.3990592957;1;12.0;24.0;11;22.0;
46;4;18.0;25.5;10;40.0075025558;1;12.0;25.0;11;22.0;
47;4;18.0;24.5;10;40.6145708561;1;12.0;26.0;9;22.0;
48;4;18.3090000153;24.5;11;41.1856319904;1;12.0;27.0;9;22.0;
49;4;19.3181762695;25.5;11;41.7169597149;1;12.0;28.0;10;22.0;
50;4;20.3275299072;26.5;12;42.2063496113;1;12.0;29.0;11;22.0;
51;4;21.3370552063;28.5;13;42.6530226469;1;12.0;30.0;11;22.0;
52;4;22.0;30.5;12;43.0574489832;1;13.0;28.0;9;22.0;
53;4;24.0;29.5943546295;12;43.4211177826;1;12.0;29.0;9;22.0;
54;4;26.3666381836;29.0;13;43.7462894917;1;12.0;30.0;10;22.0;
55;4;27.7768230438;29.0;13;44.0357525349;1;13.0;28.0;11;22.0;
56;4;28.7871627808;29.0;14;44.2926039696;1;12.0;29.0;11;22.0;
57;4;29.2877807617;29.0;14;44.5200682878;1;12.0;30.0;11;22.0;
58;4;29.3560199738;29.0;16;44.6468753815;1;13.0;28.0;11;22.0;
59;4;29.3940620422;29.0;16;44.6832377911;1;12.0;29.0;12;22.0;
60;4;28.9749984741;29.7166194916;16;44.7200255394;1;12.0;30.0;12;22.0;
61;5;28.9749984741;29.7350120544;15;44.7572168112;1;12.0;31.0;12;22.0;
62;5;29.4271659851;29.0;16;44.7947884798;1;12.0;32.0;12;22.0;
63;5;29.4384346008;29.0;16;44.8327163458;1;12.0;33.0;13;22.0;
64;5;29.4498138428;29.0;18;44.8709751368;1;12.0;34.0;14;22.0;
65;5;28.9749984741;29.8104877472;18;44.9095385075;1;12.0;35.0;14;22.0;
66;5;29.4728622437;29.0;18;44.9483793974;1;13.0;33.0;13;22.0;
67;5;29.4845123291;29.0;19;44.9874696732;1;12.0;34.0;14;22.0;
68;5;29.4962387085;29.0;19;45.0267804861;1;12.0;35.0;14;22.0;
69;5;29.5080337524;29.0;19;45.0662822723;1;13.0;33.0;15;22.0;
70;5;29.5198860168;29.0;22;45.1059447527;1;12.0;34.0;15;22.0;
71;5;29.5317840576;29.0;22;47.145450592;2;12.0;35.0;14;22.0;
72;5;30.1436347961;29.7000007629;22;48.7754831314;2;13.0;33.0;15;22.0;
73;5;28.4817943573;31.2291984558;23;50.0562331676;2;12.0;34.0;15;22.0;
74;7;29.1163215637;31.6162643433;21;51.054366827;2;12.0;35.0;15;22.0;
75;7;30.2819290161;31.9588527679;20;51.6609463692;2;13.0;33.0;15;22.0;
76;7;30.8367919922;32.1024856567;21;52.0031263828;2;12.0;34.0;15;22.0;
77;7;29.5200805664;32.0;22;52.3024320602;2;12.0;35.0;15;22.0;
78;8;28.542098999;33.0;21;52.4250531197;2;13.0;33.0;16;23.0;
79;8;27.5643081665;34.0;21;52.4996221066;2;15.0;33.0;16;23.0399999619;
80;8;25.8367919922;36.0;21;52.5746202469;2;17.0;33.0;16;23.0811839104;
81;8;25.6000003815;37.2873077393;21;52.6499376297;2;18.2432670593;33.0;17;23.1235535145;
82;8;25.6000003815;38.3249664307;21;53.7254624367;2;19.2028007507;33.0;18;23.1671074629;
83;8;27.4176387787;39.0;21;54.8810814619;2;19.212600708;33.0;19;23.211841464;
84;8;29.4403247833;42.0;21;54.9922164083;3;19.2226657867;32.0;18;23.2577478886;
85;8;30.4630050659;45.0;22;55.11399436;3;19.2329940796;31.0;18;23.3048160076;
86;8;31.4856433868;48.0;22;55.2460303903;3;19.2435836792;30.0;18;23.3530313969;
87;8;32.5082092285;51.0;23;55.3879736662;3;19.2544326782;29.0;19;23.4023760557;
88;8;33.5306663513;54.0;23;55.5394975543;3;19.2655353546;28.0;19;23.4528282881;
89;8;33.5529785156;57.0;24;55.7002913952;3;19.2768878937;27.0;19;23.5043625832;
90;9;33.5751228333;60.0;24;55.8700508475;3;19.288482666;26.0;19;23.5569496155;
91;9;33.5970611572;63.0;24;56.0484694242;3;19.3003139496;25.0;19;23.6105561256;
92;9;33.6187591553;66.0;24;56.2352291346;3;19.3123760223;24.0;19;23.6651450396;
93;9;33.6401977539;69.0;25;56.429992795;3;19.3246574402;23.0;20;23.72067523;
94;9;33.6613388062;71.3371734619;25;56.6323958039;3;19.3371524811;22.0;20;23.7771017551;
95;9;34.6821670532;70.328453064;27;56.8420397043;3;19.3498497009;21.0;20;23.8343759775;
96;9;33.7026481628;72.320602417;27;57.0584849715;3;19.3627357483;21.0;20;23.8924454451;
97;9;33.7227668762;74.3135452271;29;57.2812461853;3;19.3758010864;21.0;20;23.9512542486;
98;9;34.7425003052;73.3071899414;30;57.5097882748;3;19.3890323639;21.0;20;24.7097680569;
99;9;33.7618255615;75.3014678955;30;57.7435241938;3;17.4111976624;22.0;20;25.3414812088;
100;9;33.7807312012;77.2963256836;31;57.981813848;3;18.4340286255;21.595123291;20;25.8654768467;
