Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_EGASSEM;Research_KI_6_SP_EGASSEM;Industry_KI_6_SP_EGASSEM;Ships_KI_6_SP_EGASSEM;Population_KI_6_SP_EGASSEM;
1;1;6.0;14.1000003815;4;23.0;1;6.0;13.3000001907;4;17.0;
2;1;7.0;13.1000003815;6;23.0;1;7.0;12.3000001907;5;17.0;
3;1;8.0;12.1000003815;6;23.0;1;7.55000019073;11.3000001907;5;17.0;
4;1;9.0;11.5;6;23.0;1;7.55000019073;10.3000001907;5;17.0;
5;1;9.60000038147;11.5;6;23.0;1;7.55000019073;9.30000019073;5;17.0;
6;1;10.6000003815;11.5;6;23.0;1;8.55000019073;8.5;5;17.0;
7;1;11.6000003815;11.5;5;23.0;1;8.82499980927;8.5;5;17.0;
8;1;11.8999996185;11.5;5;23.4599990845;2;8.82499980927;8.89999961853;4;18.0;
9;1;12.0380001068;11.7299995422;5;23.8212833405;2;9.05000019073;8.5;4;18.4400001764;
10;1;12.1463851929;11.9106416702;5;24.0;2;9.14900112152;8.67000007629;4;18.8367438316;
11;1;12.2000007629;12.0;5;25.2000007629;2;9.23826694489;8.81392192841;4;19.1969907284;
12;1;14.1463851929;12.6000003815;4;26.1576004028;2;9.31932353973;8.93486309052;4;20.2952293158;
13;1;15.1463851929;13.0788002014;4;26.9011039734;2;9.56642627716;9.39324569702;5;21.2903478146;
14;1;16.1463851929;13.4505519867;4;27.4657306671;2;11.4059534073;9.78903102875;5;22.1878200769;
15;1;17.1463851929;13.7328653336;4;27.88712883;2;13.4059534073;10.1240053177;4;22.998385191;
16;1;18.1463851929;13.943564415;5;28.0;2;15.4059534073;10.4026165009;4;23.7358858585;
17;1;19.1463851929;14.0;5;28.0;2;16.5773448944;10.6309299469;4;24.4153418541;
18;1;20.1463851929;14.0;5;28.0;2;17.6470718384;10.8157100677;4;25.0514712334;
19;2;20.3999996185;14.0;4;28.0;2;18.7235908508;10.9637317657;4;25.4950146675;
20;2;20.3999996185;14.0;5;28.0;2;19.7363796234;11.0;4;25.8971157074;
21;2;20.3999996185;14.0;5;28.0;2;19.8268508911;11.0;5;26.3298077583;
22;2;20.3999996185;14.0;5;28.0;2;18.9500007629;12.0;6;26.7918066978;
23;2;20.3999996185;14.0;5;28.0;2;18.9500007629;13.0;7;27.2809634209;
24;2;20.3999996185;14.0;4;28.0;2;18.9500007629;13.6404819489;7;27.7942223549;
25;2;20.3999996185;14.0;5;28.0;2;18.9500007629;13.897110939;7;28.3276257515;
26;2;20.3999996185;14.0;5;28.0;2;18.9500007629;14.1638126373;8;28.8763809204;
27;2;20.3999996185;14.0;5;28.0;2;18.9500007629;14.4381904602;8;29.4349918365;
28;2;18.3999996185;15.0;5;28.0;2;18.9500007629;14.7174959183;8;29.997449398;
29;2;17.3999996185;16.0;5;28.0;2;18.9500007629;14.9987249374;8;30.55747509;
30;2;16.3999996185;17.0;4;28.0;2;18.9500007629;15.2787380219;8;31.108792305;
31;2;17.3999996185;15.0;4;29.0;2;16.9500007629;17.2787380219;7;31.6454105377;
32;2;19.3999996185;14.5;4;29.0599999428;2;15.9500007629;19.2787380219;7;32.1618824005;
