Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_EGASSEM;Research_KI_6_SP_EGASSEM;Industry_KI_6_SP_EGASSEM;Ships_KI_6_SP_EGASSEM;Population_KI_6_SP_EGASSEM;
1;1;6.0;14.1000003815;4;23.0;1;6.0;13.3000001907;4;17.0;
2;1;7.0;13.1000003815;6;23.0;1;7.0;12.3000001907;5;17.0;
3;1;8.0;12.1000003815;6;23.0;1;7.55000019073;11.3000001907;5;17.0;
4;1;9.0;11.5;6;23.0;2;7.55000019073;10.6999998093;4;18.0;
5;1;9.60000038147;11.5;6;23.0;2;7.7000002861;9.30000019073;4;18.0674999952;
6;1;10.6000003815;11.5;6;23.0;2;8.79018783569;8.5;4;18.1388356686;
7;1;11.6000003815;11.5;6;23.0;2;9.08123779297;8.5;4;18.2141259909;
8;1;11.8999996185;11.5;6;23.4599990845;2;9.09817790985;8.5;4;18.293479681;
9;1;12.0380001068;11.7299995422;6;23.8212833405;2;9.1160326004;8.5;4;18.7299283743;
10;1;12.1463851929;11.9106416702;6;24.0;2;9.21423435211;8.67000007629;4;19.1200717688;
11;1;12.2000007629;12.0;6;25.2000007629;2;9.30201625824;8.81392192841;4;19.470256567;
12;2;14.1463851929;12.8000001907;5;27.1576004028;2;9.38080787659;8.93486309052;4;20.5494670868;
13;2;16.1463851929;13.0788002014;5;27.9611039162;2;9.62362957001;9.39324569702;5;21.5171065331;
14;2;18.1463851929;13.4505519867;5;28.5886945724;2;11.4569740295;9.78903102875;5;22.3772938251;
15;2;19.4832744598;13.7328653336;5;29.0760897398;2;13.4569740295;10.1240053177;5;23.1393685341;
16;2;20.5030727386;13.943564415;5;29.2580518723;2;15.4569740295;10.4026165009;5;23.8157744408;
17;2;21.5237998962;14.0;6;29.3302885294;2;16.5953197479;10.6309299469;5;24.4201948643;
18;2;22.5454711914;14.0;6;29.4057120085;2;17.6481628418;10.8157100677;5;24.9661467075;
19;2;22.3999996185;14.421713829;6;29.484351635;2;18.7043933868;10.9637317657;5;25.3033924103;
20;2;22.8453044891;14.0;6;29.5662232637;2;19.6932640076;11.0;5;25.5824170113;
21;2;22.8698673248;14.0;6;29.6513283253;2;19.7560443878;11.0;6;25.8750138283;
22;3;22.8953971863;14.0;6;29.7396525145;2;19.8218784332;11.0;6;26.180170536;
23;3;22.3999996185;14.0;6;29.8311642408;2;18.9500007629;12.0;6;26.4966025352;
24;3;22.9493484497;14.0;6;29.9258141518;2;18.9500007629;13.0;6;26.8227591515;
25;3;22.9777431488;14.0;6;30.0235335827;2;18.9500007629;13.4113798141;6;27.1568431854;
26;3;22.3999996185;15.0;6;30.1242339611;2;18.9500007629;13.5784215927;6;27.4968419075;
27;3;23.0372695923;14.0;6;30.2278065681;2;18.9500007629;13.7484207153;6;27.8405680656;
28;3;23.0683422089;14.0;6;30.3341217041;2;18.9500007629;13.9202842712;8;28.1857123375;
29;3;23.1002368927;14.0;6;30.4430289268;3;18.9500007629;14.0928564072;7;28.529902935;
30;3;21.1329078674;15.0;6;30.5543570518;3;16.9500007629;15.2649517059;7;28.8707699776;
31;3;20.1663074493;16.0;7;30.667914629;3;15.9500007629;17.2649517059;8;29.2060108185;
