Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_ETTY;Research_KI_6_SP_ETTY;Industry_KI_6_SP_ETTY;Ships_KI_6_SP_ETTY;Population_KI_6_SP_ETTY;
1;1;6.0;14.1000003815;4;23.0;1;9.0;10.0;4;20.0;
2;1;7.0;13.1000003815;6;23.0;1;9.0;10.0;4;20.0;
3;1;8.0;12.1000003815;6;23.0;1;9.0;10.0;4;20.0;
4;1;9.0;11.5;6;23.0;1;9.0;10.0;4;20.0;
5;2;9.60000038147;11.8999996185;5;24.0;1;10.0;10.0;4;20.0;
6;2;10.9000005722;11.5;5;24.0275000334;1;11.0;10.0;4;20.0;
7;2;11.9082508087;11.5;5;24.0554736853;1;11.0;10.0;4;20.3999996185;
8;2;12.2166414261;11.5;5;24.5544675589;1;11.1199998856;10.1999998093;4;20.7264003754;
9;2;12.3663406372;11.7299995422;5;24.955760479;1;11.2179203033;10.3632001877;4;20.9903717041;
10;2;12.4867286682;11.9106416702;5;25.1754944324;1;11.2971115112;10.4951858521;4;22.0419120789;
11;2;12.552649498;12.0;5;26.4292682409;1;11.6125736237;11.0209560394;4;22.9143505096;
12;2;14.515165329;12.6000003815;5;27.4424397945;1;11.8743057251;11.4571752548;4;23.6214065552;
13;2;16.515165329;13.0788002014;5;28.2433135509;1;13.6125736237;11.8107032776;4;24.1832637787;
14;2;18.515165329;13.4505519867;5;28.8671020269;1;14.6125736237;12.0916318893;4;24.6226100922;
15;2;19.5667972565;13.7328653336;5;29.3494405746;1;15.6125736237;12.3113050461;5;24.9617595673;
16;2;20.5850791931;13.943564415;5;29.5250110626;2;16.6125736237;12.4808797836;4;25.0;
17;2;21.6038894653;14.0;6;29.5894426107;2;17.6125736237;12.5;5;25.0;
18;2;22.6232185364;14.0;6;29.6555722952;2;18.6125736237;12.5;5;25.0;
19;2;22.8966712952;14.0;6;29.7233585119;2;19.5;12.5;5;25.0;
20;2;22.9170074463;14.0;6;29.7927520275;3;20.5;12.5;5;26.0;
21;2;22.9378242493;14.0;7;29.8636956215;3;21.5;12.5;5;26.0399999619;
22;3;22.9591083527;14.0;6;29.9361245632;3;21.8120002747;12.5;6;26.0811839104;
23;4;22.9808368683;14.0;5;30.0099658966;3;21.8243560791;12.5;6;26.1235535145;
24;4;23.0029888153;14.0;6;30.0851392746;3;21.8370666504;12.5;5;26.1671074629;
25;4;22.3999996185;15.0;6;30.1615567207;3;21.8501319885;12.5;5;26.211841464;
26;4;22.3999996185;15.5130901337;6;30.2391228676;3;21.8635520935;12.5;5;26.2577478886;
27;4;22.3999996185;15.5673856735;6;30.317735672;3;21.877325058;12.5;5;26.3048160076;
28;4;22.3999996185;15.6224155426;6;30.3972864151;3;21.8914451599;12.5;6;26.3530313969;
29;4;22.3999996185;15.6781005859;6;30.477660656;3;21.9059104919;12.5;6;26.4023760557;
30;4;22.3999996185;15.7343626022;6;31.5587382317;3;21.5;13.0609502792;6;26.4528282881;
31;4;23.3999996185;16.2911167145;6;31.6703941822;3;21.5;13.0811309814;5;26.5043625832;
32;4;23.192117691;15.0;6;31.7830910683;3;21.5;13.1017446518;5;26.5569496155;
33;4;22.5349273682;16.0;6;31.8966898918;3;21.5;13.1227798462;5;26.6105561256;
34;4;21.5690059662;17.0;6;33.0110480785;3;21.9831676483;12.5;5;26.6651450396;
35;4;21.603313446;18.0;6;33.1560205221;3;21.5;13.1660575867;5;26.72067523;
36;4;21.6378059387;19.0;6;33.3020509481;3;21.5;13.1882705688;5;26.7771017551;
37;4;20.9906158447;20.0;6;33.4489843845;3;22.0331306458;12.5;5;26.8343759775;
38;4;20.0346946716;21.0;6;33.5966644287;3;21.5;13.2337503433;5;26.8924454451;
39;4;19.6790008545;22.0;6;33.7449342012;3;22.0677337646;12.5;5;26.9512542486;
40;4;19.7234802246;23.0;6;33.8936370611;3;22.0853767395;12.5;5;27.0107431412;
41;4;19.7680912018;24.0;6;34.0426174402;3;21.5;13.3042974472;5;27.0708494186;
42;4;19.7749252319;25.0;6;34.1917221546;3;22.1212539673;12.5;5;27.1315076351;
43;4;20.7958869934;27.0;7;34.3408007622;3;22.1394519806;14.5;6;27.1926498413;
44;4;21.3871631622;29.0;7;34.4897055626;3;22.1577949524;16.5;6;27.2542052269;
45;4;22.3976516724;31.0;8;34.6382932663;3;22.1762619019;18.5;6;27.3161010742;
46;4;23.860452652;34.0;9;34.7864249945;3;22.1948299408;20.5;7;27.3782629967;
47;4;24.8824996948;35.0;9;34.9339672327;3;22.2134780884;22.5;7;27.4406147003;
48;4;25.4748153687;36.7166213989;11;35.0807913542;3;22.2321853638;22.5;9;27.5030794144;
49;4;26.0;38.3383560181;12;35.2267748117;3;22.2509231567;22.5;9;27.5655794144;
50;4;27.3500270844;36.8420143127;12;35.3718008995;3;21.5;23.5;9;27.628036499;
51;4;27.3729496002;36.890045166;14;35.5157593489;3;21.5;23.5512142181;11;27.690372467;
52;4;27.3960552216;36.9369010925;14;35.6585459709;3;21.5;23.5761489868;11;27.7525100708;
53;4;26.9330329895;37.7930412292;14;35.8000633717;4;22.5;24.6010036469;11;28.8143725395;
54;4;27.4427471161;37.0269699097;16;35.9402198792;4;23.5;25.625749588;11;28.9158842564;
55;4;27.4662971497;37.0701293945;16;36.078930974;4;24.6747665405;25.5;11;29.0181553364;
56;4;27.4899616241;37.1120071411;16;36.216117382;4;23.5;27.5;12;29.1211154461;
57;5;27.9330329895;39.1204109192;17;37.3517072201;5;24.7363357544;27.5;9;49.224693656;
58;5;29.5375595093;39.1918869019;17;37.5256329775;5;25.767408371;28.5;10;50.5288194418;
59;5;29.873456955;40.2298736572;18;37.6990181208;6;26.7986450195;29.5;9;51.6510183811;
60;5;29.585395813;41.2665634155;18;37.8718091249;6;27.8300266266;30.5;9;52.5963799953;
61;5;29.0286636353;43.2697715759;19;38.0281511545;6;28.8615264893;31.5;10;53.3800888062;
62;5;29.6333122253;42.3250007629;21;38.152695775;6;29.8931274414;32.5;10;54.0229924917;
63;5;29.6572570801;42.3250007629;21;38.2782926559;6;30.9248046875;32.5;10;54.5478194952;
64;5;29.6811637878;42.3250007629;22;38.4048678875;7;31.9565372467;32.5;9;54.9610185623;
65;5;29.0286636353;43.3250007629;22;38.5323441029;7;32.6133041382;32.5;9;55.0669536591;
66;5;29.7287921906;42.3250007629;23;40.2236641645;7;32.6450881958;32.5;9;56.1728591919;
67;5;29.5302200317;44.0665626526;25;41.5770096779;7;31.676858902;34.5;9;56.3286632299;
68;5;30.5539836884;43.6358413696;25;42.6495736837;7;31.2090549469;37.1660575867;9;56.4862692356;
69;5;30.8306503296;44.0615196228;26;43.5033551455;7;30.7402896881;38.5;8;58.7863756418;
70;5;30.2636013031;45.3746795654;27;43.997836113;7;30.4609127045;41.0;8;60.6549235582;
71;6;30.4000072479;44.5;26;44.2567013502;7;30.1624774933;43.3899993896;9;62.1608092785;
72;7;29.6000003815;45.5;27;44.5202655792;7;30.0216426849;45.2395858765;10;63.375736475;
73;7;29.6000003815;45.9089355469;27;44.7882249355;7;30.6668758392;45.9097442627;11;64.0697010756;
74;7;30.4680347443;44.5;28;45.0602436066;7;30.3416042328;47.6390762329;11;64.4103395939;
75;7;29.6000003815;45.5;28;45.3359518051;7;29.6082000732;49.0;11;64.7584053278;
76;7;29.6000003815;46.0220031738;29;45.614947319;7;29.6782073975;50.7990837097;12;65.1135755777;
77;9;30.5356311798;44.5;26;46.8967955112;6;29.9918212891;51.0;13;65.4754805565;
78;9;30.6000003815;46.5;26;47.1560317278;6;30.6092338562;51.8445472717;13;65.8436975479;
79;9;32.5800094604;46.5;26;48.4196619391;6;31.3531093597;52.0;14;66.2177488804;
80;9;30.6000003815;50.5;25;48.8669170141;6;31.4653244019;53.0;14;66.5970978737;
81;9;30.6000003815;54.2059020996;26;49.3473057151;6;31.5791282654;54.0;16;66.9811489582;
82;9;31.6000003815;55.2415237427;25;49.864335835;6;31.6943435669;55.0;17;67.3692436218;
83;9;30.6000003815;56.5;24;51.4218099117;6;31.8107719421;56.0;18;67.7606623173;
84;9;30.6867408752;60.5;25;51.9987240434;6;31.9281978607;57.0;19;68.1546256542;
85;9;30.7071456909;64.5;25;52.6266070604;7;29.0673027039;60.0;18;92.5502967834;
86;9;30.6000003815;66.336265564;25;53.3090474606;7;33.1298408508;57.0;20;94.6267869473;
87;9;31.6000003815;68.5483551025;27;54.0491670966;8;34.284034729;59.0;19;111.38933754;
88;10;30.6000003815;69.9777755737;27;54.8492470384;8;31.0977859497;65.0;20;113.90398097;
89;10;30.6000003815;71.3608474731;27;55.7102874517;8;32.120552063;67.2013092041;20;116.063133717;
90;10;31.6000003815;73.7874908447;31;56.6315314174;8;31.3999996185;69.0;21;117.902413845;
91;10;32.5999984741;75.2929840088;32;57.6100016236;9;30.7313156128;75.0;21;119.463679314;
92;10;33.5999984741;76.8343200684;32;58.6401134729;9;30.3999996185;78.1070098877;16;120.510528088;
93;10;34.5999984741;78.4134521484;33;59.7134483457;9;30.3999996185;80.0902862549;15;121.358549118;
94;11;35.5999984741;79.0838165283;33;61.8187650442;9;30.3999996185;82.1987533569;16;122.111964226;
95;12;36.5999984741;80.7485733032;32;63.0023228526;9;32.9730072021;77.0;18;122.780852318;
96;12;36.5999984741;81.4022140503;32;64.1914871335;10;33.2643699646;79.0;16;143.375634193;
97;12;35.9187164307;83.9139404297;34;65.3698035479;10;34.354347229;82.0;16;145.607565403;
98;12;35.5999984741;84.5662155151;34;66.5210015178;10;36.4422721863;82.0;19;147.462625504;
99;12;36.5999984741;87.2009429932;34;67.5936390162;10;37.5279083252;85.0;20;149.055564404;
100;12;38.5999984741;88.5029144287;34;68.6043713689;10;39.6110458374;88.0;22;150.388851166;
101;12;38.9500007629;89.5359725952;35;69.5243809223;10;42.6915130615;89.0;22;151.484392166;
102;12;38.9500007629;90.548286438;36;70.3594676852;10;43.7691459656;92.0;22;152.37480545;
103;12;38.9500007629;91.548286438;36;71.1243063807;10;44.8438262939;95.0;24;153.095869541;
104;12;38.9500007629;92.548286438;37;71.8189678192;10;44.9154548645;96.0;24;153.613238811;
105;12;39.9500007629;90.548286438;38;72.4459559917;10;45.9839706421;98.0;25;153.831131458;
106;12;38.9500007629;91.548286438;38;73.0095600486;10;47.0493392944;100.0;25;154.038480282;
107;12;38.9500007629;92.548286438;38;73.5152145028;12;47.5115394592;102.0;25;154.235322475;
108;12;38.9500007629;93.548286438;39;73.9689390659;12;47.5705947876;104.0;25;154.421765804;
109;12;38.9500007629;96.548286438;40;74.376886785;12;47.6265296936;106.0;25;154.597979069;
110;12;39.9500007629;96.548286438;40;74.6063848138;12;47.6793937683;108.0;28;154.728359699;
111;12;38.9500007629;99.548286438;40;76.0754780769;13;48.3185043335;110.0;28;154.826636791;
112;12;39.03099823;102.737289429;41;77.5846538544;13;50.3479881287;110.0;29;154.918471813;
113;12;38.5999984741;103.928611755;36;79.1249163151;13;49.8255386353;113.0;19;157.477590561;
114;12;38.5999984741;106.121246338;35;80.6867307425;13;51.2932777405;117.0;17;160.284774065;
