Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_ETTY;Research_KI_6_SP_ETTY;Industry_KI_6_SP_ETTY;Ships_KI_6_SP_ETTY;Population_KI_6_SP_ETTY;
1;1;6.0;14.1000003815;4;23.0;1;9.0;10.0;4;20.0;
2;1;7.0;13.1000003815;6;23.0;1;9.0;10.0;5;20.0;
3;1;8.0;12.1000003815;6;23.0;1;9.0;10.0;5;20.0;
4;1;9.0;11.5;6;23.0;1;9.0;10.0;5;20.0;
5;1;9.60000038147;11.5;6;23.0;1;10.0;10.0;5;20.0;
6;1;10.6000003815;11.5;6;23.0;1;11.0;10.0;5;20.0;
7;1;11.6000003815;11.5;6;23.0;1;11.0;10.0;5;20.3999996185;
8;1;11.8999996185;11.5;6;23.4599990845;1;11.1199998856;10.1999998093;4;20.7264003754;
9;1;12.0380001068;11.7299995422;6;23.8212833405;2;11.5179204941;10.3632001877;2;21.9903717041;
10;2;12.1463851929;12.1106414795;5;25.0;2;11.597111702;10.4951858521;2;23.0719120502;
11;2;12.5000009537;12.0;5;26.2475007772;2;11.9215736389;11.0209560394;2;23.9749414921;
12;2;14.4606351852;12.6000003815;5;27.2543591261;2;13.9215736389;11.4571752548;2;24.7131726742;
13;2;16.4606361389;13.0788002014;5;28.0488975048;2;15.9215736389;11.8107032776;3;25.3067810535;
14;2;18.4606361389;13.4505519867;5;28.6663479805;2;16.94962883;12.0916318893;3;25.7784451246;
15;2;19.506570816;13.7328653336;5;29.1423667669;2;17.9593238831;12.3113050461;3;26.1504684687;
16;2;20.5229568481;13.943564415;5;29.3116579056;2;18.9691867828;12.4808797836;3;26.2221269608;
17;2;21.5398826599;14.0;6;29.3698737621;2;19.9792118073;12.5;3;26.2560760975;
18;2;22.557346344;14.0;6;29.4298759699;2;20.989397049;12.5;3;26.2905418873;
19;2;22.828962326;14.0;6;29.4916484356;2;21.8871631622;12.5;4;26.3255085945;
20;2;22.8474941254;14.0;6;29.5551680326;2;21.8976516724;12.5;4;26.3609591722;
21;2;22.8665504456;14.0;6;29.6204047203;2;21.9082870483;12.5;4;26.3968753815;
22;2;22.8861217499;14.0;6;29.6873208284;2;21.9190635681;12.5;4;26.4332377911;
23;2;22.9061965942;14.0;8;29.7558712959;2;21.9299716949;12.5;4;26.4700255394;
24;3;22.9267616272;14.0;7;29.8260030746;2;21.9410076141;12.5;5;26.5072168112;
25;3;22.9477996826;14.0;7;29.8976553679;3;21.9521656036;12.5;4;26.5447884798;
26;4;20.9692955017;15.0;7;29.9707596302;3;21.9634361267;12.5;4;26.5827163458;
27;4;19.9912281036;16.0;7;30.0452394485;3;21.5;13.1330862045;4;26.6209751368;
28;4;19.0135707855;17.0;7;30.1210107803;3;21.9862918854;12.5;4;26.6595385075;
29;4;19.3999996185;16.0;7;30.1979820728;3;21.9978618622;12.5;4;26.6983793974;
30;4;18.0593948364;16.0;7;30.2760548592;3;20.009513855;13.5;4;26.7374696732;
31;4;17.0828170776;17.0;7;30.3551237583;3;19.0212402344;14.5;4;26.7767804861;
32;4;16.1065368652;18.0;8;30.4350771904;3;18.033033371;15.5;4;26.8162822723;
33;4;16.3999996185;17.0;9;30.5157980919;3;17.044883728;16.5;4;26.8559447527;
34;5;15.1547393799;17.0;8;30.5971641541;3;16.0567836761;17.5;5;26.8957372904;
35;5;14.7791490555;18.0;9;30.6790485382;3;15.0687217712;18.5;5;26.9356285334;
36;5;15.0;17.0;9;30.7613208294;3;14.5806884766;19.5;6;26.9755871296;
37;5;14.8283958435;17.0;9;30.8438477516;3;14.5926761627;20.5;7;27.015581131;
38;5;14.8531541824;18.0;9;30.92649436;3;14.6046743393;21.5;7;27.0555787086;
39;6;14.877948761;19.0;8;39.5091240406;4;15.6166734695;19.5;7;27.0955479145;
40;7;15.0;21.0;7;39.9316005707;4;14.6286640167;20.5;7;27.135456562;
41;7;16.0;22.5457992554;7;40.337331295;4;14.6406364441;21.5;8;27.17527318;
42;7;17.0;23.5868930817;7;40.7248322964;5;15.6525821686;19.5;6;42.2149660587;
43;7;18.0;24.6277751923;6;41.0930275917;5;17.0;20.3859863281;7;43.0045039654;
44;8;19.0;25.66837883;6;45.4787015915;5;19.0;20.401802063;7;43.7132306099;
45;8;21.0;26.7086410522;6;45.9666006565;5;20.0;20.4175415039;7;44.3402824402;
46;8;23.6224689484;27.7086410522;7;46.4338457584;5;21.6998977661;23.4175415039;7;44.8881533146;
47;8;25.7254486084;29.7086410522;8;46.8802313805;5;22.0;25.4175415039;7;45.3618271351;
48;8;26.915971756;31.7086410522;10;47.3057935238;5;23.0;27.4175415039;8;46.7679054737;
49;8;28.0251808167;33.0;10;47.7107701302;5;25.2346439362;30.4175415039;8;47.2038191557;
50;8;29.126159668;34.0;10;48.095556736;5;25.5;33.4175415039;7;47.5943133831;
51;8;30.0554618835;35.0;11;48.4606716633;5;26.2573299408;34.5;7;47.8534196615;
52;8;30.1194458008;35.0;11;48.8023657799;5;25.5;37.5;8;48.0027527809;
53;8;30.5506725311;35.0;11;49.01547575;5;25.5;39.5394096375;8;48.1598746777;
54;9;31.6153087616;36.0;9;57.7230606079;5;25.5;40.5539779663;8;48.3250821829;
55;9;30.6781978607;38.0802001953;9;58.264775753;5;25.5;41.5683670044;9;48.4986351728;
56;9;33.7392082214;36.0802001953;9;59.7838687897;5;26.3119239807;41.5;10;48.6807467937;
57;9;34.7982292175;39.0802001953;10;60.3087470531;5;26.3224258423;42.5;9;48.8715724945;
58;9;37.8551712036;40.0;11;60.8088643551;5;26.3327770233;43.5;11;49.0711994171;
59;9;38.909954071;43.0;12;62.2835185528;5;26.3429718018;44.5;12;49.2796349525;
60;9;39.9625282288;45.0;12;62.7624197006;5;26.3530025482;45.5;12;49.496796608;
61;9;41.3719787598;48.0;13;63.2162362337;5;26.3628692627;45.7999992371;14;49.7225017548;
62;10;41.4366149902;50.5779190063;13;63.6453598738;5;26.3725662231;45.7999992371;14;49.956458807;
63;10;41.4984283447;52.5943527222;13;64.0504457951;5;26.3820896149;45.7999992371;15;50.1982610226;
64;10;40.1502532959;55.6110610962;15;64.4323607683;6;26.3914375305;45.7999992371;14;50.445360899;
65;10;40.1915588379;58.2059555054;14;64.7539924383;6;26.3999996185;45.7999992371;15;50.6711919308;
66;10;40.230670929;59.6146240234;15;66.7595398426;6;26.3999996185;45.7999992371;16;50.9035346508;
67;10;41.3452568054;60.69090271;15;68.3823020458;6;26.3999996185;45.7999992371;16;51.141512394;
68;11;40.4149856567;61.7672729492;10;87.9092007875;6;26.3999996185;46.7999992371;17;51.3841423988;
69;12;44.0731697083;59.8161506653;9;90.209458828;6;27.3999996185;45.7999992371;17;51.6303496361;
70;11;47.6182365417;60.4328193665;8;91.9122076035;7;26.3999996185;46.7999992371;17;53.5552864075;
71;11;47.2000007629;62.4838981628;9;93.1404870749;7;27.7179985046;46.6990013123;17;56.1693999767;
72;11;45.2000007629;66.5360412598;10;94.2158356905;7;29.5371551514;48.4218864441;18;57.5361025333;
73;11;44.2000007629;70.0892181396;11;95.1468930244;7;29.165763855;50.9933929443;18;58.681030035;
74;12;44.2000007629;72.8722381592;10;95.9490091801;7;29.3458442688;52.4394302368;18;59.4837340117;
