Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;6.0;14.1000003815;4;23.0;1;6.0;12.0;4;20.0;
2;1;7.0;13.1000003815;6;23.0;1;7.0;11.0;5;20.0;
3;1;8.0;12.1000003815;6;23.0;2;8.0;10.1999998093;4;21.0;
4;1;9.0;11.5;6;23.0;2;8.14999961853;10.0;4;21.0599999428;
5;1;9.60000038147;11.5;6;23.0;2;8.15900039673;10.0;4;21.1229639053;
6;1;10.6000003815;11.5;6;23.0;2;9.25266647339;10.0;4;21.1889609098;
7;1;11.6000003815;11.5;6;23.0;2;9.76751613617;10.0;4;21.2580518723;
8;1;11.8999996185;11.5;6;23.4599990845;2;9.7830619812;10.0;4;21.7428686619;
9;1;12.0380001068;11.7299995422;6;23.8212833405;2;9.89214611053;10.1999998093;4;22.1586660147;
10;1;12.1463851929;11.9106416702;6;24.0;2;9.98569965363;10.3632001877;4;22.5167047977;
11;1;12.2000007629;12.0;6;25.2000007629;2;10.0662584305;10.4951858521;4;23.6975815296;
12;1;14.1463851929;12.6000003815;6;26.1576004028;2;10.3319559097;11.0209560394;5;24.7081744671;
13;1;15.1463851929;13.0788002014;6;26.9011039734;2;12.1264438629;11.4571752548;5;25.5624349117;
14;1;16.1463851929;13.4505519867;6;27.4657306671;2;14.1264438629;11.8107032776;5;26.2807190418;
15;1;17.1463851929;13.7328653336;6;27.88712883;2;16.1264438629;12.0916318893;5;26.8858177662;
16;1;18.1463851929;13.943564415;7;28.0;2;17.2320556641;12.3113050461;5;27.4000668526;
17;1;19.1463851929;14.0;7;28.0;2;18.2714538574;12.4808797836;5;27.6226844788;
18;1;20.1463851929;14.0;7;28.0;2;19.3129386902;12.5;4;27.8161680698;
19;1;20.3999996185;14.0;7;28.0;2;20.258638382;12.5;5;28.018476963;
20;1;20.3999996185;14.0;8;28.0;2;20.3041572571;12.5;5;28.2292125225;
21;1;20.3999996185;14.0;8;28.0;2;19.625;13.4687633514;5;28.447855711;
22;1;20.3999996185;14.0;8;28.0;2;20.40076828;12.5;5;28.6737642288;
23;1;20.3999996185;14.0;9;28.0;2;20.4515972137;12.5;5;28.9061751366;
24;1;20.3999996185;14.0;9;28.0;2;20.5038890839;12.5;5;29.1442108154;
25;1;20.3999996185;14.0;9;28.0;2;20.5574474335;12.5;5;29.3868870735;
26;1;20.3999996185;14.0;9;28.0;3;19.625;13.5;6;29.6331281662;
27;1;20.3999996185;14.0;9;28.0;4;19.625;13.8899383545;5;29.8817820549;
28;1;18.3999996185;15.0;9;28.0;4;20.625;12.5;5;30.1316423416;
29;1;17.3999996185;16.0;9;28.0;4;20.7796192169;12.5;6;30.3814692497;
30;1;16.3999996185;17.0;9;28.0;4;18.8358306885;13.5;6;30.6300139427;
31;1;15.3999996185;18.0;9;28.0;4;17.8917541504;14.5;6;30.8760447502;
32;1;14.3999996185;19.0;9;28.0;4;16.9471092224;15.5;6;31.1183700562;
33;1;13.3999996185;20.0;9;28.0;4;16.625;14.5;6;31.3558626175;
34;1;12.3999996185;21.0;9;28.0;4;17.625;14.5;6;31.5874791145;
35;1;12.0;22.0;10;28.0;5;18.625;15.5;4;41.8122782707;
36;1;12.0;23.0;10;28.0;5;20.625;16.9061393738;4;42.4294342995;
37;1;12.0;24.0;11;28.0;5;22.625;15.9061393738;5;43.0126485825;
38;1;12.0;25.0;12;28.0;5;23.2536048889;15.9061393738;6;43.560090065;
39;1;12.0;26.0;12;28.0;5;21.625;17.9061393738;6;44.0707402229;
40;1;12.0;27.0;13;28.0;5;22.625;17.5;7;44.5443229675;
41;1;13.0;25.0;14;28.0;5;23.3821601868;18.5;7;44.9812083244;
42;1;12.0;26.0;15;28.0;5;21.625;20.5;7;45.3823099136;
43;1;12.0;27.0;15;28.0;5;21.625;22.5;8;45.7489728928;
44;1;13.0;25.0;16;28.0;5;21.625;24.2191028595;9;46.082862854;
45;1;12.0;26.0;16;28.0;5;22.625;27.2191028595;9;46.3858718872;
46;1;12.0;27.0;18;28.0;5;23.5525054932;30.2191028595;10;46.660030365;
47;1;13.0;25.0;18;28.0;5;23.5801334381;32.2191009521;11;46.8033599854;
48;1;12.0;26.0;20;28.0;7;23.6057548523;34.2191009521;8;61.9087047577;
49;1;12.0;27.0;20;28.0;7;24.6294593811;37.2191009521;8;62.75;
50;1;13.0;25.0;20;28.0;7;25.6499996185;38.5999984741;9;63.4193744659;
51;1;12.0;26.0;21;28.0;7;26.6499996185;39.5999984741;9;64.0072898865;
52;2;12.0;27.0;15;48.0;7;27.6499996185;40.5999984741;9;64.5162696838;
53;2;14.0;26.0;15;49.2000007629;7;28.6499996185;41.5999984741;9;64.9513263702;
54;2;16.0;26.0;15;50.2175998688;7;29.6499996185;41.5999984741;11;65.3190898895;
55;2;18.0;26.0;16;51.0579586029;7;30.6499996185;41.5999984741;11;65.6270179749;
56;2;20.0;26.0;16;51.736333847;7;31.2381057739;41.5999984741;12;66.8827629089;
57;2;22.0;26.0;17;52.273645401;7;32.3148269653;42.5999984741;11;67.0199999809;
58;2;23.0;25.0;17;52.6926937103;7;33.3499984741;43.5999984741;12;67.0401959419;
59;2;24.0;24.0;17;53.0;7;33.3499984741;44.5999984741;12;67.0605818033;
60;2;25.0;24.0;18;53.0;7;33.3499984741;45.5999984741;13;67.0811508894;
61;2;25.3999996185;24.0;18;53.0;7;33.3499984741;46.5999984741;14;67.1018965244;
62;3;25.3999996185;24.0;17;53.0;7;33.3499984741;46.5999984741;14;67.1228116751;
63;3;25.3999996185;24.0;17;53.0;7;33.3499984741;46.5999984741;15;67.1438889503;
64;3;25.3999996185;24.0;17;53.0;8;34.3499984741;47.5999984741;14;68.1651208401;
65;3;25.3999996185;24.0;17;53.0;9;35.3499984741;48.5999984741;14;68.3164993525;
66;3;25.3999996185;24.0;17;53.0;9;35.6042480469;49.5999984741;14;68.4834475517;
67;3;25.3999996185;24.0;15;53.0;9;35.63697052;50.5999984741;15;70.7028969526;
68;3;25.3999996185;25.0;15;53.0;9;36.1157264709;52.8968276978;15;72.5907255411;
69;3;25.3999996185;26.0;16;54.0;9;34.1046676636;55.2971954346;15;74.1970802546;
70;3;26.3999996185;25.0;16;54.0700000525;9;34.2904663086;56.2312965393;16;75.5744273663;
71;3;27.3999996185;26.0;16;54.1441510916;9;34.4863967896;57.7138671875;16;76.5799180269;
72;3;27.3999996185;27.0;17;54.2225923538;10;36.1597557068;54.7999992371;15;78.0580092669;
73;3;27.3999996185;28.0;17;54.305452466;10;33.5999984741;57.7999992371;16;78.5778445005;
74;3;27.3999996185;29.0;18;54.3928465843;10;33.5999984741;62.4808959961;13;79.0295703411;
75;3;27.3999996185;29.9749927521;18;54.4848741293;10;32.5999984741;65.6026382446;13;79.5191857815;
76;3;27.3999996185;30.0394115448;19;54.5816155672;10;31.5999984741;69.5293045044;13;80.0463111401;
77;5;27.3999996185;30.107131958;16;54.6831297874;9;30.5999984741;71.7825775146;14;80.6095328331;
78;5;27.3999996185;30.1781902313;17;54.7894508839;9;30.2999992371;74.053817749;15;82.2062709332;
79;5;27.3999996185;30.252614975;17;57.3363742828;10;31.2999992371;77.3417282104;13;82.8527036905;
80;5;27.8199996948;31.0554618835;17;59.3309161663;10;32.2999992371;79.8962554932;9;83.5239613056;
81;5;28.1375198364;31.6939601898;16;60.8650300503;10;32.2999992371;83.9593200684;13;84.2138186693;
82;5;28.369758606;32.1968536377;16;62.0368354321;10;32.2999992371;87.2833633423;14;84.915086627;
83;5;28.5353660583;32.5952339172;15;62.6168899536;10;32.2999992371;89.6129608154;14;85.6199002266;
84;5;26.5353660583;33.7240982056;15;63.8100979328;10;32.2999992371;91.4951248169;15;86.3200809956;
85;5;26.5353660583;35.8593444824;17;64.0521411896;11;32.2999992371;93.8238677979;14;87.0075422525;
86;5;26.5353660583;38.0007743835;17;64.3038094044;11;33.2999992371;93.1461181641;17;87.6747006178;
87;6;26.5353660583;41.1481132507;16;65.5645883083;11;32.2999992371;95.4580917358;18;88.3148419857;
88;6;26.5353660583;44.3010025024;16;65.8988386393;11;32.2999992371;97.7564239502;21;88.9224146605;
89;6;25.5353660583;47.4589881897;16;66.2443293333;11;33.2999992371;97.0383758545;19;89.4932084084;
90;6;24.5353660583;50.2274627686;14;66.6002788544;11;32.2999992371;98.3657150269;21;90.0244269371;
91;6;23.5353660583;52.4169311523;14;66.9657866955;11;32.2999992371;99.7491912842;22;90.514649272;
92;6;23.0;53.6102523804;14;67.3398447037;11;33.2999992371;98.9721603394;23;90.9637013674;
93;6;23.0;54.8066635132;16;67.7213523388;11;33.2999992371;95.9831542969;25;91.3724707365;
94;6;23.0;56.0053520203;17;68.109134078;11;32.2999992371;97.9941940308;22;91.742685914;
95;7;23.0;57.2054710388;16;68.5019595623;11;33.2999992371;97.005279541;21;92.0766887665;
96;7;23.0;58.4061279297;15;68.8985658884;11;33.2999992371;96.0163955688;21;92.3772215843;
97;7;23.0;59.6064453125;15;69.2976820469;11;32.2999992371;98.0275497437;21;92.6472433805;
98;7;23.0;60.8055381775;11;69.6980485916;11;33.2999992371;97.038734436;24;92.8897762299;
99;6;23.0;62.0025482178;11;70.0984408855;12;33.2999992371;97.0067825317;24;92.9720312357;
100;6;24.0;60.1966705322;12;70.4976887703;12;34.2999992371;100.3514328;25;93.0375455618;
101;6;23.0;61.3871536255;13;70.8946920633;12;35.2999992371;102.367164612;26;93.1028496027;
102;7;23.0;62.5733070374;11;71.2884331942;12;36.1194877625;102.382911682;27;93.1679166555;
103;7;24.0;60.754524231;11;71.6779876947;13;36.124042511;102.598655701;27;93.2169305086;
104;7;23.0;61.9302864075;13;72.0625283718;14;36.125;103.078903198;26;93.2616050243;
105;7;23.0;63.1001548767;9;72.441328764;14;36.125;104.094642639;25;93.306172967;
106;7;24.0;64.9302825928;8;72.8137600422;14;36.125;106.110366821;25;93.3506149054;
107;7;25.0;65.9302825928;8;73.1792891026;15;37.125;105.126060486;24;93.3949114084;
108;7;26.0;66.9302825928;10;73.5374698639;15;36.125;107.141731262;25;93.4390434027;
109;7;27.0;67.9302825928;12;73.8879358768;15;36.125;109.157363892;26;93.482992053;
110;7;28.0;68.9302825928;12;74.2303943634;15;37.125;108.172943115;27;93.5267388821;
111;7;29.0;69.9302825928;13;74.5646123886;15;36.125;110.188476562;28;93.7008004189;
112;7;30.0;70.9302825928;13;74.8904116154;15;36.1385002136;112.227722168;28;93.8770389557;
113;7;31.0;71.9302825928;14;75.2076582909;15;36.6749992371;112.267578125;29;95.0552763939;
114;7;32.0;72.9302825928;15;75.5162558556;15;37.1658630371;114.308006287;30;95.2753263712;
115;7;32.5999984741;73.2686767578;15;75.813079834;15;38.1796989441;117.348960876;28;96.4981769323;
116;7;32.5999984741;72.5374603271;15;76.0144534111;15;39.6749992371;119.390411377;28;97.7836265564;
117;7;32.5999984741;71.5685272217;15;76.2143201828;15;41.2075881958;122.963104248;29;101.434427619;
118;7;32.5999984741;70.5994644165;16;76.4122326374;15;44.6192169189;125.258468628;30;103.700290442;
119;7;32.5999984741;72.0054016113;16;76.6077611446;15;46.4900054932;128.387420654;30;105.612103105;
120;7;32.5999984741;71.1558761597;16;76.8004980087;15;47.3164787292;130.804931641;32;107.226670265;
121;7;32.5999984741;71.1982879639;17;76.9900603294;16;49.0057067871;131.056060791;32;108.435322523;
122;7;32.5999984741;71.2403106689;17;77.1760940552;17;49.5045204163;133.292831421;31;109.365905643;
123;7;32.5999984741;71.2818832397;18;77.3582744598;18;51.1974182129;132.515808105;31;110.240937829;
124;7;32.5999984741;71.3229675293;18;77.5363106728;18;51.6465797424;132.725616455;32;110.999424219;
125;7;32.5999984741;71.3635253906;18;77.7099449635;18;51.8884811401;134.923019409;32;111.615706682;
126;7;32.5999984741;72.403503418;18;77.8789544106;18;51.5499992371;138.108764648;32;112.150757909;
127;7;32.5999984741;73.4428787231;15;78.0431513786;18;51.9123764038;138.322067261;25;112.643193722;
128;7;32.5999984741;74.4816055298;16;78.2023816109;18;52.2355384827;137.690536499;21;114.143470407;
129;7;32.5999984741;75.5196533203;16;78.3565254211;18;52.9371490479;138.842971802;19;115.691133976;
130;7;32.5999984741;76.5569992065;13;79.5097568035;18;55.6620101929;139.906295776;20;116.30686903;
131;7;32.5999984741;78.258895874;15;80.6481320858;18;55.5499992371;144.061721802;22;116.933094501;
132;7;32.5999984741;79.9482803345;15;81.7616004944;18;60.8024978638;145.218399048;22;117.569285512;
133;8;32.5999984741;81.6182022095;13;82.8411622047;18;62.5849685669;150.376144409;19;118.21486032;
134;8;32.5999984741;83.262588501;15;83.8791761398;18;62.7730941772;155.534744263;20;118.869181037;
135;8;33.5999984741;82.876449585;16;84.8695487976;19;63.2671470642;157.106872559;21;119.531554103;
136;8;34.5999984741;83.4560623169;16;85.8078017235;19;63.3532562256;158.79675293;22;120.201232672;
137;8;35.5999984741;83.9989471436;17;86.6910309792;19;63.4307174683;161.137008667;22;120.877417088;
138;8;36.5999984741;84.5038146973;16;87.5177731514;19;63.5086174011;163.399246216;24;121.559259295;
139;8;38.5999984741;82.6429977417;15;89.2878222466;20;64.0500793457;165.041046143;24;122.245866179;
140;8;39.5999984741;84.7802124023;18;90.0620088577;20;63.9245834351;167.261001587;26;122.93630302;
141;8;40.9000015259;86.9149475098;18;90.7849373817;20;64.9936294556;170.189254761;26;124.629599571;
142;8;39.9000015259;88.0467224121;20;91.4589155912;20;67.5635681152;170.707351685;27;125.3847543;
143;8;40.9000015259;86.1751098633;20;92.0866498947;20;70.6268463135;168.026245117;27;126.143705606;
144;8;40.9000015259;89.2997131348;20;92.6136108637;20;72.1495513916;167.314102173;28;126.905478358;
145;8;40.9000015259;91.4201965332;21;93.0158923864;20;73.2738113403;166.602462769;28;128.669078231;
146;9;41.9000015259;90.5362701416;21;93.4012413025;20;77.3894577026;166.199829102;29;129.538756728;
147;10;40.9000015259;92.6477050781;17;93.7700997591;20;80.5119476318;170.487823486;27;131.385414243;
