Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;6.0;14.1000003815;4;23.0;1;6.0;12.0;4;20.0;
2;1;7.0;13.1000003815;6;23.0;1;7.0;11.0;5;20.0;
3;1;8.0;12.1000003815;6;23.0;1;8.0;10.0;5;20.0;
4;1;9.0;11.5;6;23.0;1;8.0;10.0;5;20.0;
5;1;9.60000038147;11.5;6;23.0;1;8.0;10.0;5;20.0;
6;1;10.6000003815;11.5;6;23.0;1;9.0;10.0;5;20.0;
7;1;11.6000003815;11.5;6;23.0;1;9.5;10.0;5;20.0;
8;1;11.8999996185;11.5;6;23.4599990845;1;9.5;10.0;5;20.3999996185;
9;1;12.0380001068;11.7299995422;6;23.8212833405;1;9.59000015259;10.1999998093;5;20.7264003754;
10;2;12.1463851929;12.1106414795;5;25.0;1;9.66343975067;10.3632001877;5;20.9903717041;
11;2;12.5000009537;12.0;5;26.2200007439;1;9.72283363342;10.4951858521;5;22.0419120789;
12;2;14.4523849487;12.6000003815;5;27.1977963448;1;9.95943069458;11.0209560394;6;22.9143505096;
13;2;16.4523849487;13.0788002014;5;27.9616857767;1;11.7228336334;11.4571752548;6;23.6214065552;
14;2;18.4523849487;13.4505519867;5;28.5468815565;1;12.7228336334;11.8107032776;6;24.1832637787;
15;2;19.4707298279;13.7328653336;5;28.9890253544;1;13.7228336334;12.0916318893;6;24.6226100922;
16;2;20.4769535065;13.943564415;5;29.1228116751;1;14.7228336334;12.3113050461;6;24.9617595673;
17;2;21.4832286835;14.0;6;29.1438889503;2;16.7228336334;12.6808795929;5;26.0;
18;2;22.4895515442;14.0;6;29.1651208401;2;18.7228336334;12.5;5;26.0900000334;
19;2;22.3999996185;14.3495359421;6;29.1864993572;2;19.8702507019;12.5;6;26.1871190071;
20;2;22.7559490204;14.0;6;29.2080165148;2;19.8921012878;12.5;6;26.2917383909;
21;2;22.3999996185;14.3624048233;6;29.2296639681;2;19.9156417847;12.5;6;26.4042263031;
22;2;22.3999996185;14.3688993454;6;29.2514331341;2;19.625;12.9212675095;7;26.5249304771;
23;2;22.3999996185;14.3754301071;8;29.2733153105;2;19.9681091309;12.5;7;26.6541694403;
24;2;22.3999996185;14.3819942474;8;29.2953014374;2;19.625;12.9962511063;7;26.7922235727;
25;2;22.3999996185;14.3885908127;8;29.3173824549;2;19.625;13.0376672745;7;26.9393253326;
26;3;20.7952136993;15.0;7;29.3395489454;2;19.625;13.0817975998;8;27.0956480503;
27;3;19.801864624;16.0;8;29.3617914915;2;20.0965213776;12.5;8;27.261295557;
28;4;18.8085365295;17.0;8;29.3841004372;2;19.625;13.1783885956;8;27.4362905025;
29;4;17.8152294159;18.0;8;29.4064661264;2;19.625;13.230887413;8;27.6205644608;
30;4;16.8219394684;19.0;8;29.428878665;2;17.625;14.8102817535;8;27.8139474392;
31;4;15.8286628723;20.0;9;29.4513280392;2;16.625;15.9069738388;7;28.016159296;
32;4;14.8353977203;21.0;9;29.4738043547;2;15.625;17.0080795288;7;28.2268030643;
33;4;14.4421415329;22.0;9;29.4962974787;2;14.625;18.113401413;7;28.445360899;
34;4;14.4488887787;23.0;9;29.5187973976;2;14.0;19.2226810455;7;28.6711919308;
35;4;14.4556388855;24.0;9;29.5412938595;2;14.0;20.3355960846;7;28.9035346508;
36;4;14.4623880386;25.0;9;30.5637768507;2;14.0;21.4517669678;8;29.141512394;
37;4;15.0;27.2818889618;10;30.6262360811;2;14.0;22.5707569122;9;29.3841423988;
38;4;16.0;28.313117981;12;30.6898456812;2;14.0;23.6920719147;9;29.6303496361;
39;4;17.0;26.3449230194;12;30.754597187;2;14.0;24.8151741028;10;29.8789830208;
40;4;16.0;27.3772983551;13;30.820479393;2;15.0;23.8151741028;11;30.1288366318;
41;4;16.0;28.4102401733;14;30.8874781132;2;15.1539878845;24.5;11;30.3786706924;
42;5;17.0;26.4437389374;13;30.9555760622;2;15.0;23.5;12;30.6272368431;
43;5;16.0;27.4777870178;14;31.0247528553;2;15.0;23.5;13;30.8733024597;
44;5;16.0;28.5123767853;15;31.0949845314;2;15.3214931488;24.5;14;31.1156759262;
45;5;17.0;26.547492981;15;31.1662437916;2;15.0;23.5;14;31.353228569;
46;5;18.5291595459;27.547492981;16;31.2384997606;2;15.0;23.5;15;31.5849161148;
47;5;19.5357017517;28.547492981;17;31.3117179871;2;15.4816055298;24.5;15;31.8097963333;
48;5;20.9935150146;29.547492981;18;31.3858603239;2;15.0;23.5;15;32.0270428658;
49;5;21.4670848846;30.547492981;18;32.4608850479;2;15.0;23.5;16;32.2359538078;
50;5;24.0382652283;31.0;19;32.5367466211;2;15.6280899048;24.5;16;32.4359588623;
51;5;25.5614814758;31.832572937;20;32.6133959293;2;15.0;23.5;17;32.6266198158;
52;5;26.0;33.8066978455;20;32.6907801628;2;17.0;23.5;17;32.8076286316;
53;5;27.507232666;33.0;21;32.7688430548;2;17.0;23.5;17;32.9788007736;
54;5;26.3999996185;35.8844223022;21;32.8475248814;2;18.0;23.5;17;33.1400680542;
55;5;27.5542564392;34.7000007629;22;32.9267627001;2;19.0;23.5;17;33.2914676666;
56;5;26.985376358;35.6877555847;23;33.006490469;2;20.625;22.5;16;33.4331302643;
57;5;26.3999996185;36.6978721619;23;33.0708494186;2;19.625;23.5;17;33.5652666092;
58;5;27.0212554932;35.7000007629;24;33.1315076351;2;20.625;22.5;16;33.6881551743;
59;5;26.3999996185;36.7000007629;24;33.1926498413;2;19.625;23.5;15;33.8021306992;
60;5;27.0577945709;35.7000007629;26;33.2542052269;2;19.625;24.5;16;33.9075689316;
61;5;26.3999996185;36.7000007629;27;33.3161010742;3;19.625;25.5;15;34.0;
62;5;27.0948295593;35.7000007629;27;33.3782629967;3;20.625;23.5;16;34.0;
63;5;27.1134796143;35.7000007629;28;33.4406147003;3;21.625;22.5;15;34.0;
64;5;27.132183075;35.7000007629;29;33.5030794144;4;21.6499996185;22.5;11;49.0;
65;5;27.1509246826;35.7000007629;29;33.5655794144;4;22.6499996185;23.5;11;49.75;
66;5;27.1696739197;35.7000007629;30;33.628036499;4;23.6499996185;24.5;12;50.4193744659;
67;5;26.3999996185;36.7000007629;30;33.690372467;5;23.6499996185;25.5;11;51.0072898865;
68;5;27.2071113586;35.7000007629;31;33.7525100708;5;23.6499996185;26.5;10;51.5162696838;
69;5;26.3999996185;36.7000007629;31;33.8143725395;5;23.6499996185;27.5;11;51.9513263702;
70;5;26.3999996185;37.1071853638;32;33.8758842945;5;23.6499996185;28.5;11;52.3190898895;
71;5;27.2627639771;35.7000007629;33;35.4660578966;5;23.6499996185;29.5;11;52.6270179749;
72;6;28.3323173523;35.4175033569;32;36.7174104452;5;23.6499996185;30.5;12;52.8827629089;
73;6;27.1375198364;37.9644546509;33;37.6869014502;6;23.6499996185;31.5;12;53.0;
74;6;28.9832401276;36.3695335388;33;38.436290741;6;23.6499996185;32.5;12;53.0;
75;6;27.5353660583;38.6638031006;33;38.8506814241;6;23.6499996185;33.5;12;53.0;
76;6;27.6000003815;39.6510620117;34;39.0507671833;6;23.6499996185;34.5;12;53.0;
77;6;27.6000003815;39.7564582825;34;39.2515352964;6;23.6499996185;35.5;12;53.0;
78;6;27.6000003815;39.8622589111;34;39.4525200129;6;23.6499996185;36.5;12;54.0;
79;6;28.6000003815;37.9439048767;36;39.6532510519;6;24.6499996185;38.5;13;55.0499999523;
80;7;25.6000003815;39.9748840332;35;39.8532596827;6;26.6499996185;41.5;13;57.0019749403;
81;7;24.6000003815;40.0;36;41.0393968821;6;27.9155006409;45.0;15;58.649353385;
82;7;24.6000003815;44.1534690857;36;41.2542467117;6;28.1285934448;48.3899993896;16;60.0400252342;
83;7;24.6000003815;46.3716049194;36;41.4685028791;6;28.2971229553;51.6872596741;16;61.2241663933;
84;7;25.2750015259;45.2667617798;37;41.6817617416;6;29.4292736053;51.7987213135;16;62.0862072706;
85;7;24.7533950806;46.9661598206;37;41.8936419487;6;28.4993133545;52.9310302734;18;62.5458558798;
86;7;23.7951145172;48.9866409302;38;42.1037877798;6;28.526260376;53.9745101929;19;63.0259431601;
87;8;22.835899353;50.6131896973;35;42.3118723631;6;29.5499992371;52.0194129944;16;63.4372249842;
88;8;22.2756538391;51.6568984985;32;42.5175988674;6;28.5499992371;53.0657310486;12;63.8867965937;
89;9;22.3143024445;52.7013206482;23;63.720702529;5;24.5499992371;36.1134490967;13;43.375672102;
90;9;25.1147346497;50.0;24;63.9209512472;5;21.5499992371;38.1625442505;13;43.9041156769;
91;10;27.1711063385;50.0;23;64.1181457043;5;20.2999992371;40.2129898071;14;44.4714670181;
92;10;23.7479476929;55.0;23;64.3121181726;6;19.2999992371;42.2647514343;13;45.0759856701;
93;10;25.942325592;53.0;28;64.5027326345;6;18.2999992371;44.3177871704;14;45.7147308588;
94;11;26.9837341309;54.0;25;70.4445480108;5;17.2999992371;38.3720436096;13;40.0392494202;
95;11;26.0237979889;58.0;25;71.2177362442;5;18.2999992371;38.4274749756;14;40.120018959;
96;11;28.0625019073;59.0;26;72.010325551;5;19.2999992371;40.3720436096;14;40.2022752762;
97;11;29.0998439789;60.8603363037;26;73.8158164024;5;20.2999992371;41.3720436096;14;40.2859115601;
98;11;31.1358280182;62.8885498047;27;74.5768324733;5;21.2999992371;43.3720436096;15;40.3708124161;
99;12;33.170463562;64.9171905518;27;75.3404237032;5;22.2999992371;45.3720436096;15;40.4568536282;
100;12;34.2037734985;65.9462203979;27;76.097943604;5;22.2999992371;46.3720436096;16;40.5439035892;
