Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;6.0;14.1000003815;4;23.0;1;6.0;12.0;4;20.0;
2;1;7.0;13.1000003815;6;23.0;1;7.0;11.0;5;20.0;
3;1;8.0;12.1000003815;6;23.0;1;8.0;10.0;5;20.0;
4;1;9.0;11.5;6;23.0;1;8.0;10.0;5;20.0;
5;1;9.60000038147;11.5;6;23.0;1;8.0;10.0;4;20.0;
6;1;10.6000003815;11.5;6;23.0;1;9.0;10.0;4;20.0;
7;1;11.6000003815;11.5;6;23.0;1;9.5;10.0;4;20.0;
8;1;11.8999996185;11.5;6;23.4599990845;1;9.5;10.0;4;20.3999996185;
9;1;12.0380001068;11.7299995422;6;23.8212833405;1;9.59000015259;10.1999998093;4;20.7264003754;
10;1;12.1463851929;11.9106416702;6;24.0;1;9.66343975067;10.3632001877;4;20.9903717041;
11;1;12.2000007629;12.0;6;25.2000007629;1;9.72283363342;10.4951858521;4;22.0419120789;
12;1;14.1463851929;12.6000003815;6;26.1576004028;1;9.95943069458;11.0209560394;5;22.9143505096;
13;1;15.1463851929;13.0788002014;6;26.9011039734;1;11.7228336334;11.4571752548;5;23.6214065552;
14;1;16.1463851929;13.4505519867;6;27.4657306671;1;12.7228336334;11.8107032776;5;24.1832637787;
15;1;17.1463851929;13.7328653336;6;27.88712883;1;13.7228336334;12.0916318893;5;24.6226100922;
16;1;18.1463851929;13.943564415;7;28.0;1;14.7228336334;12.3113050461;5;24.9617595673;
17;1;19.1463851929;14.0;7;28.0;1;15.7228336334;12.4808797836;4;25.0;
18;2;21.1463851929;14.1999998093;6;29.0;1;16.7228336334;12.5;4;25.0;
19;2;22.3999996185;14.3000001907;6;29.2424999475;1;17.625;12.5;4;25.0;
20;2;22.7727489471;14.0;6;29.5407931805;1;17.625;12.5;4;25.0;
21;2;22.3999996185;14.4622383118;6;29.9061030149;1;17.625;12.5;6;25.0;
22;2;22.971830368;14.0;7;30.351061821;1;17.625;12.5;6;25.0;
23;2;22.3999996185;14.7053184509;7;30.8894300461;1;17.625;12.5;6;25.0;
24;2;22.3999996185;14.8668289185;7;31.5355231762;1;17.625;12.5;6;25.0;
25;2;23.3999996185;14.0;7;32.3032436371;1;17.625;12.5;7;25.0;
26;2;23.6909732819;14.0;7;33.2046337128;1;17.625;12.5;8;25.0;
27;2;22.3999996185;15.0;7;34.2479214668;1;17.625;12.5;7;25.0;
28;2;22.3999996185;16.0;7;35.4351563454;1;17.625;12.5;7;25.0;
29;2;23.3999996185;14.0;7;36.7597179413;1;17.625;12.5;7;25.0;
30;2;22.3999996185;15.0;7;38.2042198181;1;17.625;12.5;7;25.0;
31;2;22.3999996185;16.0;7;39.7395238876;1;15.625;13.5;7;25.0;
32;2;21.9218559265;17.0;7;41.32558918;1;14.625;14.5;7;25.0;
33;2;21.3976764679;18.0;7;42.9145870209;1;13.625;15.5;7;25.0;
34;2;20.874376297;19.0;8;44.4560718536;1;12.625;16.5;7;25.0;
35;2;20.3368206024;20.0;7;45.9032077789;1;12.0;17.5;6;25.0;
36;2;19.7709617615;21.0;7;47.2185192108;1;12.0;18.5;6;25.0;
37;2;19.7655563354;22.0;7;48.3776798248;1;12.0;19.5;7;25.0;
38;2;20.1133041382;23.0;7;49.3705463409;1;12.0;20.5;7;25.0;
39;2;19.1133041382;22.0;7;50.1996059418;1;12.0;21.5;8;25.0;
40;2;19.1133041382;22.0;7;50.8767814636;1;12.0;22.5;8;25.0;
41;2;20.1133041382;23.0;8;51.4196968079;1;12.0;23.5;9;25.0;
42;2;21.0259094238;24.0;8;51.8483486176;1;12.0;24.5;9;25.0;
43;2;22.154504776;23.0;8;52.1826190948;1;13.0;22.5;10;25.0;
44;2;23.2547855377;23.0;9;52.25;1;12.0;23.5;11;25.0;
45;2;24.2749996185;23.0;9;52.25;1;12.0;24.5;11;25.0;
46;2;25.2749996185;23.0;9;52.25;2;13.0;22.5;11;25.0;
47;2;26.2749996185;24.0;9;52.25;2;12.0;23.5;11;25.0;
48;2;27.2749996185;24.0;10;52.25;2;12.0;24.5;12;25.0;
49;2;28.2749996185;24.0;10;52.25;2;13.0;22.5;13;25.0;
50;2;29.2749996185;24.0;10;52.25;2;12.0;23.5;14;25.0;
51;2;29.6749992371;24.0;10;52.25;2;12.0;24.5;14;25.0;
52;2;29.6749992371;24.0;11;52.25;2;13.0;22.5;14;25.0;
53;2;29.6749992371;24.0;11;52.25;2;12.0;23.5;15;25.0;
54;2;29.6749992371;24.0;11;52.25;2;12.0;24.5;14;25.0;
55;2;29.6749992371;24.0;11;52.25;2;13.0;22.5;14;25.0;
56;2;29.6749992371;24.0;11;52.25;2;12.0;23.5;15;25.0;
57;2;29.6749992371;24.0;12;52.25;2;12.0;24.5;15;25.0;
58;2;29.6749992371;24.0;12;52.25;2;13.0;22.5;15;25.0;
59;2;27.6749992371;25.0;11;52.25;3;14.0;21.5;14;25.0;
60;2;26.6749992371;26.0;11;52.25;3;15.0;20.5;15;25.0;
61;2;25.6749992371;27.0;12;52.25;3;16.0;19.5;15;25.0;
62;2;24.6749992371;28.0;14;52.25;3;17.0;18.5;15;25.0;
63;2;23.6749992371;29.0;15;52.25;3;17.625;17.5;15;25.0;
64;2;22.6749992371;30.0;16;52.25;3;17.625;17.5;14;25.0;
65;2;22.3999996185;31.0;16;52.25;3;17.625;17.5;15;25.0;
66;3;22.3999996185;32.0;16;54.5593738556;3;17.625;17.5;16;25.0;
67;3;22.8199996948;33.7000007629;16;56.3324565887;3;17.625;17.5;17;25.0;
68;3;23.1375198364;35.2291984558;17;57.6566562653;3;17.625;17.5;17;25.0;
69;3;22.1375198364;34.2291984558;17;58.6250915527;3;17.625;17.5;15;25.0;
70;3;22.1375198364;34.8922767639;17;59.0;3;17.625;17.5;15;25.0;
71;3;21.1375198364;33.8922767639;17;59.0;3;17.625;17.5;16;25.0;
72;3;21.1375198364;33.8922767639;16;59.0;3;17.625;17.5;16;25.0;
73;3;21.1375198364;33.8922767639;16;59.0;3;17.625;17.5;16;25.0;
74;3;21.1375198364;33.8922767639;17;60.0;3;17.625;17.5;17;25.0;
75;3;22.1375198364;34.8922767639;17;60.0599999428;3;17.625;17.5;17;25.0;
76;3;23.1375198364;35.8922767639;17;60.1229639053;3;17.625;17.5;17;25.0;
77;3;23.4744091034;36.8922767639;17;60.1889609098;3;17.625;17.5;19;25.0;
78;3;24.0;37.8922767639;19;60.2580518723;4;17.625;17.5;19;25.0;
79;3;24.4774169922;39.8922767639;19;60.3302885294;4;17.625;17.5;19;25.0;
80;3;24.1000003815;41.5574226379;19;60.4057120085;4;17.625;17.5;20;25.0;
81;3;24.1000003815;42.5951309204;18;60.484351635;4;17.625;17.5;20;25.0;
82;3;24.1000003815;43.6344528198;19;60.5662232637;4;17.625;17.5;20;25.0;
83;3;24.5698661804;43.8922767639;19;60.6513283253;4;17.625;17.5;20;25.0;
84;3;24.5953979492;44.8922767639;19;60.7396525145;4;17.625;17.5;21;25.0;
85;3;24.6218967438;45.8922767639;20;60.8311642408;4;17.625;17.5;21;25.0;
86;3;24.1000003815;47.8078575134;20;60.9258141518;5;17.625;17.5;20;25.0;
87;3;25.6777458191;44.8922767639;21;61.0235335827;5;17.625;17.5;20;25.0;
88;4;24.1000003815;46.8922767639;18;61.1242339611;4;17.625;17.5;19;25.0;
89;5;24.1000003815;47.9543952942;17;61.2278065681;4;17.625;17.5;18;25.0;
90;5;23.7683429718;45.8922767639;17;61.3341217041;4;17.625;17.5;18;25.0;
91;5;23.8002357483;45.8922767639;18;61.4430289268;4;17.625;17.5;18;26.0;
92;5;24.1000003815;47.8922767639;19;61.5543570518;4;17.8500003815;18.0;18;26.7800006866;
93;5;25.1000003815;46.1694564819;19;61.667914629;4;18.0255012512;18.3899993896;19;28.3745174408;
94;5;24.9003753662;45.8922767639;19;61.7834908962;4;19.1592674255;19.6872596741;19;28.8794846535;
95;5;24.1000003815;47.8922767639;20;62.9008569717;4;20.2593841553;20.9097423553;18;29.1229639053;
96;5;24.1000003815;48.3427047729;20;63.9947673082;4;20.5526657104;22.0;18;29.1889609098;
97;5;26.1000003815;50.4021606445;20;64.1524609923;4;20.2999992371;23.0;18;29.2580518723;
98;5;28.1000003815;53.4622573853;21;64.3163785934;4;20.5830612183;24.0;17;29.3302885294;
99;5;27.1000003815;54.522857666;22;64.4860802293;4;20.599313736;24.0;18;29.4057120085;
100;5;27.1000003815;56.5838241577;22;64.6611320376;4;20.2999992371;24.7028560638;19;29.484351635;
101;6;28.1000003815;59.0938148499;20;64.8411061764;3;20.2999992371;24.7421760559;18;29.5662232637;
102;7;27.1000003815;59.1550674438;20;65.025579989;3;20.6523990631;24.0;14;29.6513283253;
