Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;6.0;14.1000003815;4;23.0;1;6.0;12.0;4;20.0;
2;1;7.0;13.1000003815;6;23.0;1;7.0;11.0;5;20.0;
3;1;8.0;12.1000003815;6;23.0;1;8.0;10.0;4;20.0;
4;1;9.0;11.5;6;23.0;2;8.0;10.1999998093;3;21.0;
5;1;9.60000038147;11.5;5;23.0;2;6.15000009537;10.0;3;21.0900000334;
6;1;10.6000003815;11.5;5;23.0;2;5.24525022507;10.0;3;21.1871190071;
7;1;11.6000003815;11.5;5;23.0;2;5.26710176468;10.0;3;21.2917383909;
8;1;11.8999996185;11.5;5;23.4599990845;2;5.29064130783;10.0;2;21.4042263031;
9;1;12.0380001068;11.7299995422;5;23.8212833405;2;5.31595087051;10.0;2;21.9389723539;
10;1;12.1463851929;11.9106416702;5;24.0;2;5.34626865387;10.1999998093;2;22.4109756947;
11;1;12.2000007629;12.0;5;25.2000007629;2;5.37902927399;10.3632001877;2;22.831872344;
12;1;14.1463851929;12.6000003815;5;26.1576004028;2;5.41433763504;10.4951858521;2;23.0101544857;
13;1;15.1463851929;13.0788002014;4;26.9011039734;2;7.45228481293;10.5;3;23.1908643246;
14;1;16.1463851929;13.4505519867;4;27.4657306671;2;8.49294471741;10.5;3;24.4995856285;
15;2;18.1463851929;13.9328651428;3;28.88712883;2;9.55115699768;11.0249996185;3;25.6534984112;
16;2;20.1463851929;13.943564415;4;29.1525000334;2;10.6148176193;11.4604873657;3;26.6671266556;
17;2;21.4921360016;14.0;4;29.3264987469;2;10.6840925217;11.8133583069;3;27.5610711575;
18;2;22.5443344116;14.0;6;29.524458766;2;12.6840925217;12.0937223434;3;28.3579769135;
19;2;22.3999996185;14.4573373795;6;29.7489435673;2;14.6840925217;12.3129281998;3;29.0795807838;
20;2;22.3999996185;14.5246829987;6;30.0025589466;2;14.9259490967;12.4821252823;3;29.5221171379;
21;2;22.3999996185;14.6007680893;6;30.2878723145;2;15.0174760818;12.5;4;29.950717926;
22;2;23.0863609314;14.0;6;30.6073079109;2;15.1139116287;12.5;5;30.3987221718;
23;2;23.1821918488;14.0;6;30.9630148411;2;15.2147121429;12.5;5;30.8630814552;
24;2;23.2889041901;14.0;6;31.3567101955;2;15.3191928864;12.5;6;31.3401556015;
25;2;22.3999996185;15.0;6;31.7895004749;2;16.4265346527;12.5;6;31.8258018494;
26;2;22.3999996185;15.1368503571;6;32.2616910934;2;17.5358047485;12.5;6;32.3154983521;
27;2;21.3999996185;15.0;6;32.7725958824;2;17.0;13.5;6;32.804502964;
28;2;20.83177948;16.0;6;33.3203659058;2;19.0;12.5;6;33.2880306244;
29;2;19.9961090088;17.0;7;33.9018626213;2;20.8648071289;12.5;6;33.7614402771;
30;2;19.1705589294;18.0;7;34.5125956535;2;18.9713249207;13.5;6;34.220413208;
31;2;18.3537788391;19.0;7;35.1467533112;2;18.0745925903;14.5;6;34.661110878;
32;2;17.3999996185;18.0;7;35.7973399162;2;17.0745925903;13.5;6;35.0802955627;
33;2;16.3999996185;18.0;7;36.4564228058;2;18.0;14.5;6;35.4754133224;
34;2;16.3999996185;19.0;7;37.115480423;2;19.0;15.5;6;35.844628334;
35;2;15.3999996185;18.0;7;37.7658262253;2;18.0;14.5;6;36.1868162155;
36;2;16.3999996185;18.0;7;38.3990592957;2;18.0;14.5;6;36.5015220642;
37;2;17.3999996185;18.0;7;39.0075025558;2;17.0;13.5;7;36.7888851166;
38;2;16.3999996185;17.0;7;39.5845708847;2;17.0;14.5;7;37.0495510101;
39;2;16.3999996185;17.0;8;40.125041008;2;16.7111492157;15.5;7;37.2845716476;
40;2;17.0;18.0;8;40.6251935959;2;15.7111492157;14.5;8;37.4953050613;
41;2;17.7875576019;19.0;9;41.0828323364;2;15.7111492157;14.5;8;37.6833209991;
42;2;16.7875576019;18.0;10;41.4971876144;2;16.7111492157;15.5;8;37.8503198624;
43;2;16.7875576019;18.0;10;41.8687400818;2;16.8913230896;16.5;8;37.9980573654;
44;2;17.7875576019;19.0;12;42.1989908218;3;17.9245624542;18.0;7;39.0;
45;2;19.2596969604;20.0;12;42.4902133942;3;18.9249992371;19.0;7;39.1699999571;
46;2;20.3470649719;21.0;12;42.7452106476;3;18.9249992371;19.5;8;39.3669109344;
47;2;21.4235630035;22.0;13;42.9670953751;4;18.9249992371;20.5;5;59.5942704678;
48;2;22.4901275635;23.0;14;43.1591091156;4;17.9249992371;22.5;5;61.0558229685;
49;2;23.5477333069;24.0;14;43.25;4;18.0;24.5;7;62.373029232;
50;2;24.5750007629;24.0;15;43.25;4;19.0;26.5;7;63.5549066067;
51;2;25.5750007629;24.0;15;43.25;4;20.0;28.5;8;64.6203849316;
52;2;26.5750007629;24.0;16;43.25;4;22.0;27.5;8;65.5936481953;
53;2;26.9749984741;24.0;18;43.25;4;22.0;29.5;10;66.5000727177;
54;2;26.9749984741;24.0;16;43.25;5;25.0;28.5;9;67.3477458954;
55;2;26.9749984741;24.0;17;43.25;5;27.625;29.5;9;67.9413113594;
56;2;26.9749984741;24.0;16;43.25;5;29.5499992371;30.5;9;68.586581707;
57;3;26.9749984741;24.0;15;43.25;5;30.5499992371;31.5;10;69.2800674438;
58;3;26.9749984741;24.0;16;43.25;5;29.5499992371;32.5;10;70.0160870552;
59;3;26.9749984741;24.0;14;43.25;5;29.25;32.5;12;70.7867279053;
60;3;26.9749984741;24.0;14;43.25;5;29.25;32.5;12;71.5820074081;
61;3;26.9749984741;24.0;15;43.25;5;29.25;32.5;13;72.3902606964;
62;3;24.9749984741;25.0;15;43.25;6;29.25;32.5;9;83.1987380981;
63;3;23.9749984741;26.0;16;43.25;6;30.25;33.5;9;84.3943681717;
64;3;22.9749984741;27.0;16;43.25;6;31.25;34.5;10;85.5389928818;
65;3;21.9749984741;28.0;16;43.25;6;31.25;35.5;10;86.6201019287;
66;3;20.9749984741;29.0;16;43.25;6;31.25;36.5;11;87.6278266907;
67;3;19.9749984741;30.0;18;43.25;6;31.25;37.5;11;88.5553016663;
68;3;18.9749984741;31.0;19;43.25;6;31.25;37.5;12;89.3987455368;
69;3;18.5750007629;32.0;19;44.25;6;29.25;38.5;12;90.1572847366;
70;3;20.5750007629;31.0;19;46.2618741989;6;28.25;39.5;14;90.832572937;
71;3;22.7465629578;31.0;21;47.8642954826;7;27.25;40.5;13;91.4282846451;
72;3;21.7465629578;32.0;21;49.1175301075;7;26.25;41.5;13;91.9495677948;
73;3;20.7465629578;31.0;22;50.0883225203;7;25.625;42.5;13;92.4025144577;
74;3;21.0;31.0;22;50.6678160429;7;25.625;43.5;14;93.6896247864;
75;3;22.0;31.0;22;50.9832479954;7;25.8500003815;44.5;14;96.8390111923;
76;3;23.0;31.0;23;51.2562282085;7;27.0255012512;42.5;14;99.418888092;
77;4;24.0;31.0;22;51.3530313969;7;28.1592674255;41.5;14;101.50743103;
78;4;25.0;32.0;22;51.4023760557;7;29.2593841553;40.5;15;103.037091255;
79;4;25.6000003815;31.0;23;51.4528282881;7;30.2999992371;39.5;15;103.961056709;
80;4;24.6000003815;32.0;23;51.5043625832;7;31.2999992371;39.0;15;104.481124878;
81;4;24.6000003815;33.0;20;51.5569496155;7;32.2999992371;39.0;16;105.917005539;
82;4;24.6000003815;34.0;21;51.6105561256;7;33.5999984741;40.0;17;106.090000033;
83;5;24.6000003815;35.0;20;51.6651450396;7;33.5999984741;42.0;17;107.587118626;
84;5;24.6000003815;36.0;20;52.72067523;7;33.9150009155;44.0;17;108.75013721;
85;5;24.6000003815;36.0;15;52.8446017504;7;34.153137207;46.0;18;109.636756897;
86;5;25.6000003815;37.0;15;52.9732116461;7;35.3273200989;48.0;18;110.309485912;
87;5;25.6000003815;38.0;16;53.1065714359;7;33.9515228271;50.0;19;110.65416944;
88;5;22.6000003815;38.0;14;53.2447339296;7;31.7000007629;53.0;17;111.792223573;
89;5;21.6000003815;39.0;13;53.3877365589;7;31.7000007629;57.0;18;111.969325304;
90;5;20.6000003815;40.0;14;53.5355987549;8;31.7000007629;61.0;16;112.156239033;
91;6;19.6000003815;41.0;13;53.6883201599;8;31.2000007629;62.0;17;112.353061676;
92;6;18.6000003815;42.0;13;53.8458787203;8;31.2000007629;66.0;18;112.559807777;
93;6;18.0;43.0;14;54.008227706;8;31.2000007629;70.0;18;112.776399493;
94;6;18.0;44.0;14;54.1752943993;8;32.2000007629;70.0;18;113.002656341;
95;6;18.0;45.0;14;54.3469778299;8;37.1002655029;73.0;20;113.238286257;
96;6;18.0;46.0;14;54.5231466293;8;40.5238304138;76.0;21;113.482879162;
97;6;18.0;47.0;12;54.7036380768;8;41.9482879639;75.5;19;113.735902786;
98;6;18.0;48.0;12;54.8882567883;8;42.7735900879;75.5;20;113.996700525;
99;6;18.0;49.0;13;56.0767731667;9;42.7996711731;75.5;19;114.264493823;
100;6;19.0;51.0;13;56.2689230442;9;42.8264503479;75.5;19;114.538387775;
