Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;6.0;14.1000003815;4;23.0;1;6.0;14.0;4;20.0;
2;1;7.0;13.1000003815;6;23.0;1;7.0;13.0;6;20.0;
3;2;8.0;12.3000001907;5;24.0;2;8.0;12.3000001907;5;21.0;
4;2;9.19999980927;11.5;5;24.1124999523;2;8.14999961853;11.0;5;21.0299999714;
5;2;9.82250022888;11.5;5;24.2364046574;2;8.15450000763;10.0;5;21.0605909824;
6;2;10.9709215164;11.5;5;24.3725773096;2;9.23863315582;10.0;5;21.091766119;
7;2;12.0117731094;11.5;5;24.5218783617;2;9.74564743042;10.0;5;21.1235172749;
8;2;12.3565635681;11.5;5;25.1603652239;2;9.75279140472;10.0;5;21.5670698881;
9;2;12.5481100082;11.7299995422;5;25.7180355787;2;9.85259056091;10.1999998093;5;21.9382035732;
10;2;12.7154111862;11.9106416702;5;27.2239179611;2;9.93609523773;10.3632001877;5;22.2480803728;
11;2;13.167175293;12.5274600983;5;28.5177702904;2;10.005818367;10.4951858521;5;23.3592649698;
12;2;14.8887090683;13.0216779709;5;29.6286454201;2;10.2558355331;11.0209560394;5;24.2933903933;
13;2;16.888710022;13.4066829681;5;30.5931797028;2;12.0331172943;11.4571752548;5;25.0641713142;
14;2;18.888710022;13.6998376846;5;31.4486236572;2;14.0331172943;11.8107032776;5;25.691778779;
15;2;20.2295246124;13.9190797806;5;32.0668101311;2;15.7228336334;12.5441865921;5;26.198879838;
16;2;21.3664283752;14.0;5;32.562277317;2;17.0774936676;12.3113050461;5;26.6077592373;
17;2;22.5150680542;14.0;6;33.0955038071;2;17.7228336334;12.9746799469;5;26.7176665068;
18;2;23.675037384;14.0;6;33.6638817787;2;19.1093082428;12.5;6;26.7912226915;
19;2;22.3999996185;15.0;6;34.263466835;2;20.0280246735;12.5;6;26.8666112423;
20;2;23.3999996185;14.0;6;34.8889698982;2;19.625;13.0599832535;6;26.943765521;
21;2;24.3999996185;14.0;7;35.5338482857;2;19.625;13.2775058746;6;27.0226092339;
22;3;24.6601543427;14.0;6;36.1905097961;2;20.0800876617;12.5;7;27.1030561924;
23;3;24.8571529388;14.0;6;36.8506231308;3;20.0981884003;12.5;6;27.1850111485;
24;4;22.8571529388;15.0;5;37.5055141449;3;19.625;13.374004364;6;27.2683691978;
25;4;22.3999996185;16.0;5;38.1466121674;3;20.135383606;12.5;6;27.3530163765;
26;4;21.3999996185;15.0;5;38.7658996582;3;20.1544284821;12.5;6;27.4388306141;
27;4;21.3999996185;16.0;5;39.3563127518;3;19.625;13.4755325317;6;27.5256814957;
28;4;21.3999996185;17.0;5;39.9120550156;3;19.625;13.5102729797;7;27.6134316921;
29;4;20.9736156464;18.0;5;40.4287929535;3;18.2130222321;13.5;7;27.7019374371;
30;4;20.1286373138;19.0;5;40.9037227631;3;17.2329368591;14.5;7;27.7910490036;
31;4;19.2711162567;20.0;5;41.3355169296;3;16.252986908;15.5;7;27.8806123734;
32;4;18.4006538391;21.0;6;41.7241783142;3;15.2731380463;16.5;7;27.9704699516;
33;4;18.1172523499;22.0;6;42.0708265305;3;14.6683559418;17.5;7;28.0604612827;
34;4;18.2212486267;23.0;6;42.377453804;3;14.6886043549;18.5;7;29.1504247189;
35;4;19.3132362366;24.5;5;43.6466779709;3;15.0;21.2000007629;7;29.370198369;
36;4;20.3940029144;25.5;6;43.9115116596;3;16.0;23.2910003662;7;29.605052352;
37;4;20.7734527588;26.0;6;44.1457540989;3;17.0;24.7235355377;7;29.8562588692;
38;4;20.5255489349;27.5302963257;6;45.341766119;3;18.0;25.8993816376;8;30.1251180172;
39;4;20.5255489349;27.0458831787;8;45.3935172558;3;19.0;27.0875835419;8;30.4129265547;
40;4;19.8626041412;28.0;8;45.4460309744;4;19.0;28.2890472412;7;30.7209382057;
41;4;20.8722991943;27.5200977325;9;45.4992907047;4;19.0;29.5046577454;8;31.050314188;
42;4;22.5255489349;28.5200977325;10;45.5532778502;5;19.0;30.7352199554;8;31.4020643234;
43;5;25.2165317535;30.5200977325;9;45.6079726219;5;19.0;31.9814453125;8;31.7769787312;
44;5;26.2823905945;32.5200958252;9;45.6633535624;5;19.0;33.2438850403;9;32.1755533218;
45;5;27.2990074158;34.5200958252;11;45.7193975449;5;19.0;34.5228881836;9;32.5979101658;
46;5;28.3158187866;36.0;11;45.7760800123;5;20.0;32.8185386658;9;34.0437188148;
47;5;28.9832878113;35.5825614929;11;45.8333747387;5;20.0;34.8306045532;9;34.6821221113;
48;6;30.3500137329;34.0;11;45.8912543058;5;22.9558582306;35.8306045532;10;35.3685870171;
49;6;30.5750007629;34.6040077209;12;45.9496895075;5;24.9726028442;37.8306045532;10;37.1045811176;
50;6;30.9749984741;35.3498458862;12;46.0086499453;5;25.9889163971;39.9102058411;10;37.9411400557;
51;6;31.4271659851;34.6257171631;12;46.0681037903;5;28.4175605774;41.2000007629;11;38.8307785988;
52;6;31.4384346008;34.6366577148;13;46.1280177832;5;28.2479438782;44.2000007629;12;39.7735005617;
53;7;31.4498138428;34.6476516724;11;46.1883575916;5;29.625;45.2000007629;12;40.7686713934;
54;8;30.9749984741;35.4691772461;10;47.2490874529;5;31.2017097473;43.5188369751;13;41.8149263859;
55;8;32.8747253418;35.0;10;47.4201709032;5;30.3119602203;44.7129821777;14;42.9100592136;
56;8;33.4845123291;36.680896759;10;47.6024491787;5;29.4816608429;43.7550315857;15;44.0508824587;
57;8;33.9114685059;37.0;10;47.7966805696;5;29.6032428741;43.8664016724;16;45.2330614328;
58;8;33.5080337524;38.7032318115;10;48.0036174059;6;30.625;40.9113044739;15;46.4509433508;
59;8;33.5198860168;39.7144393921;10;48.2239896059;6;31.7399520874;40.9576225281;16;47.6903003454;
60;8;33.5317840576;39.7256622314;10;49.4584850073;6;30.8344078064;43.0053405762;17;48.9069566727;
61;8;34.5437202454;40.7369003296;11;50.7377254963;6;32.3004455566;40.8918914795;18;50.1353273392;
62;8;35.9749984741;43.715965271;11;51.0828323364;6;28.9267692566;44.8918914795;19;51.3638134003;
63;8;36.0233154297;45.0;11;53.5827076435;6;30.0315284729;43.0;19;52.5798213482;
64;8;38.2236557007;46.7000007629;11;55.7143794298;6;30.625;45.0;19;54.7703086138;
65;8;38.2527542114;50.2291984558;8;57.5399082899;6;30.625;46.3720436096;19;55.9524643421;
66;8;38.1163215637;53.4151687622;9;59.1272639036;6;31.625;47.4274749756;20;57.0850412846;
67;9;37.7691917419;56.2191619873;10;60.3680667877;6;32.1020050049;47.0;20;58.1578633785;
68;9;37.0951843262;55.6406517029;10;61.3891050816;6;34.120513916;46.0;20;59.1629765034;
69;9;37.8252182007;57.4847869873;9;62.4104479551;6;33.1393280029;47.0;21;60.0949877501;
70;10;37.1110191345;59.5695457458;7;63.2956086397;7;32.1584320068;47.0;20;62.7034105062;
71;10;36.5999984741;61.8013153076;7;64.1692508459;7;31.8500003815;48.5;20;64.9826264381;
72;10;36.5999984741;62.9447555542;8;65.0745993853;7;32.0255012512;49.7741127014;21;66.9562984705;
73;10;38.1346817017;59.4357337952;8;67.0050983429;7;33.1592674255;51.1902313232;21;68.6558029652;
74;10;38.4348220825;60.1561355591;9;67.9282022715;7;34.8425979614;46.1902313232;22;69.9673535824;
75;11;39.4575080872;62.233455658;8;68.8631691337;7;36.5298538208;45.5029678345;22;70.980550766;
76;11;39.4801597595;64.3140411377;8;69.8011797667;7;32.4048538208;49.5029678345;23;71.8847819567;
77;11;38.5999984741;67.3977661133;10;70.7335204482;8;30.4048557281;52.0162849426;22;72.6704185009;
78;12;38.0;70.026550293;10;71.6519861817;8;31.2573795319;50.0162849426;23;73.2426019907;
79;12;37.0;71.5709533691;10;72.5492370129;8;29.6592674255;52.5162849426;24;73.7603535652;
80;12;36.0;72.705368042;11;73.4190735221;8;29.5;55.5162849426;25;74.0941796303;
81;13;35.0;73.8424377441;10;74.256608665;8;29.5;53.5162849426;25;74.3527549505;
82;13;32.4000015259;72.4355163574;11;75.0583238602;8;30.5;53.5162849426;25;74.6122355461;
83;13;33.4000015259;74.4425811768;12;75.822022438;9;32.125;53.5162849426;24;74.8717503548;
84;13;32.4000015259;76.450088501;13;77.5467017889;9;34.125;54.5162849426;24;75.1304322481;
85;13;33.4000015259;80.6223602295;15;78.2548663616;9;35.625;56.5162849426;25;75.3874316216;
86;14;36.4000015259;82.7355575562;14;78.9250978231;9;33.625;59.5162849426;25;75.6419291496;
87;14;36.4000015259;86.8488311768;15;79.5587784052;9;32.625;62.5162849426;26;75.8931467533;
88;14;36.7204971313;90.8579940796;17;80.1576763391;10;31.625;65.5162811279;25;76.140358448;
89;14;37.4000015259;92.0738983154;18;80.7237805724;10;30.625;68.5162811279;25;76.3828990459;
90;14;36.4000015259;96.742477417;19;81.2520496845;10;30.625;71.5162811279;26;76.6201708317;
91;14;36.4000015259;100.855079651;21;81.607563436;10;30.625;74.5162811279;26;76.8516490459;
92;14;38.7489128113;100.304588318;21;81.9372263551;10;29.625;75.5162811279;26;77.0768847466;
93;14;39.312587738;103.51688385;22;82.2608050108;10;29.625;76.6565856934;26;77.2955055237;
94;14;40.3783378601;104.121276855;23;82.5775976777;10;29.625;77.7659072876;26;77.5072147846;
95;14;41.4424552917;105.119140625;23;82.8869867921;10;30.125;78.8703536987;26;77.7117900848;
96;14;42.5048179626;106.117233276;25;83.1884410977;10;31.125;79.9698257446;27;77.9090774059;
97;16;43.5653305054;107.115509033;17;86.155934155;8;30.125;77.0642623901;27;75.3623776436;
98;16;45.623916626;109.113952637;20;86.5024747849;8;30.4249992371;79.1536636353;29;75.4829454422;
99;16;47.6805076599;111.112564087;22;86.8397575021;8;30.4249992371;81.2380599976;29;75.5964655876;
100;16;48.7350730896;113.111305237;24;87.1518664956;8;30.4249992371;83.317527771;29;75.7030844688;
