Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;6.0;14.1000003815;4;23.0;1;6.0;14.0;4;20.0;
2;1;7.0;13.1000003815;6;23.0;1;7.0;13.0;6;20.0;
3;1;8.0;12.1000003815;6;23.0;1;8.0;12.0;6;20.0;
4;1;9.0;11.5;6;23.0;1;8.0;11.0;6;20.0;
5;1;9.60000038147;11.5;6;23.0;1;8.0;10.0;6;20.0;
6;1;10.6000003815;11.5;6;23.0;1;9.0;10.0;5;20.0;
7;2;11.6000003815;11.6999998093;4;24.0;1;9.5;10.0;4;20.0;
8;2;12.1999998093;11.5;4;24.5524990559;1;9.5;10.0;4;20.3999996185;
9;2;12.3657503128;11.7299995422;4;25.0138289928;1;9.59000015259;10.1999998093;4;20.7264003754;
10;2;12.5041484833;11.9106416702;4;25.3005598783;1;9.66343975067;10.3632001877;4;20.9903717041;
11;2;12.5901689529;12.0;4;26.6559702158;1;9.72283363342;10.4951858521;4;22.0419120789;
12;2;14.5831756592;12.6000003815;4;27.7852873802;1;9.95943069458;11.0209560394;4;22.9143505096;
13;2;16.5831756592;13.0788002014;4;28.7179658413;1;11.7228336334;11.4571752548;4;23.6214065552;
14;2;18.5831756592;13.4505519867;4;29.4903168678;1;12.7228336334;11.8107032776;4;24.1832637787;
15;2;19.7537612915;13.7328653336;4;30.1389832497;1;13.7228336334;12.0916318893;4;24.6226100922;
16;2;20.8219413757;13.943564415;4;30.4995167255;1;14.7228336334;12.3113050461;4;24.9617595673;
17;2;21.8962402344;14.0;5;30.768226862;1;15.7228336334;12.4808797836;4;25.0;
18;2;22.976852417;14.0;5;31.0583860874;1;16.7228336334;12.5;4;25.0;
19;2;22.3999996185;14.9175157547;5;31.370085001;1;17.625;12.5;3;25.0;
20;2;22.3999996185;15.0110254288;6;31.7030465603;1;17.625;12.5;5;25.0;
21;2;23.3999996185;14.0;6;32.0565748215;1;17.625;12.5;5;25.0;
22;2;22.3999996185;15.0;6;32.4295129776;1;17.625;12.5;5;25.0;
23;2;23.3999996185;14.0;6;32.8202176094;1;17.625;12.5;6;25.0;
24;2;23.8460655212;14.0;6;33.2265515327;1;17.625;12.5;7;25.0;
25;2;23.9679641724;14.0;6;33.6459012032;1;17.625;12.5;8;25.0;
26;2;22.0937690735;15.0;5;34.0752210617;1;17.625;12.5;8;25.0;
27;2;21.2225666046;16.0;4;34.5111045837;1;17.625;12.5;8;25.0;
28;2;20.3533306122;17.0;3;34.9498810768;1;17.625;12.5;8;25.0;
29;2;19.4849643707;18.0;3;35.387732029;2;17.625;12.5;8;25.0;
30;2;18.6163196564;19.0;3;35.8208208084;3;18.625;12.8999996185;8;26.0;
31;2;17.7462463379;20.0;3;36.2454271317;3;17.625;13.5;10;26.0299999714;
32;2;16.873626709;21.0;4;36.6580753326;3;16.8567504883;14.5;10;26.0605909824;
33;2;16.5974235535;22.0;5;37.05564785;3;15.8636331558;15.5;11;26.091766119;
34;2;16.7166938782;23.0;5;37.4354734421;3;14.8706474304;16.5;11;26.1235172749;
35;2;15.7166938782;22.0;5;37.7953920364;3;14.2527914047;17.5;12;26.1558350325;
36;2;15.7166938782;22.0;5;38.1337842941;3;14.2600631714;18.5;13;26.1887089014;
37;2;16.7166938782;23.0;6;38.4495744705;3;14.2674598694;19.5;13;26.2221269608;
38;2;17.1348724365;24.0;6;38.7422065735;3;14.2749786377;20.5;12;26.2560760975;
39;2;17.222661972;25.0;6;39.011598587;3;14.282617569;21.5;13;26.2905418873;
40;2;16.222661972;24.0;8;39.2580823898;3;14.2903718948;22.5;14;26.3255085945;
41;3;17.222661972;24.5;7;40.482334137;3;14.2982397079;23.5;14;26.3609591722;
42;3;19.222661972;25.5;8;40.8378037214;3;14.3062152863;24.5;15;26.3968753815;
43;3;19.8513431549;26.0;9;41.1946418285;3;14.3142967224;25.5;16;26.4332377911;
44;3;19.5604438782;27.0;9;41.5566023588;3;14.3224782944;26.5;15;26.4700255394;
45;3;20.6096420288;27.0;9;41.9276211262;3;14.3307552338;27.5;15;26.5072168112;
46;3;21.6536026001;28.0;10;42.2525589466;3;14.3391237259;28.5;15;26.5447884798;
47;4;22.6749992371;29.0;9;55.2878723145;3;14.347577095;29.5;16;26.5827163458;
48;4;24.6749992371;31.0;10;56.2448077202;4;15.3561115265;27.5;14;26.6209751368;
49;4;26.6749992371;33.0;10;57.1845448017;4;14.3647193909;28.5;14;26.6595385075;
50;4;27.6749992371;33.0;11;58.1061503887;4;14.3733959198;29.5;14;26.6983793974;
51;4;28.6749992371;33.0;12;59.010253191;4;15.3821353912;27.5;10;26.7374696732;
52;4;29.6749992371;34.0;13;59.8985176086;4;14.3909301758;28.5;11;26.7767804861;
53;5;30.0750007629;34.0;12;60.773039341;4;14.3997755051;29.5;12;26.8162822723;
54;6;30.0750007629;34.0;12;61.6357479095;4;15.4086637497;28.5;12;26.8559447527;
55;6;30.0750007629;34.0;12;62.4878840446;4;16.0;28.5;13;26.8957372904;
56;6;30.0750007629;34.0;13;63.3296046257;4;17.4265403748;28.5;13;26.9356285334;
57;6;30.0750007629;34.0;13;64.1467533112;4;18.0;28.5;14;26.9755871296;
58;6;29.0750007629;36.0;13;64.7973399162;4;19.0;28.5;14;28.015581131;
59;6;29.0750007629;38.0;13;66.4564228058;4;21.0785064697;28.5;14;28.1855787039;
60;6;30.0750007629;41.0;13;67.220480442;4;22.0875053406;28.5;16;28.3709789515;
61;6;31.0750007629;44.0;14;68.9856909513;4;21.9119720459;29.5;16;28.5731806755;
62;7;32.0750007629;47.8829116821;13;69.7843277454;4;22.4289665222;28.5;16;28.7936081886;
63;7;34.4785804749;48.8829116821;13;70.5705633163;4;21.625;29.5;17;29.0336779356;
64;7;33.5195617676;52.8829116821;15;71.3384574652;4;22.1233673096;28.5;18;29.2947583199;
65;7;33.7015991211;55.8829116821;15;72.0833899975;4;22.5913200378;27.5;19;29.5781197548;
66;7;33.2125015259;58.8829116821;15;72.8021838665;4;22.1389598846;28.5;19;29.8848745823;
67;7;33.2125015259;60.3125991821;11;76.1302599907;4;22.7240962982;27.5;19;30.2159080505;
68;7;34.5199050903;59.3125991821;11;79.9850867987;4;22.1586742401;28.5;19;30.5718038082;
69;7;33.6642684937;60.3125991821;12;82.5431756973;4;21.625;30.5;19;30.9527626038;
70;7;35.5883255005;63.0284957886;12;84.7631561756;5;22.4133872986;29.2141704559;16;47.3585243225;
71;7;35.7733383179;60.3125991821;13;86.4036833048;5;24.1845302582;30.5;17;48.5682935715;
72;7;33.0999984741;62.3125991821;14;87.7090315819;5;26.5843696594;32.5;18;49.7206442356;
73;7;32.0999984741;62.3125991821;15;88.9559967518;5;28.4927845001;33.5;17;50.8127095699;
74;8;32.0999984741;63.3125991821;15;90.1526418924;5;29.0215511322;36.5;17;51.8443307877;
75;8;32.0999984741;64.3125991821;15;91.3009685278;6;28.723815918;38.5;15;52.8172134161;
76;8;32.0999984741;65.3125991821;17;92.2726669312;7;29.4860191345;38.5;14;53.7341169119;
77;8;32.0999984741;67.0;17;93.2113101482;7;28.8924598694;39.5;15;54.5981681347;
78;8;32.0999984741;69.0;17;93.9999113083;7;30.0935077667;39.5;18;55.4123644829;
79;8;33.0999984741;68.0;18;94.8188056946;7;29.5945777893;41.5;17;56.0855708122;
80;8;32.0999984741;70.0;18;95.6643507481;7;29.9153709412;41.4669342041;17;56.6342737675;
81;8;32.0999984741;73.0;19;96.532346487;7;31.4732379913;41.4903411865;17;58.171137929;
82;8;33.0999984741;73.0;20;97.4181065559;7;31.4812145233;41.5133628845;18;60.5430250168;
83;8;31.1000003815;71.0;21;98.3165504932;7;32.7488594055;43.0561218262;18;62.5882589817;
84;8;29.1000003815;74.0;22;99.2223105431;7;34.9014434814;43.4461212158;19;64.3447260857;
85;9;29.1000003815;74.0;16;120.129845858;7;35.4297027588;46.7433815002;19;65.85338974;
86;9;31.1000003815;72.0;16;122.833564997;8;34.6008300781;47.7433815002;18;66.9905922413;
87;9;32.0999984741;74.0;17;125.29755044;8;35.4532699585;45.7433815002;18;67.6693110466;
88;9;34.0999984741;74.0;18;127.493073463;8;31.4500007629;50.2832794189;18;68.3110325336;
89;9;35.0999984741;75.0;16;129.418184519;8;31.4500007629;52.6082649231;19;68.9147506952;
90;9;34.0999984741;79.0;15;131.090682507;8;31.4500007629;54.9235305786;20;69.4806312323;
91;9;35.0999984741;83.0;15;132.539477587;9;31.4500007629;57.816619873;19;70.0098078251;
92;9;35.0999984741;83.8956680298;16;133.797113657;9;31.4500007629;61.8546676636;19;70.5041553974;
93;9;34.0999984741;87.9564971924;16;134.826543331;9;31.4500007629;65.8920059204;21;70.9660644531;
94;9;35.0999984741;90.0168914795;15;135.529845715;9;31.4500007629;66.9286117554;21;71.3982386589;
95;9;35.0999984741;91.5939941406;14;136.194399834;9;31.4500007629;69.1387939453;21;71.80351758;
96;9;35.0999984741;92.8322296143;13;136.81926012;9;31.4500007629;72.1738586426;23;72.1432683468;
97;9;35.0999984741;94.0599136353;13;137.404096127;10;31.4500007629;76.2081298828;21;72.3589887619;
98;9;36.0999984741;93.1172180176;14;137.949142456;10;32.4500007629;77.2415771484;21;72.5764477253;
99;9;35.0999984741;95.1734466553;15;138.346080303;10;31.4500007629;81.2742080688;22;72.7953846455;
100;9;36.0999984741;99.173538208;15;138.706259251;10;31.4500007629;85.3059997559;22;73.0155205727;
101;9;37.0999984741;102.248779297;16;139.042225361;10;32.4500007629;86.3369369507;23;73.2365601063;
102;9;37.7000007629;105.322097778;18;139.354529381;10;31.4500007629;90.3670272827;24;73.4581928253;
103;9;39.2039375305;110.893379211;20;139.643975735;10;31.4500007629;93.8466949463;25;73.6579248905;
104;9;42.6138191223;110.962539673;20;139.911560059;10;32.4500007629;93.9190216064;25;73.8404276371;
105;9;42.0911560059;117.029502869;22;140.158411026;10;32.4500007629;93.9791107178;26;74.0237293243;
106;9;42.3158416748;120.094215393;22;140.385742664;10;31.4500007629;97.0397186279;26;74.2074694633;
107;9;41.3247566223;123.156616211;23;140.501242638;10;32.4500007629;96.5909881592;27;74.3912806511;
108;9;41.0501213074;126.216682434;24;140.583693027;10;32.4500007629;95.6828994751;28;74.5747916698;
109;9;41.0583686829;129.274398804;24;140.66277504;10;31.4500007629;97.7746582031;28;74.7576315403;
110;9;42.0662765503;129.32975769;25;140.738499165;10;32.4500007629;96.8660736084;30;74.9394311905;
111;9;42.0738487244;129.382751465;26;140.810890198;10;32.4500007629;95.9569702148;30;75.1198282242;
112;9;44.0810890198;128.433441162;27;140.879988194;10;31.4500007629;98.0471725464;32;75.298469305;
113;9;44.0879974365;127.481803894;29;140.94584465;10;32.4500007629;97.1364898682;32;75.4750134945;
114;9;44.0945854187;129.527893066;29;141.0;10;32.4500007629;96.2247619629;33;75.6491343975;
115;9;45.0999984741;131.565811157;30;141.0;10;33.3499984741;95.8416519165;32;75.8205242157;
116;10;48.0999984741;127.565811157;31;141.0;10;34.3499984741;94.9616241455;32;75.9888939857;
117;10;47.1000022888;129.565811157;31;141.0;10;35.3499984741;94.2794876099;33;76.1539766788;
118;10;48.0999984741;131.565811157;31;141.420000076;11;35.7249984741;94.3950424194;32;76.3155293465;
119;10;51.141998291;127.859809875;32;141.842436314;11;35.7249984741;94.5081329346;33;76.4733333588;
120;10;50.1842460632;131.155517578;34;142.263763905;11;35.7249984741;94.6185913086;34;76.6271953583;
121;10;50.2263755798;134.450439453;35;142.680430412;11;35.7249984741;94.7262954712;35;76.7769482136;
122;10;52.2680435181;131.742111206;35;143.088995934;11;35.7249984741;94.8311233521;35;76.9224505424;
123;10;50.3088989258;135.028106689;38;143.486247063;11;35.7249984741;95.932975769;38;77.0635871887;
124;10;50.3486251831;138.306182861;39;143.86929512;11;35.7249984741;97.0317764282;38;77.2002675533;
125;10;52.3869285583;135.574310303;40;144.235659599;11;35.7249984741;98.1274490356;38;77.332426548;
126;10;50.4235649109;138.830780029;40;144.583321571;11;34.7249984741;97.2199554443;38;78.1427736282;
127;10;50.4583320618;142.074127197;41;144.91075325;11;33.8250007629;98.6472015381;40;78.963634491;
