Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
1;2;7.0;14.3000001907;3;24.0;1;6.0;14.0;4;20.0;
2;2;9.0;13.1000003815;3;24.1499999762;1;7.0;13.0;6;20.0;
3;2;11.0;12.1000003815;3;24.320775032;1;8.0;12.0;6;20.0;
4;2;12.2641544342;11.5;3;24.5146545172;1;9.0;11.0;6;20.0;
5;2;13.4543962479;11.5;3;24.7340574265;1;10.0;10.0;6;20.0;
6;2;14.5202169418;11.5;3;24.9814370871;1;11.0;10.0;6;20.0;
7;2;15.494430542;11.5;3;25.7390196323;1;12.0;10.0;5;20.0;
8;2;15.7217063904;11.7299995422;3;26.4357979298;1;13.0;10.0;5;20.3999996185;
9;2;15.9307394028;11.9106416702;3;28.1501259804;1;14.0;10.1999998093;5;20.7264003754;
10;2;16.4450378418;12.5274600983;3;29.6927518845;1;14.3268795013;10.3632001877;5;21.8194274902;
11;2;18.4450378418;13.0216779709;4;31.0959539413;2;14.8187427521;11.2097139359;4;23.7316036224;
12;2;20.4450378418;13.4066829681;5;32.3982014656;2;15.6792221069;11.3658018112;4;24.5045616627;
13;2;22.0160331726;13.6998376846;6;33.6365237236;2;18.268743515;11.7372808456;4;25.1279890537;
14;2;23.25598526;13.9190797806;6;34.679810524;2;20.268743515;12.0336990356;4;25.6242921352;
15;2;24.5204200745;14.0;6;35.6363720894;2;21.3100376129;12.2662630081;4;26.0160515308;
16;2;25.8073883057;14.0;6;36.656867981;2;22.3243255615;12.446267128;3;26.1558350325;
17;2;27.1135368347;14.0;6;37.7253961563;2;23.3388690948;12.5;3;26.1887089014;
18;2;28.3176193237;14.0;7;38.8218955994;2;24.3536624908;12.5;4;26.2221269608;
19;2;28.6465682983;14.0;7;39.9233598709;2;25.3687000275;12.5;4;26.2560760975;
20;2;28.9770088196;14.0;7;41.0055999756;2;25.8152351379;12.5;4;26.2905418873;
21;2;29.3016796112;14.0;7;42.0453195572;2;25.8307437897;12.5;4;26.3255085945;
22;2;29.6135959625;14.0;7;43.0221261978;2;25.8464794159;12.5;4;26.3609591722;
23;2;27.6135959625;15.0;7;43.920129776;2;25.8624305725;12.5;5;26.3968753815;
24;3;28.6135959625;14.0;6;44.7288513184;3;25.8785934448;12.5;4;26.4332377911;
25;3;29.6135959625;14.0;6;45.443365097;3;23.8949565887;13.5;5;26.4700255394;
26;3;30.6135959625;14.0;6;46.0637626648;3;22.9115104675;14.5;5;26.5072168112;
27;3;30.8191280365;14.0;6;46.5941581726;3;21.9282474518;15.5;5;26.5447884798;
28;3;30.9782466888;14.0;5;47.0415039062;3;20.9451541901;16.5;5;26.5827163458;
29;3;31.112449646;14.0;5;47.4144306183;3;19.962223053;17.5;5;26.6209751368;
30;3;29.2243289948;15.0;5;47.7222595215;4;18.9794387817;18.5;4;26.6595385075;
31;3;28.2243289948;15.0;4;47.9742584229;4;17.9967918396;19.5;2;27.6983793974;
32;3;28.2243289948;16.0;5;48.0;4;18.0142707825;20.5;2;27.777469635;
33;3;27.2243289948;15.0;5;48.0;4;18.0318603516;21.5;2;27.8579643965;
34;3;27.2243289948;17.0;5;48.0;4;17.5360832214;22.5;3;27.9398357868;
35;3;27.2243289948;19.0;5;48.0;5;17.3229255676;23.5;3;28.0230522156;
36;3;26.3999996185;21.0;5;48.0;5;16.0;24.5;3;28.1075787544;
37;3;25.3999996185;23.0;5;48.0;5;17.3984107971;25.5;4;28.1933764219;
38;3;24.3999996185;25.0;4;48.0;5;17.5659866333;24.5;5;28.2804031372;
39;3;23.3999996185;26.0;5;48.0;5;18.5871677399;23.8829116821;5;28.3686125278;
40;3;23.0;27.0;6;48.0;5;17.5158748627;23.5;5;28.4579547644;
41;3;23.0;28.0;7;48.0;5;17.5560798645;24.5;7;28.5483762026;
42;3;23.0;29.0;6;48.0;5;18.5967693329;24.5;7;28.6398191452;
43;3;24.0;27.0;5;48.0;5;19.6379203796;25.5;7;28.7322227955;
44;3;25.0;26.0;5;48.0;5;20.6795005798;26.5;7;28.8255221844;
45;3;26.0;25.0;6;48.0;5;21.7214851379;27.5;7;28.9196490049;
46;3;27.0;24.0;6;48.0;5;22.0145263672;28.5;8;29.014531374;
47;3;28.0;24.0;7;48.0;6;22.7743034363;28.5;6;39.1100943089;
48;3;29.0;24.0;6;48.0;6;24.0;28.5;8;39.6062592268;
49;3;30.0;24.0;7;48.0;6;27.0;30.5;8;40.0773459673;
50;3;28.0;25.0;7;48.0;6;27.0;32.8247108459;7;40.5220085382;
51;3;27.0;26.0;6;48.0;6;28.0;34.5800476074;7;40.93957901;
52;3;26.0;27.0;8;48.0;6;30.9048347473;32.5;7;41.3299992085;
